ORF	WT	Opt	WTRNA
NCU00081	4	1.8	3.5
NCU00082	0	0	0
NCU00083	39.4	51.4	8.3
NCU00084	2	3.3	3.4
NCU00085	6.1	4.8	1.6
NCU00086	0.1	0.2	0
NCU00087	169.3	139	36.7
NCU00088	164.4	91.8	103.3
NCU00089	30.2	29.5	6
NCU00090	52.4	129.8	7.8
NCU00091	16.8	10.9	6.7
NCU00092	14.2	15.3	22.2
NCU00093	0	0.3	0
NCU00095	57.7	54.8	9.7
NCU00096	0	0	0
NCU00097	4.5	6.8	2.6
NCU00099	0	0	0
NCU00100	10.5	7.5	10.3
NCU00101	49	31.5	41.8
NCU00102	626.1	271.6	109.4
NCU00103	61.4	86.2	21.8
NCU00104	178.2	101.5	31.5
NCU00105	55.9	38.8	36.1
NCU00106	115.5	90.5	414.2
NCU00107	37.3	37.9	31.3
NCU00108	21.9	36.2	4
NCU00109	29.5	33.9	8.8
NCU00110	14.8	15.5	3.5
NCU00111	68.2	41.1	74.7
NCU00112	74.1	58.8	12.4
NCU00114	90.5	64.7	41.5
NCU00115	9.6	17.4	3.8
NCU00116	71.7	59.9	14.3
NCU00117	25.1	19	15.4
NCU00118	0.9	0	0
NCU00119	14.7	13.4	4.6
NCU00120	3.4	5	3
NCU00121	17.6	39.3	3.7
NCU00122	156.8	177.4	34.4
NCU00123	0	0	0
NCU00124	27.5	16.1	6.9
NCU00125	8.3	8.6	1.9
NCU00126	10.2	13.9	3.6
NCU00127	106.4	99.1	42.9
NCU00128	0.3	0.2	0.1
NCU00129	0.5	0.8	0
NCU00130	9.9	2.7	2.5
NCU00132	27.6	27	3.5
NCU00133	117.2	101.6	26.1
NCU00134	51.2	29.1	6.4
NCU00135	56.8	42.9	74.4
NCU00136	13.1	12.3	7.5
NCU00137	101.8	136.1	55.2
NCU00138	0.1	4	0.3
NCU00142	14.7	10.9	3.9
NCU00143	0	0	0
NCU00144	17	28.7	106.9
NCU00145	22.4	52	21.7
NCU00146	35	18.5	6.1
NCU00147	244.1	314.5	131.6
NCU00148	19.6	33	6.8
NCU00149	2.8	12.3	10.9
NCU00150	151.6	142	91.8
NCU00151	10.8	18.2	3.7
NCU00152	56.5	55.4	11
NCU00153	10.2	21.6	1.3
NCU00154	52.7	80.1	27.5
NCU00155	14.1	22.3	2.6
NCU00157	86.6	57.7	15.9
NCU00158	13.9	22.5	14.2
NCU00159	8.9	11.1	5.3
NCU00160	386.1	240.6	370.4
NCU00161	12.9	5.8	5.1
NCU00162	46	39.7	15.1
NCU00163	21.8	9.1	11.4
NCU00164	11.3	12.2	3.5
NCU00166	7	22.2	11
NCU00167	21.2	22.8	10.3
NCU00168	68.1	43.5	10.1
NCU00169	108.8	119.6	20.7
NCU00170	83	67.3	12
NCU00171	45.5	53.3	10.3
NCU00172	27.9	30	11.9
NCU00173	68.3	76.8	81.5
NCU00175	155.1	52.2	17.3
NCU00176	0.3	1	1.3
NCU00177	387.3	313.3	152.8
NCU00178	13.5	23.5	6.3
NCU00179	0	0	0
NCU00180	0.2	0.7	1.6
NCU00181	14.9	27.1	13.6
NCU00182	93.7	52.4	59.3
NCU00183	17.3	21.2	16
NCU00184	11.3	31.8	14
NCU00185	0	0.2	0
NCU00186	4.9	7.5	11
NCU00187	64.2	45.4	55.5
NCU00188	20.5	18.7	3.7
NCU00189	0.3	0.4	0
NCU00192	0	0	0
NCU00193	22.6	31	21.4
NCU00194	357	279.6	33.7
NCU00195	23.5	16.5	11.4
NCU00196	33.6	26	5.1
NCU00197	0	0	0
NCU00198	290.7	168.3	1661.1
NCU00199	59.6	40.7	25.9
NCU00200	131.3	94.3	95.4
NCU00201	0	0	1.7
NCU00202	228.2	199.1	34.8
NCU00203	33.1	25.4	55.1
NCU00204	11.2	13.5	10.2
NCU00205	7	7	1.4
NCU00206	0.1	0.1	0.9
NCU00207	20.5	21.2	103
NCU00208	0	0.1	0
NCU00209	56	47	15.5
NCU00210	69.3	61.1	44.3
NCU00211	89.7	54.2	49.1
NCU00212	1566.9	2159.6	831.4
NCU00213	10.2	7.3	2.5
NCU00214	37.6	32.1	9.4
NCU00215	31.1	24.5	84.4
NCU00216	171.4	151.8	42.6
NCU00218	5.6	11.1	4.4
NCU00219	31.8	29.8	5.2
NCU00220	10.9	13.7	5.1
NCU00221	0.1	0.7	0.2
NCU00222	32.7	30.9	4.7
NCU00223	80.8	34.4	10.3
NCU00224	0	0	0
NCU00225	621.5	459.6	165
NCU00226	31.2	20.7	22.4
NCU00227	40.5	40.5	69
NCU00229	0	0	0
NCU00230	53.1	31.1	10.1
NCU00231	0.1	0.2	0.3
NCU00232	16.3	16	7.4
NCU00233	0	0	1.2
NCU00234	6.5	6.2	3.1
NCU00236	29.9	47.5	31.5
NCU00237	7	6.4	2.3
NCU00238	0.1	0	0.2
NCU00239	27	24.3	8.4
NCU00240	14.3	9.3	39
NCU00241	28.5	36.7	6.8
NCU00242	20.9	47.2	8.6
NCU00243	131.2	136.7	30.1
NCU00244	26.9	50.3	17.5
NCU00245	2.1	4.5	0.9
NCU00246	0.2	0.3	1.5
NCU00247	10.4	3.6	0.8
NCU00248	21	51.3	13.4
NCU00249	30.5	48.4	21.6
NCU00250	1.2	0.5	11.2
NCU00251	0.4	1.1	0.2
NCU00252	0.2	0.1	0.8
NCU00253	28.8	43	7.5
NCU00254	0	0	0
NCU00257	11.1	12.4	17.1
NCU00258	986.4	601.9	513
NCU00259	12.1	7.9	13.4
NCU00260	437.6	103.2	821
NCU00261	111.5	81.2	18.4
NCU00262	0.1	2	1.2
NCU00263	42.6	170.9	15.7
NCU00264	44.6	28.3	55
NCU00265	17.6	546.2	27.1
NCU00267	2.8	2.6	4.1
NCU00268	3.1	7.7	2.7
NCU00269	18.7	21.4	3.8
NCU00270	18.5	24	11.6
NCU00271	0	0	0
NCU00272	36.1	44.4	11.4
NCU00273	44.7	33.8	18.4
NCU00274	9.1	5.3	2.1
NCU00275	4.7	3.9	2.2
NCU00276	4.2	1.7	2
NCU00277	24.7	45.9	9.4
NCU00278	46.9	64.3	22
NCU00279	4.1	6.4	1.9
NCU00280	13.6	18.1	10
NCU00281	9.5	6.6	3
NCU00282	2.8	2.9	0.4
NCU00283	0.4	0.3	1.1
NCU00284	0	0.2	0.5
NCU00285	11.2	12.4	2.1
NCU00287	44.3	8.7	10907.2
NCU00288	0	0	0
NCU00289	28.8	17.1	5.7
NCU00290	0.6	5.5	0.4
NCU00291	23.4	51.2	29.2
NCU00292	0.1	0.6	0.2
NCU00293	32.3	47.8	273.4
NCU00294	1316.3	532.5	5214.4
NCU00295	124.1	73.3	31.5
NCU00296	0	0.4	0.5
NCU00297	0	0	0
NCU00298	1.3	3.7	0
NCU00299	10.5	14.6	34.1
NCU00300	7.8	29.4	3.6
NCU00301	45.3	44.1	19.1
NCU00302	33.5	36.6	30.2
NCU00303	47.2	94.5	27.5
NCU00304	208.3	163.4	76.3
NCU00305	9.1	9.5	17.6
NCU00306	15.4	16.3	4.6
NCU00307	0	0.9	0.9
NCU00308	3.9	8.7	3
NCU00309	86.3	34.5	44.5
NCU00310	3.7	3.5	2.5
NCU00311	67.5	61	10.4
NCU00312	2.2	0.7	0
NCU00313	0	1.8	0
NCU00314	0	0	0
NCU00315	2824.4	1581.1	33777
NCU00316	11.4	11.8	2.1
NCU00317	2.3	3.9	4.8
NCU00318	0	0	0
NCU00319	3.9	5.6	0
NCU00320	18.8	12.9	3.8
NCU00321	21.8	44.5	28.2
NCU00322	156.5	47.9	22.6
NCU00324	18.8	16.1	4.7
NCU00325	12.7	12.3	4.1
NCU00326	158.6	88.9	208.8
NCU00327	0	0	0
NCU00329	2.6	1.5	1.6
NCU00330	2.4	5.4	5.4
NCU00331	0.9	1	0.4
NCU00332	56.9	42.8	28.7
NCU00333	14.4	19.9	17.9
NCU00334	45.1	44	22.6
NCU00335	39.4	57.6	15.9
NCU00336	28.8	20.6	6.2
NCU00337	18	23.3	9.3
NCU00338	1.5	1.2	139.3
NCU00339	0	0.3	0
NCU00340	47.2	52.5	13.3
NCU00343	0	0	1
NCU00344	6.6	6.7	11.9
NCU00345	14.1	12.7	8.4
NCU00346	64.4	99.6	25.2
NCU00347	38.4	79.9	12.2
NCU00348	53.7	34.1	39.9
NCU00349	12.1	9.8	8.4
NCU00350	110	190.1	53.8
NCU00351	22.2	17.6	4.7
NCU00352	54.4	35	10
NCU00353	0	0.3	0.6
NCU00354	0	0	4.9
NCU00355	937.2	31.8	154.9
NCU00356	9.6	9.7	3.9
NCU00357	30.9	23.8	7.5
NCU00358	21	25.8	24
NCU00359	24	38	37.8
NCU00360	84.2	64.8	78
NCU00361	36.4	40.9	34.3
NCU00362	0.1	0	0.9
NCU00363	0.1	0	0
NCU00364	34.7	36.2	28.8
NCU00365	106.8	72.7	245.2
NCU00366	236.7	255.4	28.7
NCU00367	0	0.2	0.1
NCU00368	0.1	0	0.5
NCU00369	28.4	98.4	16.1
NCU00370	0.3	0	0.3
NCU00371	80.6	65.5	32.7
NCU00372	28.3	15.7	15.2
NCU00373	7.8	45.3	8.3
NCU00375	0	0	0
NCU00376	25.6	41.8	14.8
NCU00377	30.1	46.9	5.6
NCU00378	170.3	155.7	58.1
NCU00379	63.9	47.2	21.3
NCU00380	0.1	0	0
NCU00382	10.4	9.8	5.2
NCU00384	0	0	0
NCU00385	393	353.2	1521.8
NCU00386	0.1	0.3	2.8
NCU00387	7.5	13.2	2.3
NCU00388	28.3	25.8	12.3
NCU00389	103.3	74.9	5.8
NCU00391	0	0	0
NCU00392	24.3	21	4.4
NCU00395	99.8	98.7	55.6
NCU00396	69.5	41.1	7.8
NCU00397	242.7	109.1	433.8
NCU00398	9.5	8.4	2.4
NCU00399	113.6	44.2	107.2
NCU00400	6.5	6.8	1.3
NCU00401	13.8	7.2	5
NCU00403	6.6	2.5	2.4
NCU00404	37.1	40.8	26.6
NCU00405	543.3	324	119.6
NCU00406	83	129.8	28.4
NCU00407	4.5	7.2	2.1
NCU00408	23.3	12.4	12.6
NCU00409	39.1	35.7	60.2
NCU00410	224.6	150	26.2
NCU00411	56.9	61.4	45.7
NCU00412	19.1	19	5.1
NCU00413	1825.6	1225.1	638.2
NCU00414	388.5	269.2	281.4
NCU00415	18.5	10	3.8
NCU00416	1.8	3.8	1.2
NCU00417	45.3	110.4	15.9
NCU00418	320	187.4	431.7
NCU00419	47.6	53.2	23
NCU00420	57.2	93.9	15.5
NCU00421	25.3	19.3	6.1
NCU00422	692.2	795.9	680.9
NCU00423	11.9	11.4	3.7
NCU00424	40.7	38.2	7.7
NCU00425	0	0	0
NCU00426	10.1	19.1	9.6
NCU00427	22.5	20.4	2.6
NCU00428	15.8	11.9	3.8
NCU00430	43.9	54	13.7
NCU00431	196.1	177.2	58.3
NCU00432	17.9	28.9	9.9
NCU00434	60.9	64.8	7
NCU00435	47.4	53.6	11.7
NCU00436	92.5	64.8	16.9
NCU00437	9.4	13.4	8.4
NCU00438	6.2	6.5	10.6
NCU00439	0.5	2.7	0
NCU00440	145.3	162.9	89
NCU00441	32.4	66.5	4.7
NCU00442	37.8	40.2	8.9
NCU00443	1088.8	1552.7	2261
NCU00444	112	103	15.4
NCU00445	10	9	3.3
NCU00446	17.2	9.5	11.1
NCU00447	120	87.2	13.9
NCU00448	7.5	9.1	6.9
NCU00449	0	0.2	0
NCU00450	93.2	34.1	9.2
NCU00451	93.5	5.3	45.4
NCU00453	43.6	27.2	31.3
NCU00454	20.3	34	17.5
NCU00455	32.3	31.6	6.3
NCU00456	143.6	102.5	123.9
NCU00457	316.7	230.6	39.8
NCU00458	26.1	30.1	80
NCU00459	11.3	11.1	1.7
NCU00461	75.6	52.7	22.7
NCU00462	0	0	0
NCU00463	65.6	38.2	116.1
NCU00464	1674.3	1284.4	1107.5
NCU00465	215.2	123.6	20.9
NCU00466	34.1	21.7	19.2
NCU00467	71.6	73.7	15.5
NCU00468	32.3	21.8	21.3
NCU00469	23.8	15.1	9.7
NCU00470	18.3	8.9	5.5
NCU00471	18.4	2.6	8.1
NCU00472	97.7	135.6	63.6
NCU00473	28.8	55.9	30.7
NCU00474	0	0	0
NCU00475	2070.6	1688.1	469.6
NCU00476	59.3	71.4	31.5
NCU00477	712.4	516	76.3
NCU00478	22.6	22.8	2.6
NCU00480	64	49.1	10.5
NCU00481	69.7	53.8	88.8
NCU00483	23.9	19.3	5.4
NCU00484	238.9	180.2	192.4
NCU00485	0	0	1
NCU00486	47.3	30.1	31.1
NCU00487	22.3	30.9	18.6
NCU00488	278	241.7	176.7
NCU00489	1350.1	1083	304.8
NCU00490	55.1	39.7	10
NCU00491	0	0	0
NCU00492	18	18.2	6.3
NCU00493	177.5	188	45.9
NCU00494	8.1	5.9	5.5
NCU00495	19.7	23.1	3.3
NCU00496	0.6	4.9	0.4
NCU00497	17	10.7	18.7
NCU00498	19.6	12.7	6.5
NCU00499	132.1	149.1	75.1
NCU00500	0	0	1.4
NCU00501	14.8	14.3	2.9
NCU00502	530.9	472.8	1015.5
NCU00503	3.2	3.3	4.2
NCU00504	13	24.6	8.3
NCU00505	175	171.3	58.8
NCU00506	53.8	180.3	14.2
NCU00509	0.6	1.5	0.9
NCU00510	0	0	0
NCU00512	4.8	4.7	3.1
NCU00513	65.9	73.9	19.7
NCU00515	18.9	16.4	5.2
NCU00516	0	0.7	0
NCU00517	4.2	3.1	7.1
NCU00518	70.1	77.4	86.6
NCU00519	282.3	141.9	284.4
NCU00520	230.2	301.8	230.9
NCU00521	70.8	68.2	16.2
NCU00522	187.5	395.9	273.2
NCU00523	39.8	39.4	14.8
NCU00524	0	0	0
NCU00525	0	0.4	0
NCU00526	0.1	0	0.4
NCU00527	77.4	37.5	273.9
NCU00528	23	23	5.3
NCU00529	0	0	0
NCU00530	0	0	0
NCU00531	0	0	0
NCU00532	0	0	0
NCU00533	0	0	0
NCU00534	0	0	1.3
NCU00535	14.6	18.7	17.5
NCU00536	58.3	46.4	58.1
NCU00537	42.9	40.3	11.3
NCU00538	19.1	14.8	3.1
NCU00541	106	96.7	50.2
NCU00542	85.7	105.7	14.7
NCU00545	4.9	4.3	5
NCU00547	0.2	0	0
NCU00548	10.6	11.7	18.8
NCU00549	68.2	71.5	60.3
NCU00550	11.3	6.4	3.7
NCU00551	33	24	9.6
NCU00552	152.4	64	118.5
NCU00553	39.1	36.1	4.6
NCU00554	479.8	187.7	153.7
NCU00556	60.1	46.7	6.9
NCU00557	0	0	0.8
NCU00558	3.6	1.8	2.8
NCU00559	1.7	2.1	0.8
NCU00560	19.5	24.5	5.8
NCU00561	0.5	0.8	3
NCU00562	34.5	35.4	12.8
NCU00563	1.3	0.5	0
NCU00564	195.5	164.8	371.2
NCU00565	83.4	76.2	48.4
NCU00566	224.4	372.9	78.7
NCU00567	245.7	179.8	37.8
NCU00568	31.8	24.7	19.7
NCU00569	34	24.9	46.2
NCU00570	29.6	37.9	60.9
NCU00571	86.7	177.4	93
NCU00572	0.5	0.5	0.7
NCU00573	407.1	253.7	187.2
NCU00574	0.7	2.2	1.7
NCU00575	539.2	420	47.7
NCU00576	17.9	14.7	11
NCU00577	19.6	28.3	23.7
NCU00578	33.9	79.3	16.6
NCU00579	53.8	48.6	12.3
NCU00580	18.2	14.4	13.5
NCU00581	18.4	29.5	38.9
NCU00582	118.9	107.1	14
NCU00583	0	0.4	0
NCU00584	57.8	64.9	20.4
NCU00585	305.2	225.5	92.1
NCU00586	16.6	9.5	2.6
NCU00587	50.7	56.6	18.7
NCU00589	99.1	107.1	16.9
NCU00590	36.8	150	96
NCU00591	4.9	6.7	3.1
NCU00592	28.6	28.9	24.8
NCU00593	49.3	45.6	5.2
NCU00594	0	0	0
NCU00595	59	57.5	11.3
NCU00596	24.6	77.6	77
NCU00597	30	23.2	38.4
NCU00598	42.7	36.9	36.2
NCU00599	22.6	18.5	13.5
NCU00600	89.5	89.4	16.7
NCU00602	38.5	46.7	18.5
NCU00603	0	0	0
NCU00604	8.8	7.5	1.7
NCU00605	40	20.5	13
NCU00606	0.9	1.1	1.3
NCU00607	0	0	0
NCU00608	4.2	4.8	5
NCU00609	23.6	22	3.5
NCU00611	16.6	19.5	5.6
NCU00614	119.4	77	24.5
NCU00616	3.2	4.8	1.3
NCU00617	53	77	16
NCU00618	1171.2	730.6	2065.9
NCU00619	29.7	45.1	9
NCU00620	4.2	7.7	3.2
NCU00621	26.3	19.5	5.6
NCU00622	49.3	44.2	7
NCU00623	31.4	39.9	19.3
NCU00624	68.7	62	13.2
NCU00627	622	471.8	61.2
NCU00628	15.6	16.8	3.2
NCU00629	781.6	855.6	98.7
NCU00630	18.3	12.4	5.8
NCU00631	11.2	7.6	2.6
NCU00632	22.4	18.3	6.8
NCU00633	153	255.4	54
NCU00634	650.6	1180	296.3
NCU00635	1411.9	1804.6	4460
NCU00636	746.4	414.3	1239.3
NCU00638	4.1	9.7	1
NCU00640	0.4	0	17.2
NCU00641	19.8	29.6	4.8
NCU00642	1.3	0.4	5.3
NCU00643	13.9	4.9	35.7
NCU00644	222.3	195.4	91
NCU00645	0	0	0.8
NCU00646	4.4	11.8	1.5
NCU00648	0	0	0.2
NCU00649	102.3	103.5	52.7
NCU00650	32	31.9	9
NCU00651	22.5	31.6	7.3
NCU00652	0.2	0.3	1
NCU00653	0.3	0.1	1.2
NCU00654	15	16.5	3
NCU00655	136.8	167	190.3
NCU00656	34.7	23.5	13.9
NCU00657	22.3	22.7	16.1
NCU00658	0	0.2	0.2
NCU00659	7.4	3.4	16.1
NCU00660	12.9	11.4	13.6
NCU00662	11	16.2	15.1
NCU00663	14.8	10.3	13.9
NCU00664	29.7	40.8	53.5
NCU00665	95.3	73.1	10.4
NCU00666	17.6	11.1	5.7
NCU00667	100.8	84	22.3
NCU00668	60.1	49.6	5.2
NCU00669	149.9	124	129.1
NCU00670	250.8	143.7	160.1
NCU00671	16.9	9.8	4.2
NCU00673	903.3	943.2	161.4
NCU00674	0.1	0.1	0
NCU00675	22.8	27.2	5
NCU00676	16	38.5	21.7
NCU00677	0.3	0.7	3.1
NCU00678	12.8	3.9	14
NCU00679	0	0.1	0
NCU00680	236.7	146	231.3
NCU00681	29.7	37.9	4.3
NCU00682	90.6	146.5	12.9
NCU00684	46.6	46.9	11
NCU00685	351.1	237.9	39.2
NCU00687	146.8	141.2	19.1
NCU00688	0.9	2.9	1.3
NCU00689	3.7	3.5	7.2
NCU00690	10.5	9.5	5.6
NCU00691	8.4	9	2
NCU00692	214.1	222.2	65.4
NCU00693	20.8	47.3	7.6
NCU00694	22.2	17.3	5.5
NCU00695	39.5	71.9	49.5
NCU00696	112.2	162.5	97.1
NCU00697	0.2	0.4	0
NCU00698	0.1	0	0
NCU00699	3.6	5.3	3
NCU00700	0	0	1.9
NCU00701	6.9	9.8	3.1
NCU00704	0	0	0
NCU00705	0	0	0
NCU00706	1535.2	912.6	716.8
NCU00707	85.5	80.9	14.9
NCU00708	0.2	0	0
NCU00709	0.1	0.1	0.1
NCU00710	0.9	3.7	0
NCU00711	4.2	3.2	1
NCU00712	156.3	120.4	40.4
NCU00713	20	40.8	16.3
NCU00714	255.4	216.5	33.3
NCU00715	9.6	24.9	5.3
NCU00716	13.7	56.4	11.7
NCU00717	8.5	14.9	2.4
NCU00718	0	0.5	2.1
NCU00719	8.6	43.8	4.9
NCU00720	38.5	97.4	8
NCU00721	10	10.7	15.1
NCU00722	13.1	15.5	3.8
NCU00723	8.4	7.6	4.3
NCU00724	0.1	0	0
NCU00725	92.8	102.4	28.9
NCU00726	3290.7	2179.8	4121.2
NCU00727	29.5	20.8	18.4
NCU00728	0.1	0.1	0
NCU00729	80.7	167.8	135.2
NCU00730	0.4	0.5	0.1
NCU00732	0	0	0.2
NCU00733	0	1.2	0
NCU00734	52.2	55.2	13.2
NCU00735	10.3	27.6	11.1
NCU00736	8.6	12.6	11.4
NCU00737	91.5	85.7	23.7
NCU00738	2.8	4	5.1
NCU00739	0	0	0
NCU00740	0.1	0	0.6
NCU00741	36.6	80.6	15.4
NCU00742	63	74.2	11.5
NCU00743	430.1	197.2	38
NCU00744	51.9	90.4	19.9
NCU00745	0	0	0
NCU00746	0.3	0	0
NCU00747	0	0.5	0
NCU00748	81.1	53.7	12.4
NCU00749	14.9	10.4	5.7
NCU00751	1.7	1.5	9.6
NCU00752	0.3	0	2.9
NCU00753	36.7	28.2	6.5
NCU00754	30.7	141.2	5.2
NCU00755	5.4	8.6	3.1
NCU00756	0	0	0
NCU00757	0.7	1.2	0
NCU00758	0	0	0
NCU00759	23.5	25.5	11.6
NCU00760	0	0	0
NCU00761	0	0.1	0
NCU00762	0	0	0
NCU00763	0	0.2	0
NCU00764	0.5	0.9	0
NCU00765	0.1	0	0
NCU00766	22	19.9	24.4
NCU00768	178.1	87.8	16.2
NCU00770	31	28.4	8.4
NCU00771	53.8	62.3	6.2
NCU00772	21.6	20.7	5.4
NCU00773	0	1.9	0
NCU00774	82	40.1	27.8
NCU00775	404.5	216.6	83.9
NCU00776	0.1	0.5	0
NCU00777	16.7	24.6	31.7
NCU00778	21.8	19.4	26.8
NCU00779	0	0	0
NCU00780	0.1	1	0.3
NCU00781	0	0.6	0
NCU00782	1.2	0.4	0.2
NCU00783	0	0.6	0
NCU00784	17.6	14.2	6.6
NCU00786	0	0.3	0.2
NCU00787	1	0	0
NCU00788	1.6	0.8	1.1
NCU00789	64.7	35.4	36.4
NCU00790	406.7	5.3	51.2
NCU00792	419.3	220.8	143
NCU00793	319	162	23.7
NCU00794	25.2	22	2.8
NCU00795	0.1	0	0
NCU00796	14.2	8.4	6
NCU00797	0.3	0	0
NCU00798	578.4	146.7	671.7
NCU00799	46.3	25.6	31.9
NCU00800	0.1	0	0
NCU00801	9	1	2.7
NCU00802	21.1	6.8	8
NCU00803	3.5	6.8	1
NCU00804	0	0	0
NCU00805	68.7	74.5	63.4
NCU00806	0.2	0	2.9
NCU00807	0	0.5	0
NCU00808	0.9	98.8	4.7
NCU00809	0.3	0.4	4.2
NCU00810	19.2	15.7	11.9
NCU00811	279.7	486.9	229.1
NCU00812	38.2	44.2	83.7
NCU00813	126.2	141.9	42
NCU00814	36.9	40.4	11.7
NCU00817	0.1	0	0
NCU00818	0.3	3.2	0
NCU00819	0	0	0
NCU00821	76.4	204.4	28.2
NCU00822	0	0.1	0
NCU00823	173.4	222.8	297
NCU00824	78.2	64.1	11.1
NCU00825	0.4	1.4	0.5
NCU00826	0.6	0.3	1.3
NCU00827	8.4	28.4	4
NCU00828	12.8	14	11.8
NCU00829	6.3	5.8	5.9
NCU00830	8.1	7.2	7.4
NCU00831	58.1	134.5	10.5
NCU00832	20.1	36.3	3.9
NCU00833	8.9	7.4	2.8
NCU00834	0	0	0.2
NCU00835	38.2	4.6	21.8
NCU00836	0.6	6.2	0
NCU00837	6	4.1	2.2
NCU00838	48.6	15.4	26.5
NCU00839	0	0.2	0
NCU00840	0.1	0	0
NCU00841	0.1	0	0
NCU00842	0	0	0
NCU00843	164.8	133.2	51.2
NCU00844	0	0	0
NCU00845	0.5	1.6	0.2
NCU00846	4.7	3.8	1.3
NCU00847	54.7	64.9	17.4
NCU00848	43.1	32.4	7.1
NCU00849	1.1	1	6.8
NCU00850	1.7	2.1	6.9
NCU00851	0	0	0
NCU00852	0	0	0
NCU00853	0	0	0.6
NCU00854	0.3	0.3	0.9
NCU00855	1	2.1	5
NCU00856	16.5	8.8	3.4
NCU00857	0.2	0	0
NCU00859	2.3	38.1	0.5
NCU00860	10.8	4	7.4
NCU00861	0.1	0	0
NCU00862	0.3	4.3	0.7
NCU00863	10	10.4	26
NCU00864	131	128	240.7
NCU00865	28	9	9.2
NCU00866	184.6	129	21.8
NCU00867	290.4	278.1	778.1
NCU00868	21.9	15.7	24.7
NCU00869	1.3	1.5	0.6
NCU00870	5.7	6.9	2.9
NCU00871	0.2	0	0.8
NCU00872	0	0	1.4
NCU00873	2.7	5.7	0.3
NCU00874	0.2	0.2	1.1
NCU00875	0.2	0	0.2
NCU00876	3.7	1.4	6.6
NCU00877	14.3	7.9	135.8
NCU00878	63.1	391.1	27.3
NCU00879	59	57.8	7.1
NCU00880	93.1	68.7	28.2
NCU00881	236.1	270.8	32876.4
NCU00882	6.3	4.8	3.7
NCU00883	6.6	12.5	4.2
NCU00884	582.3	150.2	275.7
NCU00885	0	0	0
NCU00886	6.9	16.8	2.3
NCU00887	2.1	2.8	2.5
NCU00889	22.8	34.3	4.2
NCU00890	7.1	4.4	2.9
NCU00891	42.9	22.7	40.8
NCU00892	41.1	20.4	10.7
NCU00893	20.3	27.4	14.7
NCU00894	206.2	190.1	260.8
NCU00895	218.1	178.7	27.3
NCU00896	69.8	64.9	17.2
NCU00897	2.5	3.8	1.7
NCU00898	27.7	26.6	34.1
NCU00899	45.2	39	8.9
NCU00900	35.8	42.5	9.4
NCU00901	20.1	15.7	3.5
NCU00902	33.6	23.8	19.1
NCU00903	460.8	437.9	594.9
NCU00904	119	77.3	34.2
NCU00905	88.6	106.1	110.3
NCU00906	3.7	6.9	0.5
NCU00907	0	0	0
NCU00911	634.7	204.8	83.6
NCU00912	1.9	0.5	3.2
NCU00913	68.6	38.3	43.4
NCU00914	32.6	31.1	5.2
NCU00915	436.5	616.5	124.4
NCU00916	19.9	27.3	3.7
NCU00917	6.3	17.3	6.4
NCU00918	53.2	62.6	32.1
NCU00919	28.8	33.4	18.7
NCU00920	28.2	18.1	15.1
NCU00921	18.9	30.1	1.5
NCU00922	0	0	0
