GENE	cds.length
SPAC17G6.04c	1149
SPAC17G6.05c	2328
SPAC17G6.06	405
SPAC17G6.07c	669
SPAC17G6.08	1611
SPAC17G6.09	822
SPAC17G6.10	1584
SPAC17G6.11c	1911
SPAC17G6.12	2304
SPAC17G6.13	1302
SPAC17G6.14c	1305
SPAC17G6.15c	969
SPAC17G6.16c	2274
SPAC17G6.17	1209
SPAC17G8.01c	2364
SPAC17G8.02	993
SPAC17G8.03c	600
SPAC17G8.04c	459
SPAC17G8.05	582
SPAC17G8.06c	1797
SPAC17G8.07	654
SPAC17G8.08c	864
SPAC17G8.09	399
SPAC17G8.10c	804
SPAC17G8.11c	1071
SPAC17G8.12	1827
SPAC17G8.13c	1224
SPAC17G8.14c	2967
SPAC17G8.15	222
SPAC17H9.01	3609
SPAC17H9.02	3093
SPAC17H9.03c	693
SPAC17H9.04c	1815
SPAC17H9.05	1002
SPAC17H9.06c	1806
SPAC17H9.07	363
SPAC17H9.08	981
SPAC17H9.09c	660
SPAC17H9.10c	3219
SPAC17H9.11	426
SPAC17H9.12c	801
SPAC17H9.13c	1209
SPAC17H9.14c	1080
SPAC17H9.16	435
SPAC17H9.17c	1113
SPAC17H9.18c	318
SPAC17H9.19c	1473
SPAC17H9.20	2889
SPAC1805.01c	2328
SPAC1805.02c	765
SPAC1805.03c	1107
SPAC1805.04	3489
SPAC1805.05	1320
SPAC1805.06c	990
SPAC1805.07c	285
SPAC1805.08	336
SPAC1805.09c	1023
SPAC1805.10	1584
SPAC1805.11c	360
SPAC1805.12c	387
SPAC1805.13	405
SPAC1805.14	1359
SPAC1805.15c	2016
SPAC1805.16c	948
SPAC1805.17	3237
SPAC1805.18	288
SPAC1834.01	1302
SPAC1834.02	4722
SPAC1834.03c	312
SPAC1834.04	411
SPAC1834.05	1734
SPAC1834.06c	990
SPAC1834.07	1665
SPAC1834.08	4920
SPAC1834.09	921
SPAC1834.10c	537
SPAC1834.11c	2379
SPAC1834.13	237
SPAC1851.02	840
SPAC1851.03	696
SPAC1851.04c	3159
SPAC186.01	981
SPAC186.02c	999
SPAC186.03	1083
SPAC186.04c	528
SPAC186.05c	789
SPAC186.06	555
SPAC186.07c	999
SPAC186.08c	993
SPAC186.09	1719
SPAC18B11.02c	1185
SPAC18B11.03c	1344
SPAC18B11.04	573
SPAC18B11.05	1395
SPAC18B11.06	984
SPAC18B11.07c	456
SPAC18B11.08c	288
SPAC18B11.09c	624
SPAC18B11.10	1845
SPAC18B11.11	3885
SPAC18G6.01c	780
SPAC18G6.02c	2883
SPAC18G6.03	645
SPAC18G6.04c	1467
SPAC18G6.05c	8013
SPAC18G6.06	750
SPAC18G6.07c	1080
SPAC18G6.09c	939
SPAC18G6.10	2067
SPAC18G6.11c	1800
SPAC18G6.12c	930
SPAC18G6.13	345
SPAC18G6.14c	588
SPAC18G6.15	927
SPAC1952.01	1227
SPAC1952.02	609
SPAC1952.03	975
SPAC1952.04c	414
SPAC1952.05	1365
SPAC1952.06c	1695
SPAC1952.07	972
SPAC1952.08c	573
SPAC1952.09c	1566
SPAC1952.10c	1086
SPAC1952.11c	2508
SPAC1952.12c	618
SPAC1952.13	1971
SPAC1952.14c	438
SPAC1952.15c	1053
SPAC1952.16	2013
SPAC1952.17c	1860
SPAC19A8.01c	3249
SPAC19A8.02	3642
SPAC19A8.03	1680
SPAC19A8.04	1632
SPAC19A8.05c	1833
SPAC19A8.06	1194
SPAC19A8.07c	870
SPAC19A8.08	3150
SPAC19A8.09	246
SPAC19A8.10	765
SPAC19A8.11c	741
SPAC19A8.12	2226
SPAC19A8.13	786
SPAC19A8.14	618
SPAC19A8.15	2094
SPAC19A8.16	198
SPAC19B12.01	2454
SPAC19B12.02c	1629
SPAC19B12.03	5481
SPAC19B12.04	186
SPAC19B12.05c	2172
SPAC19B12.06c	777
SPAC19B12.07c	960
SPAC19B12.08	963
SPAC19B12.09	321
SPAC19B12.10	1308
SPAC19B12.11c	375
SPAC19B12.12c	708
SPAC19B12.13	2262
SPAC19D5.01	2136
SPAC19D5.02c	672
SPAC19D5.03	1218
SPAC19D5.04	9684
SPAC19D5.05c	552
SPAC19D5.06c	1059
SPAC19D5.07	1425
SPAC19D5.09c	4002
SPAC19D5.10c	264
SPAC19D5.11c	330
SPAC19E9.01c	1116
SPAC19E9.02	2169
SPAC19E9.03	1236
SPAC19G12.01c	2160
SPAC19G12.02c	2385
SPAC19G12.03	963
SPAC19G12.04	576
SPAC19G12.05	876
SPAC19G12.06c	396
SPAC19G12.07c	1812
SPAC19G12.08	1044
SPAC19G12.09	855
SPAC19G12.10c	3009
SPAC19G12.11	753
SPAC19G12.12	885
SPAC19G12.13c	750
SPAC19G12.14	2229
SPAC19G12.15c	2454
SPAC19G12.16c	2013
SPAC19G12.17	315
SPAC1A6.01c	1368
SPAC1A6.02	1086
SPAC1A6.03c	2001
SPAC1A6.04c	1842
SPAC1A6.05c	1452
SPAC1A6.06c	558
SPAC1A6.07	1911
SPAC1A6.08c	858
SPAC1A6.09c	1173
SPAC1A6.10	1458
SPAC1A6.11	321
SPAC1B1.01	1437
SPAC1B1.02c	1614
SPAC1B1.03c	2592
SPAC1B1.04c	2046
SPAC1B2.02c	1266
SPAC1B2.03c	1005
SPAC1B2.04	423
SPAC1B2.05	2163
SPAC1B2.06	255
SPAC1B3.01c	660
SPAC1B3.02c	324
SPAC1B3.03c	1071
SPAC1B3.04c	1959
SPAC1B3.05	1923
SPAC1B3.06c	837
SPAC1B3.07c	747
SPAC1B3.08	1272
SPAC1B3.09c	1587
SPAC1B3.10c	1995
SPAC1B3.11c	705
SPAC1B3.12c	216
SPAC1B3.13	2421
SPAC1B3.14	486
SPAC1B3.15c	1887
SPAC1B3.16c	1707
SPAC1B3.17	1614
SPAC1B3.18c	672
SPAC1B3.20	237
SPAC1B3.21	210
SPAC1B9.02c	2091
SPAC1B9.03c	1170
SPAC1D4.01	765
SPAC1D4.02c	1038
SPAC1D4.03c	1542
SPAC1D4.04	1584
SPAC1D4.05c	1164
SPAC1D4.06c	921
SPAC1D4.07c	441
SPAC1D4.08	756
SPAC1D4.09c	723
SPAC1D4.10	2430
SPAC1D4.11c	2073
SPAC1D4.12	2319
SPAC1D4.13	1023
SPAC1D4.14	4887
SPAC1F12.02c	507
SPAC1F12.03c	114
SPAC1F12.04c	576
SPAC1F12.05	1134
SPAC1F12.06c	759
SPAC1F12.07	1170
SPAC1F12.08	951
SPAC1F12.09	1665
SPAC1F12.10c	444
SPAC1F3.01	2334
SPAC1F3.02c	3351
SPAC1F3.03	3015
SPAC1F3.04c	867
SPAC1F3.05	1533
SPAC1F3.06c	5874
SPAC1F3.07c	1212
SPAC1F3.08c	327
SPAC1F3.09	1686
SPAC1F3.10c	2289
SPAC1F5.02	1479
SPAC1F5.03c	1149
SPAC1F5.04c	5526
SPAC1F5.05c	456
SPAC1F5.06	2547
SPAC1F5.07c	1473
SPAC1F5.08c	1461
SPAC1F5.09c	1770
SPAC1F5.10	1185
SPAC1F5.11c	10968
SPAC1F7.01c	4098
SPAC1F7.02c	1737
SPAC1F7.03	2133
SPAC1F7.04	609
SPAC1F7.05	2436
SPAC1F7.06	756
SPAC1F7.07c	1194
SPAC1F7.08	1869
SPAC1F7.09c	1029
SPAC1F7.10	717
SPAC1F7.11c	2349
SPAC1F7.12	1023
SPAC1F7.13c	762
SPAC1F7.14c	246
SPAC1F8.01	1668
SPAC1F8.02c	681
SPAC1F8.03c	1893
SPAC1F8.04c	1392
SPAC1F8.05	549
SPAC1F8.06	1158
SPAC1F8.07c	1707
SPAC1F8.08	363
SPAC20G4.01	843
SPAC20G4.02c	4119
SPAC20G4.03c	2115
SPAC20G4.04c	864
SPAC20G4.05c	1707
SPAC20G4.06c	414
SPAC20G4.07c	1362
SPAC20G4.08	3231
SPAC20G4.09	75
SPAC20G8.01	2307
SPAC20G8.02	2274
SPAC20G8.03	1674
SPAC20G8.04c	1899
SPAC20G8.05c	2784
SPAC20G8.06	6303
SPAC20G8.07c	660
SPAC20G8.08c	2835
SPAC20G8.09c	3102
SPAC20G8.10c	1395
SPAC20H4.01	2001
SPAC20H4.02	753
SPAC20H4.03c	882
SPAC20H4.04	2352
SPAC20H4.05c	687
SPAC20H4.06c	1605
SPAC20H4.07	1065
SPAC20H4.08	813
SPAC20H4.09	1944
SPAC20H4.10	3033
SPAC20H4.11c	603
SPAC212.01c	843
SPAC212.02	411
SPAC212.03	390
SPAC212.04c	867
SPAC212.05c	192
SPAC212.06c	444
SPAC212.07c	891
SPAC212.08c	837
SPAC212.09c	1656
SPAC212.10	606
SPAC212.11	5662
SPAC212.12	372
SPAC21E11.03c	516
SPAC21E11.04	630
SPAC21E11.05c	1551
SPAC21E11.06	1404
SPAC21E11.07	978
SPAC21E11.08	1812
SPAC222.03c	270
SPAC222.04c	354
SPAC222.05c	1491
SPAC222.06	909
SPAC222.07c	1920
SPAC222.08c	705
SPAC222.09	1863
SPAC222.10c	1998
SPAC222.11	939
SPAC222.12c	1578
SPAC222.13c	1779
SPAC222.14c	2289
SPAC222.15	651
SPAC222.16c	1017
SPAC222.17	270
SPAC222.18	336
SPAC222.19	354
SPAC227.01c	1122
SPAC227.02c	618
SPAC227.03c	1116
SPAC227.04	540
SPAC227.05	372
SPAC227.06	750
SPAC227.07c	1392
SPAC227.08c	513
SPAC227.09	1254
SPAC227.10	345
SPAC227.11c	933
SPAC227.12	1389
SPAC227.13c	579
SPAC227.14	708
SPAC227.15	2622
SPAC227.16c	501
SPAC227.17c	366
SPAC227.18	1107
SPAC227.19c	252
SPAC22A12.01c	1683
SPAC22A12.02c	375
SPAC22A12.03c	1134
SPAC22A12.04c	393
SPAC22A12.05	330
SPAC22A12.06c	1290
SPAC22A12.07c	2682
SPAC22A12.08c	1713
SPAC22A12.09c	1446
SPAC22A12.10	1161
SPAC22A12.11	1743
SPAC22A12.12c	723
SPAC22A12.13	588
SPAC22A12.14c	1044
SPAC22A12.15c	1992
SPAC22A12.16	1479
SPAC22A12.17c	786
SPAC22E12.01	1125
SPAC22E12.02	660
SPAC22E12.03c	576
SPAC22E12.04	894
SPAC22E12.05c	555
SPAC22E12.06c	999
SPAC22E12.07	1161
SPAC22E12.08	294
SPAC22E12.09c	2130
SPAC22E12.10c	1851
SPAC22E12.11c	2580
SPAC22E12.13c	579
SPAC22E12.14c	1941
SPAC22E12.16c	2556
SPAC22E12.17c	1452
SPAC22E12.18	1011
SPAC22E12.19	1986
SPAC22F3.02	630
SPAC22F3.03c	2436
SPAC22F3.04	4287
SPAC22F3.05c	561
SPAC22F3.06c	3204
SPAC22F3.07c	357
SPAC22F3.08c	1446
SPAC22F3.09c	1974
SPAC22F3.10c	2010
SPAC22F3.11c	456
SPAC22F3.12c	1446
SPAC22F3.13	2700
SPAC22F3.15	372
SPAC22F8.02c	1119
SPAC22F8.03c	402
SPAC22F8.04	1152
SPAC22F8.05	2676
SPAC22F8.06	678
SPAC22F8.07c	1401
SPAC22F8.08	2781
SPAC22F8.09	1260
SPAC22F8.10c	1806
SPAC22F8.11	2700
SPAC22F8.12c	498
SPAC22G7.01c	1797
SPAC22G7.02	2973
SPAC22G7.03	711
SPAC22G7.04	3267
SPAC22G7.05	1797
SPAC22G7.06c	6735
SPAC22G7.07c	1260
SPAC22G7.08	1542
SPAC22G7.09c	1278
SPAC22G7.10	1035
SPAC22G7.11c	423
SPAC22H10.02	417
SPAC22H10.03c	2982
SPAC22H10.04	924
SPAC22H10.05c	1371
SPAC22H10.06c	282
SPAC22H10.07	1611
SPAC22H10.08	1479
SPAC22H10.09	1941
SPAC22H10.10	1536
SPAC22H10.11c	1890
SPAC22H10.12c	1323
SPAC22H10.13	153
SPAC22H12.01c	705
SPAC22H12.02	726
SPAC22H12.03	813
SPAC22H12.04c	759
SPAC22H12.05c	2187
SPAC23A1.02c	1293
SPAC23A1.03	567
SPAC23A1.04c	2364
SPAC23A1.05	306
SPAC23A1.06c	1515
SPAC23A1.07	756
SPAC23A1.08c	339
SPAC23A1.09	366
SPAC23A1.10	1383
SPAC23A1.11	594
SPAC23A1.12c	1770
SPAC23A1.14c	1197
SPAC23A1.15c	681
SPAC23A1.16c	594
SPAC23A1.17	4836
SPAC23A1.18c	912
SPAC23A1.19c	3192
SPAC23A1.20	564
SPAC23C11.01	1326
SPAC23C11.02c	432
SPAC23C11.03	1797
SPAC23C11.04c	1227
SPAC23C11.05	870
SPAC23C11.06c	1608
SPAC23C11.07	333
SPAC23C11.08	351
SPAC23C11.09	2880
SPAC23C11.10	798
SPAC23C11.11	999
SPAC23C11.12	243
SPAC23C11.13c	621
SPAC23C11.14	1164
SPAC23C11.15	3228
SPAC23C11.16	2052
SPAC23C11.17	1458
SPAC23C4.02	1806
SPAC23C4.03	1467
SPAC23C4.04c	423
SPAC23C4.05c	1296
SPAC23C4.06c	984
SPAC23C4.07	606
SPAC23C4.08	618
SPAC23C4.09c	396
SPAC23C4.10	1584
SPAC23C4.11	183
SPAC23C4.12	1203
SPAC23C4.13	354
SPAC23C4.14	1275
SPAC23C4.15	633
SPAC23C4.16c	1275
SPAC23C4.17	2058
SPAC23C4.18c	1947
SPAC23C4.19	2973
SPAC23D3.01	1224
SPAC23D3.02	1023
SPAC23D3.03c	1419
SPAC23D3.04c	1122
SPAC23D3.05c	1023
SPAC23D3.06c	3978
SPAC23D3.07	804
SPAC23D3.08	1014
SPAC23D3.09	1275
SPAC23D3.10c	2121
SPAC23D3.11	891
SPAC23D3.12	1680
SPAC23D3.13c	4851
SPAC23D3.14c	1746
SPAC23D3.16	246
SPAC23D3.17	237
SPAC23E2.01	1695
SPAC23E2.02	3822
SPAC23E2.03c	1710
SPAC23G3.01	3633
SPAC23G3.02c	14775
SPAC23G3.03	1296
SPAC23G3.04	585
SPAC23G3.05c	1032
SPAC23G3.06	1527
SPAC23G3.07c	825
SPAC23G3.08c	2628
SPAC23G3.09	1098
SPAC23G3.10c	1278
SPAC23G3.11	1266
SPAC23G3.12c	2991
SPAC23H3.02c	354
SPAC23H3.03c	1230
SPAC23H3.04	1062
SPAC23H3.05c	1197
SPAC23H3.06	2238
SPAC23H3.07c	318
SPAC23H3.08c	963
SPAC23H3.09c	1131
SPAC23H3.10	1512
SPAC23H3.11c	1890
SPAC23H3.12c	681
SPAC23H3.13c	1065
SPAC23H3.14	1410
SPAC23H3.15c	978
SPAC23H4.01c	2838
SPAC23H4.02	1599
SPAC23H4.03c	651
SPAC23H4.04	1248
SPAC23H4.05c	294
SPAC23H4.06	1080
SPAC23H4.07c	684
SPAC23H4.08	834
SPAC23H4.09	1146
SPAC23H4.10c	1557
SPAC23H4.11c	567
SPAC23H4.12	1014
SPAC23H4.13c	555
SPAC23H4.14	2718
SPAC23H4.15	2352
SPAC23H4.16c	987
SPAC23H4.17c	1110
SPAC23H4.18c	324
SPAC23H4.21	369
SPAC24B11.05	681
SPAC24B11.06c	1050
SPAC24B11.07c	1686
SPAC24B11.08c	1173
SPAC24B11.09	357
