## mrna and ribosome profiling read counts for S. pombe 972h- genes
## Duncan C and Mata J (2017) Effects of cycloheximide on the interpretation of ribosome profiling experiments in Schizosaccharomyces pombe. Scientific reports 7:10331
## personal communication by Juan Mata <jm593@cam.ac.uk>, 2019
## 
Gene	wt.noN.CHX.ribo.cds.1	wt.N.CHX.ribo.cds.1	wt.noN.noCHX.ribo.cds.1	wt.N.noCHX.ribo.cds.1	wt.noN.CHX.ribo.cds.3	wt.N.CHX.ribo.cds.3	wt.noN.noCHX.ribo.cds.3	wt.N.noCHX.ribo.cds.3	wt.noN.CHX.mrna.cds.1	wt.N.CHX.mrna.cds.1	wt.noN.noCHX.mrna.cds.1	wt.N.noCHX.mrna.cds.1	wt.noN.CHX.mrna.cds.3	wt.N.CHX.mrna.cds.3	wt.noN.noCHX.mrna.cds.3	wt.N.noCHX.mrna.cds.3
SPAC105.01c	278	187	35	95	57	61	36	39	604	753	356	289	1607	1260	980	580
SPAC105.02c	4702	2847	698	1467	999	1141	608	625	532	726	522	316	2158	1743	1702	1325
SPAC105.03c	494	768	78	380	85	350	58	141	940	1702	828	862	2027	2627	1547	1601
SPAC1071.01c	1135	1132	211	544	176	419	102	248	1051	2087	815	871	2603	3517	2014	1989
SPAC1071.02	1758	1358	223	577	270	456	165	234	962	1424	763	713	2640	2779	2017	1818
SPAC1071.03c	775	686	78	326	123	312	59	145	352	748	284	322	1177	1608	896	910
SPAC1071.04c	646	378	92	202	128	132	89	74	132	221	103	110	287	337	224	221
SPAC1071.05	1586	982	152	535	275	381	105	210	457	1157	407	520	1238	1967	867	1327
SPAC1071.06	1350	1276	289	717	263	504	192	283	1152	1905	705	855	2124	2743	1453	1539
SPAC1071.07c	3278	11352	161	14747	669	7336	86	6411	194	2705	177	1186	1388	7982	1056	6772
SPAC1071.08	1039	18881	64	9105	123	9157	39	3386	39	1038	18	420	182	3916	74	3068
SPAC1071.09c	1231	722	198	392	347	295	225	141	546	641	335	344	833	706	592	436
SPAC1071.10c	107171	203988	23971	84661	18179	62570	16006	25549	9544	26645	11347	13299	33484	46226	25479	40232
SPAC1071.11	548	289	44	72	95	118	40	29	273	511	211	242	562	647	314	328
SPAC1071.12c	507	1014	80	510	90	414	49	252	101	371	71	177	203	572	154	345
SPAC1071.13	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	7	14	10	7	13	11	20	7
SPAC1093.01	2735	1725	495	565	427	502	319	153	1956	2931	1461	1078	4420	4034	2641	2199
SPAC1093.02	3582	2772	703	1757	729	1068	670	744	838	1304	630	760	2050	2229	1599	1614
SPAC1093.03	682	170	98	117	97	69	76	45	1122	1420	779	724	2497	2241	1791	1310
SPAC1093.04c	493	677	67	317	60	198	23	108	418	1022	316	404	906	1444	636	811
SPAC1093.05	618	1356	102	777	99	477	79	328	825	2655	340	1040	1809	3645	715	1865
SPAC1093.06c	116	37	16	17	7	7	7	5	1428	2753	1066	1424	2090	3018	1748	2004
SPAC1093.07	1	2	0.5	2	2	0.5	0.5	1	6	41	7	32	5	17	3	13
SPAC10F6.01c	6181	33226	1356	16025	985	11399	931	5156	2589	13172	2180	7427	7111	22127	4460	19242
SPAC10F6.02c	717	1008	141	518	127	327	129	177	2345	3613	1554	1663	3868	4034	2688	2235
SPAC10F6.03c	1107	6393	80	3323	150	2161	72	1262	1275	5103	1046	2369	3425	7948	2819	5903
SPAC10F6.04	1172	194	136	137	145	83	92	68	611	584	407	344	850	729	561	483
SPAC10F6.05c	1729	911	313	391	294	254	178	138	334	538	271	202	1028	900	691	588
SPAC10F6.06	64066	10956	20224	7732	8181	4099	7344	2311	5526	2937	6006	1863	12194	6097	9940	4971
SPAC10F6.07c	4	1	3	0.5	0.5	0.5	0.5	0.5	215	240	112	97	431	315	273	131
SPAC10F6.08c	791	674	172	334	160	261	131	146	1057	1642	589	793	1433	1849	845	934
SPAC10F6.09c	3011	1241	765	760	738	380	826	256	4806	4074	2826	2005	8729	4566	6308	2545
SPAC10F6.10	137	907	32	388	29	242	22	183	502	2711	175	1244	400	1914	236	908
SPAC10F6.11c	2522	421	239	179	380	211	203	87	1594	996	1296	538	3286	1434	2688	1114
SPAC10F6.12c	138	590	12	241	22	159	12	76	45	365	37	162	171	743	131	431
SPAC10F6.13c	15602	7131	3225	4611	3233	3095	2572	1739	2336	2439	2395	1262	8538	5785	7313	4357
SPAC10F6.14c	624	713	84	337	83	267	44	140	813	1424	629	716	1649	2329	1314	1474
SPAC10F6.15	8	5	2	0.5	0.5	1	0.5	1	5	5	1	6	14	19	12	11
SPAC10F6.16	2808	985	612	862	688	477	460	341	388	452	307	258	1583	1028	1008	854
SPAC10F6.17c	1210	978	208	471	160	317	107	209	726	1186	518	543	1485	2224	955	1417
SPAC110.01	632	732	87	272	87	285	57	99	3510	3562	2317	1707	5247	3487	2633	2018
SPAC110.02	684	541	113	237	114	162	96	96	1738	2212	1023	853	2958	2534	1757	1305
SPAC110.03	9148	4729	1531	2672	1901	2031	1403	1218	850	1671	1320	955	2736	2644	2310	1920
SPAC110.04c	4986	38621	1169	19411	834	11770	716	6351	1729	12573	1396	6834	4811	21839	3010	17683
SPAC110.05	9	1	2	0.5	1	0.5	0.5	0.5	40	15	109	13	72	7	74	15
SPAC1142.01	1791	1119	413	642	336	429	331	224	1744	2371	1203	995	3568	3367	2509	2080
SPAC1142.02c	3318	3412	681	1783	576	1239	461	711	823	1619	583	728	2138	2912	1767	2014
SPAC1142.03c	1881	1003	368	416	377	305	245	141	2224	2760	1803	1436	3090	2749	2299	1467
SPAC1142.04	490	1508	59	916	96	547	67	345	865	3118	356	1324	2052	4936	979	2482
SPAC1142.05	1075	412	107	153	596	248	259	129	112	151	79	52	1482	630	932	347
SPAC1142.06	4245	3562	863	2231	697	1485	492	853	873	1612	880	832	2666	3109	2262	2275
SPAC1142.07c	3954	1497	773	747	754	562	505	303	1003	924	767	533	1880	1276	1522	855
SPAC1142.08	980	443	169	202	151	162	103	90	2008	2570	1199	1000	3082	2583	1521	1297
SPAC1142.09	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	2	8	4	0.5	12	10	14	4
SPAC11D3.01c	649	19	158	3	21	3	10	3	192	114	198	55	485	176	383	101
SPAC11D3.02c	2154	2121	390	1174	629	850	575	486	664	1170	579	727	1441	1458	1338	956
SPAC11D3.03c	1035	29	148	18	226	12	148	6	410	46	246	16	1108	52	698	35
SPAC11D3.04c	1219	1298	203	593	243	485	150	267	189	459	158	222	526	796	416	619
SPAC11D3.05	309	204	65	85	81	60	53	28	130	409	93	144	519	755	359	318
SPAC11D3.06	23	39	1	18	0.5	30	3	10	40	471	30	132	54	824	36	419
SPAC11D3.07c	1349	397	186	167	210	137	211	55	2019	940	1300	465	4934	1281	3406	857
SPAC11D3.08c	136	67	25	18	32	15	18	4	1261	627	913	301	3476	878	2509	500
SPAC11D3.09	293	53	42	21	42	11	20	6	99	90	117	32	769	203	571	135
SPAC11D3.10	59	18	5	10	16	2	4	5	304	282	186	99	760	390	448	201
SPAC11D3.11c	166	95	22	50	18	35	21	18	485	521	474	291	1056	629	732	352
SPAC11D3.13	394	353	44	148	15	84	13	42	506	840	305	383	437	887	260	616
SPAC11D3.14c	1029	861	215	561	462	502	578	247	1181	1431	812	1120	3326	3201	2872	2321
SPAC11D3.15	4445	1817	1147	1218	1125	958	1386	538	4233	3458	2986	2291	8219	6372	6144	4671
SPAC11D3.16c	5760	549	1228	260	1317	219	1086	83	822	192	733	124	2741	390	2083	348
SPAC11D3.17	1465	199	180	102	236	94	196	44	2296	464	1791	342	5976	812	3874	578
SPAC11D3.18c	7057	2386	1181	1695	1138	1266	1290	737	1787	1086	1235	683	4828	3701	3939	2908
SPAC11D3.19	163	78	13	49	26	8	4	12	29	8	19	5	55	19	61	17
SPAC11E3.01c	511	412	89	216	76	169	52	75	2203	3726	1332	1420	4155	4914	2765	2529
SPAC11E3.02c	1096	428	248	167	216	145	178	72	3630	3017	2625	1302	6297	3550	4353	1930
SPAC11E3.03	295	244	54	163	61	82	33	59	535	865	352	597	406	557	263	318
SPAC11E3.04c	2928	1734	630	1447	577	689	437	510	305	532	272	288	1034	1168	831	869
SPAC11E3.05	764	581	127	298	143	213	116	129	1982	2283	1621	881	4525	3073	3423	1837
SPAC11E3.06	235	131	43	63	25	26	19	18	216	351	141	126	212	276	124	107
SPAC11E3.07	6933	4898	1560	2927	1735	2046	1697	1362	865	1356	754	741	2248	2393	1855	1700
SPAC11E3.08c	238	172	29	75	46	61	26	31	385	634	194	268	540	662	323	291
SPAC11E3.09	887	837	80	312	87	251	44	135	695	808	627	527	1115	1257	940	835
SPAC11E3.10	1855	1080	297	506	397	423	263	195	267	420	272	220	1221	934	951	711
SPAC11E3.11c	1197	728	195	321	202	288	144	123	1861	2549	1308	1126	3456	3267	2226	1731
SPAC11E3.12	235	212	35	76	34	61	16	22	97	149	60	58	261	278	171	151
SPAC11E3.13c	4549	5111	671	2246	1058	2147	934	892	1276	2892	711	964	3084	4987	1375	2216
SPAC11E3.14	3846	1433	879	583	454	450	407	217	1633	1269	1352	561	2724	1823	1817	977
SPAC11E3.15	4889	27100	189	16266	1002	12122	164	6969	468	2959	436	1599	2516	7755	1912	6050
SPAC11G7.01	1945	2589	414	1117	335	986	275	393	680	1833	582	622	1982	2602	905	1462
SPAC11G7.02	6197	3886	1027	1767	979	1330	823	721	2789	4026	2544	1816	7373	6647	5612	4227
SPAC11G7.03	6335	2320	1417	1431	1047	911	916	506	2199	1850	2064	1220	3906	2728	3347	2078
SPAC11G7.04	7022	14584	810	10244	2096	9930	566	4771	1365	5723	1616	3663	3820	9681	2771	8312
SPAC11G7.05c	110	233	5	48	23	69	2	20	298	659	147	269	476	904	307	429
SPAC11G7.06c	14	5	2	6	4	5	3	1	145	311	89	123	262	388	147	144
SPAC11H11.01	764	346	133	148	153	114	99	54	1203	1230	697	547	1370	875	760	465
SPAC11H11.02c	102	100	9	72	17	43	8	32	96	262	53	123	261	459	174	280
SPAC11H11.03c	175	335	14	118	42	110	12	46	61	221	45	76	190	378	116	144
SPAC11H11.04	19	50	3	27	1	19	2	8	36	128	29	72	73	200	66	91
SPAC11H11.05c	68	70	9	25	25	29	4	16	12	21	9	14	17	20	14	16
SPAC11H11.06	12906	5449	2048	2608	2036	1877	1721	1129	1806	1880	1652	916	5550	4075	4514	2791
SPAC1250.01	3029	2197	662	975	500	633	456	322	4721	5555	2668	2286	7223	6689	4859	3534
SPAC1250.02	0.5	3	1	0.5	0.5	0.5	0.5	0.5	4	14	4	4	5	13	6	6
SPAC1250.03	1899	366	327	421	329	185	221	174	204	267	168	123	751	608	505	470
SPAC1250.04c	72	113	9	68	24	96	12	35	15	64	15	30	46	97	31	58
SPAC1250.05	214	3613	31	1726	44	1553	24	867	31	702	15	283	47	896	25	528
SPAC1250.07	237	135	40	61	29	68	24	27	367	438	326	206	830	806	620	553
SPAC1296.01c	2717	1705	351	807	490	615	205	340	1119	1685	804	721	2898	2981	2063	1883
SPAC1296.02	8003	5622	1779	3035	1495	2614	1136	1192	858	1282	841	766	2461	2691	2209	2105
SPAC1296.03c	149	61	10	22	45	27	13	17	289	393	149	194	562	700	373	351
SPAC1296.04	175	132	24	55	24	52	23	16	377	352	349	201	962	537	602	389
SPAC1296.05c	341	567	21	218	62	242	18	74	164	394	131	180	454	787	368	502
SPAC1296.06	894	703	107	341	144	236	72	91	879	1154	511	504	1681	1676	1030	888
SPAC12B10.01c	4102	1915	936	928	727	583	643	297	5590	4788	4507	2349	10260	6222	7807	3710
SPAC12B10.02c	2466	2226	363	1249	474	699	287	413	904	1526	637	818	1550	1749	980	1217
SPAC12B10.03	1351	889	262	355	295	305	265	154	666	1072	474	353	1712	1461	990	694
SPAC12B10.04	708	619	95	354	110	270	67	166	298	848	186	408	685	1272	451	754
SPAC12B10.05	949	417	150	250	168	149	97	93	795	941	581	487	1067	1081	803	650
SPAC12B10.06c	808	716	112	403	165	279	95	144	440	641	280	413	413	629	311	400
SPAC12B10.07	2715	2306	527	1128	614	863	491	544	490	766	386	446	1190	1468	973	1023
SPAC12B10.08c	80	71	14	32	21	20	10	11	321	449	234	254	413	428	255	200
SPAC12B10.09	456	543	73	284	103	218	65	124	86	243	51	117	366	700	246	397
SPAC12B10.10	436	228	47	75	68	67	32	29	367	671	276	276	810	758	460	390
SPAC12B10.11	40	17	2	2	7	3	1	2	803	1108	447	485	1167	1178	672	526
SPAC12B10.12c	228	295	41	91	50	76	41	44	925	1426	705	532	1702	1582	1299	759
SPAC12B10.13	2157	510	261	171	473	187	259	65	942	712	782	300	1723	903	1442	493
SPAC12B10.14c	690	360	162	153	125	120	120	41	1175	1541	1072	787	2556	1909	1531	1090
SPAC12B10.15c	229	181	23	45	59	64	23	27	47	82	22	48	111	163	58	103
SPAC12B10.16c	2191	1189	416	663	336	453	235	228	898	1000	852	464	3250	2444	2676	1611
SPAC12G12.01c	799	699	157	337	123	257	70	114	1005	2038	830	996	2565	3285	1682	2068
SPAC12G12.02	319	1023	31	401	48	309	20	167	131	529	78	249	199	631	139	309
SPAC12G12.03	6309	2656	1168	1555	1064	1037	765	541	2461	3451	2300	1458	5393	4384	3791	2728
SPAC12G12.04	9251	41390	1634	21392	1452	12323	1074	7101	2124	10889	1587	5557	7319	21151	4943	17141
SPAC12G12.05c	1197	759	194	472	215	355	92	174	410	679	356	408	592	923	447	649
SPAC12G12.06c	1132	1787	155	895	171	675	111	346	345	1286	238	633	886	2320	544	1512
SPAC12G12.07c	2563	4224	457	2458	339	1545	275	905	1371	3088	965	1693	2350	4455	1520	2992
SPAC12G12.08	1159	819	164	355	184	339	131	149	738	1183	458	662	940	1117	614	672
SPAC12G12.09	1038	809	176	425	171	303	132	178	1584	2350	1026	973	2720	2793	1691	1476
SPAC12G12.10	141	105	23	42	21	38	14	17	1046	1578	660	685	1598	1891	1058	1072
SPAC12G12.11c	937	585	312	375	197	230	266	124	1474	1420	1061	697	2176	1571	1804	980
SPAC12G12.12	2337	990	424	501	467	279	457	183	937	786	844	336	2892	1510	2209	995
SPAC12G12.13c	346	899	40	354	47	266	22	143	1320	2800	778	1090	2948	3789	1795	1993
SPAC12G12.14c	966	686	137	334	112	252	66	119	650	1002	352	369	1247	1415	641	749
SPAC12G12.15	1170	525	191	273	235	198	189	115	878	1125	596	526	1532	1400	989	724
SPAC12G12.16c	308	82	35	42	60	30	34	19	309	342	194	179	663	513	449	290
SPAC12G12.17	248	208	33	142	35	67	29	37	77	147	54	78	119	166	104	119
SPAC1327.01c	2020	1347	374	588	385	525	261	217	1693	2710	1212	1001	2519	2329	1285	1215
SPAC139.01c	1279	1761	223	801	205	590	148	284	1179	2700	956	1263	2380	3907	1535	2399
SPAC139.02c	1741	3355	149	1811	234	1196	134	616	307	945	500	465	1613	1859	1450	1405
SPAC139.03	522	396	94	190	96	136	80	51	796	1156	652	623	1840	1592	1238	1014
SPAC139.04c	716	497	131	262	111	153	89	81	668	703	616	333	1356	1006	1121	532
SPAC139.05	900	18	260	14	12	24	12	7	256	48	245	11	250	74	138	50
SPAC139.06	757	567	86	424	109	240	67	149	550	1168	418	656	858	1449	660	964
SPAC1399.01c	50096	760	9241	268	7735	176	6287	63	10617	587	8181	201	26026	718	12397	359
SPAC1399.02	1866	496	291	236	246	170	292	73	726	891	682	344	2313	1271	1294	628
SPAC1399.03	62480	2153	9639	716	9665	572	7187	242	12406	1810	9802	569	29403	2434	16349	1317
SPAC1399.04c	36476	10	6546	14	8001	5	4359	3	4314	295	3470	118	12211	419	8650	207
SPAC1399.05c	2597	315	339	139	544	130	368	51	1828	571	1451	248	5953	899	3957	507
SPAC1399.06	204	18	22	5	37	8	16	1	38	12	47	6	59	13	39	11
SPAC13A11.01c	2625	1820	517	1008	578	672	398	403	2356	3165	1508	1504	4761	4744	3241	2551
SPAC13A11.02c	10424	12854	2153	5793	1818	3664	1826	2135	2662	5237	2696	2926	5611	6561	3880	4810
SPAC13A11.03	1	5	1	0.5	0.5	1	0.5	2	201	316	190	309	456	575	511	478
SPAC13A11.04c	1008	478	172	252	196	163	152	120	776	757	504	385	1578	1077	1255	711
SPAC13A11.05	5542	3877	1094	2064	1008	1266	861	834	1171	2026	1353	998	4415	4224	3695	3164
SPAC13A11.06	85	26	6	25	17	10	7	5	23	31	29	16	175	107	161	64
SPAC13C5.01c	7199	2572	1443	1830	1216	989	907	746	1879	1985	1293	1070	3045	2612	2290	1920
SPAC13C5.02	710	286	128	217	98	148	73	70	1467	1740	875	1072	1270	1368	852	796
SPAC13C5.03	7	1	0.5	1	1	1	1	0.5	209	197	163	72	531	277	392	185
SPAC13C5.04	3111	388	662	262	325	154	306	71	1645	598	1204	379	1744	616	1267	415
SPAC13C5.05c	920	868	194	448	169	335	135	185	549	1089	385	415	1326	1894	840	1146
SPAC13C5.06c	261	25	37	22	45	14	24	9	262	237	198	118	452	279	357	189
SPAC13C5.07	442	253	49	123	79	93	50	63	1386	1619	811	875	1637	1560	1010	892
SPAC13D1.01c	667	140	3	3	290	59	191	39	2006	1627	1867	966	5569	2037	5196	1228
SPAC13D6.01	542	180	50	73	132	51	66	28	543	329	503	160	1231	414	927	293
SPAC13D6.02c	2602	8924	385	4018	363	4848	247	1724	177	1390	93	505	801	4583	385	2943
SPAC13D6.03c	455	594	45	295	64	216	47	111	267	697	137	348	371	776	266	404
SPAC13D6.04c	421	354	81	204	101	129	60	75	855	1012	578	500	1420	1224	914	653
SPAC13D6.05	3305	1561	691	755	451	632	358	294	911	1038	552	496	1404	1330	862	902
SPAC13F5.01c	244	155	51	132	38	64	30	45	1115	1696	762	921	1451	1773	986	1080
SPAC13F5.02c	1508	1618	205	602	291	517	168	245	1068	1653	515	646	1589	1982	877	1007
SPAC13F5.03c	414	11	82	8	22	3	12	3	168	120	189	60	242	131	121	96
SPAC13F5.04c	641	341	97	133	97	91	105	40	207	213	187	130	191	128	93	90
SPAC13F5.05	712	601	82	218	90	207	73	92	438	741	233	323	676	808	323	415
SPAC13F5.06c	1047	582	171	301	176	202	159	114	1279	1648	934	686	3193	2530	2266	1266
SPAC13F5.07c	314	27	52	18	35	8	18	1	312	119	298	95	366	87	295	59
SPAC13G6.01c	234	580	30	239	33	168	38	88	1482	3010	1204	1443	3698	4553	2703	2744
SPAC13G6.02c	4359	13009	247	12513	723	6867	198	4660	775	5991	589	3586	2664	13382	1889	10823
SPAC13G6.03	713	1814	111	790	106	610	79	217	510	1894	390	802	1392	3135	782	1650
SPAC13G6.04	1190	1215	243	952	363	541	220	525	58	146	40	60	265	440	197	314
SPAC13G6.05c	947	622	148	288	141	185	110	104	589	749	458	402	601	704	451	387
SPAC13G6.06c	6274	8239	1120	4109	1114	2501	809	1359	3245	6265	2947	3645	8684	11008	7144	8173
SPAC13G6.07c	4412	11835	343	14362	609	5396	191	5215	1385	8259	1139	4966	3608	16065	2643	13260
SPAC13G6.08	8	7	0.5	1	3	5	0.5	0.5	26	94	18	44	99	150	86	81
SPAC13G6.09	687	911	110	386	113	310	71	168	567	1349	346	587	786	1473	517	702
SPAC13G6.10c	19656	43135	3000	21788	3829	17331	2102	7269	2612	8351	2465	3638	10693	15431	6634	11277
SPAC13G6.11c	1408	1577	271	945	261	594	222	368	716	1335	520	763	1758	2285	1243	1550
SPAC13G6.12c	38	69	14	20	5	27	10	10	395	776	263	312	1014	1049	789	429
SPAC13G6.13	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
SPAC13G6.14	1499	1058	165	399	237	445	143	107	610	1015	441	515	1286	1442	947	788
SPAC13G6.15c	861	476	72	229	87	212	38	54	266	225	238	131	688	469	468	298
SPAC13G7.01c	2203	2068	365	919	341	654	268	332	1783	2293	1221	1066	3467	3227	2542	2135
SPAC13G7.02c	2730	7212	965	6235	210	2637	200	1850	473	1143	547	383	754	1569	551	1904
SPAC13G7.03	482	199	69	106	88	81	45	29	446	600	245	262	875	693	452	400
SPAC13G7.04c	2989	2366	461	1023	882	994	680	375	1641	3491	953	1142	4856	4763	2117	2077
SPAC13G7.05	1211	579	264	294	190	184	163	122	622	609	426	233	1679	923	943	539
SPAC13G7.06	3298	2851	711	1501	452	1028	342	527	591	955	471	498	1533	2251	1069	1476
SPAC13G7.07	344	141	55	75	64	64	39	29	248	301	202	161	418	393	290	219
SPAC13G7.08c	680	1231	80	604	121	471	50	259	298	1314	194	564	573	1459	238	819
SPAC13G7.09c	158	136	24	66	43	71	34	29	284	583	197	274	432	616	304	383
SPAC13G7.10	949	588	136	235	123	252	72	93	643	1217	591	560	1200	1392	815	775
SPAC13G7.11	1233	375	164	146	268	145	154	68	1130	1118	867	525	2010	1298	1379	770
SPAC13G7.12c	1406	1084	233	474	236	375	158	181	441	816	370	345	1354	1320	911	788
SPAC13G7.13c	1173	1121	261	395	261	552	220	147	669	779	418	398	845	576	294	331
SPAC140.01	6421	3963	1170	1974	1115	1439	984	918	937	1328	844	595	2670	2287	2105	1636
SPAC140.02	117	7954	26	4464	16	2980	17	1772	1238	4477	1267	1849	3682	8403	3435	4949
SPAC140.03	384	186	69	102	57	65	29	37	571	770	341	448	570	784	383	471
SPAC140.04	196	145	28	64	33	40	16	31	540	815	358	512	372	438	329	258
SPAC1420.01c	2946	2035	460	768	481	813	308	304	2197	3940	1417	1588	4360	5423	2701	2900
SPAC1420.02c	3720	7211	729	3612	585	2610	440	1461	1301	3572	836	1758	2798	6032	1879	4161
SPAC1420.03	5758	4042	1040	2340	1122	1490	855	1004	2096	3019	1611	1734	3936	4630	2909	3017
SPAC1420.04c	1015	414	208	291	159	196	136	89	1379	1680	1070	997	2214	1887	1489	1149
SPAC144.01	91	234	13	126	31	101	10	50	117	439	57	255	126	352	72	185
SPAC144.02	1028	536	105	282	177	215	85	112	436	658	314	291	936	912	632	537
SPAC144.03	8236	11717	1316	6503	1326	4624	975	2448	890	2360	951	1281	4428	6666	3564	5311
SPAC144.04c	7908	6773	871	2432	758	1964	530	921	1107	2146	1098	872	4504	5409	3338	3915
SPAC144.05	146	293	19	114	15	84	21	46	1204	2431	817	1094	1887	2649	1430	1429
SPAC144.06	1343	1108	196	498	176	418	149	195	1123	2003	775	878	2892	3474	1844	1998
SPAC144.07c	353	505	44	185	48	149	40	93	278	621	175	277	379	790	310	508
SPAC144.08	580	445	123	206	74	162	72	79	140	246	76	100	410	566	288	293
SPAC144.09c	68	110	5	72	14	32	4	10	455	1210	412	704	618	1076	585	724
SPAC144.10c	618	839	56	388	79	222	38	98	231	650	252	256	980	1259	656	683
SPAC144.11	3911	16249	223	9623	709	7903	146	4885	215	2254	195	905	1249	5939	776	4766
SPAC144.12	954	3959	76	1577	110	1315	43	554	227	1514	135	762	470	1748	218	1144
SPAC144.13c	560	179	85	82	105	67	63	26	779	610	509	258	2020	914	1076	423
SPAC144.14	815	445	164	202	235	176	275	90	909	763	631	355	2672	1289	1997	703
SPAC144.15c	704	771	104	289	153	258	133	132	1329	1899	1028	820	2517	2329	1878	1195
SPAC144.16	1695	948	255	485	235	279	150	164	535	605	424	276	957	854	635	532
