# cytoplasmic ribosome orthologs from core fungi of interest						
"# Core factors only, no inhibitory factors"						
"# Component names from A new system for naming ribosomal proteins, Ban et al 2014"						
# orthologs from PANTHER.db						
"# E. Wallace, 30 July 2018."						
#						
FAMILY_ID	SUBUNIT	COMPONENT	SPECIES	UNIPROT	ENTREZ	SYSTEMATIC
PTHR19431:SF0		uL4	CANAL	Q59ZX4	NA	C1_14110C
PTHR19431:SF0		uL4	CRYNJ	Q5KAF2	3254193	CNJ01920
PTHR19431:SF0		uL4	NEUCR	Q1K7B7	3877269	NCU03757
PTHR10744:SF9			YEAST	P0CX48	851589	
PTHR10744:SF9			YEAST	P0CX48	852337	
PTHR10744:SF9			YEAST	P0CX47	851589	
PTHR10744:SF9			YEAST	P0CX47	852337	
PTHR10744:SF9			SCHPO	P0CT73	2542904	
PTHR10744:SF9			SCHPO	P0CT73	2543120	
PTHR10744:SF9			SCHPO	P0CT74	2542904	
PTHR10744:SF9			SCHPO	P0CT74	2543120	
PTHR10744:SF9			CRYNJ	Q5KNH2	3253949	
PTHR10744:SF9			NEUCR	Q7SFZ2	3881110	
PTHR11502:SF6			YEAST	P0CX38	852479	
PTHR11502:SF6			YEAST	P0CX38	856015	
PTHR11502:SF6			YEAST	P0CX37	852479	
PTHR11502:SF6			YEAST	P0CX37	856015	
PTHR11502:SF6			SCHPO	P05752	2542870	
PTHR11502:SF6			SCHPO	P05752	2543581	
PTHR11502:SF6			SCHPO	Q9C0Z7	2542870	
PTHR11502:SF6			SCHPO	Q9C0Z7	2543581	
PTHR11502:SF6			CANAL	Q5AMI6	NA	
PTHR11502:SF6			CRYNJ	Q5KIJ1	3256894	
PTHR11502:SF6			NEUCR	V5INQ2	3879571	
PTHR11831:SF5			YEAST	O13516	852487	
PTHR11831:SF5			YEAST	O13516	856024	
PTHR11831:SF5			YEAST	P05755	852487	
PTHR11831:SF5			YEAST	P05755	856024	
PTHR11831:SF5			SCHPO	O59675	2540367	
PTHR11831:SF5			SCHPO	O59675	2542629	
PTHR11831:SF5			SCHPO	Q09757	2540367	
PTHR11831:SF5			SCHPO	Q09757	2542629	
PTHR11831:SF5			CANAL	Q5AHT2	NA	
PTHR11831:SF5			CRYNJ	Q5KGW0	3257503	
PTHR11831:SF5			NEUCR	Q7SDY7	3880382	
PTHR20981:SF6			YEAST	Q02753	852489	
PTHR20981:SF6			YEAST	Q02753	856026	
PTHR20981:SF6			YEAST	Q12672	852489	
PTHR20981:SF6			YEAST	Q12672	856026	
PTHR20981:SF6			SCHPO	Q9UUC1	2540950	
PTHR20981:SF6			SCHPO	Q9UUC1	2543337	
PTHR20981:SF6			SCHPO	O42706	2540950	
PTHR20981:SF6			SCHPO	O42706	2543337	
PTHR20981:SF6			CRYNJ	Q5KGV9	3257826	
PTHR20981:SF6			NEUCR	Q7SDY8	3880381	
PTHR11759:SF1			YEAST	P06367	850397	
PTHR11759:SF1			YEAST	P06367	853248	
PTHR11759:SF1			YEAST	P39516	850397	
PTHR11759:SF1			YEAST	P39516	853248	
PTHR11759:SF1			SCHPO	P0CT56	2540817	
PTHR11759:SF1			SCHPO	P0CT56	5802781	
PTHR11759:SF1			SCHPO	P0CT57	2540817	
PTHR11759:SF1			SCHPO	P0CT57	5802781	
PTHR11759:SF1			CRYNJ	Q5KFT0	3258345	
PTHR11759:SF1			NEUCR	P19115	3879099	
PTHR12010:SF2			YEAST	P41058	851104	
PTHR12010:SF2			YEAST	P41058	851498	
PTHR12010:SF2			YEAST	P41057	851104	
PTHR12010:SF2			YEAST	P41057	851498	
PTHR12010:SF2			SCHPO	O74329	2539643	
PTHR12010:SF2			CRYNJ	Q5KK46	3256416	
PTHR12010:SF2			NEUCR	Q9C2P2	3877589	
PTHR10956:SF0			YEAST	P0C2H8	851122	
PTHR10956:SF0			YEAST	P0C2H8	851484	
PTHR10956:SF0			YEAST	P0C2H9	851122	
PTHR10956:SF0			YEAST	P0C2H9	851484	
PTHR10956:SF0			SCHPO	Q9URX6	2543475	
PTHR10956:SF0			CRYNJ	Q5KNE0	3253203	
PTHR10956:SF0			NEUCR	Q7RW15	3881387	
PTHR21141:SF36			YEAST	P05318	851478	
PTHR21141:SF36			SCHPO	Q9UU78	2539598	
PTHR21141:SF36			SCHPO	Q9UU78	2540299	
PTHR21141:SF36			SCHPO	Q9UU78	2543217	
PTHR21141:SF36			SCHPO	P17476	2539598	
PTHR21141:SF36			SCHPO	P17476	2540299	
PTHR21141:SF36			SCHPO	P17476	2543217	
PTHR21141:SF36			SCHPO	P17477	2539598	
PTHR21141:SF36			SCHPO	P17477	2540299	
PTHR21141:SF36			SCHPO	P17477	2543217	
PTHR21141:SF36			CANAL	Q9HFQ7	3636839	
PTHR21141:SF36			CANAL	Q5A0A6	3636839	
PTHR21141:SF36			CRYNJ	Q5KNI7	3253978	
PTHR21141:SF36			NEUCR	Q7S796	3876822	
PTHR11722:SF0			YEAST	Q12690	851477	
PTHR11722:SF0			YEAST	Q12690	855173	
PTHR11722:SF0			YEAST	P40212	851477	
PTHR11722:SF0			YEAST	P40212	855173	
PTHR11722:SF0			SCHPO	O74175	2543553	
PTHR11722:SF0			CANAL	O59931	3636841	
PTHR11722:SF0			CRYNJ	Q5K7W8	3255287	
PTHR11722:SF0			NEUCR	Q7S709	3876663	
PTHR21569:SF4			YEAST	P0CX52	851476	
PTHR21569:SF4			YEAST	P0CX52	855174	
PTHR21569:SF4			YEAST	P0CX51	851476	
PTHR21569:SF4			YEAST	P0CX51	855174	
PTHR21569:SF4			SCHPO	P0CT64	2540812	
PTHR21569:SF4			SCHPO	P0CT64	2543559	
PTHR21569:SF4			SCHPO	P0CT65	2540812	
PTHR21569:SF4			SCHPO	P0CT65	2543559	
PTHR21569:SF4			CRYNJ	Q5KM68	3255683	
PTHR21569:SF4			NEUCR	Q7SFJ9	3880988	
PTHR21141:SF78			YEAST	P10622	851427	
PTHR13872:SF3			YEAST	P0CX85	851336	
PTHR13872:SF3			YEAST	P0CX85	851419	
PTHR13872:SF3			YEAST	P0CX84	851336	
PTHR13872:SF3			YEAST	P0CX84	851419	
PTHR13872:SF3			SCHPO	O74904	2539308	
PTHR13872:SF3			CRYNJ	Q5KN73	3253662	
PTHR13872:SF3			NEUCR	A7UW39	5847742	
PTHR11885:SF6			YEAST	P05756	851636	
PTHR11885:SF6			SCHPO	P28189	2542108	
PTHR11885:SF6			CRYNJ	Q5KIJ0	3257008	
PTHR11885:SF6			NEUCR	Q7SDH0	3880192	
PTHR21141:SF5			YEAST	P02400	851990	
PTHR21141:SF5			SCHPO	O14317	2540587	
PTHR21141:SF5			SCHPO	O14317	2541296	
PTHR21141:SF5			SCHPO	O14317	2543051	
PTHR21141:SF5			SCHPO	P17478	2540587	
PTHR21141:SF5			SCHPO	P17478	2541296	
PTHR21141:SF5			SCHPO	P17478	2543051	
PTHR21141:SF5			SCHPO	P08094	2540587	
PTHR21141:SF5			SCHPO	P08094	2541296	
PTHR21141:SF5			SCHPO	P08094	2543051	
PTHR21141:SF5			CANAL	Q5ANH5	3635195	
PTHR21141:SF5			CRYNJ	Q5KFD2	3258469	
PTHR21141:SF5			NEUCR	Q7SGE3	3881308	
PTHR11661:SF2			YEAST	P0CX54	852026	
PTHR11661:SF2			YEAST	P0CX54	856656	
PTHR11661:SF2			YEAST	P0CX53	852026	
PTHR11661:SF2			YEAST	P0CX53	856656	
PTHR11661:SF2			SCHPO	P0CT83	2539010	
PTHR11661:SF2			SCHPO	P0CT83	2539186	
PTHR11661:SF2			SCHPO	P0CT84	2539010	
PTHR11661:SF2			SCHPO	P0CT84	2539186	
PTHR11661:SF2			CANAL	Q5AJF7	3636659	
PTHR11661:SF2			CRYNJ	Q5KJC9	3256329	
PTHR11661:SF2			NEUCR	Q9C285	3877563	
PTHR10732:SF0			YEAST	P14127	852058	
PTHR10732:SF0			YEAST	P14127	854984	
PTHR10732:SF0			YEAST	P02407	852058	
PTHR10732:SF0			YEAST	P02407	854984	
PTHR10732:SF0			SCHPO	Q9P7J6	2539331	
PTHR10732:SF0			SCHPO	Q9P7J6	2541229	
PTHR10732:SF0			SCHPO	O42984	2539331	
PTHR10732:SF0			SCHPO	O42984	2541229	
PTHR10732:SF0			CRYNJ	Q5KIH4	3257168	
PTHR10732:SF0			NEUCR	P27770	3877983	
PTHR10871:SF3			YEAST	P0CX55	852061	
PTHR10871:SF3			YEAST	P0CX55	854982	
PTHR10871:SF3			YEAST	P0CX56	852061	
PTHR10871:SF3			YEAST	P0CX56	854982	
PTHR10871:SF3			SCHPO	P0CT66	2540180	
PTHR10871:SF3			SCHPO	P0CT66	3361064	
PTHR10871:SF3			SCHPO	P0CT67	2540180	
PTHR10871:SF3			SCHPO	P0CT67	3361064	
PTHR10871:SF3			CANAL	Q5AFQ0	NA	
PTHR10871:SF3			CRYNJ	Q5KA46	3254226	
PTHR10871:SF3			NEUCR	Q7RXX0	3872941	
PTHR10497:SF0			YEAST	P0C2H6	852082	
PTHR10497:SF0			YEAST	P0C2H6	856401	
PTHR10497:SF0			YEAST	P0C2H7	852082	
PTHR10497:SF0			YEAST	P0C2H7	856401	
PTHR10497:SF0			SCHPO	O74538	2539336	
PTHR10497:SF0			SCHPO	O74538	2541156	
PTHR10497:SF0			SCHPO	O14388	2539336	
PTHR10497:SF0			SCHPO	O14388	2541156	
PTHR10497:SF0			CRYNJ	Q5KN65	3253526	
PTHR10497:SF0			NEUCR	Q1K580	3872758	
PTHR10768:SF11			YEAST	P51402	852111	
PTHR10759:SF0			YEAST	P40525	854759	
PTHR10759:SF0			YEAST	P40525	856784	
PTHR10759:SF0			YEAST	P87262	854759	
PTHR10759:SF0			YEAST	P87262	856784	
PTHR10759:SF0			SCHPO	O42846	2538815	
PTHR10759:SF0			SCHPO	O42846	2541989	
PTHR10759:SF0			SCHPO	Q9URT8	2538815	
PTHR10759:SF0			SCHPO	Q9URT8	2541989	
PTHR10759:SF0			CRYNJ	Q5KN25	3253860	
PTHR10759:SF0			NEUCR	Q7RVY8	3879257	
PTHR10496:SF0			YEAST	P0CX31	854741	
PTHR10496:SF0			YEAST	P0CX31	856805	
PTHR10496:SF0			YEAST	P0CX32	854741	
PTHR10496:SF0			YEAST	P0CX32	856805	
PTHR10496:SF0			SCHPO	O13784	2539848	
PTHR10496:SF0			SCHPO	O13784	2542430	
PTHR10496:SF0			SCHPO	O59865	2539848	
PTHR10496:SF0			SCHPO	O59865	2542430	
PTHR10496:SF0			CANAL	Q5A7K0	3640568	
PTHR10496:SF0			CRYNJ	Q5KI23	3256860	
PTHR10496:SF0			NEUCR	Q1K5V9	3873582	
PTHR12538:SF0			YEAST	P39939	852686	
PTHR12538:SF0			YEAST	P39939	856868	
PTHR12538:SF0			YEAST	P39938	852686	
PTHR12538:SF0			YEAST	P39938	856868	
PTHR12538:SF0			SCHPO	Q9UTG4	2542538	
PTHR12538:SF0			SCHPO	Q9UTG4	2543085	
PTHR12538:SF0			SCHPO	Q9UT56	2542538	
PTHR12538:SF0			SCHPO	Q9UT56	2543085	
PTHR12538:SF0			CANAL	Q5ALV6	3635787	
PTHR12538:SF0			CRYNJ	Q5KCP3	3259324	
PTHR12538:SF0			NEUCR	P21772	3872091	
PTHR10064:SF0			YEAST	P05749	850509	
PTHR10064:SF0			YEAST	P05749	850750	
PTHR10064:SF0			YEAST	P56628	850509	
PTHR10064:SF0			YEAST	P56628	850750	
PTHR10064:SF0			SCHPO	Q09668	2543021	
PTHR10064:SF0			CRYNJ	Q5KHN0	3256983	
PTHR10064:SF0			NEUCR	Q1K6Z3	3877064	
PTHR13691:SF16			YEAST	P0CX46	850590	
PTHR13691:SF16			YEAST	P0CX46	854794	
PTHR13691:SF16			YEAST	P0CX45	850590	
PTHR13691:SF16			YEAST	P0CX45	854794	
PTHR13691:SF16			SCHPO	P0CT71	2540366	
PTHR13691:SF16			SCHPO	P0CT71	2541191	
PTHR13691:SF16			SCHPO	P0CT71	5802952	
PTHR13691:SF16			SCHPO	P0CT70	2540366	
PTHR13691:SF16			SCHPO	P0CT70	2541191	
PTHR13691:SF16			SCHPO	P0CT70	5802952	
PTHR13691:SF16			SCHPO	P0CT72	2540366	
PTHR13691:SF16			SCHPO	P0CT72	2541191	
PTHR13691:SF16			SCHPO	P0CT72	5802952	
PTHR13691:SF16			CRYNJ	Q5K8Z3	3254806	
PTHR13691:SF16			NEUCR	Q7RVQ9	3873446	
PTHR12884:SF0			YEAST	P05747	850592	
PTHR12884:SF0			SCHPO	Q92366	2541172	
PTHR12884:SF0			CRYNJ	Q5KDL6	3258878	
PTHR12884:SF0			NEUCR	Q7RZP9	3873924	
PTHR11449:SF1			YEAST	P14120	852853	
PTHR11449:SF1			SCHPO	P52808	2542661	
PTHR11449:SF1			SCHPO	P52808	2542848	
PTHR11449:SF1			SCHPO	Q9UTP0	2542661	
PTHR11449:SF1			SCHPO	Q9UTP0	2542848	
PTHR11449:SF1			CRYNJ	Q5KPM8	3253567	
PTHR11449:SF1			NEUCR	Q7S7F1	3876935	
PTHR10792:SF1			YEAST	P24000	852852	
PTHR10792:SF1			YEAST	P24000	853051	
PTHR10792:SF1			YEAST	P04449	852852	
PTHR10792:SF1			YEAST	P04449	853051	
PTHR10792:SF1			SCHPO	Q92354	2538849	
PTHR10792:SF1			SCHPO	Q92354	2541570	
PTHR10792:SF1			SCHPO	O74884	2538849	
PTHR10792:SF1			SCHPO	O74884	2541570	
PTHR10792:SF1			CANAL	Q5A6A1	3641174	
PTHR10792:SF1			CRYNJ	Q5KDS7	3258859	
PTHR10792:SF1			NEUCR	Q7SDU2	3880348	
PTHR11524:SF16			YEAST	Q12213	852804	
PTHR11524:SF16			YEAST	Q12213	855903	
PTHR11524:SF16			YEAST	P05737	852804	
PTHR11524:SF16			YEAST	P05737	855903	
PTHR11524:SF16			SCHPO	P17937	2540841	
PTHR11524:SF16			SCHPO	P17937	2543448	
PTHR11524:SF16			SCHPO	P17937	2543548	
PTHR11524:SF16			SCHPO	P25457	2540841	
PTHR11524:SF16			SCHPO	P25457	2543448	
PTHR11524:SF16			SCHPO	P25457	2543548	
PTHR11524:SF16			SCHPO	O60143	2540841	
PTHR11524:SF16			SCHPO	O60143	2543448	
PTHR11524:SF16			SCHPO	O60143	2543548	
PTHR11524:SF16			CRYNJ	Q5KNI6	3253977	
PTHR11524:SF16			NEUCR	Q7SBD5	3879098	
PTHR11721:SF3			YEAST	P02406	852775	
PTHR11721:SF3			SCHPO	P57728	2539548	
PTHR11721:SF3			SCHPO	P57728	2541130	
PTHR11721:SF3			SCHPO	P36585	2539548	
PTHR11721:SF3			SCHPO	P36585	2541130	
PTHR11721:SF3			CRYNJ	Q5KMA0	3255953	
PTHR11721:SF3			NEUCR	P08978	3877355	
PTHR13718:SF4			YEAST	P25443	852754	
PTHR13718:SF4			SCHPO	O74892	2539067	
PTHR13718:SF4			CANAL	Q5A900	3640242	
PTHR13718:SF4			CRYNJ	Q5KEV1	3258428	
PTHR13718:SF4			NEUCR	Q7S503	3875957	
PTHR23105:SF101			YEAST	P0CX44	852112	
PTHR23105:SF101			YEAST	P0CX44	852742	
PTHR23105:SF101			YEAST	P0CX44	855881	
PTHR23105:SF101			YEAST	P0CX43	852112	
PTHR23105:SF101			YEAST	P0CX43	852742	
PTHR23105:SF101			YEAST	P0CX43	855881	
PTHR23105:SF101			YEAST	Q04383	852112	
PTHR23105:SF101			YEAST	Q04383	852742	
PTHR23105:SF101			YEAST	Q04383	855881	
PTHR23105:SF101			SCHPO	O74836	2539222	
PTHR23105:SF101			SCHPO	O74836	2540378	
PTHR23105:SF101			SCHPO	O14363	2539222	
PTHR23105:SF101			SCHPO	O14363	2540378	
PTHR23105:SF101			CANAL	Q9UVJ4	3645868	
PTHR23105:SF101			CRYNJ	Q5KGE3	3258007	
PTHR23105:SF101			NEUCR	Q7RZS0	3873856	
PTHR11655:SF16			YEAST	P05738	852730	
PTHR11655:SF16			YEAST	P05738	855658	
PTHR11655:SF16			YEAST	P51401	852730	
PTHR11655:SF16			YEAST	P51401	855658	
PTHR11655:SF16			SCHPO	O74905	2539464	
PTHR11655:SF16			SCHPO	O74905	2543380	
PTHR11655:SF16			SCHPO	Q10232	2539464	
PTHR11655:SF16			SCHPO	Q10232	2543380	
PTHR11655:SF16			CANAL	Q5AEN2	3638348	
PTHR11655:SF16			CRYNJ	Q5KQ70	3253943	
PTHR11655:SF16			NEUCR	Q7SGA6	3881278	
PTHR12850:SF5			YEAST	P0C0T4	851045	
PTHR12850:SF5			YEAST	P0C0T4	852911	
PTHR12850:SF5			YEAST	Q3E792	851045	
PTHR12850:SF5			YEAST	Q3E792	852911	
PTHR12850:SF5			SCHPO	P79009	2540965	
PTHR12850:SF5			SCHPO	P79009	2543307	
PTHR12850:SF5			SCHPO	O74172	2540965	
PTHR12850:SF5			SCHPO	O74172	2543307	
PTHR12850:SF5			CANAL	Q59NZ2	NA	
PTHR12850:SF5			CRYNJ	Q5KGY5	3257941	
PTHR12850:SF5			NEUCR	Q7SC06	3879379	
PTHR11143:SF7			YEAST	P05743	851058	
PTHR11143:SF7			YEAST	P05743	852922	
PTHR11143:SF7			YEAST	P53221	851058	
PTHR11143:SF7			YEAST	P53221	852922	
PTHR11143:SF7			SCHPO	P78946	2540274	
PTHR11143:SF7			CRYNJ	Q5KLJ6	3255932	
PTHR11143:SF7			NEUCR	Q1K4V7	3872266	
PTHR11994:SF8			YEAST	P0C0W9	852976	
PTHR11994:SF8			YEAST	P0C0W9	856217	
PTHR11994:SF8			YEAST	Q3E757	852976	
PTHR11994:SF8			YEAST	Q3E757	856217	
PTHR11994:SF8			SCHPO	P0CT78	2539846	
PTHR11994:SF8			SCHPO	P0CT78	2541591	
PTHR11994:SF8			SCHPO	P0CT77	2539846	
PTHR11994:SF8			SCHPO	P0CT77	2541591	
PTHR11994:SF8			CANAL	Q59Z66	NA	
PTHR11994:SF8			CRYNJ	Q5KA19	3254138	
PTHR11994:SF8			NEUCR	Q7RVN0	3881790	
PTHR11652:SF14			YEAST	P0CX30	853015	
PTHR11652:SF14			YEAST	P0CX30	856250	
PTHR11652:SF14			YEAST	P0CX29	853015	
PTHR11652:SF14			YEAST	P0CX29	856250	
PTHR11652:SF14			SCHPO	P0CT75	2541369	
PTHR11652:SF14			SCHPO	P0CT75	2542012	
PTHR11652:SF14			SCHPO	P0CT76	2541369	
PTHR11652:SF14			SCHPO	P0CT76	2542012	
PTHR11652:SF14			CANAL	Q5AAQ8	NA	
PTHR11652:SF14			CRYNJ	Q5KDD6	3258722	
PTHR11652:SF14			NEUCR	Q9HE74	3872393	
PTHR11489:SF9			YEAST	P46654	850737	
PTHR11489:SF9			YEAST	P46654	853128	
PTHR11489:SF9			YEAST	P32905	850737	
PTHR11489:SF9			YEAST	P32905	853128	
PTHR11489:SF9			SCHPO	Q9P546	2541144	
PTHR11489:SF9			SCHPO	Q9P546	2543293	
PTHR11489:SF9			SCHPO	Q9Y7L8	2541144	
PTHR11489:SF9			SCHPO	Q9Y7L8	2543293	
PTHR11489:SF9			CANAL	O42817	3643678	
PTHR11489:SF9			CRYNJ	P0CQ56	3259390	
PTHR11489:SF9			NEUCR	Q01291	3872987	
PTHR11127:SF2			YEAST	P36105	853864	
PTHR11127:SF2			YEAST	P36105	856388	
PTHR11127:SF2			YEAST	P38754	853864	
PTHR11127:SF2			YEAST	P38754	856388	
PTHR11127:SF2			SCHPO	O94238	2542425	
PTHR11127:SF2			CRYNJ	Q5KAB9	3254337	
PTHR11127:SF2			NEUCR	Q7SI18	3881971	
PTHR11700:SF8			YEAST	P38701	856371	
PTHR11700:SF8			SCHPO	O74893	2539449	
PTHR11700:SF8			CANAL	Q5A389	3642071	
PTHR11700:SF8			CRYNJ	Q5KKY5	3256469	
PTHR11700:SF8			NEUCR	Q7S3G1	3875411	
PTHR23105:SF1			YEAST	P17076	850682	
PTHR23105:SF1			YEAST	P17076	856352	
PTHR23105:SF1			YEAST	P29453	850682	
PTHR23105:SF1			YEAST	P29453	856352	
PTHR23105:SF1			SCHPO	O13672	2540517	
PTHR23105:SF1			CANAL	Q59WJ0	3635198	
PTHR23105:SF1			CANAL	Q5ANA1	3635198	
PTHR23105:SF1			CRYNJ	Q5KCS1	3259208	
PTHR23105:SF1			NEUCR	Q7S630	3876375	
PTHR11594:SF0			YEAST	P35997	853700	
PTHR11594:SF0			YEAST	P35997	856415	
PTHR11594:SF0			YEAST	P38711	853700	
PTHR11594:SF0			YEAST	P38711	856415	
PTHR11594:SF0			SCHPO	O74330	2539969	
PTHR11594:SF0			CRYNJ	Q5KDU6	3258886	
PTHR11594:SF0			NEUCR	Q7RVN2	3881915	
PTHR10369:SF3			YEAST	P0CX27	855560	
PTHR10369:SF3			YEAST	P0CX27	856544	
PTHR10369:SF3			YEAST	P0CX28	855560	
PTHR10369:SF3			YEAST	P0CX28	856544	
PTHR10369:SF3			SCHPO	Q9UTI8	2542789	
PTHR10369:SF3			CRYNJ	P0CQ50	3254212	
PTHR10369:SF3			NEUCR	Q7RVK8	3880689	
PTHR11581:SF0			YEAST	P0CX35	853610	
PTHR11581:SF0			YEAST	P0CX35	856610	
PTHR11581:SF0			YEAST	P0CX36	853610	
PTHR11581:SF0			YEAST	P0CX36	856610	
PTHR11581:SF0			SCHPO	P87158	2540325	
PTHR11581:SF0			SCHPO	P87158	2540649	
PTHR11581:SF0			SCHPO	P87158	2543486	
PTHR11581:SF0			SCHPO	Q9P4W9	2540325	
PTHR11581:SF0			SCHPO	Q9P4W9	2540649	
PTHR11581:SF0			SCHPO	Q9P4W9	2543486	
PTHR11581:SF0			SCHPO	Q9USW5	2540325	
PTHR11581:SF0			SCHPO	Q9USW5	2540649	
PTHR11581:SF0			SCHPO	Q9USW5	2543486	
PTHR11581:SF0			CANAL	Q5A5Q8	3641247	
PTHR11581:SF0			CANAL	Q5A8Y0	3641247	
PTHR11581:SF0			CRYNJ	Q5KNK2	3253666	
PTHR11581:SF0			NEUCR	Q7SE03	3880400	
PTHR11545:SF3			YEAST	P26784	854673	
PTHR11545:SF3			YEAST	P26784	855655	
PTHR11545:SF3			YEAST	P26785	854673	
PTHR11545:SF3			YEAST	P26785	855655	
PTHR11545:SF3			SCHPO	O43004	2540373	
PTHR11545:SF3			SCHPO	O43004	2541175	
PTHR11545:SF3			SCHPO	O43004	2542006	
PTHR11545:SF3			SCHPO	O42848	2540373	
PTHR11545:SF3			SCHPO	O42848	2541175	
PTHR11545:SF3			SCHPO	O42848	2542006	
PTHR11545:SF3			SCHPO	O42991	2540373	
PTHR11545:SF3			SCHPO	O42991	2541175	
PTHR11545:SF3			SCHPO	O42991	2542006	
PTHR11545:SF3			CANAL	Q5AB87	3639338	
PTHR11545:SF3			CRYNJ	Q5K7I5	3255251	
PTHR11545:SF3			NEUCR	Q9P720	3877719	
PTHR10666:SF254			YEAST	P0CH09	853969	
PTHR10666:SF254			YEAST	P0CH09	854658	
PTHR10666:SF254			SCHPO	P0CH06	2541768	
PTHR10666:SF254			SCHPO	P0CH06	2542428	
PTHR10666:SF254			CRYNJ	P40909	3254022	
PTHR10666:SF255			YEAST	P0CH08	853969	
PTHR10666:SF255			YEAST	P0CH08	854658	
PTHR10666:SF255			SCHPO	P0CH07	2541768	
PTHR10666:SF255			SCHPO	P0CH07	2542428	
PTHR10666:SF255			NEUCR	P0C224	3878065	
PTHR10442:SF0			YEAST	P0C0V8	853305	
PTHR10442:SF0			YEAST	P0C0V8	853931	
PTHR10442:SF0			YEAST	Q3E754	853305	
PTHR10442:SF0			YEAST	Q3E754	853931	
PTHR10442:SF0			SCHPO	P05764	2540806	
PTHR10442:SF0			CRYNJ	Q5KI51	3257053	
PTHR10442:SF0			NEUCR	O93798	3880995	
PTHR11593:SF10			YEAST	P05740	853262	
PTHR11593:SF10			YEAST	P05740	853674	
PTHR11593:SF10			YEAST	P46990	853262	
PTHR11593:SF10			YEAST	P46990	853674	
PTHR11593:SF10			SCHPO	O14339	2539013	
PTHR11593:SF10			SCHPO	O14339	2540358	
PTHR11593:SF10			SCHPO	O59794	2539013	
PTHR11593:SF10			SCHPO	O59794	2540358	
PTHR11593:SF10			CANAL	Q59TE0	3645439	
PTHR11593:SF10			CRYNJ	Q5K6Z0	3255430	
PTHR11593:SF10			NEUCR	Q9HE25	3877643	
PTHR19970:SF0			YEAST	P04650	853250	
PTHR19970:SF0			SCHPO	P05767	2539277	
PTHR19970:SF0			CRYNJ	Q5KHQ2	3257437	
PTHR19970:SF0			NEUCR	Q7S2X9	3875175	
PTHR11758:SF16			YEAST	Q3E7Y3	851082	
PTHR11758:SF16			YEAST	Q3E7Y3	853249	
PTHR11758:SF16			YEAST	P0C0W1	851082	
PTHR11758:SF16			YEAST	P0C0W1	853249	
PTHR11758:SF16			SCHPO	P0CT58	2541838	
PTHR11758:SF16			SCHPO	P0CT58	2541977	
PTHR11758:SF16			SCHPO	P0CT59	2541838	
PTHR11758:SF16			SCHPO	P0CT59	2541977	
PTHR11758:SF16			CANAL	Q96W54	30514981	
PTHR11758:SF16			CANAL	Q96W54	3639551	
PTHR11758:SF16			CRYNJ	Q5K979	3254590	
