FAMILY_ID	SPECIES	UNIPROT	ENTREZ
PTHR21026:SF2	SCHPO	O94379	2539681
PTHR21026:SF2	EMENI	Q5BDI7	2877172
PTHR21026:SF2	ASHGO	Q75ES7	4618655
PTHR21026:SF2	BATDJ	F4P9W5	18244175
PTHR21026:SF2	CANAL	Q5A6K5	3640948
PTHR21026:SF2	CRYNJ	Q5KL23	3256415
PTHR21026:SF2	NEUCR	Q1K4P1	3872019
PTHR21026:SF2	PUCGT	E3K698	10533357
PTHR21026:SF2	SCLS1	A7EZR2	5484546
PTHR21026:SF2	USTMA	D1DTY2	NA
PTHR21026:SF2	YARLI	Q6CB87	2909851
PTHR15680:SF9	YEAST	P25626	850413
PTHR15680:SF9	SCHPO	Q9UT87	2543125
PTHR15680:SF9	EMENI	C8V9M5	NA
PTHR15680:SF9	ASHGO	Q75EL2	4618507
PTHR15680:SF9	BATDJ	F4P5U6	18243604
PTHR15680:SF9	CANAL	Q5A1M8	NA
PTHR15680:SF9	CRYNJ	Q5KCZ5	3259077
PTHR15680:SF9	NEUCR	Q7RYW8	3873510
PTHR15680:SF9	PUCGT	E3KD04	10529641
PTHR15680:SF9	USTMA	D1CF71	NA
PTHR15680:SF9	YARLI	Q6C0I6	2908715
PTHR13477:SF0	YEAST	P25642	850434
PTHR13477:SF0	SCHPO	Q10139	2543635
PTHR13477:SF0	EMENI	Q5B974	2873928
PTHR13477:SF0	ASHGO	Q756W5	4621330
PTHR13477:SF0	BATDJ	F4P3Y5	18238734
PTHR13477:SF0	CANAL	Q5A6B3	NA
PTHR13477:SF0	CRYNJ	Q5KJV4	3256831
PTHR13477:SF0	NEUCR	Q7S518	3875987
PTHR13477:SF0	PUCGT	E3K9N3	10536077
PTHR13477:SF0	USTMA	D1D1S1	NA
PTHR28066:SF1	YEAST	O75012	851515
PTHR28066:SF1	SCHPO	O13973	2542645
PTHR28066:SF1	EMENI	C8VT71	NA
PTHR28066:SF1	ASHGO	Q756Q5	4621266
PTHR28066:SF1	NEUCR	Q7S4Y4	3875976
PTHR28066:SF1	PUCGT	E3KJ65	10545686
PTHR28066:SF1	SCLS1	A7EK76	5489396
PTHR28066:SF1	USTMA	D1CFC0	NA
PTHR28066:SF1	YARLI	Q6C291	2908976
PTHR11560:SF8	YEAST	P36521	851325
PTHR11560:SF8	SCHPO	Q09724	2542402
PTHR11560:SF8	ASHGO	Q74ZK7	4623161
PTHR11560:SF8	BATDJ	F4P9L6	18239181
PTHR11560:SF8	CANAL	Q5A693	3641165
PTHR11560:SF8	CRYNJ	Q5KLQ0	3256102
PTHR11560:SF8	YARLI	Q6CCB8	2909363
PTHR43176:SF3	YEAST	P28817	851606
PTHR43176:SF3	SCHPO	O74802	2540394
PTHR43176:SF3	EMENI	C8V2I5	NA
PTHR43176:SF3	ASHGO	Q750D1	4622988
PTHR43176:SF3	BATDJ	F4NRB7	18242149
PTHR43176:SF3	CANAL	Q5AI24	3636858
PTHR43176:SF3	CRYNJ	Q5KPF9	3253433
PTHR43176:SF3	NEUCR	Q1K7A4	3877257
PTHR43176:SF3	PUCGT	E3K9S2	10536547
PTHR43176:SF3	SCLS1	A7ED63	5491790
PTHR43176:SF3	USTMA	D1CRA4	NA
PTHR43176:SF3	YARLI	Q6CA37	2910864
PTHR11700:SF9	YEAST	Q03201	851611
PTHR11700:SF9	SCHPO	O60186	2540539
PTHR11700:SF9	EMENI	Q5AYZ1	2870238
PTHR11700:SF9	ASHGO	Q750C2	4623000
PTHR11700:SF9	BATDJ	F4NVJ2	18241577
PTHR11700:SF9	CANAL	Q5ADT9	3638472
PTHR11700:SF9	CRYNJ	P0CQ54	3259785
PTHR11700:SF9	NEUCR	Q7RYL4	3873360
PTHR11700:SF9	PUCGT	E3KAQ0	10537195
PTHR11700:SF9	SCLS1	A7E4G4	5494714
PTHR11700:SF9	USTMA	D1DQ93	NA
PTHR11700:SF9	YARLI	Q6C0P3	2908797
PTHR14503:SF4	YEAST	Q04598	851692
PTHR14503:SF4	SCHPO	Q9P7L9	2540621
PTHR14503:SF4	EMENI	C8V8G8	NA
PTHR14503:SF4	ASHGO	Q74ZX7	4623048
PTHR14503:SF4	BATDJ	F4NUW0	18241992
PTHR14503:SF4	CRYNJ	Q5KPZ7	3253856
PTHR14503:SF4	NEUCR	Q1K7P9	3877497
PTHR14503:SF4	PUCGT	E3JY41	10529233
PTHR14503:SF4	SCLS1	A7EL99	5489088
PTHR14503:SF4	USTMA	D1CGT6	NA
PTHR14503:SF4	YARLI	Q6C9A1	2911261
PTHR36427:SF1	YEAST	Q04599	851694
PTHR36427:SF1	SCHPO	Q9P6M9	3361520
PTHR36427:SF1	ASHGO	Q74ZX8	4623047
PTHR36427:SF1	BATDJ	F4P4J6	18239941
PTHR36427:SF1	CANAL	Q59LA1	NA
PTHR36427:SF1	NEUCR	Q1K699	3874978
PTHR36427:SF1	YARLI	Q6C9A2	2911260
PTHR13490:SF0	YEAST	Q03976	851755
PTHR13490:SF0	SCHPO	Q09705	2541429
PTHR13490:SF0	EMENI	Q5BBX6	2875565
PTHR13490:SF0	ASHGO	Q750S9	4622826
PTHR13490:SF0	BATDJ	F4NW47	18242517
PTHR13490:SF0	CANAL	Q5AI30	3636901
PTHR13490:SF0	NEUCR	Q1K5Z0	3873750
PTHR13490:SF0	PUCGT	E3L0S2	10546184
PTHR13490:SF0	SCLS1	A7EZN1	5484476
PTHR13490:SF0	USTMA	D1BVX0	NA
PTHR13490:SF0	YARLI	Q6C9T8	2910705
PTHR11994:SF4	YEAST	P36519	851823
PTHR11994:SF4	SCHPO	O14337	2540459
PTHR11994:SF4	EMENI	C8VMW6	NA
PTHR11994:SF4	ASHGO	Q75DY4	4618916
PTHR11994:SF4	BATDJ	F4PC68	18241419
PTHR11994:SF4	CANAL	Q5A2J2	NA
PTHR11994:SF4	CRYNJ	Q5KKW4	3256596
PTHR11994:SF4	NEUCR	Q1K6P0	3876877
PTHR11994:SF4	PUCGT	E3JPZ0	10527386
PTHR11994:SF4	SCLS1	A7EUT5	5486123
PTHR11994:SF4	USTMA	D1CE51	NA
PTHR11994:SF4	YARLI	Q6CG08	2907255
PTHR28184:SF1	YEAST	Q06630	851890
PTHR28184:SF1	SCHPO	O60147	2540835
PTHR28184:SF1	EMENI	Q5AXT9	2870603
PTHR28184:SF1	ASHGO	Q75EZ5	4618675
PTHR28184:SF1	CANAL	Q5A2A2	3642476
PTHR28184:SF1	NEUCR	Q7RYM5	3873390
PTHR28184:SF1	SCLS1	A7F4N4	5482763
PTHR28184:SF1	YARLI	Q6C5K2	2911667
PTHR11362:SF25	YEAST	Q06678	851921
PTHR11362:SF25	SCHPO	O14341	2540365
PTHR11362:SF25	EMENI	Q5AXY8	2870533
PTHR11362:SF25	ASHGO	Q74Z45	4623330
PTHR11362:SF25	CANAL	Q5AHD3	3637337
PTHR11362:SF25	CRYNJ	Q5KDC0	3258662
PTHR11362:SF25	NEUCR	Q7RXV8	3872898
PTHR11362:SF25	PUCGT	E3KVY3	10540761
PTHR11362:SF25	SCLS1	A7ED58	5491785
PTHR11362:SF25	USTMA	D1DYQ4	NA
PTHR11362:SF25	YARLI	Q6C3U0	2912354
PTHR23321:SF26	YEAST	P21771	851937
PTHR23321:SF26	SCHPO	O13602	2539962
PTHR23321:SF26	EMENI	Q5B8F7	2874533
PTHR23321:SF26	ASHGO	Q757V9	4620954
PTHR23321:SF26	BATDJ	F4NYG2	18240477
PTHR23321:SF26	CANAL	Q5A9P2	NA
PTHR23321:SF26	CRYNJ	Q5KKT6	3256136
PTHR23321:SF26	NEUCR	Q1K5G1	3872988
PTHR23321:SF26	PUCGT	E3KIU8	10545483
PTHR23321:SF26	SCLS1	A7F2R4	5483425
PTHR23321:SF26	USTMA	D1DTP0	NA
PTHR23321:SF26	YARLI	Q6CAU4	2909587
PTHR43595:SF1	YEAST	P10662	851948
PTHR43595:SF1	ASHGO	Q75BW8	4619687
PTHR12059:SF5	YEAST	P32387	852014
PTHR12059:SF5	SCHPO	Q09727	2543038
PTHR12059:SF5	EMENI	Q5BH57	2875901
PTHR12059:SF5	ASHGO	Q753B9	4622224
PTHR12059:SF5	BATDJ	F4PAA9	18239264
PTHR12059:SF5	CANAL	Q5A8Y4	NA
PTHR12059:SF5	CRYNJ	Q5KAK2	3254119
PTHR12059:SF5	NEUCR	Q7SA60	3878692
PTHR12059:SF5	PUCGT	E3K5M7	10533143
PTHR12059:SF5	PUCGT	E3K5M7	10544242
PTHR12059:SF5	PUCGT	E3KN40	10533143
PTHR12059:SF5	PUCGT	E3KN40	10544242
PTHR12059:SF5	SCLS1	A7F8E7	5481288
PTHR12059:SF5	USTMA	D1DW76	NA
PTHR12059:SF5	YARLI	Q6C653	2912824
PTHR13359:SF2	YEAST	P36527	852073
PTHR13359:SF2	CANAL	Q59QC1	3646495
PTHR13359:SF2	YARLI	Q6CBQ7	2909749
PTHR13691:SF5	YEAST	P32611	856660
PTHR13691:SF5	SCHPO	Q9Y7P4	2539321
PTHR13691:SF5	EMENI	Q5B731	2873068
PTHR13691:SF5	ASHGO	Q75EF3	4618642
PTHR13691:SF5	BATDJ	F4P6G4	18241319
PTHR13691:SF5	CANAL	Q5A7P6	3640548
PTHR13691:SF5	CRYNJ	Q5KGY0	3257774
PTHR13691:SF5	NEUCR	Q7SCX7	3879999
PTHR13691:SF5	PUCGT	E3JQB7	10528021
PTHR13691:SF5	SCLS1	A7EN54	5488696
PTHR13691:SF5	USTMA	D1C0H2	NA
PTHR13691:SF5	YARLI	Q6C9B0	2910147
PTHR13479:SF40	YEAST	P40033	856776
PTHR13479:SF40	SCHPO	Q9USL7	2538921
PTHR13479:SF40	EMENI	Q5AW81	2869560
PTHR13479:SF40	ASHGO	Q75AN9	4620122
PTHR13479:SF40	BATDJ	F4P6Z1	18243770
PTHR13479:SF40	CANAL	Q59KY7	3647994
PTHR13479:SF40	CRYNJ	Q5KBX5	3259394
PTHR13479:SF40	NEUCR	Q1K8E0	3877826
PTHR13479:SF40	PUCGT	E3K1Q3	10542020
PTHR13479:SF40	SCLS1	A7EI68	5490248
PTHR13479:SF40	USTMA	D1CVG5	NA
PTHR13479:SF40	YARLI	Q6C424	2911935
PTHR31601:SF2	YEAST	P19955	850610
PTHR31601:SF2	SCHPO	G2TRP3	14217457
PTHR31601:SF2	EMENI	Q5B127	2872040
PTHR31601:SF2	ASHGO	Q753R6	4622070
PTHR31601:SF2	BATDJ	F4NTY1	18242009
PTHR31601:SF2	NEUCR	Q7S3Z3	3875591
PTHR31601:SF2	SCLS1	A7EF64	5492090
PTHR31601:SF2	USTMA	D1DP08	NA
PTHR31601:SF2	YARLI	B5FVG5	7009591
PTHR12810:SF0	YEAST	Q01163	852748
PTHR12810:SF0	SCHPO	O59677	2540507
PTHR12810:SF0	EMENI	Q5B6T6	2873168
PTHR12810:SF0	ASHGO	Q755C9	4621671
PTHR12810:SF0	BATDJ	F4PDU6	18244661
PTHR12810:SF0	CANAL	Q59S60	NA
PTHR12810:SF0	CRYNJ	Q5KNX8	3253250
PTHR12810:SF0	NEUCR	Q7SD06	3880028
PTHR12810:SF0	PUCGT	E3JXN3	10528910
PTHR12810:SF0	SCLS1	A7F591	5482216
PTHR12810:SF0	USTMA	D1BVX8	NA
PTHR12810:SF0	YARLI	Q6CC10	2909210
PTHR28041:SF1	YEAST	P23369	852967
PTHR28041:SF1	SCHPO	Q9UUJ5	2542604
PTHR28041:SF1	EMENI	Q5BCU4	2875357
PTHR28041:SF1	ASHGO	Q756P7	4621274
PTHR28041:SF1	CANAL	Q5ACG8	NA
PTHR28041:SF1	CRYNJ	Q5KFT9	3258326
PTHR28041:SF1	NEUCR	Q7SEK9	3880600
PTHR28041:SF1	PUCGT	E3KE13	10529743
PTHR28041:SF1	PUCGT	E3KE13	10529747
PTHR28041:SF1	PUCGT	E3KE09	10529743
PTHR28041:SF1	PUCGT	E3KE09	10529747
PTHR28041:SF1	SCLS1	A7EGG3	5491198
PTHR28041:SF1	USTMA	D1DUT7	NA
PTHR28041:SF1	YARLI	Q6C834	2910286
PTHR28158:SF1	YEAST	P53292	853075
PTHR28158:SF1	SCHPO	O60096	2539986
PTHR28158:SF1	EMENI	Q5AVI1	2869638
PTHR28158:SF1	ASHGO	Q74Z92	4623280
PTHR28158:SF1	BATDJ	F4PBD4	18240949
PTHR28158:SF1	CANAL	Q59ZG0	NA
PTHR28158:SF1	CANAL	Q59ZF9	NA
PTHR28158:SF1	CRYNJ	Q5KCM6	3259284
PTHR28158:SF1	NEUCR	Q7SHB2	3881703
PTHR28158:SF1	PUCGT	H6QT70	13542012
PTHR28158:SF1	SCLS1	A7F169	5483541
PTHR28158:SF1	USTMA	D1E3B7	NA
PTHR28158:SF1	YARLI	Q6CH22	2906206
PTHR11229:SF0	YEAST	P31334	853135
PTHR11229:SF0	SCHPO	Q9P6P6	2543386
PTHR11229:SF0	EMENI	Q5B572	2872107
PTHR11229:SF0	ASHGO	Q75AP9	4620110
PTHR11229:SF0	BATDJ	F4P9E5	18236789
PTHR11229:SF0	CANAL	Q5AAK4	NA
PTHR11229:SF0	CRYNJ	Q5KGQ8	3257793
PTHR11229:SF0	NEUCR	Q1K8T6	3879682
PTHR11229:SF0	PUCGT	E3JUG4	10543569
PTHR11229:SF0	SCLS1	A7EXZ7	5485024
PTHR11229:SF0	USTMA	D1E1A8	NA
PTHR11229:SF0	YARLI	Q6C279	2908996
PTHR12534:SF0	YEAST	P32902	856384
PTHR12534:SF0	SCHPO	O13970	2541569
PTHR12534:SF0	EMENI	C8V427	NA
PTHR12534:SF0	ASHGO	Q75DL1	4619048
PTHR12534:SF0	BATDJ	F4P880	18241510
PTHR12534:SF0	CANAL	Q5A8K1	NA
PTHR12534:SF0	CRYNJ	Q5KI10	3257475
PTHR12534:SF0	NEUCR	V5ILE0	23568552
PTHR12534:SF0	PUCGT	E3L7R1	10538745
PTHR12534:SF0	SCLS1	A7F3U4	5483077
PTHR12534:SF0	USTMA	D1DXU6	NA
PTHR12534:SF0	YARLI	Q6C1V9	2908174
PTHR28235:SF1	YEAST	P38783	856456
PTHR28235:SF1	SCHPO	O74972	2540876
PTHR28235:SF1	EMENI	Q5ATU6	2868967
PTHR28235:SF1	ASHGO	Q75EY2	4618781
PTHR28235:SF1	BATDJ	F4P027	18242886
PTHR28235:SF1	CANAL	Q5A8X7	3640198
PTHR28235:SF1	NEUCR	Q1K6Q3	3876884
PTHR28235:SF1	PUCGT	E3K142	10541326
PTHR28235:SF1	SCLS1	A7EL80	5489136
PTHR28235:SF1	USTMA	D1E9D5	NA
PTHR28235:SF1	YARLI	Q6C3R3	2911904
PTHR11655:SF14	YEAST	P32904	856552
PTHR11655:SF14	SCHPO	Q09865	2542846
PTHR11655:SF14	EMENI	Q5BCG0	2875587
PTHR11655:SF14	ASHGO	Q75AQ0	4620109
PTHR11655:SF14	BATDJ	F4PA57	18244137
PTHR11655:SF14	CANAL	Q5AAK3	NA
PTHR11655:SF14	CRYNJ	Q5KDQ4	3258738
PTHR11655:SF14	NEUCR	Q7RZF0	3873806
PTHR11655:SF14	PUCGT	E3JVM6	10533505
PTHR11655:SF14	SCLS1	A7EA59	5492778
PTHR11655:SF14	USTMA	D1E4W7	NA
PTHR11655:SF14	YARLI	Q6C281	2908994
PTHR37799:SF1	YEAST	P40496	854715
PTHR37799:SF1	EMENI	Q5B4U6	2872230
PTHR37799:SF1	ASHGO	Q75AY1	4620025
PTHR37799:SF1	BATDJ	F4P7P3	18240208
PTHR37799:SF1	CRYNJ	Q5KIK7	3257439
PTHR37799:SF1	NEUCR	Q873E4	3872590
PTHR37799:SF1	PUCGT	H6QRI9	13540698
PTHR37799:SF1	SCLS1	A7EF41	5492067
PTHR37799:SF1	USTMA	D1E5F8	NA
PTHR14413:SF16	YEAST	P22353	853382
PTHR14413:SF16	SCHPO	O94345	2540205
PTHR14413:SF16	EMENI	Q5BDN2	2877126
PTHR14413:SF16	ASHGO	Q758B4	4620884
PTHR14413:SF16	BATDJ	F4NXP2	18240150
PTHR14413:SF16	CANAL	Q59RQ4	3646039
PTHR14413:SF16	CRYNJ	Q5KI31	3257014
PTHR14413:SF16	NEUCR	Q1K8C8	3877810
PTHR14413:SF16	PUCGT	E3L875	10539246
PTHR14413:SF16	PUCGT	E3L875	10540923
PTHR14413:SF16	PUCGT	E3KQT6	10539246
PTHR14413:SF16	PUCGT	E3KQT6	10540923
PTHR14413:SF16	SCLS1	A7EZP7	5484537
PTHR14413:SF16	USTMA	D1EDX0	NA
PTHR14413:SF16	YARLI	Q6CE84	2907161
PTHR21349:SF0	YEAST	P40858	853349
PTHR21349:SF0	ASHGO	Q754Y7	4621881
PTHR21349:SF0	BATDJ	F4P4J1	18238835
PTHR21349:SF0	CANAL	Q5A5B9	NA
PTHR21349:SF0	CRYNJ	Q5KFC0	3258459
PTHR21349:SF0	NEUCR	Q7SGE5	3881306
PTHR21349:SF0	PUCGT	E3LAS4	10534938
PTHR21349:SF0	USTMA	D1DR04	NA
PTHR21349:SF0	YARLI	Q6C2D1	2908232
PTHR43595:SF2	YEAST	P47141	853565
PTHR43595:SF2	SCHPO	O74379	2539915
PTHR43595:SF2	SCHPO	O74379	2540925
PTHR43595:SF2	SCHPO	O42919	2539915
PTHR43595:SF2	SCHPO	O42919	2540925
PTHR43595:SF2	EMENI	C8VF15	NA
PTHR43595:SF2	ASHGO	Q751S1	4622643
PTHR43595:SF2	BATDJ	F4NSY2	18237003
PTHR43595:SF2	BATDJ	F4NSY2	18237004
PTHR43595:SF2	BATDJ	F4NSY2	18237083
PTHR43595:SF2	BATDJ	F4NSY2	18237876
PTHR43595:SF2	BATDJ	F4NSY2	18241668
PTHR43595:SF2	BATDJ	F4NSY2	18241670
PTHR43595:SF2	BATDJ	F4NSY2	18242034
PTHR43595:SF2	BATDJ	F4NSY2	18242125
PTHR43595:SF2	BATDJ	F4NSY2	18243336
PTHR43595:SF2	BATDJ	F4NSY2	18244401
PTHR43595:SF2	BATDJ	F4NT88	18237003
PTHR43595:SF2	BATDJ	F4NT88	18237004
PTHR43595:SF2	BATDJ	F4NT88	18237083
PTHR43595:SF2	BATDJ	F4NT88	18237876
PTHR43595:SF2	BATDJ	F4NT88	18241668
PTHR43595:SF2	BATDJ	F4NT88	18241670
PTHR43595:SF2	BATDJ	F4NT88	18242034
PTHR43595:SF2	BATDJ	F4NT88	18242125
PTHR43595:SF2	BATDJ	F4NT88	18243336
PTHR43595:SF2	BATDJ	F4NT88	18244401
PTHR43595:SF2	BATDJ	F4PF29	18237003
PTHR43595:SF2	BATDJ	F4PF29	18237004
PTHR43595:SF2	BATDJ	F4PF29	18237083
PTHR43595:SF2	BATDJ	F4PF29	18237876
PTHR43595:SF2	BATDJ	F4PF29	18241668
PTHR43595:SF2	BATDJ	F4PF29	18241670
PTHR43595:SF2	BATDJ	F4PF29	18242034
PTHR43595:SF2	BATDJ	F4PF29	18242125
PTHR43595:SF2	BATDJ	F4PF29	18243336
PTHR43595:SF2	BATDJ	F4PF29	18244401
PTHR43595:SF2	BATDJ	F4NSN5	18237003
PTHR43595:SF2	BATDJ	F4NSN5	18237004
PTHR43595:SF2	BATDJ	F4NSN5	18237083
PTHR43595:SF2	BATDJ	F4NSN5	18237876
PTHR43595:SF2	BATDJ	F4NSN5	18241668
PTHR43595:SF2	BATDJ	F4NSN5	18241670
PTHR43595:SF2	BATDJ	F4NSN5	18242034
PTHR43595:SF2	BATDJ	F4NSN5	18242125
PTHR43595:SF2	BATDJ	F4NSN5	18243336
PTHR43595:SF2	BATDJ	F4NSN5	18244401
PTHR43595:SF2	BATDJ	F4NSX9	18237003
PTHR43595:SF2	BATDJ	F4NSX9	18237004
PTHR43595:SF2	BATDJ	F4NSX9	18237083
PTHR43595:SF2	BATDJ	F4NSX9	18237876
PTHR43595:SF2	BATDJ	F4NSX9	18241668
PTHR43595:SF2	BATDJ	F4NSX9	18241670
PTHR43595:SF2	BATDJ	F4NSX9	18242034
PTHR43595:SF2	BATDJ	F4NSX9	18242125
PTHR43595:SF2	BATDJ	F4NSX9	18243336
PTHR43595:SF2	BATDJ	F4NSX9	18244401
PTHR43595:SF2	BATDJ	F4PF22	18237003
PTHR43595:SF2	BATDJ	F4PF22	18237004
PTHR43595:SF2	BATDJ	F4PF22	18237083
PTHR43595:SF2	BATDJ	F4PF22	18237876
PTHR43595:SF2	BATDJ	F4PF22	18241668
PTHR43595:SF2	BATDJ	F4PF22	18241670
PTHR43595:SF2	BATDJ	F4PF22	18242034
PTHR43595:SF2	BATDJ	F4PF22	18242125
PTHR43595:SF2	BATDJ	F4PF22	18243336
PTHR43595:SF2	BATDJ	F4PF22	18244401
PTHR43595:SF2	BATDJ	F4NSN4	18237003
PTHR43595:SF2	BATDJ	F4NSN4	18237004
PTHR43595:SF2	BATDJ	F4NSN4	18237083
PTHR43595:SF2	BATDJ	F4NSN4	18237876
PTHR43595:SF2	BATDJ	F4NSN4	18241668
PTHR43595:SF2	BATDJ	F4NSN4	18241670
PTHR43595:SF2	BATDJ	F4NSN4	18242034
PTHR43595:SF2	BATDJ	F4NSN4	18242125
PTHR43595:SF2	BATDJ	F4NSN4	18243336
PTHR43595:SF2	BATDJ	F4NSN4	18244401
PTHR43595:SF2	BATDJ	F4NT87	18237003
PTHR43595:SF2	BATDJ	F4NT87	18237004
PTHR43595:SF2	BATDJ	F4NT87	18237083
PTHR43595:SF2	BATDJ	F4NT87	18237876
PTHR43595:SF2	BATDJ	F4NT87	18241668
PTHR43595:SF2	BATDJ	F4NT87	18241670
PTHR43595:SF2	BATDJ	F4NT87	18242034
PTHR43595:SF2	BATDJ	F4NT87	18242125
PTHR43595:SF2	BATDJ	F4NT87	18243336
PTHR43595:SF2	BATDJ	F4NT87	18244401
PTHR43595:SF2	BATDJ	F4NSQ7	18237003
PTHR43595:SF2	BATDJ	F4NSQ7	18237004
PTHR43595:SF2	BATDJ	F4NSQ7	18237083
PTHR43595:SF2	BATDJ	F4NSQ7	18237876
PTHR43595:SF2	BATDJ	F4NSQ7	18241668
PTHR43595:SF2	BATDJ	F4NSQ7	18241670
PTHR43595:SF2	BATDJ	F4NSQ7	18242034
PTHR43595:SF2	BATDJ	F4NSQ7	18242125
PTHR43595:SF2	BATDJ	F4NSQ7	18243336
PTHR43595:SF2	BATDJ	F4NSQ7	18244401
PTHR43595:SF2	BATDJ	F4NSQ5	18237003
PTHR43595:SF2	BATDJ	F4NSQ5	18237004
PTHR43595:SF2	BATDJ	F4NSQ5	18237083
PTHR43595:SF2	BATDJ	F4NSQ5	18237876
PTHR43595:SF2	BATDJ	F4NSQ5	18241668
PTHR43595:SF2	BATDJ	F4NSQ5	18241670
PTHR43595:SF2	BATDJ	F4NSQ5	18242034
PTHR43595:SF2	BATDJ	F4NSQ5	18242125
PTHR43595:SF2	BATDJ	F4NSQ5	18243336
PTHR43595:SF2	BATDJ	F4NSQ5	18244401
PTHR43595:SF2	CANAL	Q5AK82	3636507
PTHR43595:SF2	CANAL	Q5AJC9	3636507
PTHR43595:SF2	NEUCR	Q7S2H6	3875017
PTHR43595:SF2	SCLS1	A7EG26	5491008
PTHR43595:SF2	YARLI	Q6CEC5	2906892
PTHR43595:SF2	YARLI	Q6CEC5	2907154
PTHR43595:SF2	YARLI	Q6CDZ0	2906892
PTHR43595:SF2	YARLI	Q6CDZ0	2907154
PTHR11205:SF19	YEAST	P47150	853578
PTHR11205:SF19	SCHPO	O13744	2542330
PTHR11205:SF19	EMENI	C8VT59	NA
PTHR11205:SF19	ASHGO	Q75D76	4619205
PTHR11205:SF19	BATDJ	F4NS99	18241773
PTHR11205:SF19	CANAL	Q5AK02	3636472
PTHR11205:SF19	NEUCR	Q7S6M9	3876570
