# scores_kozak_JEC21.txt
# Scores of ATG context against Kozak sequence, C. neoformans serotype D JEC21
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: JEC21 systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG agains narrow
# u1.scorekn: score of 1st upstream ATG in 5' UTR against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d2.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	d2.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
CNA00770	0.92	0.701	0.803	NA	0.908	0.664	0.788	NA	-0.219	NA	-0.244	NA
CNA00780	0.966	0.872	0.759	NA	0.96	0.829	0.714	NA	-0.094	NA	-0.131	NA
CNA00790	0.945	0.825	0.794	0.865	0.923	0.717	0.794	0.816	-0.121	-0.081	-0.206	-0.107
CNA00800	0.777	0.906	0.83	NA	0.781	0.819	0.782	NA	0.129	NA	0.038	NA
CNA00820	0.899	0.859	0.929	NA	0.903	0.856	0.928	NA	-0.04	NA	-0.047	NA
CNA00830	0.895	1	1	NA	0.866	0.905	0.86	NA	0.105	NA	0.038	NA
CNA00840	0.819	0.839	0.865	NA	0.84	0.82	0.799	NA	0.02	NA	-0.019	NA
CNA00850	0.865	0.787	0.758	0.812	0.892	0.791	0.64	0.805	-0.078	-0.052	-0.101	-0.087
CNA00860	0.727	0.897	0.92	NA	0.736	0.876	0.877	NA	0.17	NA	0.14	NA
CNA00870	0.819	0.888	0.899	0.839	0.815	0.77	0.882	0.777	0.069	0.02	-0.045	-0.038
CNA00880	0.911	0.77	0.888	0.745	0.836	0.745	0.797	0.762	-0.141	-0.166	-0.091	-0.074
CNA00890	0.778	0.888	0.759	0.802	0.722	0.875	0.749	0.765	0.11	0.024	0.153	0.043
CNA00900	0.964	0.802	0.854	NA	0.92	0.774	0.844	NA	-0.162	NA	-0.146	NA
CNA00910	0.964	0.701	0.785	NA	0.94	0.724	0.726	NA	-0.263	NA	-0.215	NA
CNA00920	0.952	0.673	0.846	NA	0.925	0.559	0.818	NA	-0.279	NA	-0.365	NA
CNA00930	0.966	0.837	0.707	NA	0.932	0.783	0.621	NA	-0.129	NA	-0.149	NA
CNA00940	0.989	0.813	0.751	NA	0.932	0.793	0.704	NA	-0.176	NA	-0.139	NA
CNA00950	0.932	0.86	0.749	NA	0.89	0.822	0.748	NA	-0.071	NA	-0.068	NA
CNA00960	0.819	0.989	0.751	0.786	0.728	0.905	0.728	0.739	0.17	-0.033	0.177	0.011
CNA00970	0.895	0.865	0.914	0.906	0.857	0.813	0.844	0.846	-0.03	0.012	-0.044	-0.012
CNA00980	0.822	0.888	0.743	0.793	0.778	0.869	0.754	0.714	0.066	-0.028	0.091	-0.064
CNA00990	1	0.809	0.709	NA	0.949	0.823	0.675	NA	-0.191	NA	-0.125	NA
CNA01000	1	0.802	0.897	NA	0.958	0.75	0.805	NA	-0.198	NA	-0.208	NA
CNA01010	0.822	0.805	0.863	NA	0.794	0.753	0.804	NA	-0.017	NA	-0.041	NA
CNA01020	0.863	0.865	0.888	NA	0.872	0.747	0.825	NA	0.002	NA	-0.125	NA
CNA01030	0.835	0.914	0.835	0.854	0.828	0.86	0.771	0.764	0.079	0.019	0.032	-0.064
CNA01040	0.945	0.736	0.826	0.925	0.896	0.681	0.737	0.891	-0.21	-0.021	-0.215	-0.004
CNA01050	0.929	0.989	0.727	0.813	0.86	0.86	0.686	0.731	0.06	-0.116	-0.001	-0.129
CNA01060	0.94	0.768	0.842	NA	0.858	0.68	0.802	NA	-0.172	NA	-0.178	NA
CNA01070	0.964	0.811	0.906	NA	0.899	0.749	0.851	NA	-0.153	NA	-0.15	NA
CNA01080	0.854	0.793	0.759	NA	0.815	0.789	0.773	NA	-0.06	NA	-0.026	NA
CNA01090	0.989	0.851	0.683	0.749	0.976	0.846	0.62	0.748	-0.138	-0.24	-0.13	-0.228
CNA01095	0.989	0.92	0.925	NA	0.94	0.892	0.821	NA	-0.069	NA	-0.048	NA
CNA01100	0.977	0.655	0.914	NA	0.932	0.612	0.841	NA	-0.322	NA	-0.32	NA
CNA01120	0.922	0.759	0.792	0.816	0.91	0.728	0.756	0.765	-0.164	-0.106	-0.181	-0.145
CNA01130	0.964	0.863	0.865	0.867	0.917	0.819	0.754	0.854	-0.101	-0.096	-0.098	-0.063
CNA01140	0.917	0.701	0.785	0.87	0.847	0.696	0.696	0.849	-0.216	-0.047	-0.15	0.003
CNA01150	0.92	0.701	0.828	0.836	0.865	0.715	0.802	0.814	-0.219	-0.084	-0.15	-0.052
CNA01160	0.92	0.761	0.732	NA	0.93	0.659	0.734	NA	-0.159	NA	-0.271	NA
CNA01170	0.862	0.839	0.787	NA	0.811	0.757	0.784	NA	-0.023	NA	-0.053	NA
CNA01180	0.897	0.752	0.917	NA	0.894	0.763	0.851	NA	-0.144	NA	-0.131	NA
CNA01190	0.701	0.906	0.81	0.776	0.712	0.843	0.823	0.765	0.205	0.075	0.131	0.053
CNA01200	0.707	0.785	0.817	0.718	0.624	0.702	0.68	0.742	0.078	0.011	0.077	0.118
CNA01205	0.92	0.897	0.863	NA	0.905	0.869	0.801	NA	-0.023	NA	-0.036	NA
CNA01210	0.964	0.828	0.822	NA	0.939	0.748	0.723	NA	-0.135	NA	-0.191	NA
CNA01220	0.922	0.819	0.819	NA	0.913	0.801	0.763	NA	-0.104	NA	-0.112	NA
CNA01230	0.888	0.745	0.802	NA	0.877	0.715	0.772	NA	-0.143	NA	-0.162	NA
CNA01240	0.966	0.813	0.914	NA	0.871	0.758	0.86	NA	-0.153	NA	-0.113	NA
CNA01250	0.964	0.761	0.759	NA	0.937	0.769	0.723	NA	-0.203	NA	-0.168	NA
CNA01260	0.942	0.83	0.836	0.767	0.921	0.741	0.776	0.755	-0.112	-0.176	-0.18	-0.166
CNA01270	0.975	0.865	0.759	NA	0.928	0.796	0.733	NA	-0.11	NA	-0.132	NA
CNA01280	0.837	0.813	0.885	0.787	0.78	0.776	0.829	0.704	-0.024	-0.05	-0.004	-0.076
CNA01290	0.904	0.802	0.839	0.941	0.86	0.751	0.8	0.941	-0.102	0.037	-0.109	0.081
CNA01310	0.964	0.809	0.752	NA	0.903	0.758	0.713	NA	-0.155	NA	-0.146	NA
CNA01320	0.945	0.701	0.655	0.812	0.924	0.738	0.675	0.745	-0.244	-0.133	-0.186	-0.179
CNA01330	0.86	0.767	0.81	0.779	0.824	0.758	0.776	0.724	-0.093	-0.081	-0.067	-0.101
CNA01340	0.857	0.865	0.854	0.787	0.844	0.808	0.88	0.762	0.007	-0.07	-0.036	-0.082
CNA01350	0.92	0.817	0.925	0.756	0.779	0.738	0.827	0.707	-0.103	-0.164	-0.041	-0.073
CNA01360	0.945	0.752	0.86	NA	0.91	0.677	0.816	NA	-0.193	NA	-0.233	NA
CNA01370	0.941	0.785	0.819	0.897	0.935	0.729	0.766	0.893	-0.156	-0.044	-0.206	-0.042
CNA01380	0.867	0.781	0.828	0.842	0.868	0.797	0.8	0.816	-0.086	-0.025	-0.072	-0.052
CNA01390	0.897	0.812	0.707	0.732	0.864	0.788	0.733	0.693	-0.085	-0.165	-0.076	-0.171
CNA01400	0.989	0.842	0.683	NA	0.92	0.816	0.681	NA	-0.147	NA	-0.104	NA
CNA01410	0.819	0.87	0.781	0.929	0.739	0.855	0.746	0.839	0.051	0.11	0.116	0.099
CNA01420	0.886	0.825	0.914	0.92	0.887	0.814	0.877	0.867	-0.061	0.034	-0.073	-0.02
CNA01430	0.828	0.914	0.763	0.925	0.844	0.916	0.729	0.766	0.086	0.097	0.072	-0.078
CNA01440	0.756	0.805	0.681	0.888	0.7	0.801	0.54	0.809	0.049	0.132	0.101	0.108
CNA01450	0.977	0.814	0.828	NA	0.949	0.815	0.807	NA	-0.163	NA	-0.134	NA
CNA01460	1	0.727	NA	0.738	0.916	0.706	NA	0.72	-0.273	-0.262	-0.21	-0.196
CNA01470	0.922	0.816	0.792	NA	0.8	0.702	0.827	NA	-0.106	NA	-0.098	NA
CNA01480	0.86	0.759	0.888	0.83	0.836	0.722	0.781	0.802	-0.101	-0.03	-0.114	-0.034
CNA01490	0.945	0.727	0.751	0.842	0.895	0.735	0.734	0.825	-0.218	-0.103	-0.161	-0.07
CNA01500	0.941	0.836	0.83	NA	0.909	0.744	0.71	NA	-0.105	NA	-0.165	NA
CNA01510	0.816	0.844	0.655	NA	0.769	0.775	0.571	NA	0.029	NA	0.006	NA
CNA01520	0.767	0.767	0.795	0.859	0.777	0.751	0.756	0.81	-0	0.092	-0.025	0.033
CNA01530	0.673	1	0.701	NA	0.699	0.922	0.681	NA	0.327	NA	0.223	NA
CNA01540	0.932	0.752	0.897	0.658	0.85	0.739	0.792	0.68	-0.179	-0.274	-0.111	-0.17
CNA01550	0.862	0.989	0.872	NA	0.868	0.917	0.859	NA	0.127	NA	0.049	NA
CNA01560	0.859	0.83	0.756	NA	0.767	0.807	0.758	NA	-0.029	NA	0.04	NA
CNA01580	0.77	0.861	0.725	NA	0.785	0.813	0.663	NA	0.091	NA	0.028	NA
CNA01590	0.805	0.778	0.683	0.872	0.786	0.795	0.674	0.826	-0.027	0.068	0.009	0.04
CNA01600	0.839	0.966	0.888	NA	0.832	0.878	0.779	NA	0.127	NA	0.046	NA
CNA01610	0.888	0.698	0.732	0.87	0.859	0.678	0.73	0.839	-0.19	-0.018	-0.181	-0.02
CNA01620	0.886	0.826	0.86	NA	0.886	0.776	0.825	NA	-0.06	NA	-0.11	NA
CNA01630	0.862	0.817	0.738	0.837	0.829	0.757	0.617	0.815	-0.046	-0.025	-0.072	-0.014
CNA01640	0.888	0.837	0.751	0.803	0.846	0.814	0.711	0.75	-0.051	-0.086	-0.032	-0.096
CNA01650	0.83	0.818	0.839	NA	0.827	0.807	0.787	NA	-0.012	NA	-0.021	NA
CNA01660	0.743	0.86	0.845	0.892	0.76	0.793	0.783	0.9	0.117	0.149	0.033	0.14
CNA01680	0.964	0.899	0.94	0.802	0.951	0.855	0.853	0.758	-0.065	-0.161	-0.096	-0.193
CNA01690	0.897	0.899	0.759	NA	0.868	0.895	0.724	NA	0.001	NA	0.027	NA
CNA01700	0.876	0.676	0.783	NA	0.812	0.628	0.739	NA	-0.2	NA	-0.185	NA
CNA01710	0.842	0.756	0.847	NA	0.827	0.749	0.798	NA	-0.086	NA	-0.078	NA
CNA01720	0.964	0.803	0.767	0.914	0.943	0.771	0.763	0.882	-0.161	-0.05	-0.172	-0.06
CNA01730	0.676	0.761	0.835	NA	0.71	0.767	0.725	NA	0.085	NA	0.056	NA
CNA01740	0.975	0.767	0.865	NA	0.938	0.745	0.857	NA	-0.208	NA	-0.193	NA
CNA01750	0.94	0.86	0.842	NA	0.903	0.844	0.802	NA	-0.08	NA	-0.059	NA
CNA01760	0.805	0.723	0.922	0.911	0.767	0.704	0.914	0.887	-0.081	0.106	-0.064	0.12
CNA01770	0.952	0.823	0.977	NA	0.892	0.811	0.939	NA	-0.129	NA	-0.081	NA
CNA01780	0.85	0.839	0.784	0.74	0.845	0.793	0.757	0.702	-0.011	-0.11	-0.052	-0.144
CNA01790	0.886	0.94	0.884	NA	0.865	0.949	0.802	NA	0.054	NA	0.084	NA
CNA01800	0.966	0.698	0.753	NA	0.902	0.582	0.772	NA	-0.268	NA	-0.319	NA
CNA01810	0.886	0.805	0.828	0.74	0.874	0.773	0.735	0.657	-0.081	-0.146	-0.101	-0.217
CNA01820	0.862	0.802	0.68	NA	0.774	0.818	0.708	NA	-0.061	NA	0.044	NA
CNA01830	1	0.826	0.785	NA	0.918	0.799	0.701	NA	-0.174	NA	-0.119	NA
CNA01840	0.906	0.825	0.925	NA	0.838	0.727	0.843	NA	-0.082	NA	-0.11	NA
CNA01850	0.892	0.888	0.941	0.759	0.879	0.796	0.895	0.723	-0.003	-0.133	-0.083	-0.156
CNA01860	0.94	0.836	0.911	0.795	0.871	0.793	0.815	0.706	-0.105	-0.145	-0.078	-0.165
CNA01870	0.828	0.752	0.966	NA	0.762	0.779	0.863	NA	-0.076	NA	0.017	NA
CNA01880	0.888	0.876	0.819	NA	0.849	0.878	0.82	NA	-0.012	NA	0.029	NA
CNA01890	0.904	0.861	0.888	NA	0.856	0.86	0.803	NA	-0.042	NA	0.003	NA
CNA01900	0.867	0.838	0.805	NA	0.829	0.783	0.709	NA	-0.029	NA	-0.046	NA
CNA01910	0.888	0.786	0.87	NA	0.873	0.686	0.795	NA	-0.102	NA	-0.187	NA
CNA01920	0.86	0.759	0.846	NA	0.86	0.726	0.716	NA	-0.101	NA	-0.134	NA
CNA01930	0.975	0.966	0.92	0.736	0.921	0.924	0.847	0.661	-0.009	-0.239	0.003	-0.26
CNA01940	0.826	0.803	0.676	0.846	0.778	0.796	0.664	0.817	-0.023	0.02	0.018	0.039
CNA01950	0.941	0.819	0.917	0.795	0.903	0.755	0.898	0.815	-0.122	-0.146	-0.148	-0.087
CNA01960	0.975	0.799	0.756	NA	0.963	0.741	0.742	NA	-0.176	NA	-0.222	NA
CNA01980	0.813	0.854	0.81	0.727	0.765	0.801	0.766	0.667	0.041	-0.086	0.036	-0.098
CNA01990	0.851	0.966	0.781	NA	0.858	0.973	0.681	NA	0.115	NA	0.115	NA
CNA02000	0.964	0.873	0.862	NA	0.932	0.872	0.819	NA	-0.09	NA	-0.059	NA
CNA02010	0.837	0.763	0.83	0.742	0.737	0.723	0.769	0.702	-0.074	-0.095	-0.015	-0.036
CNA02015	0.952	0.811	0.885	0.784	0.859	0.811	0.854	0.758	-0.141	-0.168	-0.048	-0.101
CNA02020	0.779	0.92	0.805	NA	0.79	0.836	0.708	NA	0.14	NA	0.046	NA
CNA02030	0.822	0.862	0.904	NA	0.815	0.844	0.842	NA	0.041	NA	0.028	NA
CNA02040	0.886	0.899	0.836	NA	0.834	0.835	0.823	NA	0.013	NA	0	NA
CNA02050	0.862	0.85	0.673	NA	0.874	0.861	0.663	NA	-0.012	NA	-0.012	NA
CNA02055	0.87	0.899	0.734	NA	0.842	0.862	0.705	NA	0.028	NA	0.02	NA
CNA02060	0.867	0.785	0.818	0.844	0.807	0.716	0.796	0.828	-0.083	-0.023	-0.091	0.021
CNA02080	0.872	0.785	0.736	NA	0.797	0.798	0.682	NA	-0.087	NA	0.001	NA
CNA02090	0.964	0.899	0.904	0.781	0.902	0.839	0.903	0.73	-0.064	-0.183	-0.063	-0.173
CNA02100	0.836	0.734	0.741	0.827	0.838	0.659	0.69	0.798	-0.102	-0.009	-0.179	-0.04
CNA02115	0.975	0.899	0.783	0.86	0.848	0.801	0.743	0.83	-0.076	-0.115	-0.047	-0.017
CNA02120	0.828	0.914	0.805	0.787	0.789	0.87	0.778	0.776	0.085	-0.041	0.081	-0.013
CNA02125	0.779	0.733	0.743	0.74	0.689	0.736	0.761	0.674	-0.047	-0.039	0.047	-0.015
CNA02130	0.964	0.787	0.751	0.733	0.892	0.781	0.666	0.735	-0.177	-0.231	-0.111	-0.158
CNA02140	0.886	0.839	0.859	0.803	0.85	0.792	0.879	0.783	-0.046	-0.083	-0.058	-0.068
CNA02150	0.906	0.822	0.68	0.862	0.85	0.794	0.627	0.773	-0.085	-0.044	-0.056	-0.077
CNA02160	0.915	0.784	0.681	0.75	0.85	0.788	0.718	0.729	-0.13	-0.165	-0.061	-0.12
CNA02170	0.897	0.793	0.768	0.785	0.889	0.709	0.72	0.719	-0.104	-0.112	-0.18	-0.17
CNA02180	0.977	0.884	0.837	0.844	0.898	0.828	0.821	0.799	-0.093	-0.133	-0.07	-0.099
CNA02205	0.809	0.785	0.929	0.911	0.731	0.792	0.874	0.865	-0.024	0.102	0.062	0.134
CNA02210	0.841	0.758	0.925	0.837	0.855	0.718	0.856	0.828	-0.083	-0.004	-0.136	-0.026
CNA02220	0.977	0.886	0.865	NA	0.942	0.83	0.83	NA	-0.091	NA	-0.112	NA
CNA02230	0.952	0.899	0.863	0.707	0.923	0.772	0.832	0.721	-0.053	-0.245	-0.151	-0.201
CNA02240	0.915	0.94	0.73	NA	0.811	0.843	0.685	NA	0.025	NA	0.032	NA
CNA02250	1	0.736	0.77	0.814	0.927	0.782	0.673	0.782	-0.264	-0.186	-0.145	-0.145
CNA02260	0.966	0.841	0.725	0.756	0.951	0.771	0.664	0.762	-0.125	-0.211	-0.18	-0.189
CNA02270	0.945	0.756	0.899	NA	0.929	0.712	0.782	NA	-0.19	NA	-0.217	NA
CNA02290	0.86	0.842	0.964	NA	0.845	0.817	0.915	NA	-0.018	NA	-0.028	NA
CNA02300	0.851	0.975	0.785	0.821	0.815	0.931	0.752	0.739	0.123	-0.03	0.116	-0.077
CNA02310	0.904	0.888	0.828	NA	0.816	0.868	0.762	NA	-0.016	NA	0.052	NA
CNA02330	0.906	0.787	0.989	NA	0.873	0.796	0.876	NA	-0.119	NA	-0.078	NA
CNA02335	0.836	0.86	0.683	NA	0.796	0.811	0.666	NA	0.024	NA	0.015	NA
CNA02340	0.897	0.68	0.816	0.839	0.871	0.693	0.779	0.844	-0.217	-0.057	-0.177	-0.027
CNA02350	0.837	0.812	0.865	0.837	0.839	0.805	0.812	0.835	-0.025	0	-0.033	-0.004
CNA02360	0.886	0.895	0.859	0.725	0.857	0.862	0.849	0.748	0.009	-0.161	0.005	-0.109
CNA02370	0.92	0.762	0.776	0.718	0.907	0.756	0.747	0.742	-0.158	-0.202	-0.151	-0.166
CNA02380	0.827	0.975	0.725	0.816	0.734	0.919	0.699	0.766	0.148	-0.011	0.185	0.032
CNA02390	0.964	0.738	0.841	0.989	0.948	0.684	0.823	0.838	-0.226	0.025	-0.265	-0.111
CNA02400	0.863	0.77	0.929	0.736	0.874	0.749	0.911	0.642	-0.093	-0.127	-0.125	-0.232
CNA02405	0.828	0.781	0.77	0.698	0.776	0.721	0.76	0.701	-0.047	-0.13	-0.055	-0.075
CNA02410	0.92	0.759	0.812	0.792	0.892	0.729	0.775	0.741	-0.161	-0.128	-0.162	-0.151
CNA02420	1	0.892	0.837	0.854	0.866	0.785	0.776	0.85	-0.108	-0.146	-0.081	-0.016
CNA02430	0.906	0.763	0.865	0.805	0.852	0.738	0.771	0.754	-0.143	-0.101	-0.114	-0.098
CNA02440	0.886	0.863	0.817	NA	0.877	0.829	0.791	NA	-0.023	NA	-0.048	NA
CNA02450	0.964	0.873	0.818	NA	0.937	0.79	0.736	NA	-0.09	NA	-0.147	NA
CNA02460	0.92	0.785	0.839	0.989	0.894	0.799	0.811	0.874	-0.135	0.069	-0.094	-0.019
CNA02470	0.814	0.865	0.932	NA	0.795	0.828	0.906	NA	0.051	NA	0.033	NA
CNA02480	0.977	0.698	0.841	NA	0.935	0.707	0.811	NA	-0.279	NA	-0.228	NA
