# hiTE_cc.txt
# Genes with high translation efficiency
# In both H99 and JEC21:
#   - in top 50% by RNA abundance
#   - TE > 2 in both H99 and JEC21
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_04904	CNJ03270	79.43	202.793	2.553	39.916	181.598	4.55
CNAG_02918	CNC05280	91.965	348.049	3.785	125.711	416.54	3.313
CNAG_05301	CNH03300	28.388	94.511	3.329	26.408	98.764	3.74
CNAG_04609	CNJ00490	80.939	201.364	2.488	55.356	252.412	4.56
CNAG_05932	CNF00430	217.315	634.754	2.921	125.293	514.736	4.108
CNAG_00061	CNA00510	475.58	995.491	2.093	343.983	1664.252	4.838
CNAG_01164	CND02900	135.664	340.648	2.511	37.18	158.843	4.272
CNAG_03168	CNG03990	46.54	180.74	3.884	66.225	190.291	2.873
CNAG_00100	CNA00910	184.217	520.712	2.827	102.19	396.241	3.878
CNAG_06755	CNB00480	130.807	267.056	2.042	52.373	243.646	4.652
CNAG_01657	CNC01700	182.867	390.574	2.136	126.865	575.953	4.54
CNAG_00334	CNA03160	1295.266	3534.15	2.729	1135.824	4475.154	3.94
CNAG_00143	CNA01310	56.178	136.358	2.427	41.647	176.44	4.237
CNAG_02763	CNC03850	66.23	195.781	2.956	52.061	191.707	3.682
CNAG_04738	CNJ01680	60.486	173.549	2.869	36.207	133.675	3.692
CNAG_06400	CNN01260	368.243	798.178	2.168	317.671	1391.391	4.38
CNAG_04969	CNL06460	204.275	605.112	2.962	229.457	808.581	3.524
CNAG_02099	CNE04370	84.104	226.372	2.692	104.876	395.617	3.772
CNAG_04179	CNI03160	159.957	432.358	2.703	120.727	453.395	3.756
CNAG_05070	CNL05500	57.043	208.988	3.664	87.882	244.573	2.783
CNAG_04082	CNB05640	120.744	365.831	3.03	132.286	448.504	3.39
CNAG_02726	CNC03540	111.377	362.033	3.251	114.833	361.91	3.152
CNAG_02100	CNE04360	102.265	287.779	2.814	115.177	411.833	3.576
CNAG_01820	CNC03080	341.772	741.319	2.169	318.951	1345.618	4.219
CNAG_01984	CNK03170	970.327	2591.612	2.671	1125.613	4128.151	3.667
CNAG_01361	CND04770	148.717	447.821	3.011	127.766	422.081	3.304
CNAG_02208	CNE03330	62.316	166.911	2.678	51.878	187.394	3.612
CNAG_04803	CNJ02300	37.326	108.15	2.897	29.324	99.388	3.389
CNAG_00774	CNA07520	74.127	257.861	3.479	112.136	311.249	2.776
CNAG_03281	CNG02940	710.172	1894.455	2.668	669.484	2340.988	3.497
CNAG_03311	CNG02670	156.25	403.339	2.581	188.26	669.547	3.556
CNAG_03457	CNG01310	115.365	296.264	2.568	84.532	301.736	3.569
CNAG_03701	CNB01990	27.316	78.206	2.863	33.351	108.918	3.266
CNAG_05759	CNF02180	87.385	242.107	2.771	60.231	198.026	3.288
CNAG_00104	CNA00950	53.961	124.668	2.31	39.292	146.882	3.738
CNAG_02377	CNE01720	51.343	103.266	2.011	28.486	114	4.002
CNAG_00886	CND00240	428.828	940.533	2.193	405.702	1536.876	3.788
CNAG_04601	CNJ00410	393.988	857.084	2.175	344.954	1309.572	3.796
CNAG_05826	CNF01540	97.525	273.323	2.803	90.521	286.785	3.168
CNAG_06906	CNK00210	163.821	364.39	2.224	83.243	308.923	3.711
CNAG_04798	CNJ02250	91.682	217.53	2.373	79.848	277.039	3.47
CNAG_03476	CNG01150	211.3	505.799	2.394	191.679	645.531	3.368
CNAG_06535	CNF04820	61.068	194.567	3.186	82.545	211.637	2.564
CNAG_00256	CNA02450	92.794	307.158	3.31	133.672	319.945	2.394
CNAG_04215	CNI03560	99.198	253.454	2.555	66.117	207.836	3.143
CNAG_04192	CNI03300	47.252	117.263	2.482	43.587	139.96	3.211
CNAG_03588	CNG00170	55.196	134.56	2.438	48.783	158.526	3.25
CNAG_06563	CNF04540	117.657	329.507	2.801	119.017	342.953	2.882
CNAG_00573	CNA05580	240.642	695.64	2.891	231.225	645.06	2.79
CNAG_00797	CNA07740	107.162	223.536	2.086	90.123	323.853	3.593
CNAG_05554	CNH02030	104.226	344.069	3.301	114.171	268.889	2.355
CNAG_03606	CNB01090	83.198	204.516	2.458	71.859	227.639	3.168
CNAG_04441	CNI01160	248.221	778.847	3.138	399.054	986.33	2.472
CNAG_06635	CNF03820	52.795	146.94	2.783	44.043	122.538	2.782
CNAG_03553	CNG00490	28.795	63.851	2.217	26.786	89.267	3.333
CNAG_00649	CNA06290	85.603	211.748	2.474	72.96	224.275	3.074
CNAG_00386	CNA03740	56.878	135.324	2.379	57.827	182.59	3.158
CNAG_03225	CNG03490	643.187	1383.325	2.151	502.416	1693.047	3.37
CNAG_03598	CNB01010	64.418	154.513	2.399	44.179	137.731	3.118
CNAG_06180	CNM01810	201.222	604.673	3.005	248.281	616.155	2.482
CNAG_03765	CNB02610	55.036	142.95	2.597	25.587	73.875	2.887
CNAG_05722	CNF02520	126.662	258.401	2.04	90.594	311.559	3.439
CNAG_03266	CNG03100	81.253	175.874	2.165	92.985	308.177	3.314
CNAG_05893	CNF00800	84.065	202.36	2.407	43.873	134.249	3.06
CNAG_02457	CNE01010	43.988	88.613	2.014	34.074	117.25	3.441
CNAG_01745	CNC02480	93.643	230.625	2.463	27.337	81.202	2.97
CNAG_04762	CNJ01920	1277.893	3504.031	2.742	1290.334	3460.671	2.682
CNAG_06248	CNM02490	68.305	144.293	2.112	58.568	193.807	3.309
CNAG_05935	CNF00400	131.114	343.012	2.616	79.978	221.951	2.775
CNAG_01404	CND05160	173.24	402.857	2.325	166.469	509.629	3.061
CNAG_07808	CNL05470	51.388	124.461	2.422	28.437	83.548	2.938
CNAG_01395	CND05060	109.782	242.555	2.209	73.127	230.354	3.15
CNAG_00930	CND00700	332.891	797.899	2.397	311.185	918.707	2.952
CNAG_05768	CNF02100	26.183	71.273	2.722	29.181	76.599	2.625
CNAG_05355	CNH00220	45.861	102.429	2.233	28.712	88.838	3.094
CNAG_03787	CNB02810	325.879	710.22	2.179	305.528	944.691	3.092
CNAG_03931	CNB04190	212.523	490.845	2.31	167.279	490.573	2.933
CNAG_00891	CND00300	204.705	454.557	2.221	162.307	489.376	3.015
CNAG_00730	CNA07090	54.978	117.407	2.136	43.732	134.68	3.08
CNAG_06644	CNF03720	61.938	133.274	2.152	55.131	167.663	3.041
CNAG_01655	CNC01680	44.221	102.572	2.32	33.601	96.25	2.864
CNAG_05235	CNL03930	1181.91	2716.16	2.298	872.817	2499.283	2.863
CNAG_03948	CNB04350	157.711	388.944	2.466	127.661	340.931	2.671
CNAG_02852	CNC04690	109.768	305.276	2.781	66.574	156.712	2.354
CNAG_03226	CNG03480	252.898	555.217	2.195	224.902	660.903	2.939
CNAG_00176	CNA01640	152.016	358.66	2.359	113.761	315.195	2.771
CNAG_03322	CNG02560	196.548	557.727	2.838	346.16	791.673	2.287
CNAG_00743	CNA07220	59.137	168.36	2.847	98.518	223.846	2.272
CNAG_04066	CNB05500	330.04	771.49	2.338	264.487	731.778	2.767
CNAG_06545	CNF04720	46.244	102.869	2.224	47.869	137.276	2.868
CNAG_04684	CNJ01150	48.453	112.721	2.326	45.299	125.256	2.765
CNAG_05398	CNH00670	69.439	188.763	2.718	83.911	197.691	2.356
CNAG_03634	CNB01360	37.341	103.975	2.784	43.26	97.716	2.259
CNAG_00754	CNA07330	117.703	275.467	2.34	114.455	308.686	2.697
CNAG_04439	CNI01180	58.495	117.921	2.016	62.008	186.187	3.003
CNAG_05314	CNH03190	56.601	143.318	2.532	53.125	131.625	2.478
CNAG_01812	CNC03010	199.978	443.979	2.22	201.643	561.814	2.786
CNAG_04485	CNI00710	66.807	142.104	2.127	45.481	130.772	2.875
CNAG_05828	CNF01520	55.34	133.588	2.414	44.779	115.026	2.569
CNAG_04676	CNJ01080	76.061	193.833	2.548	69.507	168.927	2.43
CNAG_01428	CND05400	2446.637	5491.768	2.245	2218.696	6063.587	2.733
CNAG_05351	CNH00170	185.951	502.18	2.701	228.317	518.703	2.272
CNAG_02810	CNC04280	78.119	194.061	2.484	68.187	168.767	2.475
CNAG_04584	CNJ00260	122.899	312.025	2.539	100.905	242.23	2.401
CNAG_02486	CNE00740	186.423	450.173	2.415	193.179	486.123	2.516
CNAG_03722	CNB02200	158.424	386.219	2.438	181.762	448.152	2.466
CNAG_05125	CNL04950	55.625	130.233	2.341	63.259	161.825	2.558
CNAG_06314	CNN00440	68.876	192.486	2.795	150.265	314.95	2.096
CNAG_04114	CNI04340	1419.007	2963.125	2.088	1024.258	2848.41	2.781
CNAG_06849	CND06290	106.077	267.289	2.52	129.456	302.004	2.333
CNAG_00116	CNA01060	1686.337	4029.487	2.389	1696.181	4104.666	2.42
CNAG_01182	CND03070	182.093	439.362	2.413	156.306	372.188	2.381
CNAG_02267	CNE02770	48.854	118.753	2.431	65.27	145.631	2.231
CNAG_04872	CNJ02990	47.025	115.964	2.466	47.088	103.253	2.193
CNAG_04976	CNL06390	300.251	661.365	2.203	273.7	672.224	2.456
CNAG_01158	CND02880	102.039	231.575	2.269	85.642	204.622	2.389
CNAG_05725	CNF02480	1189.835	2668.535	2.243	1349.702	3242.014	2.402
CNAG_04287	CNI02620	115.096	302.778	2.631	140.862	282.143	2.003
CNAG_03245	CNG03280	213.468	438.998	2.057	151.176	388.786	2.572
CNAG_00741	CNA07200	345.428	708.523	2.051	275.99	708.868	2.568
CNAG_05638	CNH02790	303.145	627.755	2.071	88.129	223.129	2.532
CNAG_04776	CNJ02040	106.047	270.771	2.553	159.839	327.381	2.048
CNAG_01435	CND05490	189.961	402.047	2.116	172.989	428.912	2.479
CNAG_01477	CNC07020	25.901	58.24	2.249	36.26	84.393	2.327
CNAG_03975	CNB04640	57.952	127.355	2.198	47.09	111.949	2.377
CNAG_01991	CNK03240	816.952	1809.392	2.215	590.363	1392.942	2.359
CNAG_04168	CNI03050	200.42	439.569	2.193	146.938	342.427	2.33
CNAG_06377	CNN01030	1319.433	2670.761	2.024	1087.801	2671.576	2.456
CNAG_05424	CNH00910	542.949	1133.093	2.087	823.217	1956.731	2.377
CNAG_00329	CNA03110	232.565	511.08	2.198	197.039	446.134	2.264
CNAG_06578	CNF04400	234.66	472.126	2.012	71.793	173.994	2.424
CNAG_01664	CNC01750	60.814	124.137	2.041	47.529	113.718	2.393
CNAG_04340	CNI02100	58.372	117.218	2.008	36.941	89.217	2.415
CNAG_05416	CNH00830	63.387	141.962	2.24	58.368	123.97	2.124
CNAG_00417	CNA04050	1152.058	2382.675	2.068	1161.355	2654.85	2.286
CNAG_02035	CNE05000	402.233	863.815	2.148	380.913	811.12	2.129
CNAG_03577	CNG00300	1649.528	3351.185	2.032	1690.115	3747.789	2.217
CNAG_01021	CND01510	99.796	213.996	2.144	100.23	210.826	2.103
CNAG_00935	CND00750	294.375	601.088	2.042	305.247	673.116	2.205
CNAG_02133	CNE04030	153.588	326.746	2.127	114.013	228.543	2.005
CNAG_05277	CNH03510	149.224	300.613	2.015	117.679	245.976	2.09
