# scores_kozak_H99.txt
# Scores of ATG context against Kozak sequence, C. neoformans serotype A H99
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: H99 systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# u1.scorekn: score of 1st upstream ATG in 5' UTR against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn	d2.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	d2.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
CNAG_00091	0.828	0.929	0.688	NA	0.845	0.925	0.671	NA	0.101	NA	0.081	NA
CNAG_00092	0.975	0.905	1	NA	0.927	0.822	0.871	NA	-0.07	NA	-0.105	NA
CNAG_00093	0.73	0.746	0.854	0.812	0.734	0.738	0.795	0.746	0.016	0.082	0.004	0.012
CNAG_00094	0.968	0.787	0.763	0.812	0.974	0.782	0.651	0.798	-0.181	-0.157	-0.192	-0.176
CNAG_00095	0.795	0.88	0.902	NA	0.78	0.861	0.841	NA	0.085	NA	0.081	NA
CNAG_00096	0.794	0.882	0.757	NA	0.739	0.772	0.737	NA	0.088	NA	0.033	NA
CNAG_00097	0.896	0.779	0.968	0.753	0.875	0.746	0.87	0.757	-0.117	-0.143	-0.129	-0.118
CNAG_00098	0.786	0.897	0.752	NA	0.731	0.883	0.74	NA	0.111	NA	0.152	NA
CNAG_00099	0.966	0.907	0.845	NA	0.915	0.856	0.795	NA	-0.059	NA	-0.059	NA
CNAG_00100	0.966	0.733	0.818	0.792	0.931	0.743	0.752	0.767	-0.233	-0.174	-0.188	-0.164
CNAG_00101	0.953	0.717	0.847	NA	0.928	0.671	0.805	NA	-0.236	NA	-0.257	NA
CNAG_00104	0.935	0.812	0.841	NA	0.917	0.776	0.806	NA	-0.124	NA	-0.142	NA
CNAG_00106	0.975	0.854	0.835	0.882	0.927	0.797	0.787	0.796	-0.121	-0.094	-0.129	-0.13
CNAG_00107	0.82	0.896	0.893	0.665	0.774	0.869	0.818	0.68	0.075	-0.156	0.095	-0.094
CNAG_00108	0.978	0.704	0.799	NA	0.94	0.674	0.772	NA	-0.274	NA	-0.266	NA
CNAG_00109	1	0.808	0.84	NA	0.953	0.747	0.822	NA	-0.192	NA	-0.206	NA
CNAG_00110	0.891	0.77	0.873	NA	0.848	0.737	0.815	NA	-0.121	NA	-0.111	NA
CNAG_00111	0.873	0.854	0.896	NA	0.871	0.747	0.844	NA	-0.018	NA	-0.124	NA
CNAG_00115	0.929	0.99	0.733	0.817	0.859	0.904	0.688	0.74	0.062	-0.112	0.045	-0.119
CNAG_00116	0.938	0.818	0.776	NA	0.854	0.8	0.69	NA	-0.12	NA	-0.054	NA
CNAG_00117	0.966	0.787	0.907	NA	0.906	0.725	0.846	NA	-0.179	NA	-0.181	NA
CNAG_00118	0.864	0.728	0.825	NA	0.818	0.734	0.819	NA	-0.136	NA	-0.084	NA
CNAG_00119	0.912	0.858	0.662	0.809	0.894	0.843	0.644	0.772	-0.054	-0.103	-0.051	-0.122
CNAG_00120	0.99	0.92	0.916	0.724	0.955	0.874	0.823	0.721	-0.07	-0.267	-0.081	-0.233
CNAG_00121	0.978	0.807	0.633	NA	0.959	0.802	0.59	NA	-0.171	NA	-0.157	NA
CNAG_00122	0.922	0.746	0.783	0.704	0.905	0.72	0.74	0.677	-0.176	-0.218	-0.185	-0.228
CNAG_00123	0.895	0.873	0.898	0.857	0.829	0.819	0.784	0.856	-0.022	-0.038	-0.01	0.027
CNAG_00124	0.916	0.826	0.828	0.861	0.883	0.786	0.746	0.837	-0.09	-0.056	-0.096	-0.046
CNAG_00125	0.857	0.707	0.834	0.897	0.818	0.712	0.806	0.869	-0.15	0.041	-0.107	0.051
CNAG_00126	0.92	0.753	0.757	0.945	0.892	0.659	0.75	0.921	-0.167	0.025	-0.232	0.03
CNAG_00127	0.838	0.747	0.844	NA	0.765	0.733	0.813	NA	-0.091	NA	-0.032	NA
CNAG_00128	0.858	0.795	0.845	NA	0.862	0.71	0.842	NA	-0.063	NA	-0.151	NA
CNAG_00129	0.871	0.73	0.787	NA	0.816	0.679	0.739	NA	-0.141	NA	-0.137	NA
CNAG_00130	0.904	0.75	0.919	0.874	0.9	0.707	0.89	0.8	-0.154	-0.031	-0.194	-0.1
CNAG_00131	0.762	0.845	0.871	NA	0.751	0.841	0.832	NA	0.083	NA	0.09	NA
CNAG_00132	0.747	0.79	0.849	0.77	0.659	0.755	0.718	0.754	0.042	0.023	0.096	0.095
CNAG_00133	0.966	0.88	0.861	NA	0.895	0.861	0.8	NA	-0.086	NA	-0.034	NA
CNAG_00134	0.92	0.84	0.82	NA	0.9	0.762	0.728	NA	-0.08	NA	-0.138	NA
CNAG_00135	0.922	0.825	0.825	NA	0.895	0.811	0.77	NA	-0.097	NA	-0.084	NA
CNAG_00136	0.897	0.753	0.763	NA	0.876	0.72	0.735	NA	-0.145	NA	-0.156	NA
CNAG_00137	0.968	0.819	0.906	NA	0.873	0.752	0.853	NA	-0.15	NA	-0.121	NA
CNAG_00138	0.966	0.816	0.763	NA	0.939	0.813	0.73	NA	-0.15	NA	-0.126	NA
CNAG_00139	0.945	0.819	0.835	NA	0.882	0.81	0.787	NA	-0.126	NA	-0.072	NA
CNAG_00140	0.975	0.854	0.747	NA	0.935	0.785	0.75	NA	-0.121	NA	-0.15	NA
CNAG_00141	0.849	0.878	0.73	0.784	0.797	0.829	0.711	0.762	0.029	-0.065	0.032	-0.035
CNAG_00142	0.902	0.809	0.845	0.895	0.863	0.733	0.803	0.886	-0.093	-0.008	-0.13	0.023
CNAG_00143	0.966	0.686	0.809	NA	0.91	0.725	0.755	NA	-0.28	NA	-0.185	NA
CNAG_00144	0.945	0.691	0.633	0.945	0.922	0.734	0.647	0.872	-0.254	0	-0.187	-0.049
CNAG_00145	0.938	0.845	0.906	NA	0.912	0.799	0.876	NA	-0.094	NA	-0.113	NA
CNAG_00146	0.857	0.845	0.871	0.73	0.837	0.87	0.802	0.684	-0.012	-0.127	0.032	-0.153
CNAG_00147	0.92	0.808	0.807	NA	0.784	0.771	0.737	NA	-0.112	NA	-0.014	NA
CNAG_00148	0.85	0.821	0.809	0.783	0.827	0.786	0.749	0.77	-0.029	-0.067	-0.041	-0.057
CNAG_00149	0.944	0.865	0.827	NA	0.915	0.792	0.773	NA	-0.079	NA	-0.123	NA
CNAG_00150	0.99	0.785	0.871	NA	0.961	0.786	0.827	NA	-0.205	NA	-0.175	NA
CNAG_00151	0.88	0.912	0.747	NA	0.838	0.873	0.742	NA	0.032	NA	0.035	NA
CNAG_00152	0.99	0.831	0.757	NA	0.914	0.812	0.703	NA	-0.159	NA	-0.102	NA
CNAG_00153	0.849	0.809	0.854	0.929	0.78	0.725	0.78	0.878	-0.04	0.08	-0.055	0.098
CNAG_00154	0.895	0.831	0.906	0.724	0.883	0.815	0.871	0.667	-0.064	-0.171	-0.068	-0.216
CNAG_00155	0.753	0.737	0.847	NA	0.739	0.699	0.72	NA	-0.016	NA	-0.04	NA
CNAG_00156	0.978	0.819	0.828	0.847	0.931	0.814	0.81	0.771	-0.159	-0.131	-0.116	-0.16
CNAG_00157	1	0.801	0.724	0.821	0.964	0.789	0.696	0.795	-0.199	-0.179	-0.175	-0.17
CNAG_00158	0.893	0.789	0.883	NA	0.793	0.824	0.781	NA	-0.103	NA	0.032	NA
CNAG_00159	0.809	0.688	0.845	0.907	0.784	0.671	0.76	0.896	-0.121	0.098	-0.113	0.112
CNAG_00160	0.857	0.896	0.825	NA	0.832	0.819	0.814	NA	0.039	NA	-0.013	NA
CNAG_00161	0.847	0.724	0.747	NA	0.804	0.7	0.718	NA	-0.124	NA	-0.104	NA
CNAG_00162	0.792	0.801	0.841	0.819	0.791	0.762	0.722	0.757	0.009	0.026	-0.029	-0.035
CNAG_00163	0.85	0.896	0.851	0.728	0.813	0.869	0.778	0.735	0.046	-0.122	0.056	-0.078
CNAG_00164	0.822	0.882	0.813	NA	0.8	0.867	0.825	NA	0.059	NA	0.068	NA
CNAG_00165	0.662	1	0.691	NA	0.686	0.919	0.658	NA	0.338	NA	0.233	NA
CNAG_00166	0.73	0.935	0.75	NA	0.707	0.856	0.738	NA	0.205	NA	0.149	NA
CNAG_00167	0.871	0.99	0.953	0.922	0.863	0.93	0.918	0.899	0.119	0.051	0.067	0.036
CNAG_00171	0.816	0.841	0.662	0.762	0.796	0.854	0.663	0.733	0.025	-0.054	0.058	-0.063
CNAG_00172	0.828	0.882	0.783	NA	0.833	0.782	0.779	NA	0.054	NA	-0.051	NA
CNAG_00173	0.89	0.738	0.688	0.906	0.86	0.752	0.664	0.865	-0.151	0.017	-0.108	0.005
CNAG_00174	0.858	0.929	0.966	NA	0.839	0.888	0.878	NA	0.071	NA	0.049	NA
CNAG_00175	0.867	0.807	0.938	0.797	0.831	0.747	0.861	0.798	-0.06	-0.071	-0.084	-0.033
CNAG_00176	0.897	0.819	0.747	NA	0.893	0.794	0.71	NA	-0.079	NA	-0.099	NA
CNAG_00177	0.841	0.701	0.808	NA	0.834	0.693	0.794	NA	-0.139	NA	-0.141	NA
CNAG_00178	0.741	0.836	0.788	0.953	0.752	0.796	0.788	0.95	0.095	0.212	0.044	0.197
CNAG_00179	0.811	0.907	0.938	0.808	0.812	0.861	0.855	0.759	0.096	-0.003	0.049	-0.053
CNAG_00180	0.953	1	0.834	0.861	0.895	0.968	0.783	0.826	0.047	-0.093	0.073	-0.069
CNAG_00181	0.907	0.665	0.783	NA	0.841	0.622	0.781	NA	-0.242	NA	-0.218	NA
CNAG_00182	0.966	0.759	0.845	NA	0.879	0.754	0.806	NA	-0.207	NA	-0.124	NA
CNAG_00183	0.819	0.975	0.801	0.882	0.744	0.931	0.78	0.866	0.157	0.063	0.187	0.122
CNAG_00184	0.762	0.766	0.814	NA	0.771	0.766	0.713	NA	0.004	NA	-0.005	NA
CNAG_00185	0.975	0.776	0.854	NA	0.941	0.741	0.849	NA	-0.199	NA	-0.2	NA
CNAG_00186	0.975	0.841	0.831	0.792	0.932	0.825	0.789	0.772	-0.135	-0.183	-0.107	-0.16
CNAG_00187	0.812	0.785	1	0.919	0.74	0.763	0.983	0.88	-0.027	0.107	0.023	0.14
CNAG_00188	0.975	0.856	0.821	NA	0.937	0.817	0.793	NA	-0.12	NA	-0.121	NA
CNAG_00189	0.858	0.849	0.788	0.784	0.845	0.792	0.768	0.747	-0.01	-0.074	-0.053	-0.098
CNAG_00190	0.895	0.916	0.893	NA	0.871	0.924	0.816	NA	0.021	NA	0.053	NA
CNAG_00191	0.907	0.92	0.699	0.73	0.874	0.869	0.722	0.711	0.014	-0.176	-0.005	-0.163
CNAG_00192	0.84	0.747	0.896	NA	0.836	0.722	0.845	NA	-0.093	NA	-0.115	NA
CNAG_00193	0.786	0.813	0.935	NA	0.715	0.82	0.867	NA	0.028	NA	0.106	NA
CNAG_00194	1	0.776	0.916	NA	0.874	0.748	0.842	NA	-0.224	NA	-0.126	NA
CNAG_00195	0.816	0.968	0.831	NA	0.769	0.903	0.74	NA	0.152	NA	0.134	NA
CNAG_00229	0.776	0.821	0.797	0.834	0.746	0.753	0.796	0.837	0.045	0.058	0.007	0.091
CNAG_00231	0.85	0.809	0.916	0.834	0.849	0.759	0.847	0.821	-0.041	-0.016	-0.09	-0.027
CNAG_00232	0.978	0.895	0.873	NA	0.942	0.829	0.832	NA	-0.083	NA	-0.113	NA
CNAG_00233	0.916	0.905	0.861	0.695	0.896	0.79	0.824	0.71	-0.011	-0.221	-0.106	-0.185
CNAG_00234	0.912	0.938	0.814	NA	0.815	0.857	0.75	NA	0.026	NA	0.041	NA
CNAG_00235	1	0.739	0.691	NA	0.971	0.781	0.592	NA	-0.261	NA	-0.19	NA
CNAG_00236	0.968	0.831	0.85	0.701	0.951	0.807	0.777	0.719	-0.137	-0.267	-0.144	-0.232
CNAG_00237	0.945	0.759	0.907	NA	0.921	0.721	0.793	NA	-0.186	NA	-0.2	NA
CNAG_00238	0.902	0.849	0.966	NA	0.881	0.82	0.913	NA	-0.054	NA	-0.06	NA
CNAG_00239	0.834	0.975	0.845	0.766	0.82	0.937	0.833	0.682	0.141	-0.068	0.117	-0.138
CNAG_00240	0.966	0.897	0.868	NA	0.927	0.872	0.765	NA	-0.069	NA	-0.055	NA
CNAG_00241	0.905	0.724	0.935	NA	0.879	0.751	0.841	NA	-0.182	NA	-0.129	NA
CNAG_00242	0.834	0.85	0.841	0.75	0.794	0.837	0.796	0.748	0.016	-0.084	0.044	-0.046
CNAG_00243	0.904	0.826	0.821	0.828	0.869	0.78	0.798	0.834	-0.079	-0.077	-0.089	-0.035
CNAG_00246	0.895	0.878	0.868	NA	0.883	0.842	0.803	NA	-0.017	NA	-0.041	NA
CNAG_00247	0.758	0.902	0.757	0.699	0.714	0.89	0.747	0.674	0.144	-0.059	0.176	-0.04
CNAG_00248	0.838	0.975	0.715	NA	0.742	0.926	0.685	NA	0.137	NA	0.184	NA
CNAG_00249	0.762	0.966	0.733	NA	0.764	0.923	0.685	NA	0.204	NA	0.159	NA
CNAG_00250	0.968	0.882	0.938	NA	0.958	0.833	0.844	NA	-0.086	NA	-0.125	NA
CNAG_00251	0.809	0.789	0.733	0.704	0.776	0.735	0.719	0.694	-0.02	-0.105	-0.04	-0.081
CNAG_00252	0.92	0.752	0.856	0.792	0.831	0.72	0.816	0.775	-0.168	-0.128	-0.111	-0.056
CNAG_00253	0.945	0.89	0.88	0.786	0.83	0.789	0.807	0.714	-0.055	-0.159	-0.041	-0.116
CNAG_00254	0.966	0.665	0.759	0.867	0.89	0.658	0.732	0.864	-0.301	-0.099	-0.232	-0.026
CNAG_00255	0.845	0.858	0.807	NA	0.855	0.82	0.776	NA	0.013	NA	-0.035	NA
CNAG_00256	0.822	0.779	0.881	NA	0.829	0.714	0.774	NA	-0.043	NA	-0.115	NA
CNAG_00257	0.92	0.835	0.844	0.905	0.89	0.834	0.84	0.859	-0.085	-0.015	-0.056	-0.031
CNAG_00258	0.89	0.854	0.874	0.776	0.813	0.772	0.797	0.738	-0.035	-0.113	-0.041	-0.075
CNAG_00259	0.978	0.75	0.85	NA	0.977	0.743	0.81	NA	-0.228	NA	-0.234	NA
CNAG_00260	0.92	0.874	0.819	NA	0.909	0.807	0.787	NA	-0.046	NA	-0.102	NA
CNAG_00261	0.904	0.841	0.92	NA	0.906	0.811	0.867	NA	-0.064	NA	-0.095	NA
CNAG_00262	0.929	0.738	0.912	0.766	0.855	0.74	0.864	0.742	-0.19	-0.163	-0.114	-0.112
CNAG_00263	0.813	0.743	0.896	0.92	0.792	0.736	0.78	0.885	-0.07	0.107	-0.056	0.092
CNAG_00264	0.857	0.811	0.812	0.79	0.771	0.745	0.721	0.707	-0.046	-0.067	-0.026	-0.065
CNAG_00265	0.975	0.809	0.665	NA	0.911	0.796	0.676	NA	-0.167	NA	-0.115	NA
CNAG_00266	0.898	0.747	0.786	0.675	0.822	0.717	0.767	0.678	-0.15	-0.223	-0.106	-0.144
CNAG_00267	0.762	0.686	0.821	NA	0.778	0.671	0.738	NA	-0.076	NA	-0.107	NA
CNAG_00268	1	1	0.633	NA	0.956	0.958	0.633	NA	0	NA	0.001	NA
CNAG_00269	0.898	0.767	0.733	NA	0.872	0.71	0.684	NA	-0.13	NA	-0.162	NA
CNAG_00270	0.873	0.737	0.916	0.792	0.825	0.766	0.842	0.713	-0.136	-0.08	-0.058	-0.111
CNAG_00271	0.902	0.978	0.757	0.728	0.874	0.908	0.715	0.707	0.075	-0.174	0.033	-0.167
CNAG_00272	0.904	0.789	0.799	0.75	0.834	0.801	0.799	0.706	-0.116	-0.155	-0.032	-0.128
CNAG_00273	0.825	0.738	0.747	NA	0.826	0.663	0.691	NA	-0.087	NA	-0.163	NA
CNAG_00274	0.873	0.893	0.85	NA	0.881	0.853	0.837	NA	0.02	NA	-0.028	NA
CNAG_00275	0.874	0.975	0.89	0.847	0.863	0.886	0.809	0.839	0.102	-0.026	0.023	-0.024
CNAG_00276	0.902	0.828	0.905	NA	0.813	0.786	0.84	NA	-0.075	NA	-0.027	NA
CNAG_00277	0.834	0.691	0.746	NA	0.826	0.689	0.67	NA	-0.143	NA	-0.137	NA
CNAG_00278	0.846	0.814	0.882	NA	0.799	0.745	0.847	NA	-0.032	NA	-0.054	NA
CNAG_00279	0.902	0.757	0.828	NA	0.88	0.712	0.797	NA	-0.146	NA	-0.168	NA
CNAG_00280	0.856	0.733	0.831	0.878	0.863	0.694	0.798	0.867	-0.122	0.022	-0.168	0.004
CNAG_00283	0.966	0.823	0.975	NA	0.887	0.741	0.902	NA	-0.143	NA	-0.145	NA
CNAG_00284	0.92	0.857	0.819	0.696	0.904	0.805	0.801	0.649	-0.064	-0.224	-0.098	-0.255
CNAG_00285	0.757	0.841	0.701	0.783	0.691	0.822	0.629	0.704	0.084	0.026	0.13	0.012
CNAG_00286	0.916	0.818	0.906	0.763	0.847	0.804	0.891	0.707	-0.098	-0.153	-0.043	-0.14
CNAG_00287	0.912	0.704	0.938	NA	0.9	0.718	0.847	NA	-0.208	NA	-0.182	NA
CNAG_00288	0.89	0.845	0.929	NA	0.862	0.813	0.828	NA	-0.045	NA	-0.049	NA
CNAG_00289	0.871	0.704	0.841	0.89	0.877	0.707	0.803	0.846	-0.167	0.018	-0.169	-0.031
CNAG_00290	0.92	0.929	0.801	0.701	0.884	0.841	0.749	0.621	0.009	-0.219	-0.044	-0.264
CNAG_00291	0.792	0.893	0.878	0.975	0.77	0.854	0.806	0.908	0.101	0.183	0.084	0.138
CNAG_00292	0.944	0.783	0.759	NA	0.877	0.696	0.695	NA	-0.16	NA	-0.182	NA
