# scores_kozak_unusual_mito_cc.txt
# Scores of ATG context against Kozak and unusual tRS seq, and mito predictions
# Conserved in H99 and JEC21
#
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# aATG.scorekw.xx: score of annotated ATG against wide Kozak sequence (NNNNNNNNNNATG), strain xx
# d1.scorekw.xx: score of 1st downstream ATG against wide Kozak sequence, strain xx
# u1.scorekw.xx: score of 1st upstream ATG in 5' UTR against wide Kozak sequence, strain xx
# aATG.scoreUw.xx: score of annotated ATG against wide Unusual tRNA Synthetase sequence (NNNNATG), strain xx
# aATG.scoreUw.xx: score of annotated ATG against wide Unusual tRNA Synthetase sequence (NNNNATG), strain xx
# Prob_mito.xx: Probability of mitochondrial presequence from mitofates, strain xx
# Pred_mito.xx: Prediction from mitofates, strain xx
#
# Edward Wallace, Jan 2019
H99	JEC21	aATG.scorekw.H99	d1.scorekw.H99	u1.scorekw.H99	aATG.scorekw.JEC21	d1.scorekw.JEC21	u1.scorekw.JEC21	aATG.scoreUw.H99	aATG.scoreUw.JEC21	Prob_mito.H99	Pred_mito.H99	Prob_mito.JEC21	Pred_mito.JEC21
CNAG_01907	CNK02500	0.782	0.771	NA	0.811	0.791	NA	0.828	0.84	0	No	0	No
CNAG_03578	CNG00290	0.668	0.843	0.805	0.68	0.857	0.824	0.669	0.669	0.294	No	0.275	No
CNAG_04724	CNJ01540	0.783	0.917	0.684	0.79	0.909	0.625	0.616	0.524	0	No	0	No
CNAG_05176	CNL04500	0.886	0.866	NA	0.864	0.844	NA	0.653	0.641	0	No	0	No
CNAG_01965	CNK03030	0.796	0.901	NA	0.897	0.755	0.701	0.711	0.594	0	No	0	No
CNAG_04368	CNI01810	0.874	0.741	0.883	0.964	0.735	NA	0.73	0.71	0.021	No	0.021	No
CNAG_05793	CNF01850	0.801	0.753	NA	0.82	0.752	NA	0.586	0.598	0	No	0	No
CNAG_02064	CNE04710	0.866	0.777	NA	0.798	0.773	NA	0.684	0.789	0.031	No	0.033	No
CNAG_06825	CND06070	0.824	0.81	NA	0.868	0.638	NA	0.837	0.832	0.031	No	0.01	No
CNAG_03226	CNG03480	0.848	0.776	NA	0.85	0.775	NA	0.735	0.735	0.986	Yes	0.984	Yes
CNAG_02166	CNE03720	0.891	0.773	NA	0.893	0.787	NA	0.668	0.668	0	No	0	No
CNAG_02578	CNK00690	0.802	0.91	NA	0.781	0.909	NA	0.636	0.636	0.028	No	0	No
CNAG_02054	CNE04800	0.885	0.862	0.796	0.914	0.853	0.773	0.553	0.681	0.009	No	0	No
CNAG_03525	CNG00690	0.835	0.707	0.771	0.822	0.723	0.791	0.619	0.61	0.03	No	0.021	No
CNAG_01718	CNC02220	0.844	0.811	NA	0.856	0.815	NA	0.777	0.777	0.082	No	0.066	No
CNAG_05105	CNL05160	0.958	0.75	NA	0.962	0.77	NA	0.608	0.608	0	No	0	No
CNAG_07322	CNA01910	0.881	0.666	NA	0.873	0.686	NA	0.567	0.496	0	No	0	No
CNAG_05527	CNH01780	0.663	0.82	0.831	0.656	0.774	0.832	0.573	0.573	0	No	0	No
CNAG_00716	CNA06950	0.964	0.807	NA	0.968	0.808	NA	0.604	0.604	0.004	No	0.004	No
CNAG_07926	CNN00080	0.88	0.757	NA	0.921	0.773	NA	0.754	0.641	0	No	0	No
CNAG_01334	CND04500	0.845	0.842	0.793	0.832	0.836	NA	0.609	0.601	0.022	No	0.02	No
CNAG_03300	CNG02770	0.817	0.747	NA	0.811	0.686	NA	0.7	0.688	0	No	0	No
CNAG_01592	CNC01050	0.774	0.889	NA	0.87	0.831	0.907	0.595	0.63	0	No	0	No
CNAG_04456	CNI01010	0.835	0.824	NA	0.777	0.823	NA	0.752	0.767	0	No	0	No
CNAG_03503	CNG00900	0.75	0.929	NA	0.761	0.933	NA	0.619	0.619	0	No	0	No
CNAG_02174	CNE03630	0.847	0.764	NA	0.786	0.728	NA	0.671	0.677	0.011	No	0.011	No
CNAG_06493	CNN02180	0.873	0.864	0.877	0.866	0.867	0.824	0.577	0.577	0	No	0	No
CNAG_05838	CNF01350	NA	NA	NA	0.8	0.851	NA	NA	0.76	NA	NA	0	No
CNAG_03482	CNG01100	0.923	0.787	NA	0.88	0.866	NA	0.66	0.617	0	No	0	No
CNAG_00825	CNA08040	0.79	0.748	0.824	0.79	0.746	0.708	0.663	0.663	0.005	No	0	No
CNAG_06405	CNN01310	0.736	0.697	0.913	0.786	0.716	0.676	0.693	0.709	0	No	0	No
CNAG_06178	CNM01790	0.943	0.735	NA	0.871	0.732	NA	0.521	0.616	0	No	0	No
CNAG_01146	CND02710	0.799	0.865	NA	0.729	0.859	NA	0.767	0.841	0.069	No	0.007	No
CNAG_03872	CNB03620	0.827	0.833	NA	0.866	0.705	NA	0.724	0.828	0	No	0	No
CNAG_05299	CNH03320	0.93	0.686	NA	0.923	0.74	0.793	0.608	0.536	0	No	0	No
CNAG_02951	CNC05600	0.694	0.846	NA	0.816	0.832	0.702	0.69	0.643	0.265	No	0	No
CNAG_03432	CNG01540	0.852	0.74	0.858	0.896	0.727	0.875	0.696	0.658	0	No	0.007	No
CNAG_01309	CND04290	0.946	0.715	NA	0.958	0.705	NA	0.644	0.648	0.006	No	0.006	No
CNAG_02287	CNE02580	0.776	0.816	NA	0.771	0.77	NA	0.622	0.591	0	No	0	No
CNAG_07978	CND06370	0.826	0.734	NA	0.817	0.795	NA	0.59	0.59	0	No	0	No
CNAG_03332	CNG02470	0.822	0.785	NA	0.818	0.822	0.865	0.79	0.691	0	No	0	No
CNAG_01186	CND03110	0.878	0.779	NA	0.842	0.799	NA	0.696	0.708	0	No	0	No
CNAG_03465	CNG01240	0.859	0.817	0.753	0.809	0.677	0.782	0.664	0.644	0	No	0	No
CNAG_00337	CNA03180	0.837	0.714	0.816	0.835	0.686	NA	0.619	0.619	0	No	0	No
CNAG_02784	CNC04020	0.878	0.8	0.826	0.868	0.743	NA	0.747	0.766	0.174	No	0.264	No
CNAG_01739	CNC02430	0.87	0.711	NA	0.867	0.727	NA	0.641	0.641	0.031	No	0.037	No
CNAG_05089	CNL05300	0.837	0.836	NA	0.773	0.838	0.697	0.764	0.798	0.005	No	0	No
CNAG_00973	CND01020	0.791	0.963	NA	0.778	0.965	NA	0.558	0.558	0	No	0	No
CNAG_03135	CNG04290	0.899	0.744	NA	0.867	0.75	0.856	0.73	0.733	0	No	0	No
CNAG_04246	CNM00200	0.848	0.672	0.765	0.759	0.729	0.874	0.584	0.533	0	No	0	No
CNAG_04657	CNJ00930	0.866	0.732	0.956	0.872	0.77	0.852	0.76	0.76	0.005	No	0.004	No
CNAG_03989	CNB04760	0.771	0.769	NA	0.81	0.867	NA	0.833	0.84	0	No	0	No
CNAG_02960	CNC05710	0.912	0.744	NA	0.836	0.837	NA	0.497	0.466	0.012	No	0	No
CNAG_01235	CND03540	0.914	0.747	NA	0.948	0.762	NA	0.478	0.57	0	No	0	No
CNAG_04090	CNB05690	0.863	0.831	NA	0.897	0.831	NA	0.506	0.435	0	No	0	No
CNAG_07667	CNF02940	0.791	0.823	0.733	0.784	0.832	0.9	0.517	0.434	0	No	0	No
CNAG_06827	CND06090	0.764	0.738	0.811	0.713	0.892	0.77	0.579	0.882	0	No	0.003	No
CNAG_03364	CNG02173	0.793	0.855	NA	0.814	0.747	0.747	0.705	0.748	0.714	Yes	0.519	Yes
CNAG_01598	CNC01110	0.912	0.835	NA	0.912	0.845	NA	0.619	0.69	0	No	0	No
CNAG_00127	CNM00490	0.765	0.733	NA	0.722	0.813	NA	0.709	0.758	0	No	0.029	No
CNAG_02386	CNE01645	0.878	0.837	0.798	0.819	0.858	NA	0.558	0.608	0	No	0	No
CNAG_00648	CNA06280	0.792	0.812	NA	0.801	0.83	NA	0.566	0.546	0.006	No	0.004	No
CNAG_06671	CNF03480	0.739	0.772	0.891	0.809	0.846	0.866	0.415	0.41	0.352	No	0.317	No
CNAG_05313	CNH03200	0.822	0.747	0.629	0.853	0.755	0.854	0.518	0.5	0	No	0	No
CNAG_07498	CNC00043	0.792	0.772	0.716	0.922	0.774	NA	0.656	0.558	0	No	0	No
CNAG_04062	CNB05450	0.913	0.814	NA	0.916	0.817	0.88	0.585	0.585	0	No	0	No
CNAG_03732	CNB02300	0.849	0.763	0.942	0.836	0.787	0.694	0.579	0.598	0.005	No	0.011	No
CNAG_00607	CNA05900	0.865	0.856	NA	0.849	0.861	NA	0.823	0.799	0	No	0	No
CNAG_00345	CNA03580	0.849	0.852	NA	0.846	0.864	NA	0.533	0.564	0.105	No	0.108	No
CNAG_01335	CND04510	0.925	0.737	NA	0.941	0.73	0.932	0.547	0.693	0	No	0	No
CNAG_03419	CNG01650	0.948	0.736	NA	0.952	0.793	NA	0.592	0.592	0.007	No	0.007	No
CNAG_01125	CND02480	0.838	0.894	0.869	0.875	0.699	0.869	0.86	0.682	0	No	0	No
CNAG_06253	CNM02540	0.828	0.79	0.85	0.881	0.832	0.622	0.382	0.394	0	No	0	No
CNAG_00059	CNA00485	0.923	0.816	0.791	0.885	0.834	0.769	0.672	0.764	0.008	No	0.005	No
CNAG_03777	CNB02720	0.725	0.734	0.81	0.734	0.759	0.768	0.915	0.801	0	No	0	No
CNAG_02941	CNC05510	0.815	0.817	0.827	0.824	0.818	0.818	0.573	0.552	0.008	No	0.009	No
CNAG_01216	CND03390	0.934	0.751	NA	0.95	0.734	NA	0.623	0.675	0	No	0	No
CNAG_06900	CNK00280	0.857	0.713	NA	0.851	0.831	NA	0.724	0.767	0	No	0	No
CNAG_02263	CNE02830	0.985	0.803	NA	0.918	0.758	NA	0.598	0.69	0.006	No	0.006	No
CNAG_00016	CNA00090	0.868	0.713	NA	0.862	0.706	NA	0.681	0.681	0	No	0	No
CNAG_07749	CNG00270	0.77	0.895	NA	0.781	0.839	NA	0.693	0.693	0.01	No	0.02	No
CNAG_06362	CNN00890	0.796	0.759	0.782	0.797	0.826	0.859	0.589	0.589	0	No	0	No
CNAG_00330	CNA03120	0.809	0.788	0.835	0.84	0.788	0.833	0.798	0.692	0	No	0	No
CNAG_06728	CNB00740	0.957	0.77	0.822	0.911	0.728	0.772	0.589	0.589	0.01	No	0.01	No
CNAG_07848	CNJ02080	0.936	0.785	0.857	0.937	0.786	0.856	0.58	0.58	0.054	No	0.008	No
CNAG_03331	CNG02480	0.883	0.892	NA	0.886	0.821	NA	0.705	0.705	0.805	Yes	0.857	Yes
CNAG_01129	CND02520	0.713	0.807	NA	0.665	0.761	NA	0.662	0.76	0.009	No	0.012	No
CNAG_02536	CNE00290	0.955	0.784	NA	0.959	0.773	NA	0.733	0.733	0	No	0	No
CNAG_03679	CNB01775	0.799	0.912	0.797	0.661	0.912	0.825	0.884	0.881	0.096	No	0.026	No
CNAG_05224	CNL04050	0.943	0.751	NA	0.932	0.761	NA	0.577	0.608	0.012	No	0.017	No
CNAG_00502	CNA04850	0.825	0.752	0.74	0.922	0.831	0.746	0.591	0.61	0.813	Yes	0.938	Yes
CNAG_06585	CNF04330	0.944	0.725	NA	0.944	0.735	NA	0.625	0.625	0.008	No	0.008	No
CNAG_04693	CNJ01240	0.957	0.825	0.745	0.958	0.777	0.713	0.572	0.572	0.004	No	0.004	No
CNAG_04688	CNJ01190	0.671	0.821	NA	0.843	0.899	0.788	0.756	0.645	0.015	No	0	No
CNAG_01649	CNC01620	0.796	0.84	0.718	0.795	0.851	0.688	0.709	0.709	0	No	0	No
CNAG_03531	CNG00640	0.929	0.802	0.734	0.897	0.843	NA	0.641	0.79	0	No	0	No
CNAG_02229	CNE03110	0.767	0.8	NA	0.745	0.801	0.729	0.584	0.664	0.008	No	0	No
CNAG_03261	CNG03150	0.918	0.886	NA	0.918	0.837	NA	0.512	0.512	0	No	0.003	No
CNAG_03393	CNG01920	0.879	0.813	NA	0.785	0.819	NA	0.696	0.715	0	No	0	No
CNAG_03711	CNB02080	0.835	0.64	0.804	0.828	0.648	0.789	0.574	0.721	0.005	No	0.009	No
CNAG_03316	CNG02620	0.924	0.818	NA	0.924	0.838	NA	0.714	0.677	0	No	0	No
CNAG_02480	CNE00810	0.772	0.79	NA	0.748	0.757	NA	0.828	0.84	0.009	No	0.031	No
CNAG_02786	CNC04040	0.851	0.834	NA	0.859	0.751	NA	0.638	0.666	0	No	0	No
CNAG_03034	CNC00500	0.77	0.853	NA	0.797	0.819	NA	0.836	0.869	0.037	No	0.007	No
CNAG_04273	CNI04120	0.839	0.705	NA	0.796	0.707	NA	0.648	0.629	0	No	0	No
CNAG_01252	CND03690	0.922	0.855	NA	0.885	0.77	NA	0.727	0.736	0.849	Yes	0.926	Yes
CNAG_05099	CNL05220	0.913	0.74	0.826	0.904	0.782	0.792	0.534	0.525	0	No	0	No
CNAG_01938	CNK02740	0.834	0.782	0.687	0.849	0.771	0.854	0.553	0.553	0.01	No	0.012	No
CNAG_05061	CNL05580	0.948	0.77	0.768	0.877	0.836	NA	0.617	0.604	0.005	No	0.006	No
CNAG_04283	CNI02660	0.955	0.802	0.684	0.963	0.787	0.693	0.702	0.733	0	No	0	No
CNAG_06620	CNF03990	0.806	0.716	NA	0.783	0.722	NA	0.643	0.551	0	No	0	No
CNAG_01912	CNK02550	0.85	0.891	0.796	0.877	0.904	0.829	0.678	0.611	0.057	No	0.063	No
CNAG_00192	CNA01810	0.836	0.722	NA	0.874	0.773	0.657	0.665	0.63	0	No	0	No
CNAG_05872	CNF01000	0.947	0.815	NA	0.947	0.719	NA	0.592	0.637	0	No	0	No
CNAG_04666	CNJ01000	0.808	0.803	0.752	0.795	0.814	NA	0.632	0.597	0.013	No	0.017	No
CNAG_04741	CNJ01720	0.719	0.751	NA	0.72	0.919	NA	0.665	0.764	0.614	Yes	0.226	No
CNAG_05936	CNF00390	0.91	0.844	NA	0.909	0.853	NA	0.585	0.585	0	No	0	No
CNAG_07463	CNB00660	0.769	0.757	NA	0.772	0.75	NA	0.636	0.636	0.778	Yes	0.807	Yes
CNAG_00313	CNA02960	0.852	0.731	NA	0.87	0.792	NA	0.568	0.58	0	No	0	No
CNAG_01852	CNC03360	0.951	0.752	NA	0.908	0.712	NA	0.639	0.658	0.003	No	0.005	No
CNAG_00576	CNA05610	0.852	0.738	NA	0.859	0.879	NA	0.462	0.462	0.811	Yes	0.31	No
CNAG_03338	CNG02410	0.848	0.701	NA	0.845	0.73	NA	0.598	0.629	0	No	0	No
CNAG_05740	CNF02370	0.899	0.841	NA	0.853	0.82	NA	0.728	0.553	0	No	0	No
CNAG_05988	CNA02120	0.81	0.878	0.701	0.789	0.87	0.776	0.675	0.625	0.003	No	0	No
CNAG_02489	CNE00710	0.894	0.783	0.769	0.92	0.755	0.772	0.473	0.604	0	No	0	No
CNAG_02477	CNE00830	0.924	0.762	NA	0.884	0.772	0.793	0.527	0.629	0	No	0	No
CNAG_04044	CNB05270	0.876	0.941	NA	0.81	0.944	NA	0.736	0.748	0	No	0	No
CNAG_04232	CNI03730	0.937	0.727	NA	0.867	0.726	NA	0.65	0.69	0.074	No	0.07	No
CNAG_00906	CND00460	0.938	0.823	NA	0.947	0.763	0.777	0.528	0.485	0.007	No	0.017	No
CNAG_06659	CNF03620	0.919	0.805	0.786	0.877	0.838	0.825	0.682	0.67	0	No	0	No
CNAG_05000	CNL06150	0.76	0.707	0.753	0.847	0.882	0.785	0.591	0.774	0	No	0	No
CNAG_06389	CNN01165	0.683	0.798	0.775	0.789	0.76	0.777	0.434	0.552	0.009	No	0.017	No
CNAG_05748	CNF02300	0.826	0.873	NA	0.872	0.871	NA	0.709	0.591	0	No	0	No
CNAG_02911	CNC05210	0.748	0.848	NA	0.742	0.875	0.849	0.825	0.733	0	No	0	No
CNAG_03553	CNG00490	0.796	0.885	NA	0.8	0.954	NA	0.648	0.648	0.02	No	0.052	No
CNAG_01551	CNC06330	0.888	0.806	0.779	0.904	0.851	0.742	0.675	0.715	0	No	0	No
CNAG_00173	CNA01610	0.86	0.752	0.865	0.859	0.678	0.839	0.544	0.544	0	No	0	No
CNAG_05795	CNF01830	0.793	0.735	0.787	0.847	0.865	0.754	0.625	0.541	0	No	0	No
CNAG_04526	CNI00290	0.868	0.784	0.88	0.862	0.655	NA	0.565	0.585	0	No	0	No
CNAG_01561	CNC06240	0.736	0.823	NA	0.729	0.818	0.821	0.705	0.705	0	No	0	No
CNAG_01627	CNC01400	0.828	0.885	NA	0.841	0.894	0.886	0.611	0.611	0.389	Yes	0.581	Yes
CNAG_07839	CNJ03370	0.981	0.792	NA	0.983	0.781	NA	0.553	0.553	0	No	0	No
CNAG_04439	CNI01180	0.964	0.713	NA	0.923	0.795	NA	0.721	0.669	0	No	0	No
CNAG_00403	CNA03910	0.728	0.796	NA	0.747	0.79	NA	0.838	0.838	0.933	Yes	0.92	Yes
CNAG_05747	CNF02310	0.916	0.786	0.735	0.911	0.783	0.808	0.517	0.517	0	No	0	No
CNAG_01177	CND03025	0.824	0.687	0.807	0.825	0.735	0.807	0.709	0.709	0.355	No	0.07	No
CNAG_04141	CNI02790	0.801	0.754	NA	0.769	0.656	0.73	0.619	0.826	0	No	0.062	No
CNAG_02726	CNC03540	0.934	0.767	NA	0.942	0.827	NA	0.706	0.706	0.126	No	0.065	No
CNAG_00528	CNA05100	0.964	0.81	NA	0.891	0.805	NA	0.656	0.648	0	No	0	No
CNAG_06616	CNF04030	0.867	0.692	NA	0.881	0.718	NA	0.702	0.702	0.567	Yes	0.237	No
CNAG_03893	CNB03810	0.926	0.836	0.756	0.866	0.845	0.762	0.66	0.549	0.005	No	0	No
CNAG_07770	CNI01220	0.853	0.763	0.732	0.831	0.7	0.825	0.553	0.546	0	No	0	No
CNAG_07507	CNC05800	0.751	0.862	NA	0.762	0.851	NA	0.662	0.662	0	No	0	No
CNAG_00543	CNA05270	0.913	0.787	0.789	0.917	0.78	NA	0.728	0.697	0.006	No	0.008	No
CNAG_01730	CNC02350	0.898	0.781	NA	0.88	0.756	0.807	0.584	0.576	0	No	0	No
CNAG_05515	CNH01670	0.803	0.808	0.835	0.884	0.746	0.733	0.83	0.816	0	No	0	No
CNAG_04486	CNI00705	0.955	0.751	0.865	0.779	0.931	0.885	0.592	0.691	0	No	0.412	Yes
CNAG_00006	CNA00070	0.929	0.665	NA	0.919	0.743	NA	0.521	0.474	0.167	No	0.314	No
CNAG_03366	CNG02160	0.887	0.857	0.688	0.944	0.899	0.653	0.644	0.644	0	No	0	No
CNAG_03980	CNB04685	0.815	0.85	NA	0.778	0.858	0.792	0.708	0.616	0	No	0	No
CNAG_03110	CNG04530	0.919	0.819	0.783	0.893	0.833	0.72	0.505	0.505	0.021	No	0.015	No
CNAG_01953	CNK02920	0.874	0.764	0.796	0.816	0.759	0.874	0.625	0.625	0	No	0	No
CNAG_04567	CNJ00070	0.824	0.787	0.8	0.894	0.767	0.836	0.61	0.561	0	No	0	No
CNAG_01604	CNC01170	0.719	0.873	0.786	0.783	0.858	0.848	0.801	0.794	0.007	No	0.012	No
CNAG_04272	CNI04110	0.777	0.768	0.743	0.84	0.798	0.792	0.69	0.813	0.018	No	0.018	No
CNAG_03751	CNB02460	0.793	0.783	0.814	0.798	0.785	0.792	0.675	0.675	0.004	No	0.004	No
CNAG_06839	CND06200	0.975	0.801	NA	0.982	0.8	0.755	0.604	0.604	0.007	No	0.009	No
CNAG_03276	CNG03015	0.857	0.719	NA	0.907	0.82	NA	0.592	0.672	0.088	No	0.097	No
CNAG_05340	CNH00070	0.788	0.727	0.762	0.898	0.697	0.769	0.773	0.693	0	No	0	No
CNAG_01740	CNC02440	0.911	0.786	NA	0.894	0.784	NA	0.767	0.675	0.015	No	0.015	No
CNAG_03286	CNG02890	0.813	0.813	NA	0.776	0.828	NA	0.617	0.704	0	No	0	No
CNAG_07688	CNF00270	0.853	0.793	NA	0.901	0.792	NA	0.697	0.709	0	No	0	No
CNAG_04328	CNI02210	0.89	0.828	NA	0.96	0.817	NA	0.584	0.603	0.01	No	0.01	No
CNAG_05154	CNL04690	0.882	0.835	NA	0.935	0.865	NA	0.568	0.653	0	No	0	No
CNAG_03849	CNB03390	0.924	0.784	NA	0.88	0.77	NA	0.517	0.564	0	No	0	No
CNAG_06595	CNF04230	0.781	0.765	NA	0.737	0.753	NA	0.684	0.626	0.172	No	0.057	No
CNAG_05813	CNF01660	0.9	0.806	0.838	0.871	0.764	0.872	0.74	0.793	0	No	0	No
CNAG_05302	CNH03290	0.779	0.726	0.808	0.804	0.727	0.842	0.6	0.577	0.003	No	0.008	No
CNAG_06416	CNN01410	0.776	0.748	NA	0.76	0.754	NA	0.605	0.533	0	No	0	No
CNAG_00990	CND01180	0.951	0.755	NA	0.954	0.878	NA	0.637	0.637	0.619	Yes	0.751	Yes
CNAG_05993	CNM00010	0.859	0.729	0.933	0.713	0.766	NA	0.772	0.767	0	No	0	No
CNAG_02204	CNE03360	0.93	0.857	NA	0.959	0.785	NA	0.58	0.524	0.016	No	0.028	No
CNAG_01024	CND01540	0.851	0.644	NA	0.845	0.883	NA	0.721	0.721	0	No	0	No
CNAG_07952	CNA04695	0.798	0.824	NA	0.757	0.878	NA	0.692	0.692	0.005	No	0.006	No
CNAG_02775	CNC03950	0.879	0.862	NA	0.876	0.889	0.876	0.755	0.755	0.017	No	0.004	No
CNAG_00562	CNA05440	0.704	0.855	0.716	0.695	0.873	NA	0.573	0.604	0	No	0	No
CNAG_05011	CNL06050	0.883	0.716	0.698	0.873	0.804	0.803	0.681	0.681	0.984	Yes	0.986	Yes
CNAG_06358	CNN00845	0.875	0.688	NA	0.884	0.68	0.891	0.465	0.505	0.891	Yes	0.908	Yes
CNAG_03406	CNG01770	0.989	0.816	NA	0.949	0.883	0.737	0.629	0.61	0	No	0	No
CNAG_03693	CNB01910	0.866	0.786	NA	0.888	0.779	NA	0.625	0.644	0.005	No	0.004	No
CNAG_01908	CNK02510	0.914	0.859	0.75	0.867	0.893	0.779	0.61	0.586	0	No	0	No
CNAG_01856	CNC03400	0.769	0.793	NA	0.813	0.912	0.838	0.678	0.733	0.028	No	0.028	No
CNAG_01274	CND03940	0.872	0.789	NA	0.871	0.805	NA	0.736	0.736	0.003	No	0.003	No
CNAG_02967	CNC05770	0.859	0.863	0.768	0.947	0.86	0.844	0.615	0.656	0.021	No	0.021	No
CNAG_06770	CNB00300	0.921	0.788	NA	0.925	0.724	NA	0.598	0.525	0.017	No	0.016	No
CNAG_02328	CNE02190	0.865	0.794	NA	0.873	0.807	NA	0.69	0.638	0.029	No	0.029	No
CNAG_04226	CNI03670	0.763	0.634	0.954	0.957	0.804	NA	0.435	0.623	0	No	0	No
CNAG_02268	CNE02760	0.886	0.687	NA	0.933	0.706	NA	0.673	0.65	0	No	0	No
CNAG_06747	CNB00550	0.964	0.814	NA	0.961	0.834	NA	0.625	0.625	0	No	0	No
CNAG_00999	CND01270	0.756	0.763	0.827	0.817	0.755	0.878	0.691	0.684	0	No	0	No
CNAG_05351	CNH00170	0.948	0.77	NA	0.88	0.779	NA	0.657	0.703	0.003	No	0.008	No
CNAG_02361	CNE01880	0.858	0.763	0.772	0.842	0.763	0.764	0.57	0.582	0	No	0	No
CNAG_03809	CNB03005	0.68	0.852	NA	0.845	0.792	NA	0.712	0.638	0	No	0.003	No
CNAG_05616	CNH02570	0.901	0.711	0.665	0.893	0.724	0.683	0.564	0.533	0.019	No	0	No
CNAG_01364	CND04800	0.965	0.785	NA	0.886	0.742	NA	0.61	0.723	0.003	No	0.003	No
CNAG_00845	CNA08220	0.897	0.904	NA	0.905	0.891	NA	0.517	0.517	0	No	0	No
CNAG_07331	CNA02015	0.853	0.899	0.751	0.859	0.811	0.758	0.58	0.613	0	No	0	No
CNAG_00366	CNA03370	0.859	0.694	NA	0.707	0.846	NA	0.579	0.768	0.01	No	0.022	No
CNAG_04036	CNB05180	0.827	0.89	0.931	0.83	0.911	0.745	0.711	0.905	0	No	0	No
CNAG_02167	CNE03710	0.928	0.761	NA	0.93	0.765	NA	0.709	0.709	0	No	0	No
CNAG_01963	CNK03010	0.953	0.747	0.769	0.901	0.863	0.925	0.677	0.684	0	No	0	No
CNAG_05541	CNH01910	0.787	0.793	NA	0.788	0.813	NA	0.779	0.678	0.056	No	0.056	No
CNAG_04617	CNJ00560	0.91	0.923	0.785	0.914	0.959	0.667	0.625	0.671	0	No	0	No
CNAG_06132	CNM01370	0.804	0.798	NA	0.88	0.796	0.748	0.681	0.577	0.008	No	0.019	No
CNAG_04870	CNJ02980	0.913	0.931	0.727	0.929	0.889	NA	0.616	0.604	0	No	0	No
CNAG_01640	CNC01530	0.844	0.816	0.809	0.835	0.752	0.754	0.81	0.718	0	No	0	No
CNAG_03932	CNB04200	0.903	0.887	0.727	0.838	0.877	0.748	0.533	0.623	0	No	0	No
CNAG_05218	CNL04110	0.847	0.832	0.699	0.876	0.893	NA	0.759	0.717	0.013	No	0.014	No
CNAG_00894	CND00340	0.983	0.686	NA	0.985	0.679	NA	0.474	0.558	0.18	No	0.186	No
CNAG_06399	CNN01250	0.924	0.781	NA	0.838	0.727	NA	0.564	0.625	0.031	No	0.066	No
CNAG_07309	CNA00930	0.883	0.77	NA	0.932	0.783	NA	0.61	0.61	0.031	No	0.013	No
