# mitopred_different_H99vsJEC21.txt
# Genes with a DIFFERENT mitofates prediction in H99 and JEC21
# Not otherwise filtered. Arranged by prob preseq in H99
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# Prob_preseq.xx: Probability of mitochondrial presequence from mitofates, strain xx
#
# Edward Wallace, Jan 2019
H99	JEC21	Prob_preseq.H99	Prob_preseq.JEC21
CNAG_02979	CNC05880	0.101	0.99
CNAG_01981	CNK03140	0.094	0.517
CNAG_04466	CNI00910	0.08	0.663
CNAG_02001	CNK03360	0.05	0.446
CNAG_04046	CNB05290	0.047	0.519
CNAG_05675	CNF02980	0.047	0.764
CNAG_04538	CNI00160	0.03	0.858
CNAG_02052	CNE04820	0.027	0.867
CNAG_02000	CNK03350	0.022	0.534
CNAG_03655	CNB01560	0.02	0.622
CNAG_01135	CND02600	0.019	0.385
CNAG_06413	CNN01385	0.007	0.847
CNAG_00371	CNA03320	0.007	0.982
CNAG_02794	CNC04130	0.005	0.68
CNAG_06966	CNG00050	0.005	0.769
CNAG_01612	CNC01260	0.003	0.452
CNAG_06239	CNM02400	0.003	0.883
CNAG_07651	CNE05150	0	0.385
CNAG_04486	CNI00705	0	0.412
CNAG_07998	CNA04900	0	0.482
CNAG_02986	CNC05950	0	0.554
CNAG_03244	CNG03290	0	0.634
CNAG_01954	CNK02930	0	0.731
CNAG_00014	CNH03080	0	0.735
CNAG_02665	CNK01550	0	0.737
CNAG_00443	CNA04260	0	0.759
CNAG_02053	CNE04810	0	0.791
CNAG_03558	CNG00445	0	0.837
CNAG_00521	CNA05030	0	0.955
CNAG_00304	CNA02885	0	0.981
