Gene_name	Type	Sample	Inct.narr	Inct.wide	Nxct.narr	Nxct.wide	Upct.narr	Upct.wide	ORFct	UTR5ct	ORFlen	UTR5len	UTR5Ct
CNA00310	RPF	JEC21	4	7	1	9	0	0	463	6	1554	96	NA
CNA00320	RPF	JEC21	0	5	23	32	NA	NA	2065	NA	1944	11	NA
CNA00330	RPF	JEC21	7	13	65	105	NA	NA	14347	NA	3348	85	NA
CNA00340	RPF	JEC21	3	32	10	13	NA	NA	3037	NA	1254	69	NA
CNA00350	RPF	JEC21	41	1387	11	228	NA	NA	43486	NA	1053	51	NA
CNA00360	RPF	JEC21	3	32	0	12	NA	NA	1112	NA	1389	204	NA
CNA00370	RPF	JEC21	1	1	0	0	5	5	71	24	1623	326	NA
CNA00380	RPF	JEC21	0	20	1	10	1	5	403	2	978	311	NA
CNA00390	RPF	JEC21	28	89	11	85	NA	NA	8624	NA	906	195	NA
CNA00400	RPF	JEC21	5	20	19	39	13	50	8018	37	4992	966	NA
CNA00410	RPF	JEC21	0	0	2	4	NA	NA	37	NA	285	112	NA
CNA00420	RPF	JEC21	0	6	22	97	2	9	570	12	531	148	NA
CNA00430	RPF	JEC21	3	3	0	0	0	0	140	28	717	140	NA
CNA00450	RPF	JEC21	23	52	10	158	NA	NA	17997	NA	1161	13	NA
CNA00460	RPF	JEC21	23	50	18	79	NA	NA	5539	NA	2025	111	NA
CNA00470	RPF	JEC21	5	18	62	141	NA	NA	8284	NA	1053	126	NA
CNA00480	RPF	JEC21	91	263	38	758	NA	NA	91517	NA	1647	52	NA
CNA00485	RPF	JEC21	4	22	10	48	NA	NA	2820	NA	792	52	NA
CNA00490	RPF	JEC21	63	70	8	12	NA	NA	7505	NA	1212	36	NA
CNA00510	RPF	JEC21	1356	2969	1044	4073	NA	NA	428555	NA	1395	90	NA
CNA00520	RPF	JEC21	2	68	3	88	NA	NA	17892	NA	2481	63	NA
CNA00530	RPF	JEC21	103	261	171	376	NA	NA	43770	NA	1593	39	NA
CNA00540	RPF	JEC21	11	102	21	213	NA	NA	3013	NA	480	324	NA
CNA00550	RPF	JEC21	57	160	108	434	NA	NA	11964	NA	585	156	NA
CNA00560	RPF	JEC21	437	3549	18	233	NA	NA	109091	NA	717	68	NA
CNA00570	RPF	JEC21	0	18	3	7	3	5	4684	1	3855	459	NA
CNA00580	RPF	JEC21	104	285	340	1968	0	1	22835	10	213	426	NA
CNA00590	RPF	JEC21	5	15	36	67	NA	NA	9335	NA	1815	537	NA
CNA00600	RPF	JEC21	1	1	3	4	NA	NA	261	NA	957	101	NA
CNA00610	RPF	JEC21	0	2	1	2	0	1	1209	4	1332	266	NA
CNA00620	RPF	JEC21	97	349	116	750	NA	NA	47059	NA	1236	51	NA
CNA00630	RPF	JEC21	21	96	8	248	35	222	21653	29	2580	156	NA
CNA00640	RPF	JEC21	7	11	1	36	NA	NA	4796	NA	1656	93	NA
CNA00650	RPF	JEC21	0	1	0	0	0	0	262	0	474	99	NA
CNA00660	RPF	JEC21	1	4	0	8	NA	NA	1911	NA	1722	93	NA
CNA00670	RPF	JEC21	9	12	1	20	25	46	4468	33	2508	190	NA
CNA00680	RPF	JEC21	17	38	4	9	42	81	8255	36	3534	252	NA
CNA00690	RPF	JEC21	7	46	5	11	0	0	1127	11	759	473	NA
CNA00700	RPF	JEC21	2	5	1	8	NA	NA	980	NA	1479	16	NA
CNA00710	RPF	JEC21	20	143	41	144	NA	NA	30482	NA	2829	62	NA
CNA00720	RPF	JEC21	68	71	28	67	NA	NA	5487	NA	996	38	NA
CNA00730	RPF	JEC21	7	12	8	76	NA	NA	10314	NA	2931	82	NA
CNA00740	RPF	JEC21	35	321	277	1014	NA	NA	79048	NA	2577	42	NA
CNA00750	RPF	JEC21	35	258	55	281	NA	NA	10656	NA	627	53	NA
CNA00760	RPF	JEC21	8	55	89	212	NA	NA	26125	NA	2067	40	NA
CNA00770	RPF	JEC21	3	20	19	132	0	0	6992	3	2046	312	NA
CNA00780	RPF	JEC21	349	578	1292	3108	NA	NA	57648	NA	825	49	NA
CNA00790	RPF	JEC21	52	130	109	376	17	104	12573	0	996	92	NA
CNA00800	RPF	JEC21	7	82	12	36	NA	NA	1794	NA	1266	95	NA
CNA00820	RPF	JEC21	0	0	0	2	0	0	225	0	1644	299	NA
CNA00830	RPF	JEC21	186	787	233	1034	NA	NA	40670	NA	354	87	NA
CNA00840	RPF	JEC21	0	0	0	0	NA	NA	638	NA	2235	70	NA
CNA00850	RPF	JEC21	5	25	0	11	6	7	1194	5	1080	299	NA
CNA00860	RPF	JEC21	1	42	10	46	NA	NA	6108	NA	3495	41	NA
CNA00870	RPF	JEC21	2	12	19	43	NA	NA	3041	NA	1566	66	NA
CNA00880	RPF	JEC21	0	10	17	71	0	5	3176	1	1704	55	NA
CNA00890	RPF	JEC21	47	70	15	40	0	0	2134	2	987	489	NA
CNA00900	RPF	JEC21	19	50	68	337	NA	NA	26192	NA	2571	40	NA
CNA00910	RPF	JEC21	132	392	221	639	NA	NA	146422	NA	1755	51	NA
CNA00920	RPF	JEC21	39	99	83	192	NA	NA	7553	NA	804	122	NA
CNA00930	RPF	JEC21	105	307	31	100	NA	NA	11078	NA	1248	61	NA
CNA00940	RPF	JEC21	85	1015	67	153	NA	NA	15987	NA	693	39	NA
CNA00950	RPF	JEC21	46	253	48	292	NA	NA	101109	NA	3303	223	NA
CNA00960	RPF	JEC21	0	0	0	0	1	5	201	9	1110	377	NA
CNA00970	RPF	JEC21	28	84	24	52	2	121	8109	0	3636	354	NA
CNA00980	RPF	JEC21	3	6	2	6	0	1	621	0	1671	74	NA
CNA00990	RPF	JEC21	99	248	43	67	NA	NA	41343	NA	1455	46	NA
CNA01000	RPF	JEC21	40	304	54	160	NA	NA	11655	NA	390	148	NA
CNA01010	RPF	JEC21	8	39	1	37	NA	NA	7636	NA	1947	29	NA
CNA01020	RPF	JEC21	27	36	205	506	NA	NA	44854	NA	2286	29	NA
CNA01030	RPF	JEC21	4	35	21	39	NA	NA	2880	NA	1857	179	NA
CNA01040	RPF	JEC21	1	7	15	25	0	0	905	0	729	94	NA
CNA01050	RPF	JEC21	7	8	13	77	0	0	6903	6	1140	286	NA
CNA01060	RPF	JEC21	3574	8421	4971	24184	NA	NA	649794	NA	759	105	NA
CNA01070	RPF	JEC21	31	54	80	253	NA	NA	20125	NA	1380	44	NA
CNA01080	RPF	JEC21	12	100	11	156	NA	NA	3516	NA	483	112	NA
CNA01090	RPF	JEC21	9	14	5	36	NA	NA	2782	NA	549	60	NA
CNA01095	RPF	JEC21	3	10	9	27	NA	NA	4213	NA	837	92	NA
CNA01100	RPF	JEC21	100	208	30	243	NA	NA	16289	NA	1035	189	NA
CNA01120	RPF	JEC21	27	37	8	41	172	233	7762	133	1686	593	NA
CNA01130	RPF	JEC21	1	11	0	1	1	2	195	0	960	128	NA
CNA01140	RPF	JEC21	34	41	13	46	25	52	1723	14	1656	313	NA
CNA01150	RPF	JEC21	0	3	0	1	0	0	175	12	1923	1069	NA
CNA01160	RPF	JEC21	130	286	41	218	NA	NA	16903	NA	828	33	NA
CNA01170	RPF	JEC21	3	7	3	35	NA	NA	1757	NA	1320	250	NA
CNA01180	RPF	JEC21	30	62	3	89	0	0	7121	0	1857	1346	NA
CNA01190	RPF	JEC21	0	0	4	15	0	0	209	0	1080	29	NA
CNA01200	RPF	JEC21	0	0	0	1	0	0	92	10	2244	730	NA
CNA01205	RPF	JEC21	0	10	39	187	0	0	1972	0	393	149	NA
CNA01210	RPF	JEC21	4	25	0	17	NA	NA	2731	NA	2277	66	NA
CNA01220	RPF	JEC21	39	286	136	306	NA	NA	8439	NA	408	45	NA
CNA01230	RPF	JEC21	218	1003	169	641	NA	NA	123020	NA	3048	122	NA
CNA01240	RPF	JEC21	168	235	13	134	NA	NA	5824	NA	975	216	NA
CNA01250	RPF	JEC21	94	142	281	1292	NA	NA	28437	NA	972	79	NA
CNA01260	RPF	JEC21	12	38	13	41	3	15	3489	0	858	124	NA
CNA01270	RPF	JEC21	24	82	150	523	0	0	36465	1	1290	247	NA
CNA01280	RPF	JEC21	0	14	11	25	1	6	1344	2	1329	52	NA
CNA01290	RPF	JEC21	6	156	161	659	NA	NA	33388	NA	2388	87	NA
CNA01310	RPF	JEC21	13	48	398	781	NA	NA	89973	NA	2451	90	NA
CNA01320	RPF	JEC21	16	60	4	13	0	6	1134	17	801	544	NA
CNA01330	RPF	JEC21	45	124	26	166	0	1	8679	0	1134	498	NA
CNA01340	RPF	JEC21	61	515	19	105	2	37	7198	0	1152	74	NA
CNA01350	RPF	JEC21	0	27	34	144	NA	NA	126071	NA	7599	71	NA
CNA01360	RPF	JEC21	7	37	13	49	NA	NA	32058	NA	5985	65	NA
CNA01370	RPF	JEC21	405	4277	885	2218	0	0	107953	11	282	806	NA
CNA01380	RPF	JEC21	91	125	235	742	0	0	35607	3	2853	366	NA
CNA01390	RPF	JEC21	0	1	3	88	0	1	4579	1	1401	169	NA
CNA01400	RPF	JEC21	6	47	10	34	0	0	3966	10	1281	211	NA
CNA01410	RPF	JEC21	34	118	0	16	0	6	907	0	1419	308	NA
CNA01420	RPF	JEC21	4	35	52	185	14	25	8719	1	1380	118	NA
CNA01430	RPF	JEC21	0	0	1	2	3	3	25	2	711	65	NA
CNA01440	RPF	JEC21	0	0	0	0	0	0	7	4	306	768	NA
CNA01450	RPF	JEC21	10	40	4	61	NA	NA	9972	NA	3270	343	NA
CNA01460	RPF	JEC21	166	279	185	1232	0	5	27619	4	249	515	NA
CNA01470	RPF	JEC21	5	7	5	54	NA	NA	3959	NA	1923	126	NA
CNA01480	RPF	JEC21	0	0	0	0	0	0	27	2787	1329	735	NA
CNA01490	RPF	JEC21	0	7	8	80	24	79	4813	15	1005	120	NA
CNA01500	RPF	JEC21	3	29	22	44	0	0	5456	125	1206	426	NA
CNA01510	RPF	JEC21	10	31	73	115	NA	NA	3817	NA	2193	162	NA
CNA01520	RPF	JEC21	5	17	5	12	1	9	860	4	1419	326	NA
CNA01530	RPF	JEC21	10	25	765	963	NA	NA	53987	NA	996	51	NA
CNA01540	RPF	JEC21	75	197	34	90	0	1	16098	0	1860	81	NA
CNA01550	RPF	JEC21	0	0	0	1	NA	NA	2497	NA	2058	74	NA
CNA01560	RPF	JEC21	5	19	4	22	0	0	1722	1	1641	356	NA
CNA01580	RPF	JEC21	9	19	41	124	NA	NA	5035	NA	2073	67	NA
CNA01590	RPF	JEC21	7	10	3	8	9	64	803	0	1257	70	NA
CNA01600	RPF	JEC21	9	38	11	31	NA	NA	7084	NA	3204	271	NA
CNA01610	RPF	JEC21	1	15	6	15	9	12	600	4	1146	253	NA
CNA01620	RPF	JEC21	0	28	8	13	NA	NA	3405	NA	3861	27	NA
CNA01630	RPF	JEC21	7	35	8	17	1	6	939	40	1278	221	NA
CNA01640	RPF	JEC21	183	1079	1239	2550	0	0	85577	0	1431	128	NA
CNA01650	RPF	JEC21	0	4	2	10	NA	NA	572	NA	1587	19	NA
CNA01660	RPF	JEC21	1	19	3	9	0	3	515	34	3765	469	NA
CNA01680	RPF	JEC21	13	24	9	37	0	351	1324	48	1059	464	NA
CNA01690	RPF	JEC21	18	32	6	54	NA	NA	5169	NA	717	42	NA
CNA01700	RPF	JEC21	6	19	72	99	NA	NA	6964	NA	1518	62	NA
CNA01710	RPF	JEC21	130	302	64	532	NA	NA	10354	NA	612	65	NA
CNA01720	RPF	JEC21	5	89	43	113	30	224	4804	99	1029	571	NA
CNA01730	RPF	JEC21	69	120	129	336	NA	NA	10544	NA	1836	335	NA
CNA01740	RPF	JEC21	52	157	197	589	NA	NA	21822	NA	1095	58	NA
CNA01750	RPF	JEC21	14	26	16	42	NA	NA	1429	NA	219	45	NA
CNA01760	RPF	JEC21	85	117	21	68	25	135	4514	2	2127	126	NA
CNA01770	RPF	JEC21	73	162	86	227	NA	NA	7254	NA	594	50	NA
CNA01780	RPF	JEC21	4	80	31	136	21	68	6774	2	978	116	NA
CNA01790	RPF	JEC21	32	121	60	265	NA	NA	9261	NA	1638	129	NA
CNA01800	RPF	JEC21	0	0	3	11	NA	NA	583	NA	1308	70	NA
CNA01810	RPF	JEC21	0	0	1	14	0	0	2987	0	3210	272	NA
CNA01820	RPF	JEC21	22	234	97	143	NA	NA	15191	NA	3873	525	NA
CNA01830	RPF	JEC21	144	329	13	63	NA	NA	7790	NA	735	102	NA
CNA01840	RPF	JEC21	21	32	25	114	NA	NA	6471	NA	621	146	NA
CNA01850	RPF	JEC21	1	47	11	50	NA	NA	5650	NA	1560	131	NA
CNA01860	RPF	JEC21	15	66	27	35	3	10	5091	0	1335	124	NA
CNA01870	RPF	JEC21	46	59	137	453	0	0	32084	1	2565	244	NA
CNA01880	RPF	JEC21	0	1	0	2	NA	NA	153	NA	654	133	NA
CNA01890	RPF	JEC21	2	16	3	60	NA	NA	4517	NA	2331	78	NA
CNA01900	RPF	JEC21	5	8	1	4	NA	NA	1581	NA	2967	66	NA
CNA01910	RPF	JEC21	226	628	172	410	NA	NA	36029	NA	2427	36	NA
CNA01920	RPF	JEC21	29	255	23	90	NA	NA	12677	NA	2256	59	NA
CNA01930	RPF	JEC21	0	3	0	1	0	2	407	40	1917	505	NA
CNA01940	RPF	JEC21	3	15	27	44	15	213	1216	94	474	211	NA
CNA01950	RPF	JEC21	2516	3069	2862	6045	NA	NA	48595	NA	336	35	NA
CNA01960	RPF	JEC21	8	48	3	43	NA	NA	5031	NA	1029	56	NA
CNA01980	RPF	JEC21	0	0	0	9	0	0	11	25	216	332	NA
CNA01990	RPF	JEC21	4	9	60	140	NA	NA	8558	NA	3243	12	NA
CNA02000	RPF	JEC21	13	30	0	4	NA	NA	9356	NA	2070	400	NA
CNA02010	RPF	JEC21	0	0	2	17	0	0	434	0	1080	147	NA
CNA02015	RPF	JEC21	3	51	1	1	21	31	766	13	621	194	NA
CNA02020	RPF	JEC21	3	5	0	30	NA	NA	1498	NA	2109	64	NA
CNA02030	RPF	JEC21	15	17	3	18	NA	NA	11000	NA	4506	154	NA
CNA02040	RPF	JEC21	18	36	216	406	NA	NA	23499	NA	1971	13	NA
CNA02050	RPF	JEC21	1	2	16	108	NA	NA	966	NA	891	13	NA
CNA02055	RPF	JEC21	0	2	2	13	NA	NA	2793	NA	981	13	NA
CNA02060	RPF	JEC21	3	47	0	6	3	33	1287	0	2748	47	NA
CNA02080	RPF	JEC21	6	15	5	18	NA	NA	2582	NA	1245	37	NA
CNA02090	RPF	JEC21	7	7	3	156	NA	NA	6958	NA	660	44	NA
CNA02100	RPF	JEC21	527	958	123	378	3	7	40603	0	933	146	NA
CNA02115	RPF	JEC21	0	0	0	0	0	0	21	220	1221	991	NA
CNA02120	RPF	JEC21	1	2	0	10	0	4	300	4	582	171	NA
CNA02125	RPF	JEC21	0	0	0	0	0	0	26	5	603	276	NA
CNA02130	RPF	JEC21	4	11	30	84	17	75	2885	51	1278	192	NA
CNA02140	RPF	JEC21	1	8	2	32	1	2	2233	0	1548	51	NA
CNA02150	RPF	JEC21	6	7	16	56	25	46	1442	3	1317	92	NA
CNA02160	RPF	JEC21	51	105	7	58	0	1	1497	24	228	613	NA
CNA02170	RPF	JEC21	62	157	28	163	17	41	8658	3	813	128	NA
CNA02180	RPF	JEC21	32	130	22	299	1	5	10119	0	1425	34	NA
CNA02205	RPF	JEC21	0	0	0	0	0	0	0	73	315	1023	NA
CNA02210	RPF	JEC21	8	28	17	26	19	39	2725	0	1287	161	NA
CNA02220	RPF	JEC21	1596	5783	942	6354	NA	NA	312972	NA	342	59	NA
CNA02230	RPF	JEC21	193	516	300	1268	NA	NA	21547	NA	312	100	NA
CNA02240	RPF	JEC21	18	67	12	148	NA	NA	4826	NA	1224	115	NA
CNA02250	RPF	JEC21	100	122	8	71	NA	NA	10510	NA	1728	248	NA
CNA02260	RPF	JEC21	56	124	68	124	105	130	5252	79	1344	131	NA
CNA02270	RPF	JEC21	10	716	98	1313	NA	NA	219886	NA	2289	98	NA
CNA02290	RPF	JEC21	61	730	190	787	NA	NA	152444	NA	3285	134	NA
CNA02300	RPF	JEC21	0	3	4	33	NA	NA	7576	NA	2130	75	NA
CNA02310	RPF	JEC21	7	11	9	23	NA	NA	10240	NA	3102	18	NA
CNA02330	RPF	JEC21	9	22	10	65	NA	NA	8751	NA	1956	356	NA
CNA02335	RPF	JEC21	0	0	0	0	0	0	5	11	561	1334	NA
CNA02340	RPF	JEC21	34	68	21	204	NA	NA	3788	NA	606	130	NA
CNA02350	RPF	JEC21	0	3	0	0	0	2	1697	17	3159	664	NA
CNA02360	RPF	JEC21	9	21	2	18	0	4	6021	0	2070	52	NA
CNA02370	RPF	JEC21	3	39	9	193	NA	NA	16175	NA	2805	25	NA
CNA02380	RPF	JEC21	1	2	1	28	0	0	1411	1	1638	292	NA
CNA02390	RPF	JEC21	26	43	3	49	0	0	4229	2	1335	762	NA
CNA02400	RPF	JEC21	13	277	36	202	0	0	19268	5	1329	470	NA
CNA02405	RPF	JEC21	0	0	0	2	0	2	137	0	750	88	NA
CNA02410	RPF	JEC21	6	34	27	130	NA	NA	3673	NA	342	86	NA
CNA02420	RPF	JEC21	11	23	7	72	NA	NA	4158	NA	2361	46	NA
CNA02430	RPF	JEC21	3	4	0	7	0	0	109	0	1128	64	NA
CNA02440	RPF	JEC21	0	27	31	385	NA	NA	9248	NA	336	48	NA
CNA02450	RPF	JEC21	1	185	385	1936	NA	NA	67026	NA	1098	31	NA
CNA02460	RPF	JEC21	0	1	7	17	3	33	4341	2	5010	483	NA
CNA02470	RPF	JEC21	2	2	3	15	NA	NA	2014	NA	3363	142	NA
CNA02480	RPF	JEC21	30	174	92	264	NA	NA	18580	NA	864	165	NA
CNA02490	RPF	JEC21	69	300	15	145	NA	NA	58126	NA	864	63	NA
CNA02500	RPF	JEC21	0	0	0	0	NA	NA	0	NA	1338	82	NA
CNA02510	RPF	JEC21	0	1	0	0	0	1	14	0	1206	21	NA
CNA02520	RPF	JEC21	4639	5967	2296	5928	0	9	127081	7	594	570	NA
CNA02530	RPF	JEC21	16	24	1	3	1	14	481	93	504	229	NA
CNA02535	RPF	JEC21	6	15	0	24	3	3	2404	0	723	256	NA
CNA02540	RPF	JEC21	170	291	22	193	0	0	6861	0	1182	254	NA
CNA02550	RPF	JEC21	52	145	35	453	NA	NA	28626	NA	798	77	NA
CNA02555	RPF	JEC21	5	56	17	92	NA	NA	4813	NA	798	89	NA
CNA02560	RPF	JEC21	3	15	19	54	0	0	1988	0	1527	211	NA
CNA02570	RPF	JEC21	258	361	86	730	NA	NA	85366	NA	2157	71	NA
CNA02580	RPF	JEC21	7	60	2	35	NA	NA	4790	NA	1251	56	NA
CNA02590	RPF	JEC21	250	1279	1172	4018	NA	NA	62752	NA	393	34	NA
CNA02600	RPF	JEC21	5	77	30	81	7	43	3616	56	759	236	NA
CNA02610	RPF	JEC21	1	59	6	11	3	8	8204	15	5196	193	NA
CNA02620	RPF	JEC21	7	45	0	36	NA	NA	2212	NA	498	62	NA
CNA02625	RPF	JEC21	2	6	12	16	NA	NA	2635	NA	1845	53	NA
CNA02630	RPF	JEC21	5	69	22	123	26	66	7262	46	957	160	NA
CNA02640	RPF	JEC21	5	5	31	130	10	15	2044	0	729	173	NA
CNA02645	RPF	JEC21	3	23	20	45	NA	NA	1126	NA	609	100	NA
CNA02650	RPF	JEC21	21	43	42	158	NA	NA	5753	NA	975	120	NA
CNA02660	RPF	JEC21	358	475	51	445	NA	NA	33765	NA	753	71	NA
CNA02670	RPF	JEC21	27	249	305	1121	63	541	65496	7	804	262	NA
CNA02680	RPF	JEC21	7	14	9	69	NA	NA	6710	NA	1404	19	NA
CNA02690	RPF	JEC21	43	53	4	168	NA	NA	8871	NA	495	29	NA
CNA02700	RPF	JEC21	229	562	23	942	NA	NA	106505	NA	1683	50	NA
CNA02710	RPF	JEC21	0	2	0	1	NA	NA	985	NA	1353	54	NA
CNA02720	RPF	JEC21	0	0	0	0	0	0	105	2	1641	209	NA
CNA02730	RPF	JEC21	5	7	3	10	2	7	3312	70	3657	847	NA
CNA02740	RPF	JEC21	21	34	60	595	NA	NA	41003	NA	1626	136	NA
CNA02750	RPF	JEC21	153	462	41	646	NA	NA	52812	NA	1017	104	NA
CNA02760	RPF	JEC21	72	287	92	358	0	6	8953	0	645	109	NA
CNA02770	RPF	JEC21	3	9	11	23	0	1	1863	0	669	133	NA
CNA02780	RPF	JEC21	1	3	45	170	0	0	9775	0	1551	62	NA
CNA02790	RPF	JEC21	0	14	22	45	7	118	1324	98	1182	324	NA
CNA02800	RPF	JEC21	51	155	113	794	NA	NA	58165	NA	1569	161	NA
CNA02810	RPF	JEC21	15	143	199	954	NA	NA	16029	NA	651	196	NA
CNA02820	RPF	JEC21	2	9	22	79	NA	NA	16763	NA	1869	28	NA
CNA02830	RPF	JEC21	15	55	33	81	NA	NA	23174	NA	2697	45	NA
CNA02840	RPF	JEC21	0	42	1	18	NA	NA	1784	NA	978	66	NA
CNA02845	RPF	JEC21	3	18	5	27	NA	NA	3149	NA	1059	24	NA
CNA02850	RPF	JEC21	1	4	1	6	NA	NA	6685	NA	3597	65	NA
CNA02860	RPF	JEC21	14	21	11	48	NA	NA	8766	NA	2730	61	NA
CNA02870	RPF	JEC21	30	50	1	2	1	2	11934	0	819	44	NA
CNA02875	RPF	JEC21	0	0	0	2	1	3	263	18	687	616	NA
CNA02880	RPF	JEC21	1	1	0	0	1	1	1011	5	1539	218	NA
CNA02885	RPF	JEC21	38	92	157	638	16	25	6756	1	375	118	NA
CNA02890	RPF	JEC21	163	1132	707	4176	NA	NA	121473	NA	996	45	NA
CNA02895	RPF	JEC21	0	0	0	0	0	0	6	279	357	816	NA
CNA02900	RPF	JEC21	32	63	3	85	5	11	4506	15	552	215	NA
CNA02905	RPF	JEC21	583	1992	92	1290	NA	NA	20667	NA	159	81	NA
CNA02910	RPF	JEC21	4	6	8	30	NA	NA	4163	NA	1722	47	NA
CNA02920	RPF	JEC21	2	2	1	4	NA	NA	963	NA	2769	33	NA
CNA02930	RPF	JEC21	20	60	14	90	0	2	2827	0	1542	49	NA
CNA02940	RPF	JEC21	7	472	213	765	0	1	45651	45	1551	301	NA
CNA02950	RPF	JEC21	29	74	36	153	NA	NA	5544	NA	726	192	NA
CNA02960	RPF	JEC21	1	1	3	44	NA	NA	934	NA	2589	33	NA
CNA02970	RPF	JEC21	1	2	6	20	1	1	806	4	1155	75	NA
CNA02980	RPF	JEC21	0	0	0	2	NA	NA	155	NA	663	62	NA
CNA02990	RPF	JEC21	8	8	0	0	0	0	145	0	1152	41	NA
CNA03000	RPF	JEC21	90	506	281	1756	NA	NA	27053	NA	570	81	NA
CNA03010	RPF	JEC21	0	0	0	0	0	0	14	158	696	521	NA
CNA03020	RPF	JEC21	39	56	91	162	0	9	8197	0	1338	76	NA
CNA03030	RPF	JEC21	39	142	41	532	NA	NA	16901	NA	477	39	NA
CNA03040	RPF	JEC21	26	455	10	111	NA	NA	24170	NA	798	38	NA
CNA03050	RPF	JEC21	0	1	11	49	NA	NA	4686	NA	2241	9	NA
CNA03060	RPF	JEC21	0	0	1	1	NA	NA	368	NA	4311	89	NA
CNA03065	RPF	JEC21	3	8	55	202	NA	NA	4920	NA	1143	72	NA
CNA03070	RPF	JEC21	3	13	1	4	17	75	1772	23	3633	250	NA
CNA03090	RPF	JEC21	247	408	5	136	NA	NA	66535	NA	1473	97	NA
CNA03093	RPF	JEC21	0	0	1	1	0	0	24	0	471	288	NA
CNA03095	RPF	JEC21	6	36	9	12	NA	NA	2692	NA	387	119	NA
CNA03100	RPF	JEC21	2	17	7	55	NA	NA	2356	NA	3780	66	NA
CNA03110	RPF	JEC21	56	245	345	1287	NA	NA	43175	NA	480	44	NA
CNA03120	RPF	JEC21	2	13	11	42	2	11	3609	105	1590	395	NA
CNA03130	RPF	JEC21	0	24	18	75	2	5	2630	0	1476	177	NA
CNA03140	RPF	JEC21	0	1	0	2	0	0	930	8	3108	508	NA
CNA03150	RPF	JEC21	5	6	2	7	38	79	963	2	1014	91	NA
CNA03160	RPF	JEC21	3895	24678	3117	16926	NA	NA	1668871	NA	1845	82	NA
CNA03170	RPF	JEC21	3	12	8	33	1	2	6572	10	1200	672	NA
CNA03180	RPF	JEC21	33	92	14	65	NA	NA	10409	NA	2490	284	NA
CNA03190	RPF	JEC21	27	171	287	2294	NA	NA	49566	NA	885	2	NA
CNA03200	RPF	JEC21	20	70	15	101	1	5	4951	0	711	61	NA
CNA03210	RPF	JEC21	39	76	248	810	8	57	39274	0	1077	83	NA
CNA03220	RPF	JEC21	4	34	0	15	9	23	938	12	1119	89	NA
CNA03240	RPF	JEC21	1	17	11	90	0	0	8179	34	2049	376	NA
CNA03250	RPF	JEC21	1	13	23	126	NA	NA	3343	NA	1170	190	NA
CNA03265	RPF	JEC21	0	2	2	4	1	3	69	240	357	789	NA
