# scores_kozak_Nc.txt
# Scores of ATG context against Kozak sequence, N. crassa 
# Kozak sequence derived from 400 highest-translated genes by RPF
#
# Gene: Nc systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
NCU00031	0.975	0.838	0.791	0.915	0.778	0.768	-0.137	-0.184	-0.137	-0.147
NCU00032	0.903	0.854	0.804	0.783	0.775	0.76	-0.049	-0.099	-0.008	-0.023
NCU00033	0.849	0.911	NA	0.73	0.883	NA	0.062	NA	0.153	NA
NCU00034	0.907	0.863	NA	0.818	0.82	NA	-0.044	NA	0.002	NA
NCU00035	0.866	0.811	0.94	0.769	0.74	0.829	-0.055	0.074	-0.029	0.06
NCU00037	0.903	0.858	NA	0.846	0.752	NA	-0.046	NA	-0.094	NA
NCU00038	1	0.815	NA	0.89	0.765	NA	-0.185	NA	-0.125	NA
NCU00039	0.975	0.838	0.903	0.894	0.735	0.836	-0.137	-0.072	-0.159	-0.058
NCU00040	0.94	0.825	0.974	0.827	0.785	0.921	-0.115	0.034	-0.042	0.094
NCU00041	1	0.886	0.793	0.98	0.809	0.665	-0.114	-0.207	-0.171	-0.315
NCU00042	0.866	0.691	NA	0.807	0.625	NA	-0.175	NA	-0.182	NA
NCU00043	0.84	0.836	NA	0.741	0.749	NA	-0.004	NA	0.008	NA
NCU00045	0.859	0.771	0.854	0.811	0.714	0.791	-0.088	-0.005	-0.097	-0.02
NCU00046	0.728	0.88	0.801	0.685	0.829	0.75	0.153	0.073	0.143	0.065
NCU00047	0.899	0.974	NA	0.857	0.826	NA	0.076	NA	-0.031	NA
NCU00048	0.983	0.899	NA	0.932	0.744	NA	-0.084	NA	-0.188	NA
NCU00050	0.903	0.907	NA	0.885	0.878	NA	0.004	NA	-0.008	NA
NCU00051	0.975	0.903	NA	0.87	0.797	NA	-0.072	NA	-0.073	NA
NCU00052	0.899	0.867	NA	0.874	0.808	NA	-0.032	NA	-0.067	NA
NCU00054	0.795	0.846	0.821	0.793	0.752	0.762	0.051	0.026	-0.041	-0.031
NCU00055	0.869	0.825	0.717	0.852	0.777	0.735	-0.044	-0.152	-0.075	-0.117
NCU00056	0.866	0.871	0.694	0.74	0.81	0.63	0.005	-0.173	0.07	-0.111
NCU00057	0.854	0.816	0.975	0.769	0.813	0.894	-0.038	0.121	0.044	0.124
NCU00059	1	0.859	0.801	0.915	0.766	0.696	-0.141	-0.199	-0.15	-0.22
NCU00060	0.903	0.892	0.795	0.853	0.813	0.789	-0.011	-0.108	-0.04	-0.064
NCU00061	0.792	0.852	0.774	0.711	0.787	0.754	0.06	-0.018	0.075	0.042
NCU00064	0.901	0.903	0.889	0.796	0.863	0.875	0.003	-0.011	0.067	0.079
NCU00065	0.957	0.816	0.743	0.9	0.74	NA	-0.142	-0.214	-0.16	NA
NCU00066	0.957	0.876	NA	0.919	0.834	NA	-0.081	NA	-0.085	NA
NCU00067	0.901	0.903	0.833	0.851	0.815	0.725	0.002	-0.068	-0.036	-0.126
NCU00068	0.788	0.863	NA	0.71	0.81	NA	0.075	NA	0.1	NA
NCU00069	0.793	0.716	0.883	0.774	0.742	0.786	-0.076	0.091	-0.032	0.013
NCU00070	0.974	0.886	0.92	0.888	0.829	0.841	-0.089	-0.054	-0.06	-0.048
NCU00071	0.939	0.828	NA	0.853	0.723	NA	-0.111	NA	-0.13	NA
NCU00072	0.828	0.821	NA	0.785	0.723	NA	-0.007	NA	-0.061	NA
NCU00073	0.829	0.846	0.838	0.752	0.778	0.753	0.017	0.008	0.026	0
NCU00074	0.928	0.8	NA	0.811	0.782	NA	-0.129	NA	-0.03	NA
NCU00075	0.983	0.828	NA	0.946	0.724	NA	-0.155	NA	-0.221	NA
NCU00076	0.975	0.75	0.725	0.904	0.655	0.657	-0.225	-0.249	-0.25	-0.247
NCU00077	0.755	0.824	0.804	0.703	0.729	0.822	0.069	0.049	0.026	0.119
NCU00078	1	0.757	NA	0.992	0.753	NA	-0.243	NA	-0.239	NA
NCU00079	0.957	0.732	0.731	0.904	0.688	0.71	-0.225	-0.226	-0.216	-0.194
NCU00080	0.903	0.804	NA	0.79	0.803	NA	-0.099	NA	0.013	NA
NCU00081	0.815	1	0.791	0.711	0.954	0.705	0.185	-0.024	0.243	-0.006
NCU00082	0.839	0.794	NA	0.781	0.682	NA	-0.046	NA	-0.099	NA
NCU00083	0.896	0.866	NA	0.842	0.815	NA	-0.03	NA	-0.027	NA
NCU00084	0.755	0.903	0.778	0.721	0.853	0.751	0.148	0.023	0.132	0.031
NCU00085	0.94	0.827	0.832	0.893	0.705	0.799	-0.113	-0.108	-0.188	-0.095
NCU00086	0.903	0.838	NA	0.869	0.716	NA	-0.065	NA	-0.153	NA
NCU00087	0.867	0.805	NA	0.838	0.797	NA	-0.062	NA	-0.041	NA
NCU00088	0.903	0.778	0.743	0.87	0.718	0.69	-0.125	-0.16	-0.152	-0.18
NCU00089	0.975	0.828	0.992	0.864	0.781	0.895	-0.146	0.017	-0.083	0.031
NCU00090	0.931	0.816	NA	0.905	0.821	NA	-0.115	NA	-0.083	NA
NCU00091	0.882	0.866	0.899	0.868	0.733	0.833	-0.015	0.017	-0.135	-0.035
NCU00092	0.884	0.675	NA	0.862	0.674	NA	-0.209	NA	-0.188	NA
NCU00093	0.957	0.866	NA	0.843	0.743	NA	-0.091	NA	-0.1	NA
NCU00095	0.983	0.84	0.911	0.861	0.741	0.788	-0.143	-0.072	-0.12	-0.073
NCU00096	0.867	0.873	NA	0.796	0.777	NA	0.006	NA	-0.018	NA
NCU00097	0.866	0.868	0.831	0.834	0.852	0.825	0.002	-0.036	0.017	-0.009
NCU00099	0.907	0.782	NA	0.834	0.769	NA	-0.125	NA	-0.065	NA
NCU00100	0.859	0.918	NA	0.768	0.893	NA	0.059	NA	0.125	NA
NCU00101	0.903	0.805	0.815	0.807	0.74	0.795	-0.098	-0.088	-0.066	-0.011
NCU00102	0.903	0.683	0.728	0.854	0.65	0.674	-0.221	-0.175	-0.204	-0.18
NCU00103	0.903	0.821	0.956	0.829	0.754	NA	-0.082	0.053	-0.074	NA
NCU00104	0.94	0.918	0.907	0.876	0.845	0.832	-0.022	-0.032	-0.031	-0.044
NCU00105	0.974	0.849	NA	0.944	0.785	NA	-0.125	NA	-0.159	NA
NCU00106	0.93	0.975	0.918	0.852	0.922	0.829	0.044	-0.013	0.07	-0.023
NCU00107	0.975	0.827	0.717	0.869	0.766	0.676	-0.148	-0.257	-0.102	-0.193
NCU00108	0.974	0.854	0.755	0.853	0.72	0.747	-0.121	-0.219	-0.133	-0.106
NCU00109	0.975	0.875	0.743	0.882	0.736	0.734	-0.1	-0.231	-0.146	-0.149
NCU00110	0.957	0.886	0.757	0.924	0.826	0.743	-0.071	-0.2	-0.098	-0.181
NCU00111	0.706	0.784	NA	0.609	0.745	NA	0.079	NA	0.136	NA
NCU00112	0.866	0.892	NA	0.808	0.816	NA	0.026	NA	0.008	NA
NCU00114	0.892	0.911	NA	0.837	0.859	NA	0.019	NA	0.022	NA
NCU00115	0.974	0.801	NA	0.878	0.688	NA	-0.173	NA	-0.19	NA
NCU00116	0.832	0.873	0.717	0.787	0.8	0.663	0.041	-0.115	0.013	-0.124
NCU00117	0.974	0.93	0.797	0.914	0.879	0.731	-0.044	-0.177	-0.035	-0.183
NCU00118	0.975	0.855	NA	0.83	0.747	NA	-0.12	NA	-0.083	NA
NCU00119	0.931	0.76	0.743	0.811	0.728	0.676	-0.17	-0.187	-0.083	-0.136
NCU00120	0.903	0.791	0.743	0.828	0.683	0.677	-0.112	-0.16	-0.145	-0.151
NCU00121	0.792	0.725	0.899	0.742	0.68	0.774	-0.067	0.107	-0.062	0.032
NCU00122	0.875	0.838	0.825	0.827	0.792	0.773	-0.037	-0.05	-0.035	-0.054
NCU00123	0.8	0.892	NA	0.706	NA	NA	0.093	NA	NA	NA
NCU00124	0.821	0.92	0.641	0.801	0.87	0.651	0.1	-0.18	0.069	-0.15
NCU00125	0.757	0.731	0.795	0.673	0.639	0.789	-0.026	0.038	-0.033	0.116
NCU00126	0.876	0.797	NA	0.813	0.717	NA	-0.08	NA	-0.096	NA
NCU00127	0.866	0.948	0.774	0.79	0.876	0.763	0.081	-0.093	0.086	-0.027
NCU00128	0.882	0.76	NA	0.822	0.681	NA	-0.121	NA	-0.141	NA
NCU00129	0.931	0.889	NA	0.903	0.818	NA	-0.041	NA	-0.085	NA
NCU00130	0.869	0.907	0.903	0.84	0.866	0.802	0.039	0.035	0.026	-0.039
NCU00132	0.93	0.816	NA	0.856	0.701	NA	-0.115	NA	-0.156	NA
NCU00133	0.925	0.918	0.899	0.771	0.795	0.846	-0.007	-0.026	0.024	0.075
NCU00134	0.903	0.824	0.833	0.809	0.746	0.798	-0.079	-0.071	-0.063	-0.012
NCU00135	0.866	0.992	0.752	0.849	0.881	0.627	0.125	-0.114	0.033	-0.221
NCU00136	0.859	0.801	0.866	0.868	0.73	0.817	-0.058	0.007	-0.138	-0.052
NCU00137	0.774	0.889	NA	0.717	0.851	NA	0.116	NA	0.135	NA
NCU00138	1	0.802	0.931	0.906	0.739	0.894	-0.198	-0.069	-0.167	-0.013
NCU00142	0.931	0.875	NA	0.864	0.792	NA	-0.056	NA	-0.072	NA
NCU00143	0.913	0.807	NA	0.833	0.693	NA	-0.106	NA	-0.14	NA
NCU00144	0.93	0.795	0.792	0.802	0.734	0.796	-0.135	-0.138	-0.068	-0.006
NCU00145	0.939	0.859	0.873	0.889	0.794	0.79	-0.08	-0.066	-0.095	-0.099
NCU00146	0.975	0.889	NA	0.893	0.825	NA	-0.085	NA	-0.068	NA
NCU00147	1	0.797	0.792	0.898	0.697	0.733	-0.203	-0.208	-0.201	-0.165
NCU00148	0.868	0.807	NA	0.843	0.69	NA	-0.061	NA	-0.153	NA
NCU00149	0.915	0.831	0.875	0.852	0.678	0.86	-0.084	-0.04	-0.174	0.008
NCU00150	1	0.866	0.889	0.93	0.834	0.801	-0.134	-0.111	-0.095	-0.129
NCU00151	0.956	0.8	NA	0.857	0.753	NA	-0.156	NA	-0.104	NA
NCU00152	0.931	0.907	0.641	0.91	0.77	0.603	-0.023	-0.289	-0.14	-0.307
NCU00153	0.882	0.788	0.81	0.805	0.704	0.747	-0.094	-0.072	-0.102	-0.058
NCU00154	0.832	0.845	0.743	0.744	0.76	0.747	0.014	-0.088	0.016	0.003
NCU00155	0.822	0.824	0.683	0.764	0.769	0.614	0.002	-0.14	0.005	-0.151
NCU00157	0.992	0.836	0.821	0.895	0.73	0.71	-0.156	-0.171	-0.165	-0.185
NCU00158	0.901	0.855	NA	0.905	0.839	NA	-0.046	NA	-0.066	NA
NCU00159	0.94	0.751	0.842	0.935	0.672	0.823	-0.189	-0.098	-0.263	-0.113
NCU00160	1	0.992	NA	0.948	0.885	NA	-0.008	NA	-0.063	NA
NCU00161	0.822	0.992	0.855	0.766	0.926	0.755	0.169	0.032	0.16	-0.011
NCU00162	0.957	0.872	0.903	0.838	0.838	0.81	-0.085	-0.054	0	-0.028
NCU00163	0.876	0.84	0.906	0.753	0.754	0.866	-0.036	0.03	0.002	0.114
NCU00164	0.94	0.892	0.903	0.88	0.869	0.816	-0.048	-0.037	-0.011	-0.064
NCU00166	0.784	0.912	0.948	0.76	0.858	0.831	0.128	0.163	0.098	0.071
NCU00167	0.903	0.778	0.903	0.878	0.766	NA	-0.125	0	-0.112	NA
NCU00168	0.797	0.883	NA	0.825	0.781	NA	0.086	NA	-0.044	NA
NCU00169	0.975	0.859	NA	0.86	0.74	NA	-0.116	NA	-0.12	NA
NCU00170	0.875	0.804	0.725	0.829	0.705	0.645	-0.071	-0.149	-0.124	-0.184
NCU00171	0.892	0.898	0.74	0.85	0.853	0.732	0.005	-0.153	0.002	-0.118
NCU00172	0.931	0.793	0.956	0.846	0.778	0.886	-0.138	0.025	-0.068	0.04
NCU00173	0.877	1	NA	0.768	0.974	NA	0.123	NA	0.205	NA
NCU00175	0.974	0.786	0.797	0.875	0.677	0.743	-0.188	-0.178	-0.198	-0.132
NCU00176	0.838	0.74	NA	0.743	0.64	NA	-0.098	NA	-0.104	NA
NCU00177	0.983	0.767	0.755	0.914	0.714	0.696	-0.216	-0.228	-0.2	-0.218
NCU00178	0.992	0.816	0.75	0.908	0.759	0.719	-0.176	-0.242	-0.149	-0.189
NCU00179	0.903	0.846	NA	0.774	0.77	NA	-0.057	NA	-0.005	NA
NCU00180	0.909	0.792	0.859	0.88	0.743	0.784	-0.117	-0.05	-0.137	-0.096
NCU00181	0.974	0.725	NA	0.886	0.639	NA	-0.249	NA	-0.247	NA
NCU00182	0.912	0.664	0.915	0.89	0.638	0.787	-0.247	0.003	-0.252	-0.103
NCU00183	0.975	0.875	0.745	0.911	0.814	0.636	-0.099	-0.229	-0.097	-0.274
NCU00184	0.901	0.755	0.831	0.828	0.731	0.729	-0.145	-0.07	-0.097	-0.098
NCU00185	0.929	0.816	NA	0.881	0.732	NA	-0.113	NA	-0.149	NA
NCU00186	0.931	0.903	0.829	0.917	0.764	0.806	-0.027	-0.101	-0.153	-0.111
NCU00187	1	0.725	0.831	0.979	0.655	NA	-0.275	-0.169	-0.324	NA
NCU00188	0.859	0.886	0.814	0.778	0.814	0.75	0.027	-0.045	0.036	-0.028
NCU00189	0.974	0.898	NA	0.832	0.813	NA	-0.077	NA	-0.019	NA
NCU00192	0.913	0.855	NA	0.91	0.775	NA	-0.059	NA	-0.135	NA
NCU00193	0.948	0.821	NA	0.804	0.824	NA	-0.127	NA	0.019	NA
NCU00194	0.94	0.75	0.694	0.909	0.688	0.616	-0.19	-0.246	-0.221	-0.294
NCU00195	0.839	0.72	0.792	0.715	0.666	NA	-0.12	-0.047	-0.049	NA
NCU00196	0.903	0.784	0.724	0.852	0.66	0.716	-0.119	-0.18	-0.192	-0.136
NCU00197	0.879	0.795	NA	0.796	0.753	NA	-0.083	NA	-0.043	NA
NCU00198	0.939	0.729	NA	0.89	0.692	NA	-0.209	NA	-0.199	NA
NCU00199	0.854	0.867	0.839	0.832	0.851	0.733	0.014	-0.014	0.019	-0.1
NCU00200	0.983	0.863	0.784	0.918	0.832	0.787	-0.12	-0.199	-0.086	-0.132
NCU00201	0.931	0.903	NA	0.864	0.827	NA	-0.027	NA	-0.037	NA
NCU00202	0.872	0.983	NA	0.867	0.967	NA	0.111	NA	0.1	NA
NCU00203	1	0.822	0.992	0.903	0.821	0.962	-0.178	-0.008	-0.082	0.059
NCU00204	0.903	0.911	NA	0.815	0.806	NA	0.008	NA	-0.009	NA
NCU00205	0.832	0.992	0.866	0.732	0.85	0.813	0.16	0.035	0.117	0.08
NCU00206	0.974	0.862	0.948	0.869	0.76	0.812	-0.112	-0.026	-0.109	-0.056
NCU00207	0.918	0.717	0.815	0.846	0.627	0.732	-0.201	-0.103	-0.219	-0.114
NCU00208	0.957	0.794	NA	0.843	0.759	NA	-0.164	NA	-0.084	NA
NCU00209	0.81	0.818	0.708	0.83	0.693	0.647	0.008	-0.102	-0.137	-0.183
NCU00210	0.931	0.886	NA	0.855	0.855	NA	-0.045	NA	0.001	NA
NCU00211	0.983	0.818	NA	0.951	0.738	NA	-0.165	NA	-0.213	NA
NCU00212	0.992	0.832	0.75	0.93	0.803	0.718	-0.16	-0.242	-0.128	-0.212
NCU00213	0.821	0.892	0.824	0.709	0.769	0.695	0.071	0.004	0.06	-0.015
NCU00214	0.854	0.792	NA	0.819	0.711	NA	-0.062	NA	-0.107	NA
NCU00215	0.858	0.833	0.829	0.753	0.71	0.719	-0.025	-0.029	-0.043	-0.035
NCU00216	0.975	0.792	NA	0.915	0.741	NA	-0.183	NA	-0.174	NA
NCU00218	0.974	0.855	NA	0.896	0.774	NA	-0.12	NA	-0.122	NA
NCU00219	0.992	0.872	0.801	0.965	0.831	0.776	-0.119	-0.19	-0.133	-0.189
NCU00220	0.975	0.956	0.867	0.878	0.867	0.764	-0.019	-0.107	-0.011	-0.114
NCU00221	0.903	0.728	NA	0.858	0.651	NA	-0.175	NA	-0.208	NA
NCU00222	0.892	0.854	NA	0.808	0.807	NA	-0.039	NA	-0	NA
NCU00223	0.838	0.974	NA	0.741	0.885	NA	0.137	NA	0.144	NA
NCU00224	0.882	0.855	NA	0.857	0.786	NA	-0.027	NA	-0.072	NA
NCU00225	0.93	0.801	NA	0.89	0.772	NA	-0.129	NA	-0.118	NA
NCU00226	0.983	0.828	0.886	0.939	0.747	0.77	-0.155	-0.097	-0.192	-0.17
NCU00227	0.931	0.832	NA	0.874	0.736	NA	-0.099	NA	-0.138	NA
NCU00229	0.846	0.957	NA	0.748	0.866	NA	0.111	NA	0.118	NA
NCU00230	0.913	0.859	0.795	0.815	0.778	0.762	-0.054	-0.118	-0.037	-0.053
NCU00231	0.974	0.81	NA	0.928	0.784	NA	-0.164	NA	-0.144	NA
NCU00232	0.784	0.903	0.92	0.727	0.813	0.856	0.119	0.136	0.086	0.129
NCU00233	0.833	0.992	NA	0.758	0.973	NA	0.159	NA	0.215	NA
NCU00234	0.795	0.983	0.743	0.731	0.877	0.618	0.188	-0.051	0.147	-0.113
NCU00236	0.788	1	0.903	0.757	0.964	NA	0.212	0.115	0.207	NA
NCU00237	0.786	0.816	0.778	0.768	0.755	0.68	0.029	-0.008	-0.012	-0.088
NCU00238	0.911	0.829	0.983	0.871	0.759	0.922	-0.082	0.072	-0.112	0.051
NCU00239	0.992	0.832	NA	0.844	0.767	NA	-0.16	NA	-0.077	NA
NCU00240	0.974	0.767	0.871	0.863	0.665	0.699	-0.207	-0.104	-0.198	-0.164
NCU00241	0.836	0.729	0.931	0.693	0.721	0.866	-0.106	0.095	0.028	0.173
NCU00242	0.931	0.816	0.795	0.91	0.794	0.693	-0.115	-0.135	-0.116	-0.217
NCU00243	1	0.804	0.913	0.911	0.765	0.85	-0.196	-0.087	-0.146	-0.061
NCU00244	0.975	0.992	0.863	0.919	0.916	0.809	0.017	-0.111	-0.003	-0.11
NCU00245	0.93	0.844	NA	0.86	0.788	NA	-0.087	NA	-0.072	NA
NCU00246	0.828	0.754	0.866	0.669	0.714	0.808	-0.074	0.039	0.044	0.139
NCU00247	1	0.835	NA	0.938	0.767	NA	-0.165	NA	-0.171	NA
NCU00248	0.915	0.851	0.807	0.808	0.806	0.743	-0.064	-0.108	-0.001	-0.064
NCU00249	0.829	0.79	0.92	0.733	0.725	0.777	-0.039	0.091	-0.008	0.044
NCU00250	0.956	NA	NA	0.83	NA	NA	NA	NA	NA	NA
NCU00251	0.94	0.792	0.94	0.827	0.755	0.866	-0.148	0	-0.072	0.039
NCU00252	0.795	0.774	0.778	0.766	0.688	0.718	-0.022	-0.017	-0.078	-0.048
NCU00253	1	0.975	NA	0.913	0.882	NA	-0.025	NA	-0.031	NA
NCU00254	0.948	0.81	NA	0.886	0.761	NA	-0.137	NA	-0.125	NA
NCU00257	0.747	0.816	0.875	0.754	0.773	0.823	0.069	0.129	0.019	0.07
NCU00258	1	NA	NA	0.977	NA	NA	NA	NA	NA	NA
NCU00259	0.846	0.77	NA	0.811	0.71	NA	-0.077	NA	-0.1	NA
NCU00260	0.992	0.842	NA	0.951	0.789	NA	-0.15	NA	-0.162	NA
NCU00261	0.911	0.974	NA	0.807	0.909	NA	0.063	NA	0.103	NA
NCU00262	0.992	0.752	0.751	0.912	0.697	0.68	-0.239	-0.241	-0.216	-0.232
NCU00263	0.94	0.75	0.752	0.884	0.722	0.69	-0.19	-0.188	-0.162	-0.194
NCU00264	0.975	0.774	0.702	0.948	0.709	0.585	-0.201	-0.272	-0.238	-0.362
NCU00265	0.948	0.79	0.754	0.956	0.786	0.685	-0.157	-0.194	-0.17	-0.271
NCU00267	1	0.827	0.93	0.903	0.728	0.902	-0.173	-0.07	-0.175	-0.001
NCU00268	0.974	0.743	0.839	0.957	0.607	0.718	-0.231	-0.135	-0.35	-0.239
NCU00269	0.975	0.974	0.817	0.894	0.914	0.726	-0	-0.158	0.02	-0.167
NCU00270	0.849	0.858	0.975	0.74	0.791	0.919	0.009	0.126	0.051	0.179
NCU00271	0.769	0.849	NA	0.739	0.758	NA	0.08	NA	0.02	NA
NCU00272	0.805	0.903	NA	0.709	0.855	NA	0.098	NA	0.145	NA
NCU00273	0.863	0.836	0.956	0.84	0.738	0.805	-0.027	0.093	-0.102	-0.035
NCU00274	0.975	0.743	0.784	0.922	0.684	0.693	-0.231	-0.191	-0.238	-0.229
NCU00275	0.821	0.729	NA	0.737	0.609	NA	-0.091	NA	-0.128	NA
NCU00276	0.836	0.915	NA	0.814	0.789	NA	0.079	NA	-0.025	NA
NCU00277	0.975	0.849	0.849	0.842	0.736	0.712	-0.125	-0.126	-0.106	-0.13
NCU00278	0.784	0.745	0.855	0.695	0.71	0.783	-0.039	0.071	0.016	0.088
NCU00279	0.903	0.918	NA	0.82	0.88	NA	0.015	NA	0.06	NA
NCU00280	0.983	0.866	0.792	0.951	0.781	0.73	-0.117	-0.191	-0.17	-0.221
NCU00281	0.974	0.818	0.909	0.845	0.808	0.711	-0.156	-0.065	-0.037	-0.134
NCU00282	0.855	0.855	0.898	0.835	0.795	0.803	0	0.043	-0.04	-0.032
NCU00283	0.93	0.846	0.791	0.858	0.826	0.648	-0.084	-0.14	-0.032	-0.211
NCU00284	0.877	0.903	0.822	0.782	0.808	0.759	0.026	-0.055	0.025	-0.023
NCU00285	0.792	0.983	NA	0.734	0.843	NA	0.191	NA	0.109	NA
NCU00287	0.974	0.797	NA	0.884	0.718	NA	-0.178	NA	-0.166	NA
NCU00288	0.761	0.849	0.743	0.697	0.785	0.652	0.089	-0.017	0.088	-0.046
NCU00289	0.901	0.818	0.745	0.833	0.828	NA	-0.083	-0.156	-0.004	NA
NCU00290	0.939	0.901	0.832	0.88	0.839	NA	-0.038	-0.107	-0.041	NA
NCU00291	0.939	0.909	0.818	0.834	0.825	0.807	-0.029	-0.121	-0.009	-0.027
NCU00292	0.974	0.939	NA	0.868	0.868	NA	-0.036	NA	0	NA
NCU00293	0.75	0.925	NA	0.694	0.867	NA	0.175	NA	0.172	NA
NCU00294	0.974	0.863	NA	0.908	0.796	NA	-0.111	NA	-0.112	NA
NCU00295	0.904	0.875	0.815	0.849	0.807	0.759	-0.03	-0.09	-0.042	-0.09
NCU00296	0.855	0.931	NA	0.784	0.847	NA	0.076	NA	0.063	NA
NCU00297	0.839	0.992	NA	0.768	0.959	NA	0.152	NA	0.192	NA
NCU00298	0.974	0.911	NA	0.928	0.842	NA	-0.063	NA	-0.087	NA
NCU00299	0.859	0.831	NA	0.808	0.745	NA	-0.028	NA	-0.063	NA
NCU00300	0.975	0.828	0.975	0.939	0.783	0.9	-0.147	0	-0.156	-0.039
NCU00301	0.956	0.767	NA	0.937	0.675	NA	-0.189	NA	-0.262	NA
NCU00302	0.838	0.755	NA	0.759	0.699	NA	-0.082	NA	-0.06	NA
NCU00303	0.974	0.751	NA	0.908	0.691	NA	-0.223	NA	-0.217	NA
NCU00304	0.824	0.754	NA	0.783	0.685	NA	-0.071	NA	-0.098	NA
NCU00305	0.975	0.773	NA	0.888	0.707	NA	-0.202	NA	-0.181	NA
NCU00306	0.94	0.859	0.825	0.937	0.771	0.683	-0.081	-0.115	-0.166	-0.253
NCU00307	0.94	0.911	NA	0.894	0.802	NA	-0.029	NA	-0.092	NA
NCU00308	0.899	0.833	NA	0.843	0.797	NA	-0.066	NA	-0.046	NA
NCU00309	1	0.754	0.801	0.885	0.75	0.78	-0.246	-0.199	-0.135	-0.105
NCU00310	0.974	0.948	0.794	0.886	0.868	0.734	-0.026	-0.181	-0.019	-0.152
NCU00311	0.858	0.925	NA	0.752	0.848	NA	0.067	NA	0.096	NA
NCU00312	0.822	0.974	0.896	0.706	0.862	0.816	0.152	0.074	0.155	0.11
NCU00313	0.983	0.79	NA	0.949	0.722	NA	-0.193	NA	-0.227	NA
NCU00314	0.931	0.773	NA	0.808	0.685	NA	-0.158	NA	-0.124	NA
NCU00315	0.911	0.868	NA	0.915	0.881	NA	-0.043	NA	-0.034	NA
NCU00316	0.939	0.867	NA	0.853	0.764	NA	-0.072	NA	-0.089	NA
NCU00317	0.761	0.729	0.829	0.683	0.716	0.812	-0.031	0.068	0.033	0.129
NCU00318	0.931	0.907	NA	0.885	0.862	NA	-0.023	NA	-0.023	NA
NCU00319	0.983	0.765	NA	0.886	0.664	NA	-0.218	NA	-0.223	NA
NCU00320	0.845	0.79	0.839	0.839	0.671	0.754	-0.055	-0.006	-0.168	-0.085
NCU00321	0.93	0.75	0.818	0.862	0.714	0.816	-0.181	-0.112	-0.148	-0.046
