# scores_kozak_Sc.txt
# Scores of ATG context against Kozak sequence, Scerevisiae S288C
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: Sc systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG agains narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
YAR023C	0.923	0.807	NA	0.883	0.72	NA	-0.115	NA	-0.163	NA
YAR027W	0.929	0.923	NA	0.905	0.839	NA	-0.007	NA	-0.066	NA
YAR028W	0.834	0.958	NA	0.829	0.841	NA	0.125	NA	0.012	NA
YAR029W	0.94	0.938	NA	0.871	0.902	NA	-0.002	NA	0.031	NA
YAR030C	1	0.958	NA	0.971	0.893	NA	-0.042	NA	-0.078	NA
YAR031W	0.795	0.764	NA	0.782	0.759	NA	-0.03	NA	-0.023	NA
YAR033W	0.762	1	NA	0.777	0.907	NA	0.238	NA	0.13	NA
YAR035C-A	0.799	NA	NA	0.785	NA	NA	NA	NA	NA	NA
YAR035W	0.923	0.756	NA	0.849	0.716	NA	-0.167	NA	-0.133	NA
YAR042W	0.893	0.763	NA	0.839	0.666	NA	-0.13	NA	-0.172	NA
YAR047C	0.802	0.947	NA	0.762	0.888	NA	0.146	NA	0.126	NA
YAR050W	1	0.886	NA	0.925	NA	NA	-0.114	NA	NA	NA
YAR053W	0.815	0.744	NA	0.81	NA	NA	-0.071	NA	NA	NA
YAR060C	0.896	0.815	NA	0.831	0.822	NA	-0.081	NA	-0.009	NA
YAR064W	0.839	0.675	NA	0.784	0.645	NA	-0.164	NA	-0.139	NA
YAR066W	0.896	0.852	NA	0.918	0.775	NA	-0.044	NA	-0.143	NA
YAR068W	0.764	0.763	NA	0.741	0.717	NA	-0.001	NA	-0.024	NA
YAR069C	0.844	0.781	NA	0.763	0.748	NA	-0.063	NA	-0.016	NA
YAR070C	0.788	0.807	NA	0.738	0.728	NA	0.018	NA	-0.01	NA
YAR071W	0.857	0.77	NA	0.841	0.711	NA	-0.086	NA	-0.13	NA
YAR073W	0.901	0.755	NA	0.826	0.743	NA	-0.147	NA	-0.083	NA
YAR075W	0.738	0.798	NA	0.693	0.76	NA	0.061	NA	0.068	NA
YBL001C	0.923	0.666	NA	0.855	0.587	NA	-0.256	NA	-0.268	NA
YBL002W	0.857	0.729	NA	0.817	0.686	NA	-0.128	NA	-0.131	NA
YBL003C	0.923	0.824	NA	0.915	0.749	NA	-0.099	NA	-0.166	NA
YBL004W	0.859	0.754	NA	0.805	0.757	NA	-0.105	NA	-0.048	NA
YBL005W	0.883	0.851	NA	0.787	0.785	NA	-0.033	NA	-0.002	NA
YBL006C	0.844	0.897	NA	0.808	0.805	NA	0.053	NA	-0.003	NA
YBL006W-A	0.768	0.815	NA	0.64	0.754	NA	0.047	NA	0.114	NA
YBL007C	0.782	0.709	NA	0.707	0.638	NA	-0.073	NA	-0.068	NA
YBL008W-A	0.851	0.923	NA	0.783	NA	NA	0.071	NA	NA	NA
YBL008W	0.906	0.754	NA	0.822	0.773	NA	-0.152	NA	-0.049	NA
YBL009W	0.923	0.765	NA	0.869	0.763	NA	-0.157	NA	-0.106	NA
YBL010C	0.815	0.893	NA	0.782	0.811	NA	0.077	NA	0.029	NA
YBL011W	1	0.822	NA	0.94	0.738	NA	-0.178	NA	-0.203	NA
YBL012C	0.827	0.881	NA	0.769	0.773	NA	0.054	NA	0.004	NA
YBL013W	0.893	0.959	NA	0.849	NA	NA	0.066	NA	NA	NA
YBL014C	0.791	0.81	0.745	0.696	0.779	0.683	0.019	-0.046	0.083	-0.013
YBL015W	0.959	0.797	NA	0.865	0.762	NA	-0.162	NA	-0.103	NA
YBL016W	0.897	0.756	NA	0.832	0.688	NA	-0.141	NA	-0.144	NA
YBL017C	0.821	0.857	NA	0.801	0.796	NA	0.035	NA	-0.005	NA
YBL018C	0.818	0.844	0.884	0.739	0.796	0.793	0.025	0.066	0.058	0.055
YBL019W	0.884	0.746	NA	0.828	0.717	NA	-0.138	NA	-0.11	NA
YBL020W	1	0.786	NA	0.982	0.749	NA	-0.214	NA	-0.233	NA
YBL021C	0.861	0.87	NA	0.783	0.765	NA	0.009	NA	-0.019	NA
YBL022C	0.791	0.929	NA	0.81	0.864	NA	0.138	NA	0.054	NA
YBL023C	0.86	0.881	NA	0.87	0.762	NA	0.021	NA	-0.107	NA
YBL024W	0.88	0.842	NA	0.825	0.714	NA	-0.038	NA	-0.112	NA
YBL025W	0.923	0.937	NA	0.865	0.868	NA	0.015	NA	0.003	NA
YBL026W	0.859	0.87	NA	0.8	0.855	NA	0.011	NA	0.056	NA
YBL027W	0.923	0.937	NA	0.854	0.875	NA	0.015	NA	0.021	NA
YBL028C	0.911	0.866	NA	0.873	0.792	NA	-0.045	NA	-0.081	NA
YBL029C-A	0.87	0.702	0.964	0.892	0.689	0.899	-0.167	0.094	-0.202	0.007
YBL029W	0.779	0.923	NA	0.808	0.866	NA	0.143	NA	0.058	NA
YBL030C	0.849	0.83	NA	0.805	0.784	NA	-0.019	NA	-0.021	NA
YBL031W	0.764	0.805	NA	0.742	NA	NA	0.042	NA	NA	NA
YBL032W	0.849	0.86	NA	0.825	0.725	NA	0.011	NA	-0.101	NA
YBL033C	0.862	0.782	NA	0.825	0.672	NA	-0.079	NA	-0.152	NA
YBL034C	0.964	0.964	NA	0.906	0.88	NA	0	NA	-0.026	NA
YBL035C	1	0.806	NA	1	0.71	NA	-0.194	NA	-0.29	NA
YBL036C	0.92	0.795	NA	0.857	0.726	NA	-0.125	NA	-0.131	NA
YBL037W	0.849	0.765	NA	0.825	0.713	NA	-0.083	NA	-0.112	NA
YBL038W	0.929	0.921	NA	0.856	0.89	NA	-0.008	NA	0.034	NA
YBL039C-A	0.807	0.904	NA	0.77	0.861	NA	0.097	NA	0.091	NA
YBL039C	0.923	0.756	NA	0.876	0.752	NA	-0.167	NA	-0.125	NA
YBL039W-B	0.815	0.818	0.86	0.764	0.777	0.787	0.003	0.044	0.013	0.023
YBL040C	0.901	0.923	NA	0.857	0.841	NA	0.021	NA	-0.017	NA
YBL041W	0.938	0.886	NA	0.922	0.821	NA	-0.052	NA	-0.101	NA
YBL042C	0.923	0.964	NA	0.909	0.924	NA	0.041	NA	0.015	NA
YBL043W	0.923	0.982	NA	0.827	0.847	NA	0.059	NA	0.019	NA
YBL044W	0.719	0.896	NA	0.66	NA	NA	0.177	NA	NA	NA
YBL045C	1	0.786	NA	0.975	0.732	NA	-0.214	NA	-0.242	NA
YBL046W	0.839	0.845	NA	0.861	0.748	NA	0.005	NA	-0.112	NA
YBL047C	0.771	0.844	NA	0.753	0.77	NA	0.073	NA	0.017	NA
YBL048W	0.675	0.754	NA	0.677	0.784	NA	0.079	NA	0.107	NA
YBL049W	0.923	0.807	NA	0.848	0.746	NA	-0.116	NA	-0.102	NA
YBL050W	1	0.754	NA	0.962	0.688	NA	-0.246	NA	-0.274	NA
YBL051C	0.937	0.844	NA	0.927	0.795	NA	-0.094	NA	-0.132	NA
YBL052C	0.886	1	NA	0.819	0.929	NA	0.114	NA	0.109	NA
YBL053W	0.964	0.79	NA	0.877	NA	NA	-0.173	NA	NA	NA
YBL054W	0.842	0.807	NA	0.763	0.771	NA	-0.034	NA	0.009	NA
YBL055C	0.781	0.827	0.851	0.749	0.825	0.798	0.046	0.069	0.076	0.049
YBL056W	0.906	0.824	NA	0.828	0.722	NA	-0.082	NA	-0.106	NA
YBL057C	0.807	0.958	0.906	0.72	0.901	0.761	0.152	0.099	0.181	0.041
YBL058W	0.797	0.797	NA	0.785	0.791	NA	0	NA	0.006	NA
YBL059C-A	0.929	0.848	NA	0.844	0.773	NA	-0.081	NA	-0.071	NA
YBL059W	0.728	0.848	NA	0.741	0.782	NA	0.12	NA	0.041	NA
YBL060W	0.797	0.921	NA	0.739	0.878	NA	0.124	NA	0.139	NA
YBL061C	1	0.807	NA	0.925	0.75	NA	-0.193	NA	-0.176	NA
YBL062W	0.818	0.911	NA	0.825	0.839	NA	0.093	NA	0.014	NA
YBL063W	0.911	0.763	NA	0.9	0.758	NA	-0.148	NA	-0.142	NA
YBL064C	0.88	0.788	NA	0.807	0.744	NA	-0.092	NA	-0.063	NA
YBL065W	0.709	0.765	NA	0.688	0.667	NA	0.057	NA	-0.021	NA
YBL066C	0.83	0.799	NA	0.774	0.744	NA	-0.031	NA	-0.031	NA
YBL067C	0.911	0.881	NA	0.745	0.812	NA	-0.03	NA	0.067	NA
YBL068W-A	1	0.796	NA	0.894	0.762	NA	-0.204	NA	-0.132	NA
YBL068W	1	0.876	NA	0.917	0.819	NA	-0.124	NA	-0.098	NA
YBL069W	0.964	0.86	NA	0.858	0.808	NA	-0.104	NA	-0.05	NA
YBL070C	0.795	0.818	NA	0.799	0.755	NA	0.023	NA	-0.044	NA
YBL071C-B	0.799	NA	NA	0.722	NA	NA	NA	NA	NA	NA
YBL071C	0.855	0.791	NA	0.783	0.785	NA	-0.064	NA	0.002	NA
YBL071W-A	0.896	0.831	NA	0.845	0.776	NA	-0.065	NA	-0.069	NA
YBL072C	0.982	0.964	0.859	0.902	0.873	0.816	-0.018	-0.123	-0.029	-0.086
YBL073W	0.735	0.923	NA	0.742	NA	NA	0.188	NA	NA	NA
YBL074C	0.86	0.807	NA	0.784	0.767	NA	-0.053	NA	-0.016	NA
YBL075C	1	0.815	NA	0.946	0.781	NA	-0.185	NA	-0.166	NA
YBL076C	0.938	0.776	NA	0.856	0.727	NA	-0.162	NA	-0.129	NA
YBL077W	0.87	0.798	NA	0.85	NA	NA	-0.072	NA	NA	NA
YBL078C	0.885	0.709	NA	0.818	0.714	NA	-0.176	NA	-0.104	NA
YBL079W	0.718	0.964	NA	0.636	0.877	NA	0.246	NA	0.241	NA
YBL080C	0.876	0.861	NA	0.79	0.727	NA	-0.015	NA	-0.063	NA
YBL081W	0.822	0.807	NA	0.756	0.744	NA	-0.015	NA	-0.012	NA
YBL082C	0.818	0.821	NA	0.765	0.778	NA	0.003	NA	0.013	NA
YBL083C	0.786	1	NA	0.666	0.882	NA	0.214	NA	0.216	NA
YBL084C	0.827	0.765	NA	0.854	0.718	NA	-0.062	NA	-0.136	NA
YBL085W	0.881	0.814	NA	0.905	0.767	NA	-0.067	NA	-0.138	NA
YBL086C	0.917	0.919	0.779	0.904	0.829	0.747	0.002	-0.138	-0.075	-0.157
YBL087C	0.964	0.893	NA	0.934	0.768	NA	-0.071	NA	-0.165	NA
YBL088C	0.845	0.834	NA	0.85	0.76	NA	-0.011	NA	-0.09	NA
YBL089W	0.92	0.851	NA	0.818	0.823	NA	-0.07	NA	0.005	NA
YBL090W	0.946	0.886	NA	0.908	0.885	NA	-0.059	NA	-0.023	NA
YBL091C-A	0.964	0.922	NA	0.875	0.815	NA	-0.042	NA	-0.061	NA
YBL091C	1	0.844	NA	0.883	0.801	NA	-0.156	NA	-0.082	NA
YBL092W	0.802	0.834	0.859	0.761	0.797	0.801	0.032	0.058	0.036	0.04
YBL093C	0.964	0.666	NA	0.9	0.648	NA	-0.298	NA	-0.251	NA
YBL094C	0.806	0.717	NA	0.759	0.662	NA	-0.089	NA	-0.096	NA
YBL095W	0.92	0.797	NA	0.822	0.663	NA	-0.123	NA	-0.159	NA
YBL096C	0.802	0.807	NA	0.763	0.716	NA	0.004	NA	-0.047	NA
YBL097W	0.917	0.797	NA	0.856	0.775	NA	-0.12	NA	-0.08	NA
YBL098W	0.938	0.923	NA	0.868	0.835	NA	-0.016	NA	-0.033	NA
YBL099W	0.964	0.782	NA	0.918	0.718	NA	-0.182	NA	-0.2	NA
YBL100C	0.787	0.917	NA	0.759	0.839	NA	0.13	NA	0.08	NA
YBL100W-C	0.964	NA	NA	0.9	NA	NA	NA	NA	NA	NA
YBL101C	0.729	0.718	NA	0.715	0.698	NA	-0.011	NA	-0.017	NA
YBL102W	0.861	0.806	NA	0.774	0.763	NA	-0.054	NA	-0.011	NA
YBL103C	0.921	NA	NA	0.864	NA	NA	NA	NA	NA	NA
YBL104C	0.947	0.79	NA	0.919	0.719	NA	-0.157	NA	-0.201	NA
YBL105C	0.849	0.901	NA	0.77	0.863	NA	0.053	NA	0.093	NA
YBL106C	0.884	0.921	NA	0.859	0.838	NA	0.037	NA	-0.02	NA
YBL107C	0.779	0.796	NA	0.808	0.767	NA	0.017	NA	-0.041	NA
YBL107W-A	0.922	0.745	NA	0.901	0.702	NA	-0.177	NA	-0.2	NA
YBL108C-A	0.893	0.903	NA	0.814	0.827	NA	0.01	NA	0.013	NA
YBL108W	0.768	0.818	NA	0.744	NA	NA	0.051	NA	NA	NA
YBL109W	0.804	0.851	NA	0.77	0.825	NA	0.046	NA	0.055	NA
YBL111C	0.959	0.86	NA	0.944	0.79	NA	-0.099	NA	-0.154	NA
YBL112C	0.827	0.806	NA	0.726	0.787	NA	-0.021	NA	0.061	NA
YBL113C	0.745	0.851	NA	0.647	0.792	NA	0.106	NA	0.145	NA
YBL113W-A	0.729	NA	NA	0.729	NA	NA	NA	NA	NA	NA
YBR001C	0.964	0.824	NA	0.892	0.772	NA	-0.14	NA	-0.119	NA
YBR002C	0.779	0.885	NA	0.808	0.785	NA	0.106	NA	-0.023	NA
YBR003W	0.845	0.881	NA	0.747	0.816	NA	0.036	NA	0.069	NA
YBR004C	0.938	0.902	NA	0.925	0.862	NA	-0.036	NA	-0.063	NA
YBR005W	0.859	0.923	NA	0.847	0.874	NA	0.064	NA	0.027	NA
YBR006W	0.929	0.923	NA	0.876	0.833	NA	-0.007	NA	-0.043	NA
YBR007C	0.901	0.848	NA	0.866	0.776	NA	-0.053	NA	-0.09	NA
YBR008C	0.884	0.881	NA	0.842	0.749	NA	-0.003	NA	-0.093	NA
YBR009C	0.938	0.723	NA	0.906	0.691	NA	-0.215	NA	-0.216	NA
YBR010W	0.964	NA	NA	0.895	NA	NA	NA	NA	NA	NA
YBR011C	0.857	0.88	NA	0.831	0.836	NA	0.023	NA	0.005	NA
YBR012C	0.906	0.787	NA	0.857	0.726	NA	-0.119	NA	-0.132	NA
YBR013C	0.946	0.798	NA	0.883	0.769	NA	-0.147	NA	-0.114	NA
YBR014C	0.896	0.773	NA	0.911	0.742	NA	-0.123	NA	-0.169	NA
YBR015C	0.841	0.832	NA	0.815	0.828	NA	-0.01	NA	0.013	NA
YBR016W	0.893	0.735	NA	0.859	0.632	NA	-0.158	NA	-0.227	NA
YBR017C	0.958	0.867	NA	0.869	0.767	NA	-0.092	NA	-0.101	NA
YBR018C	1	0.795	NA	0.894	0.739	NA	-0.205	NA	-0.156	NA
YBR019C	0.884	0.844	NA	0.855	0.833	NA	-0.04	NA	-0.022	NA
YBR020W	0.923	0.717	NA	0.931	0.739	NA	-0.205	NA	-0.192	NA
YBR021W	0.964	0.795	NA	0.804	0.714	NA	-0.169	NA	-0.091	NA
YBR022W	0.797	0.795	NA	0.749	0.803	NA	-0.002	NA	0.054	NA
YBR023C	0.88	0.764	NA	0.86	0.71	NA	-0.116	NA	-0.15	NA
YBR024W	0.959	0.938	NA	0.842	0.902	NA	-0.021	NA	0.06	NA
YBR025C	0.947	0.779	NA	0.886	0.663	NA	-0.168	NA	-0.223	NA
YBR026C	0.94	0.79	NA	0.916	0.76	NA	-0.15	NA	-0.156	NA
YBR027C	0.765	0.923	NA	0.715	0.915	NA	0.157	NA	0.2	NA
YBR028C	0.839	0.825	NA	0.809	0.769	NA	-0.014	NA	-0.04	NA
YBR029C	0.959	0.855	NA	0.913	0.795	NA	-0.104	NA	-0.117	NA
YBR030W	0.855	0.845	NA	0.823	0.806	NA	-0.01	NA	-0.017	NA
YBR031W	0.919	0.779	NA	0.873	0.713	NA	-0.14	NA	-0.161	NA
YBR032W	0.824	0.818	NA	0.773	0.765	NA	-0.005	NA	-0.008	NA
YBR033W	1	0.893	NA	0.916	0.825	NA	-0.107	NA	-0.091	NA
YBR034C	0.964	0.884	NA	0.94	0.836	NA	-0.08	NA	-0.104	NA
YBR035C	0.923	0.92	NA	0.839	0.851	NA	-0.002	NA	0.012	NA
YBR036C	0.83	0.982	NA	0.783	0.938	NA	0.151	NA	0.155	NA
YBR037C	0.958	0.824	NA	0.868	0.815	NA	-0.135	NA	-0.053	NA
YBR038W	0.937	0.709	NA	0.898	0.703	NA	-0.229	NA	-0.194	NA
YBR039W	0.849	0.964	NA	0.817	0.867	NA	0.115	NA	0.05	NA
YBR040W	1	0.83	NA	1	0.771	NA	-0.17	NA	-0.229	NA
YBR041W	0.824	0.765	NA	0.816	0.766	NA	-0.059	NA	-0.05	NA
YBR042C	0.738	0.817	NA	0.744	0.753	NA	0.08	NA	0.009	NA
YBR043C	0.947	0.773	NA	0.857	0.75	NA	-0.174	NA	-0.107	NA
YBR044C	0.782	0.919	0.754	0.78	0.898	0.757	0.137	-0.028	0.119	-0.023
YBR045C	0.902	0.844	NA	0.844	0.773	NA	-0.058	NA	-0.071	NA
YBR046C	1	0.896	NA	0.937	NA	NA	-0.104	NA	NA	NA
YBR047W	0.848	0.875	NA	0.789	0.821	NA	0.027	NA	0.032	NA
YBR048W	0.958	0.896	NA	0.863	0.812	NA	-0.063	NA	-0.051	NA
YBR049C	0.92	0.938	NA	0.87	0.816	NA	0.018	NA	-0.054	NA
YBR050C	0.844	0.765	NA	0.736	0.75	NA	-0.079	NA	0.014	NA
YBR051W	0.929	0.807	NA	0.796	0.769	NA	-0.122	NA	-0.027	NA
YBR052C	0.886	0.923	NA	0.86	0.866	NA	0.036	NA	0.007	NA
YBR053C	0.959	0.712	NA	0.852	0.735	NA	-0.247	NA	-0.117	NA
YBR054W	0.982	0.824	NA	0.908	0.765	NA	-0.158	NA	-0.142	NA
YBR055C	0.745	0.901	NA	0.694	0.791	NA	0.156	NA	0.097	NA
YBR056C-B	0.79	0.702	NA	0.76	0.636	NA	-0.088	NA	-0.124	NA
YBR056W-A	0.946	0.815	NA	0.849	0.787	NA	-0.131	NA	-0.062	NA
YBR056W	0.903	0.902	NA	0.833	0.808	NA	-0.001	NA	-0.024	NA
YBR057C	1	0.79	NA	0.884	0.785	NA	-0.21	NA	-0.099	NA
YBR058C-A	0.937	0.788	NA	0.829	0.792	NA	-0.149	NA	-0.037	NA
YBR058C	0.937	0.958	NA	0.894	0.845	NA	0.021	NA	-0.049	NA
YBR059C	0.834	0.814	NA	0.778	0.779	NA	-0.019	NA	0.001	NA
YBR060C	0.906	0.866	NA	0.812	0.836	NA	-0.04	NA	0.024	NA
YBR061C	0.94	0.83	NA	0.888	0.772	NA	-0.111	NA	-0.116	NA
YBR062C	1	0.831	NA	0.943	0.771	NA	-0.169	NA	-0.172	NA
YBR063C	0.938	0.813	NA	0.91	0.78	NA	-0.125	NA	-0.131	NA
YBR064W	0.923	0.798	NA	0.831	NA	NA	-0.124	NA	NA	NA
