# scores_kozak_Ca.txt
# Scores of ATG context against Kozak sequence, Candida albicans
# Kozak sequence derived from 400 highest-translated genes by RPF
#
# Gene: Ca systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, Oct 2018
Gene	aATG.scorekn	d1.scorekn	aATG.scorekw	d1.scorekw	d1vsan	d1vsaw
C1_00840C_A	0.968	0.837	0.958	0.828	-0.132	-0.131
C1_00850W_A	0.968	0.783	0.92	0.736	-0.186	-0.184
C1_00860W_A	0.918	0.824	0.93	0.775	-0.095	-0.155
C1_00870W_A	0.968	0.977	0.942	0.877	0.008	-0.066
C1_00880W_A	0.87	NA	0.889	NA	NA	NA
C1_00890W_A	1	0.815	0.911	0.782	-0.185	-0.129
C1_00900W_A	0.856	0.821	0.826	0.82	-0.035	-0.006
C1_00910W_A	0.886	0.912	0.829	0.869	0.025	0.04
C1_00920W_A	0.952	0.772	0.851	0.724	-0.18	-0.127
C1_00930C_A	0.847	0.824	0.8	0.748	-0.023	-0.052
C1_00940W_A	0.991	0.796	0.95	NA	-0.195	NA
C1_00950C_A	0.807	0.854	0.813	0.671	0.047	-0.142
C1_00960C_A	0.805	0.913	0.781	0.752	0.108	-0.029
C1_00970W_A	0.887	0.792	0.854	0.743	-0.095	-0.111
C1_00980W_A	0.877	0.82	0.832	0.744	-0.058	-0.087
C1_00990C_A	0.862	0.853	0.835	NA	-0.009	NA
C1_01000C_A	0.889	0.926	0.836	0.831	0.037	-0.006
C1_01010W_A	0.954	0.975	0.887	0.814	0.021	-0.073
C1_01030W_A	0.926	0.912	0.866	0.813	-0.015	-0.053
C1_01040W_A	0.75	0.968	0.793	0.809	0.219	0.016
C1_01050C_A	0.835	0.841	0.783	0.838	0.006	0.054
C1_01060W_A	0.873	0.914	0.9	0.849	0.041	-0.051
C1_01070C_A	0.853	0.759	0.864	0.772	-0.094	-0.092
C1_01080W_A	0.882	0.916	0.916	0.851	0.034	-0.065
C1_01090C_A	0.792	0.856	0.782	0.771	0.064	-0.011
C1_01100W_A	0.959	0.775	0.937	0.695	-0.184	-0.242
C1_01110C_A	0.843	0.88	0.836	0.831	0.037	-0.004
C1_01130W_A	0.772	0.806	0.806	0.839	0.034	0.033
C1_01140C_A	0.903	0.975	0.87	0.936	0.072	0.066
C1_01150C_A	0.846	0.783	0.834	0.762	-0.063	-0.073
C1_01160C_A	0.871	0.829	0.89	0.777	-0.042	-0.114
C1_01170C_A	0.921	0.782	0.817	0.765	-0.138	-0.052
C1_01180C_A	0.797	NA	0.824	NA	NA	NA
C1_01190C_A	0.998	0.82	0.895	0.768	-0.179	-0.127
C1_01200W_A	0.857	0.767	0.886	0.723	-0.091	-0.163
C1_01210W_A	0.855	0.852	0.856	0.747	-0.003	-0.109
C1_01220C_A	0.942	0.743	0.852	0.691	-0.198	-0.162
C1_01240W_A	0.825	0.7	0.782	0.664	-0.125	-0.118
C1_01250W_A	1	0.805	0.984	0.707	-0.195	-0.276
C1_01260C_A	0.879	0.691	0.853	0.71	-0.188	-0.143
C1_01270W_A	0.912	0.894	0.806	0.791	-0.018	-0.014
C1_01280C_A	0.918	0.926	0.845	0.882	0.008	0.037
C1_01290C_A	0.783	0.824	0.802	0.794	0.041	-0.008
C1_01300W_A	0.861	0.977	0.896	0.95	0.115	0.054
C1_01310W_A	0.82	0.752	0.789	0.732	-0.067	-0.057
C1_01320W_A	0.959	0.88	0.915	0.816	-0.079	-0.1
C1_01330C_A	0.94	0.765	0.917	0.681	-0.175	-0.235
C1_01340C_A	1	0.82	0.955	0.797	-0.18	-0.158
C1_01350C_A	0.959	0.684	0.89	0.633	-0.276	-0.258
C1_01360C_A	0.791	0.902	0.78	0.846	0.111	0.066
C1_01370C_A	0.926	0.914	0.886	0.837	-0.013	-0.049
C1_01380C_A	1	0.887	0.887	0.789	-0.113	-0.098
C1_01390C_A	0.977	0.796	0.949	NA	-0.181	NA
C1_01400C_A	0.921	0.742	0.902	0.725	-0.178	-0.177
C1_01420C_A	0.942	0.761	0.915	0.714	-0.18	-0.201
C1_01440C_A	0.968	0.917	0.893	0.813	-0.051	-0.08
C1_01450W_A	0.866	0.894	0.885	0.868	0.028	-0.017
C1_01460W_A	0.788	0.852	0.758	0.824	0.064	0.066
C1_01470W_A	0.945	0.743	0.929	0.713	-0.202	-0.217
C1_01480C_A	0.998	0.861	0.978	0.732	-0.137	-0.246
C1_01490W_A	0.959	0.741	0.907	0.693	-0.219	-0.214
C1_01500W_A	0.824	0.945	0.809	0.847	0.121	0.039
C1_01510W_A	0.807	0.838	0.753	0.836	0.031	0.083
C1_01520C_A	0.998	0.853	0.998	0.788	-0.145	-0.21
C1_01530C_A	0.831	0.945	0.816	0.857	0.114	0.041
C1_01540W_A	0.871	0.852	0.9	NA	-0.019	NA
C1_01550W_A	0.81	0.791	0.76	0.738	-0.019	-0.022
C1_01560W_A	0.94	0.843	0.852	0.8	-0.097	-0.052
C1_01570C_A	0.977	0.843	0.909	0.749	-0.134	-0.16
C1_01580W_A	0.918	0.772	0.87	0.759	-0.146	-0.111
C1_01590C_A	0.967	0.743	0.948	0.736	-0.224	-0.211
C1_01600W_A	0.917	0.746	0.866	NA	-0.171	NA
C1_01610C_A	0.846	0.815	0.784	0.723	-0.031	-0.062
C1_01620C_A	0.959	0.894	0.903	0.794	-0.066	-0.109
C1_01630W_A	0.926	0.732	0.932	NA	-0.194	NA
C1_01640W_A	1	0.7	0.948	0.725	-0.3	-0.223
C1_01650W_A	0.873	0.855	0.835	0.783	-0.018	-0.052
C1_01670C_A	0.909	0.796	0.902	0.702	-0.113	-0.2
C1_01680C_A	0.975	0.831	0.929	0.832	-0.144	-0.097
C1_01690C_A	0.975	0.932	0.913	0.81	-0.042	-0.103
C1_01700W_A	0.917	0.918	0.881	0.918	0.001	0.037
C1_01710W_A	1	0.83	0.968	0.878	-0.17	-0.09
C1_01740W_A	0.914	0.857	0.853	0.851	-0.057	-0.002
C1_01750W_A	0.943	1	0.896	0.908	0.057	0.011
C1_01760W_A	0.832	0.792	0.847	0.793	-0.04	-0.055
C1_01770W_A	0.926	0.829	0.947	0.853	-0.098	-0.094
C1_01780C_A	0.838	0.886	0.838	0.842	0.048	0.004
C1_01790W_A	0.968	0.837	0.916	0.845	-0.131	-0.071
C1_01800W_A	0.975	0.942	0.874	0.87	-0.033	-0.004
C1_01810C_A	0.998	0.877	0.944	0.819	-0.121	-0.125
C1_01820C_A	0.991	0.917	0.951	0.836	-0.074	-0.115
C1_01830C_A	0.855	0.95	0.897	0.892	0.095	-0.006
C1_01840C_A	0.926	0.914	0.899	0.866	-0.013	-0.033
C1_01850C_A	1	0.942	0.937	0.911	-0.058	-0.025
C1_01860W_A	0.936	0.742	0.879	0.739	-0.194	-0.139
C1_01870C_A	0.801	0.732	0.774	0.66	-0.068	-0.114
C1_01880C_A	0.886	0.945	0.807	0.821	0.058	0.014
C1_01890C_A	0.843	0.82	0.82	0.812	-0.023	-0.008
C1_01900C_A	0.825	0.825	0.809	0.719	0	-0.091
C1_01910W_A	0.91	0.733	0.872	0.705	-0.177	-0.167
C1_01920W_A	0.94	0.918	0.874	0.766	-0.022	-0.107
C1_01930W_A	0.914	0.783	0.84	0.795	-0.131	-0.045
C1_01940C_A	0.968	0.887	0.937	0.876	-0.08	-0.061
C1_01950C_A	0.998	0.887	0.986	0.896	-0.111	-0.09
C1_01970W_A	0.734	0.793	0.759	0.774	0.058	0.015
C1_01980W_A	0.959	0.952	0.875	0.963	-0.007	0.088
C1_01990W_A	0.975	0.879	0.958	0.875	-0.096	-0.083
C1_02000W_A	0.902	0.877	0.858	0.87	-0.025	0.012
C1_02010C_A	0.943	0.801	0.843	NA	-0.143	NA
C1_02020W_A	0.998	0.959	0.956	0.896	-0.039	-0.06
C1_02030C_A	0.94	0.801	0.879	0.7	-0.139	-0.179
C1_02040C_A	0.738	0.856	0.777	0.859	0.118	0.082
C1_02050C_A	0.967	0.831	0.867	0.823	-0.135	-0.044
C1_02060W_A	0.967	0.866	0.932	0.845	-0.101	-0.087
C1_02070W_A	1	0.844	0.967	0.78	-0.156	-0.187
C1_02080W_A	0.853	0.733	0.847	0.783	-0.12	-0.064
C1_02090C_A	0.825	0.843	0.83	0.819	0.018	-0.01
C1_02100W_A	0.846	0.791	0.821	0.8	-0.055	-0.021
C1_02110C_A	0.968	0.87	0.911	0.885	-0.098	-0.026
C1_02120C_A	0.952	0.916	0.933	0.892	-0.036	-0.041
C1_02130C_A	0.921	0.774	0.828	0.719	-0.147	-0.109
C1_02140C_A	0.7	0.932	0.657	0.902	0.233	0.245
C1_02150W_A	0.968	0.903	0.94	0.925	-0.066	-0.015
C1_02160W_A	0.952	0.977	0.915	0.952	0.024	0.037
C1_02170C_A	0.829	0.775	0.799	0.809	-0.053	0.01
C1_02180W_A	0.936	1	0.876	0.978	0.064	0.102
C1_02190W_A	0.943	0.863	0.894	0.768	-0.08	-0.126
C1_02200C_A	0.909	0.796	0.827	NA	-0.113	NA
C1_02210W_A	0.932	0.873	0.891	0.837	-0.059	-0.054
C1_02220C_A	0.886	0.913	0.867	0.915	0.027	0.049
C1_02230W_A	0.87	0.867	0.839	0.766	-0.003	-0.072
C1_02240W_A	0.948	0.75	0.92	0.772	-0.198	-0.149
C1_02250W_A	0.831	NA	0.792	NA	NA	NA
C1_02260C_A	0.913	1	0.852	0.968	0.087	0.116
C1_02270C_A	0.871	0.801	0.876	0.765	-0.07	-0.112
C1_02280C_A	0.894	0.991	0.85	0.886	0.097	0.036
C1_02290C_A	0.859	0.783	0.87	0.765	-0.076	-0.105
C1_02300W_A	0.959	0.866	0.932	0.828	-0.094	-0.104
C1_02310C_A	0.912	1	0.881	0.935	0.088	0.054
C1_02320C_A	0.75	0.833	0.734	0.823	0.083	0.09
C1_02330C_A	1	0.952	0.977	0.892	-0.048	-0.085
C1_02350W_A	0.998	0.744	0.944	NA	-0.254	NA
C1_02360C_A	0.936	0.843	0.949	0.841	-0.093	-0.108
C1_02370C_A	0.94	0.88	0.923	NA	-0.059	NA
C1_02380C_A	0.886	0.905	0.87	0.91	0.018	0.039
C1_02390W_A	0.932	0.797	0.828	0.8	-0.135	-0.028
C1_02400C_A	0.959	0.942	0.901	0.892	-0.018	-0.009
C1_02410C_A	0.846	0.815	0.875	0.83	-0.031	-0.046
C1_02420C_A	0.783	0.747	0.801	0.666	-0.036	-0.134
C1_02430C_A	0.95	0.803	0.932	0.762	-0.147	-0.17
C1_02440C_A	0.859	0.887	0.829	0.831	0.029	0.001
C1_02450C_A	0.991	0.945	0.921	0.925	-0.046	0.004
C1_02460W_A	0.977	0.805	0.926	0.697	-0.171	-0.23
C1_02470W_A	0.856	0.932	0.849	0.87	0.077	0.021
C1_02480W_A	0.967	0.781	0.938	0.769	-0.186	-0.169
C1_02490C_A	0.945	0.774	0.897	0.797	-0.171	-0.1
C1_02500W_A	0.805	0.909	0.772	0.902	0.104	0.13
C1_02510W_A	0.88	0.959	0.837	0.949	0.08	0.113
C1_02520W_A	0.991	0.796	0.962	0.641	-0.195	-0.321
C1_02530C_A	0.833	0.968	0.796	0.878	0.135	0.082
C1_02560W_A	0.926	0.954	0.873	0.931	0.028	0.058
C1_02570C_A	1	0.917	0.876	0.818	-0.083	-0.058
C1_02580W_A	0.94	0.821	0.903	0.743	-0.118	-0.16
C1_02590C_A	0.967	0.889	0.89	0.864	-0.078	-0.026
C1_02600W_A	0.824	0.855	0.839	0.751	0.031	-0.089
C1_02610W_A	0.867	0.889	0.799	0.865	0.022	0.065
C1_02620C_A	0.942	0.784	0.9	0.757	-0.158	-0.142
C1_02630C_A	0.847	NA	0.869	NA	NA	NA
C1_02640C_A	0.913	0.765	0.899	0.748	-0.148	-0.151
C1_02650W_A	0.846	0.815	0.8	0.792	-0.031	-0.009
C1_02660C_A	0.942	0.839	0.81	0.819	-0.103	0.01
C1_02670C_A	0.844	0.879	0.834	0.825	0.035	-0.009
C1_02680C_A	0.847	0.967	0.839	0.92	0.119	0.081
C1_02690C_A	1	0.991	0.961	0.951	-0.009	-0.01
C1_02700C_A	0.977	0.78	0.93	0.712	-0.196	-0.218
C1_02710W_A	0.916	0.659	0.902	0.721	-0.257	-0.181
C1_02720W_A	0.885	0.998	0.845	0.899	0.113	0.054
C1_02730W_A	0.83	0.942	0.86	0.874	0.111	0.014
C1_02740C_A	0.879	0.725	0.864	0.704	-0.154	-0.16
C1_02750C_A	0.853	0.824	0.838	0.821	-0.03	-0.016
C1_02760W_A	0.918	0.948	0.885	0.853	0.03	-0.032
C1_02770W_A	0.866	0.831	0.87	0.851	-0.035	-0.019
C1_02780W_A	0.94	0.718	0.82	0.739	-0.221	-0.081
C1_02790W_A	0.943	0.733	0.91	0.782	-0.21	-0.128
C1_02800W_A	0.952	0.991	0.889	0.928	0.039	0.039
C1_02810W_A	0.839	0.82	0.825	0.843	-0.019	0.018
C1_02820W_A	0.998	0.832	0.924	0.768	-0.166	-0.157
C1_02830W_A	0.846	0.945	0.769	0.853	0.099	0.085
C1_02840W_A	0.886	0.843	0.86	0.799	-0.044	-0.061
C1_02850W_A	1	0.785	0.942	0.744	-0.215	-0.198
C1_02860C_A	0.95	0.912	0.899	0.846	-0.038	-0.054
C1_02870W_A	0.831	0.887	0.84	0.896	0.056	0.056
C1_02880C_A	0.913	0.977	0.871	0.977	0.063	0.106
C1_02890C_A	0.998	0.878	0.94	0.802	-0.12	-0.138
C1_02900C_A	0.831	0.825	0.801	0.765	-0.006	-0.036
C1_02910C_A	0.788	0.88	0.782	NA	0.092	NA
C1_02920W_A	0.77	0.948	0.805	0.918	0.178	0.113
C1_02930C_A	0.834	0.967	0.777	0.872	0.133	0.095
C1_02940C_A	0.945	0.831	0.95	0.828	-0.114	-0.122
C1_02950W_A	1	0.867	0.926	0.851	-0.133	-0.075
C1_02960C_A	0.811	0.968	0.813	0.911	0.157	0.098
C1_02970W_A	0.914	0.895	0.873	0.865	-0.018	-0.009
C1_02980W_A	0.912	0.912	0.915	0.904	-0	-0.011
C1_02990C_A	0.851	0.866	0.895	0.872	0.014	-0.023
C1_03000W_A	0.844	0.877	0.81	0.753	0.033	-0.058
C1_03010W_A	0.952	0.793	0.892	0.792	-0.159	-0.1
C1_03020C_A	0.998	0.827	0.905	0.751	-0.171	-0.154
C1_03030W_A	0.991	0.762	0.925	0.69	-0.229	-0.235
C1_03040W_A	0.856	0.866	0.741	0.754	0.009	0.012
C1_03050W_A	0.843	0.839	0.862	0.846	-0.004	-0.016
C1_03060C_A	0.95	0.914	0.892	0.839	-0.036	-0.053
C1_03070C_A	0.942	0.867	0.903	0.813	-0.075	-0.09
C1_03080C_A	0.895	0.88	0.824	0.84	-0.016	0.016
C1_03090W_A	0.945	0.912	0.886	0.874	-0.033	-0.012
C1_03100W_A	0.877	0.791	0.829	0.732	-0.086	-0.097
C1_03110W_A	0.998	0.791	0.89	0.807	-0.207	-0.083
C1_03120W_A	0.952	0.977	0.926	0.927	0.024	0.001
C1_03130C_A	0.871	0.799	0.886	0.842	-0.072	-0.044
C1_03140W_A	0.967	0.774	0.905	0.714	-0.193	-0.191
C1_03150C_A	0.917	0.775	0.836	0.808	-0.142	-0.028
C1_03160C_A	0.991	0.775	0.934	0.713	-0.216	-0.221
C1_03170C_A	0.848	0.977	0.782	0.9	0.128	0.118
C1_03180W_A	0.921	0.945	0.887	0.922	0.024	0.035
C1_03190C_A	0.952	0.773	0.902	0.8	-0.18	-0.103
C1_03200C_A	0.87	0.766	0.824	0.696	-0.104	-0.128
C1_03210C_A	0.917	0.936	0.879	0.899	0.019	0.02
C1_03220C_A	0.945	0.821	0.947	0.738	-0.124	-0.209
C1_03230C_A	0.88	0.863	0.842	0.759	-0.017	-0.083
C1_03240W_A	0.967	0.867	0.903	0.851	-0.1	-0.052
C1_03250C_A	0.894	0.831	0.885	0.756	-0.063	-0.129
C1_03260W_A	0.991	0.998	0.877	0.893	0.007	0.017
C1_03270W_A	0.922	0.766	0.906	0.748	-0.156	-0.158
C1_03280W_A	0.948	0.86	0.885	0.815	-0.088	-0.069
C1_03290W_A	0.967	0.83	0.92	NA	-0.137	NA
C1_03300C_A	0.942	0.856	0.875	0.833	-0.085	-0.042
C1_03310W_A	0.83	0.758	0.753	0.777	-0.072	0.024
C1_03320C_A	0.7	0.922	0.739	0.894	0.223	0.156
C1_03330C_A	0.917	0.783	0.887	0.747	-0.134	-0.14
C1_03340C_A	0.94	0.889	0.85	0.848	-0.051	-0.002
C1_03350C_A	0.913	0.856	0.884	0.718	-0.058	-0.166
C1_03360W_A	0.991	0.775	0.933	0.735	-0.216	-0.198
C1_03370W_A	0.879	0.819	0.908	0.796	-0.06	-0.112
C1_03380W_A	0.785	0.793	0.787	0.779	0.008	-0.008
C1_03390W_A	0.968	0.773	0.943	0.73	-0.194	-0.213
C1_03400W_A	0.839	0.825	0.751	0.837	-0.014	0.086
C1_03410W_A	0.991	0.913	0.921	0.884	-0.078	-0.037
C1_03430W_A	0.831	0.916	0.814	0.833	0.085	0.019
C1_03440C_A	0.945	0.843	0.87	0.719	-0.102	-0.151
C1_03450C_A	0.882	0.877	0.835	0.871	-0.005	0.037
C1_03460C_A	0.864	0.926	0.831	0.846	0.062	0.015
C1_03470C_A	0.936	0.932	0.876	0.827	-0.004	-0.049
C1_03480C_A	0.912	0.863	0.854	0.794	-0.048	-0.06
C1_03490W_A	0.991	0.751	0.875	0.775	-0.24	-0.1
C1_03500W_A	0.932	0.771	0.899	0.643	-0.161	-0.256
C1_03510C_A	0.878	0.811	0.905	0.76	-0.067	-0.144
C1_03520W_A	0.968	0.954	0.869	0.833	-0.015	-0.036
C1_03530W_A	0.88	0.833	0.847	0.759	-0.047	-0.088
C1_03540C_A	0.791	0.91	0.75	0.747	0.119	-0.003
C1_03550C_A	0.791	0.843	0.738	0.829	0.052	0.091
C1_03560C_A	0.886	0.75	0.835	0.77	-0.136	-0.065
C1_03580W_A	0.998	0.922	0.904	0.881	-0.076	-0.023
C1_03600W_A	0.918	0.877	0.825	0.887	-0.041	0.062
C1_03610C_A	0.877	0.847	0.796	0.791	-0.03	-0.004
C1_03620C_A	0.954	0.743	0.951	0.729	-0.211	-0.221
C1_03630W_A	0.879	0.977	0.816	0.915	0.097	0.099
C1_03640C_A	0.909	0.894	0.844	0.792	-0.016	-0.053
C1_03650C_A	0.912	0.88	0.866	0.784	-0.031	-0.082
C1_03660W_A	0.952	0.661	0.936	0.718	-0.291	-0.218
C1_03670C_A	0.877	0.834	0.882	0.757	-0.044	-0.125
C1_03680W_A	0.828	0.94	0.857	0.888	0.112	0.032
C1_03690W_A	0.864	0.87	0.811	0.855	0.006	0.044
C1_03710C_A	0.909	0.959	0.871	0.908	0.05	0.037
C1_03720C_A	0.922	0.856	0.895	0.859	-0.067	-0.036
C1_03730C_A	0.724	0.802	0.775	0.769	0.078	-0.006
C1_03740W_A	0.775	0.903	0.77	0.789	0.128	0.019
C1_03750W_A	0.792	0.833	0.707	0.865	0.041	0.158
C1_03760C_A	0.853	0.778	0.836	0.769	-0.075	-0.067
C1_03770W_A	0.862	0.833	0.862	0.753	-0.029	-0.11
C1_03780C_A	0.909	0.838	0.836	0.834	-0.071	-0.002
C1_03790C_A	0.932	0.863	0.939	0.808	-0.069	-0.131
C1_03800W_A	0.936	0.775	0.864	NA	-0.161	NA
C1_03810C_A	0.942	0.833	0.926	0.828	-0.109	-0.098
C1_03820W_A	0.802	0.801	0.803	0.835	-0.001	0.032
C1_03830C_A	0.895	0.853	0.866	NA	-0.042	NA
C1_03840W_A	1	0.855	0.928	0.875	-0.145	-0.053
C1_03860C_A	0.952	0.774	0.912	0.787	-0.179	-0.125
C1_03870C_A	0.918	0.991	0.876	0.913	0.073	0.036
C1_03880C_A	0.903	0.807	0.839	0.697	-0.096	-0.143
C1_03890W_A	0.909	0.909	0.882	0.895	0	0.014
C1_03900W_A	0.877	0.871	0.867	0.853	-0.006	-0.014
C1_03910C_A	0.942	0.846	0.959	0.758	-0.096	-0.2
C1_03920C_A	0.807	0.843	0.836	0.774	0.036	-0.062
C1_03930W_A	0.802	0.903	0.79	0.791	0.1	0.001
C1_03940W_A	0.959	0.784	0.792	0.695	-0.176	-0.098
C1_03950C_A	0.88	0.805	0.813	0.795	-0.075	-0.018
C1_03960C_A	0.843	0.917	0.762	0.853	0.074	0.091
C1_03970W_A	0.691	0.691	0.64	0.72	0	0.079
C1_03980W_A	0.94	0.783	0.901	0.843	-0.157	-0.058
C1_03990W_A	0.918	0.926	0.929	0.894	0.008	-0.035
C1_04000C_A	0.843	0.945	0.839	0.826	0.102	-0.012
C1_04010C_A	0.942	0.894	0.886	0.795	-0.048	-0.09
C1_04020C_A	0.917	0.894	0.933	0.725	-0.023	-0.207
C1_04030W_A	0.741	0.824	0.772	0.811	0.083	0.038
C1_04040C_A	0.855	0.917	0.866	0.912	0.062	0.046
C1_04050C_A	0.998	0.829	0.985	0.786	-0.17	-0.199
C1_04060W_A	0.918	0.83	0.913	0.828	-0.089	-0.086
C1_04070C_A	0.977	0.83	0.935	0.84	-0.147	-0.094
C1_04080W_A	0.913	0.691	0.815	0.696	-0.222	-0.118
C1_04090C_A	0.844	0.815	0.807	0.827	-0.029	0.021
C1_04100C_A	0.998	0.733	0.988	0.659	-0.265	-0.329
C1_04110W_A	0.968	0.811	0.903	0.804	-0.156	-0.099
C1_04120C_A	0.725	0.968	0.698	0.911	0.243	0.213
C1_04130W_A	0.913	0.841	0.917	0.777	-0.072	-0.14
C1_04140W_A	0.968	1	0.958	0.991	0.032	0.033
C1_04150C_A	0.967	0.943	0.944	0.948	-0.023	0.005
C1_04160C_A	0.793	0.843	0.787	0.765	0.049	-0.023
C1_04170C_A	0.998	0.94	0.945	0.866	-0.058	-0.079
C1_04180W_A	1	0.83	0.999	0.763	-0.17	-0.236
C1_04190C_A	0.847	0.895	0.812	0.9	0.048	0.088
