# scores_kozak_Sp.txt
# Scores of ATG context against Kozak sequence, S. pombe 972h-
# Kozak sequence derived from 256 highest-translated genes by RPF
#
# Gene: Sp systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d1vsan
SPAC23C11.09	0.789	0.777	-0.011
SPAC23C11.10	0.862	0.816	-0.047
SPAC23C11.11	0.916	0.695	-0.221
SPAC23C11.12	0.968	0.893	-0.075
SPAC23C11.13c	0.84	0.916	0.076
SPAC23C11.14	0.905	0.764	-0.141
SPAC23C11.15	0.831	0.99	0.159
SPAC23C11.16	0.879	0.889	0.01
SPAC23C11.17	0.764	0.866	0.102
SPAC13F5.01c	0.88	0.897	0.016
SPAC13F5.02c	0.932	0.879	-0.053
SPAC13F5.03c	0.941	0.795	-0.146
SPAC13F5.04c	0.939	0.788	-0.151
SPAC13F5.05	0.89	0.835	-0.055
SPAC13F5.06c	0.887	0.739	-0.148
SPAC977.03	0.842	0.79	-0.051
SPAC13F5.07c	0.804	1	0.196
SPAC1783.01	0.865	0.739	-0.126
SPAC1783.02c	0.878	0.822	-0.056
SPAC1783.03	1	0.82	-0.18
SPAC1783.04c	0.816	0.932	0.117
SPAC1783.05	0.907	0.88	-0.026
SPAC1783.06c	0.804	1	0.196
SPAC1783.07c	0.88	0.719	-0.161
SPAC24B11.09	0.829	0.812	-0.017
SPAC1783.08c	0.951	0.731	-0.22
SPAC1327.01c	0.95	0.892	-0.058
SPAC18G6.01c	0.968	0.862	-0.106
SPAC18G6.02c	0.878	0.746	-0.133
SPAC18G6.03	0.853	0.759	-0.093
SPAC18G6.04c	0.966	0.713	-0.253
SPAC18G6.05c	0.77	0.78	0.009
SPAC24B11.10c	0.746	0.856	0.11
SPAC18G6.06	0.951	0.99	0.04
SPAC18G6.07c	0.772	0.764	-0.008
SPAC18G6.09c	0.99	0.884	-0.106
SPAC18G6.10	0.934	0.782	-0.152
SPAC18G6.11c	0.916	0.862	-0.053
SPAC18G6.12c	0.926	0.99	0.064
SPAC18G6.13	0.816	0.956	0.14
SPAC18G6.14c	0.884	0.838	-0.046
SPAC18G6.15	0.968	0.843	-0.125
SPAC24B11.11c	0.931	0.746	-0.185
SPAC13D6.01	0.872	0.831	-0.042
SPAC13D6.02c	0.91	0.799	-0.112
SPAC13D6.03c	0.95	0.932	-0.018
SPAC13D6.04c	0.95	0.837	-0.112
SPAC13D6.05	0.841	0.779	-0.061
SPAC4G9.02	0.968	0.951	-0.018
SPAC4G9.04c	0.932	0.849	-0.083
SPAC24B11.12c	0.706	0.713	0.007
SPAC4G9.03	0.939	0.763	-0.176
SPAC4G9.05	0.856	0.795	-0.061
SPAC4G9.06c	0.811	0.859	0.047
SPAC4G9.07	0.856	0.859	0.004
SPAC4G9.08c	0.748	0.867	0.119
SPAC4G9.09c	0.827	0.845	0.018
SPAC4G9.10	0.932	0.829	-0.103
SPAC4G9.11c	0.739	0.894	0.155
SPAC4G9.12	0.905	0.939	0.034
SPAC4G9.13c	0.966	0.898	-0.068
SPAC4G9.14	0.855	0.899	0.044
SPAC4G9.15	0.949	0.771	-0.178
SPAC4G9.16c	0.877	0.87	-0.007
SPAC4G9.17c	0.876	0.907	0.031
SPAC4G9.19	0.901	0.702	-0.199
SPAC4G9.20c	0.765	0.86	0.095
SPAC24B11.14	0.898	0.707	-0.191
SPAC4G9.22	0.869	0.96	0.091
SPAC13G7.01c	0.99	0.887	-0.103
SPAC13G7.02c	0.939	0.777	-0.162
SPAC13G7.03	0.765	0.884	0.119
SPAC13G7.04c	0.968	0.745	-0.223
SPAC13G7.05	0.856	0.879	0.023
SPAC13G7.06	0.949	0.95	0.001
SPAC13G7.07	0.818	0.887	0.069
SPAC24B11.13	0.899	0.787	-0.112
SPAC13G7.08c	0.695	0.86	0.165
SPAC13G7.09c	0.91	0.724	-0.186
SPAC13G7.10	0.866	0.72	-0.147
SPAC13G7.11	0.939	0.779	-0.16
SPAC13G7.12c	0.809	0.931	0.123
SPAC13G7.13c	0.99	0.932	-0.058
SPAC6C3.02c	0.876	0.898	0.022
SPAC6C3.03c	0.783	0.74	-0.043
SPAC806.02c	0.769	0.968	0.2
SPAC6C3.04	0.732	0.902	0.17
SPAC6C3.06c	0.915	0.96	0.046
SPAC6C3.05	0.99	0.713	-0.277
SPAC6C3.07	0.786	0.939	0.153
SPAC6C3.08	0.95	0.695	-0.255
SPAC6C3.09	0.95	0.917	-0.033
SPAC17G8.01c	0.88	0.88	0
SPAC17G8.02	0.934	0.818	-0.116
SPAC17G8.03c	0.891	0.931	0.04
SPAC17G8.15	0.865	0.901	0.036
SPAC17G8.04c	0.95	0.699	-0.251
SPAC17G8.05	0.939	0.788	-0.151
SPAC17G8.06c	0.893	0.834	-0.059
SPAC17G8.07	0.95	0.811	-0.138
SPAC17G8.08c	0.788	0.95	0.162
SPAC17G8.09	0.803	0.796	-0.008
SPAC977.04	0.812	0.928	0.116
SPAC806.03c	0.866	0.875	0.009
SPAC17G8.10c	0.99	0.845	-0.145
SPAC17G8.11c	0.934	0.795	-0.139
SPAC17G8.12	0.786	0.82	0.035
SPAC17G8.13c	0.891	0.859	-0.032
SPAC17G8.14c	0.917	0.699	-0.217
SPAC22H10.02	1	0.769	-0.231
SPAC22H10.03c	0.872	0.96	0.088
SPAC22H10.04	0.951	0.771	-0.179
SPAC22H10.05c	0.918	0.721	-0.197
SPAC22H10.06c	0.859	0.788	-0.072
SPAC22H10.13	0.916	0.845	-0.071
SPAC806.11	0.79	0.779	-0.012
SPAC22H10.07	0.787	0.763	-0.025
SPAC22H10.08	0.887	0.845	-0.042
SPAC22H10.09	0.695	0.823	0.128
SPAC22H10.10	0.931	0.795	-0.136
SPAC22H10.11c	0.827	0.786	-0.041
SPAC22H10.12c	0.865	0.74	-0.125
SPAC15F9.01c	0.918	0.81	-0.109
SPAC15F9.02	0.968	0.74	-0.229
SPAC15F9.03c	0.89	0.891	0.001
SPAC1B9.02c	0.932	0.795	-0.138
SPAC1B9.03c	0.907	0.789	-0.118
SPAC6B12.02c	0.827	0.866	0.039
SPAC6B12.03c	0.918	0.862	-0.056
SPAC6B12.04c	0.835	0.781	-0.054
SPAC6B12.18	0.884	0.862	-0.022
SPAC6B12.05c	0.891	0.763	-0.129
SPAC6B12.06c	0.724	0.777	0.053
SPAC6B12.07c	0.877	0.877	0
SPAC6B12.08	0.9	0.81	-0.09
SPAC6B12.19	0.99	0.939	-0.051
SPAC6B12.09	0.88	0.951	0.07
SPAC6B12.10c	0.949	0.789	-0.16
SPAC6B12.11	0.9	0.926	0.027
SPAC6B12.12	0.884	0.795	-0.089
SPAC6B12.14c	0.878	0.829	-0.049
SPAC6B12.13	0.763	0.853	0.089
SPAC6B12.15	0.968	0.749	-0.219
SPAC6B12.16	0.966	0.872	-0.094
SPAC32A11.04c	0.853	0.724	-0.129
SPAC32A11.01	0.872	0.866	-0.007
SPAC32A11.02c	0.856	0.875	0.019
SPAC32A11.03c	0.949	0.932	-0.017
SPAC19A8.15	0.99	0.99	0
SPAC19A8.14	0.809	0.732	-0.077
SPAC19A8.13	0.867	0.744	-0.123
SPAC19A8.12	0.939	0.869	-0.07
SPAC19A8.11c	0.778	0.783	0.005
SPAC19A8.10	0.828	0.763	-0.065
SPAC19A8.09	0.89	0.771	-0.119
SPAC19A8.08	0.88	0.951	0.07
SPAC19A8.16	0.99	0.819	-0.171
SPAC19A8.07c	0.91	0.838	-0.072
SPAC19A8.06	0.838	0.744	-0.094
SPAC19A8.05c	0.916	0.793	-0.123
SPAC19A8.04	0.916	0.821	-0.095
SPAC19A8.03	0.78	0.861	0.081
SPAC19A8.02	0.9	0.811	-0.088
SPAC19A8.01c	0.928	0.872	-0.056
SPAC23H3.02c	0.966	0.84	-0.126
SPAC23H3.03c	0.744	0.796	0.052
SPAC23H3.04	0.739	0.759	0.021
SPAC23H3.05c	0.897	0.875	-0.022
SPAC23H3.06	0.829	0.932	0.103
SPAC806.04c	0.879	0.737	-0.142
SPAC23H3.07c	0.939	0.84	-0.099
SPAC23H3.08c	0.812	0.755	-0.057
SPAC23H3.09c	0.939	0.823	-0.116
SPAC23H3.10	0.926	0.719	-0.207
SPAC23H3.11c	0.739	0.833	0.095
SPAC23H3.12c	0.88	0.707	-0.173
SPAC23H3.13c	0.99	0.763	-0.227
SPAC977.05c	0.828	0.786	-0.042
SPAC806.06c	0.899	0.934	0.035
SPAC23H3.14	0.877	0.74	-0.138
SPAC23H3.15c	0.95	0.737	-0.213
SPAC25H1.02	0.926	0.721	-0.205
SPAC25H1.03	0.822	0.856	0.034
SPAC25H1.04	0.865	1	0.135
SPAC25H1.05	0.966	0.759	-0.206
SPAC25H1.06	0.99	0.81	-0.18
SPAC25H1.10c	0.89	0.867	-0.023
SPAC806.05	0.835	0.901	0.065
SPAC25H1.07	0.876	0.823	-0.053
SPAC25H1.08c	0.931	0.932	0.001
SPAC25H1.09	0.856	0.699	-0.156
SPAC4A8.02c	0.958	0.74	-0.219
SPAC4A8.03c	0.831	1	0.169
SPAC4A8.04	0.968	0.82	-0.148
SPAC4A8.05c	0.763	0.99	0.227
SPAC4A8.06c	0.898	0.804	-0.095
SPAC4A8.07c	0.924	0.99	0.066
SPAC4A8.08c	0.737	0.721	-0.016
SPAC4A8.09c	0.96	0.891	-0.069
SPAC4A8.10	0.89	0.779	-0.111
SPAC4A8.11c	0.931	0.96	0.029
SPAC4A8.12c	0.916	0.893	-0.023
SPAC806.07	0.827	0.89	0.063
SPAC4A8.13c	0.9	0.956	0.056
SPAC4A8.14	0.881	0.78	-0.101
SPAC4A8.15c	0.99	0.816	-0.174
SPAC4A8.16c	0.968	0.845	-0.123
SPAC823.02	0.828	0.99	0.162
SPAC823.03	0.778	0.779	0.001
SPAC823.04	1	0.932	-0.068
SPAC823.05c	0.77	0.91	0.139
SPAC806.08c	0.805	0.898	0.094
SPAC823.06	0.821	0.753	-0.069
SPAC823.07	0.769	0.862	0.094
SPAC823.08c	0.916	0.931	0.016
SPAC823.09c	0.931	0.77	-0.161
SPAC823.10c	0.872	0.95	0.078
SPAC823.11	0.844	0.99	0.146
SPAC823.12	0.9	0.829	-0.071
SPAC823.13c	0.856	0.861	0.005
SPAC823.14	0.847	0.795	-0.052
SPAC1639.01c	0.89	0.803	-0.087
SPAC823.15	0.96	0.731	-0.229
SPAC823.16c	0.918	0.849	-0.069
SPAC7D4.14c	0.804	0.74	-0.064
SPAC7D4.13c	0.735	0.99	0.255
SPAC7D4.12c	0.956	0.893	-0.063
SPAC7D4.11c	0.84	0.779	-0.061
SPAC7D4.10	0.829	0.86	0.031
SPAC7D4.09c	0.891	0.746	-0.145
SPAC7D4.15c	0.99	0.806	-0.184
SPAC7D4.08	0.811	0.876	0.065
SPAC7D4.07c	0.968	0.731	-0.238
SPAC7D4.06c	0.835	0.744	-0.091
SPAC7D4.05	0.88	0.748	-0.132
SPAC7D4.04	0.866	0.739	-0.127
SPAC7D4.03c	0.789	0.877	0.088
SPAC7D4.02c	0.941	0.881	-0.06
SPAC4F8.15	0.96	1	0.04
SPAC4F8.14c	0.932	0.866	-0.067
SPAC1639.02c	0.847	0.859	0.013
SPAC4F8.13c	0.838	0.805	-0.033
SPAC4F8.12c	0.872	0.751	-0.121
SPAC4F8.11	0.805	0.759	-0.045
SPAC4F8.10c	0.918	0.849	-0.069
SPAC4F8.08	0.926	0.845	-0.081
SPAC4F8.07c	0.884	0.771	-0.114
SPAC4F8.06	0.931	0.949	0.018
SPAC4F8.05c	0.804	0.932	0.129
SPAC4F8.04	0.95	0.754	-0.196
SPAC4F8.03	1	0.835	-0.165
SPAC4F8.02c	0.917	0.99	0.073
SPAC4F8.01	0.721	0.724	0.003
SPAC644.04	0.786	0.79	0.005
SPAC644.05c	0.958	0.81	-0.148
SPAC644.06c	0.739	0.677	-0.062
SPAC1F5.11c	0.769	0.738	-0.031
SPAC644.07	0.99	0.738	-0.252
SPAC644.08	0.99	0.809	-0.181
SPAC644.09	0.968	0.811	-0.157
SPAC644.11c	0.918	0.889	-0.03
SPAC644.10	0.916	0.932	0.016
SPAC644.12	0.932	0.81	-0.123
SPAC644.13c	0.918	0.877	-0.041
SPAC644.14c	0.891	0.861	-0.03
SPAC977.06	0.753	0.87	0.117
SPAC644.15	1	0.731	-0.269
SPAC644.17c	0.879	0.934	0.055
SPAC644.16	0.968	0.91	-0.059
SPAC644.18c	0.928	0.893	-0.036
SPAPB2B4.01c	0.915	0.811	-0.103
SPAPB2B4.02	0.96	0.748	-0.212
SPAPB2B4.03	0.778	0.96	0.182
SPAC1F5.10	0.89	0.931	0.041
SPAPB2B4.04c	0.91	0.916	0.005
SPAPB2B4.05	0.859	0.746	-0.113
SPAPB2B4.06	0.868	0.763	-0.104
SPAPB2B4.07	0.877	0.771	-0.107
SPAC6F6.01	0.82	0.763	-0.057
SPAC6F6.02c	0.951	0.939	-0.011
SPAC6F6.03c	0.99	0.753	-0.237
SPAC6F6.04c	0.99	0.899	-0.091
SPAC6F6.05	0.891	0.789	-0.103
SPAC6F6.06c	0.84	0.755	-0.085
SPAC6F6.07c	1	0.695	-0.305
SPAC6F6.08c	0.867	0.928	0.061
SPAC6F6.09	0.932	0.721	-0.211
SPAC6F6.10c	0.924	0.724	-0.2
SPAC6F6.11c	0.827	0.788	-0.039
SPAC6F6.12	0.763	0.916	0.153
SPAC6F6.13c	0.872	0.905	0.033
SPAC6F6.19	0.9	0.859	-0.04
SPAC6F6.15	0.939	0.907	-0.032
SPAC6F6.16c	0.844	0.849	0.005
SPAC6F6.17	0.805	0.939	0.134
SPAC1805.01c	0.783	0.879	0.096
SPAC1F5.09c	1	0.877	-0.123
SPAC1805.02c	0.99	0.821	-0.169
SPAC1805.03c	0.774	0.828	0.054
SPAC1805.04	0.828	0.99	0.162
SPAC1805.05	0.91	0.763	-0.146
SPAC1805.06c	0.899	0.707	-0.192
SPAC1805.07c	0.901	0.899	-0.002
SPAC1805.08	0.928	0.881	-0.047
SPAC1805.18	0.905	0.862	-0.043
SPAC1F5.08c	0.821	0.862	0.041
SPAC1805.09c	0.867	0.83	-0.038
SPAC1805.10	0.917	0.795	-0.121
SPAC1805.11c	0.934	0.918	-0.016
SPAC1805.12c	0.951	0.898	-0.052
SPAC1805.13	0.99	0.788	-0.202
SPAC1805.14	0.9	0.887	-0.013
SPAC1805.15c	0.779	0.823	0.044
SPAC1805.16c	0.956	0.695	-0.261
SPAC1F5.06	0.724	0.763	0.039
SPAC1805.17	0.939	0.84	-0.1
SPAC1B2.02c	0.885	0.828	-0.057
SPAC1B2.03c	0.849	0.837	-0.012
SPAC1B2.06	0.74	1	0.26
SPAC1B2.04	0.891	0.829	-0.062
SPAC1B2.05	0.931	0.795	-0.136
SPAC3F10.02c	0.862	0.951	0.088
SPAC3F10.03	0.99	0.746	-0.244
SPAC3F10.04	0.966	0.746	-0.22
SPAC3F10.05c	0.732	0.932	0.201
SPAC1F5.07c	0.737	1	0.263
SPAC3F10.06c	0.786	0.772	-0.014
SPAC3F10.07c	0.748	0.702	-0.047
SPAC3F10.19	0.877	0.842	-0.035
SPAC3F10.08c	0.958	0.849	-0.109
SPAC3F10.09	0.868	0.866	-0.001
SPAC3F10.10c	0.884	0.713	-0.171
SPAC3F10.11c	1	0.699	-0.301
SPAC3F10.12c	0.932	0.868	-0.065
SPAC1F5.05c	0.91	0.82	-0.09
SPAC3F10.15c	0.795	0.875	0.08
SPAC3F10.13	0.88	0.939	0.059
SPAC3F10.16c	0.88	0.803	-0.077
SPAC3F10.17	1	0.859	-0.141
SPAC3F10.18c	0.96	0.862	-0.098
SPAC8F11.02c	1	0.893	-0.107
SPAC8F11.03	0.79	0.835	0.045
SPAC8F11.04	0.821	0.845	0.024
SPAC8F11.05c	0.844	0.823	-0.021
SPAC1F5.04c	0.879	0.719	-0.16
SPAC8F11.06	0.939	0.861	-0.078
SPAC8F11.07c	0.771	0.898	0.127
SPAC8F11.08c	0.86	0.829	-0.031
SPAC8F11.09c	0.9	0.874	-0.026
SPAC8F11.10c	1	0.777	-0.223
SPACUNK4.17	0.859	0.902	0.042
SPACUNK4.19	0.795	0.956	0.161
SPACUNK4.16c	0.79	0.926	0.136
SPACUNK4.15	0.91	0.828	-0.082
SPAC1F5.03c	0.956	0.867	-0.089
SPACUNK4.14	0.95	0.827	-0.123
SPACUNK4.13c	0.918	0.835	-0.083
SPACUNK4.12c	0.99	0.74	-0.251
SPACUNK4.11c	0.95	0.737	-0.213
SPACUNK4.10	0.91	0.939	0.03
SPACUNK4.20	0.81	0.907	0.097
SPACUNK4.09	0.881	0.811	-0.07
SPAC1F5.02	0.99	0.739	-0.251
SPACUNK4.08	0.872	0.779	-0.093
SPACUNK4.07c	0.771	0.771	0
SPAPYUK71.03c	0.956	0.884	-0.072
SPACUNK4.06c	0.916	0.867	-0.049
SPAC513.01c	0.99	0.724	-0.266
SPAC513.02	0.891	0.897	0.006
SPAC513.03	0.887	0.771	-0.116
SPAC513.04	0.956	0.951	-0.005
SPAC513.05	0.793	0.821	0.028
SPAC513.06c	0.932	0.737	-0.195
SPAC513.07	0.951	0.875	-0.075
SPAC2E1P3.01	0.958	0.772	-0.186
SPAC2E1P3.02c	0.951	0.796	-0.155
SPAC2E1P3.03c	0.916	0.771	-0.145
SPAC2E1P3.04	0.881	0.838	-0.043
SPAC2E1P3.05c	0.95	0.868	-0.082
SPAC18B11.11	0.833	0.956	0.123
SPAPB2C8.01	0.95	0.838	-0.112
SPAPB24D3.01	0.811	0.803	-0.008
SPAPB24D3.02c	0.951	0.74	-0.211
SPAPB24D3.03	0.88	0.739	-0.141
SPAPB24D3.04c	0.84	0.699	-0.141
SPAPB24D3.06c	0.926	0.806	-0.12
SPAC18B11.10	0.99	0.81	-0.181
SPAPB24D3.07c	0.788	0.702	-0.086
SPAPB24D3.08c	0.893	0.849	-0.044
SPAPB24D3.09c	0.763	0.699	-0.064
SPAPB24D3.10c	0.916	0.834	-0.082
SPAPB1A11.01	0.891	0.835	-0.056
SPAPB1A11.02	0.91	0.772	-0.138
SPAPB1A11.03	0.905	0.778	-0.127
SPAPB1A11.04c	0.897	0.951	0.054
SPAC31G5.01	0.804	0.877	0.074
SPAC31G5.02	0.966	0.949	-0.017
SPAC31G5.03	0.96	0.867	-0.093
SPAC31G5.04	0.884	0.713	-0.171
SPAC31G5.05c	0.99	0.745	-0.245
SPAC31G5.06	0.966	0.99	0.024
SPAC31G5.07	0.934	0.757	-0.177
SPAC31G5.08	0.875	0.828	-0.047
SPAC31G5.09c	0.77	0.689	-0.082
SPAC18B11.09c	0.918	0.99	0.072
SPAC31G5.10	0.804	NA	NA
SPAC31G5.11	0.838	0.699	-0.139
SPAC31G5.12c	0.865	0.931	0.067
SPAC31G5.21	0.905	0.99	0.085
SPAC31G5.13	0.855	0.764	-0.091
SPAC18B11.08c	0.939	0.811	-0.128
SPAC31G5.14	0.941	0.771	-0.17
SPAC31G5.15	0.829	0.907	0.078
SPAC31G5.16c	0.951	0.891	-0.059
SPAC31G5.17c	0.893	0.738	-0.155
SPAC31G5.18c	0.939	0.739	-0.2
SPAC31G5.19	0.878	0.901	0.022
SPAC1786.01c	0.99	0.863	-0.128
SPAC18B11.07c	0.99	0.739	-0.252
SPAC1786.04	0.859	0.932	0.074
SPAC1786.02	0.789	0.754	-0.035
SPAC1786.03	0.926	0.77	-0.156
SPAC24C9.02c	0.756	0.879	0.123
SPAC24C9.03	0.837	0.828	-0.009
SPAC24C9.16c	0.763	NA	NA
SPAC24C9.04	0.926	0.99	0.064
SPAC24C9.05c	0.881	0.918	0.037
SPAC18B11.06	0.939	0.74	-0.2
SPAC24C9.06c	0.905	0.706	-0.199
SPAC24C9.07c	0.956	0.788	-0.168
SPAC24C9.08	0.898	0.739	-0.16
SPAC24C9.09	0.786	0.892	0.106
SPAC18B11.05	0.884	0.901	0.016
SPAC24C9.10c	0.84	0.828	-0.012
SPAC24C9.11	0.816	0.99	0.174
SPAC24C9.12c	0.96	0.84	-0.12
SPAC24C9.13c	0.842	0.884	0.042
