Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
NCU00017 Ntermext	0.000	No mitochondrial presequence	12(MPP)	0.083		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00018 Ntermext	0.000	No mitochondrial presequence	90(MPP)	-0.011		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00019 Ntermext	0.000	No mitochondrial presequence	66(MPP)	0.015		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00021 Ntermext	0.000	No mitochondrial presequence	80(MPP)	-0.188		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00022 Ntermext	0.054	No mitochondrial presequence	40(MPP), 41(Icp55)	0.050	73-77	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00023 Ntermext	0.003	No mitochondrial presequence	24(MPP)	0.042	66-70	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00024 Ntermext	0.000	No mitochondrial presequence	47(MPP)	-0.021	13-17	9-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00025 Ntermext	0.021	No mitochondrial presequence	81(MPP)	0.012	78-82	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00026 Ntermext	0.000	No mitochondrial presequence	43(MPP)	0.000		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00027 Ntermext	0.000	No mitochondrial presequence	38(MPP)	0.000	85-89	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00028 Ntermext	0.004	No mitochondrial presequence	69(MPP)	0.043	84-88	5-14-high	-	19-24	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00029 Ntermext	0.014	No mitochondrial presequence	47(MPP)	-0.021	86-90	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00030 Ntermext	0.004	No mitochondrial presequence	21(MPP)	0.143		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00031 Ntermext	0.000	No mitochondrial presequence	65(MPP)	-0.108		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00032 Ntermext	0.006	No mitochondrial presequence	31(MPP)	-0.419	40-44,47-51	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00033 Ntermext	0.003	No mitochondrial presequence	12(MPP)	-0.083		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00034 Ntermext	0.122	No mitochondrial presequence	42(MPP), 43(Icp55)	0.095		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00035 Ntermext	0.000	No mitochondrial presequence	59(MPP)	-0.034		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00037 Ntermext	0.000	No mitochondrial presequence	34(MPP)	0.059	42-46	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00038 Ntermext	0.000	No mitochondrial presequence	15(MPP)	0.267		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00039 Ntermext	0.013	No mitochondrial presequence	14(MPP)	0.071	72-76	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00040 Ntermext	0.004	No mitochondrial presequence	44(MPP)	0.045	95-99	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00041 Ntermext	0.000	No mitochondrial presequence	43(MPP)	0.000		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00042 Ntermext	0.006	No mitochondrial presequence	24(MPP)	0.042	31-35	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00043 Ntermext	0.000	No mitochondrial presequence	49(MPP)	-0.082	25-29,84-88	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00045 Ntermext	0.758	Possessing mitochondrial presequence	60(MPP)	0.200		13-22-high	-	-	-	-	-	-	14-19,21-26	-	-	20-25	-	-	-	-	
NCU00046 Ntermext	0.016	No mitochondrial presequence	41(MPP)	0.024		12-21-high	-	-	-	-	-	-	12-17	-	-	11-16	-	-	-	-	
NCU00047 Ntermext	0.000	No mitochondrial presequence	34(MPP)	-0.088	83-87	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00048 Ntermext	0.040	No mitochondrial presequence	28(MPP)	0.143	48-52	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00050 Ntermext	0.978	Possessing mitochondrial presequence	21(MPP), 29(Oct1)	0.190	85-89	13-22-high	-	-	-	12-17	-	-	-	-	-	-	-	-	-	-	
NCU00051 Ntermext	0.120	No mitochondrial presequence	78(MPP), 79(Icp55)	0.115	55-59,83-87	5-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00052 Ntermext	0.322	No mitochondrial presequence	41(MPP), 42(Icp55)	0.049		1-10-high	2-7	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00054 Ntermext	0.014	No mitochondrial presequence	31(MPP)	0.032		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00055 Ntermext	0.000	No mitochondrial presequence	93(MPP)	-0.054		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00056 Ntermext	0.125	No mitochondrial presequence	27(MPP)	0.185	2-6,24-28	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00057 Ntermext	0.401	Possessing mitochondrial presequence	37(MPP)	0.081	88-92	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00059 Ntermext	0.044	No mitochondrial presequence	17(MPP), 18(Icp55)	0.176	1-5,15-19,26-30,34-38,88-92	17-26-low	-	-	-	-	-	-	-	-	13-18	-	-	-	-	-	
NCU00060 Ntermext	0.000	No mitochondrial presequence	76(MPP)	-0.224		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00061 Ntermext	0.009	No mitochondrial presequence	9(MPP)	0.222		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00064 Ntermext	0.020	No mitochondrial presequence	58(MPP)	0.052		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00065 Ntermext	0.940	Possessing mitochondrial presequence	21(MPP), 29(Oct1)	0.190	88-92	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00066 Ntermext	0.000	No mitochondrial presequence	25(MPP)	0.040		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00067 Ntermext	0.007	No mitochondrial presequence	45(MPP)	-0.044	2-6	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00068 Ntermext	0.006	No mitochondrial presequence	16(MPP)	0.062	13-17	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00069 Ntermext	0.012	No mitochondrial presequence	67(MPP)	0.045		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00070 Ntermext	0.000	No mitochondrial presequence	21(MPP)	-0.095		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00071 Ntermext	0.000	No mitochondrial presequence	64(MPP)	-0.047		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00072 Ntermext	0.007	No mitochondrial presequence	71(MPP)	0.042	7-11,25-29,68-72	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00073 Ntermext	0.020	No mitochondrial presequence	53(MPP), 54(Icp55)	0.113	36-40	6-15-high	-	-	-	-	-	-	-	-	-	-	24-29	-	-	-	
NCU00074 Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.111	26-30	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00075 Ntermext	0.303	No mitochondrial presequence	27(MPP)	0.111	35-39	12-21-low	-	-	-	-	-	-	-	-	-	-	22-27	-	-	-	
NCU00076 Ntermext	0.012	No mitochondrial presequence	12(MPP), 13(Icp55)	-0.167		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00077 Ntermext	0.025	No mitochondrial presequence	14(MPP)	0.071	11-15	5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00078 Ntermext	0.030	No mitochondrial presequence	52(MPP)	0.058	2-6,58-62	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00079 Ntermext	0.003	No mitochondrial presequence	14(MPP), 22(Oct1)	0.071	71-75	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00080 Ntermext	0.231	No mitochondrial presequence	18(MPP)	0.167	73-77	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00081 Ntermext	0.041	No mitochondrial presequence	50(MPP), 51(Icp55)	0.060	55-59,67-71	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00082 Ntermext	0.000	No mitochondrial presequence	42(MPP)	0.119	3-7	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00083 Ntermext	0.098	No mitochondrial presequence	20(MPP), 21(Icp55)	0.250	18-22,34-38	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00084 Ntermext	0.000	No mitochondrial presequence	84(MPP)	0.083	86-90	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00085 Ntermext	0.000	No mitochondrial presequence	25(MPP)	0.160		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00086 Ntermext	0.000	No mitochondrial presequence	78(MPP)	-0.026	31-35	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00087 Ntermext	0.006	No mitochondrial presequence	28(MPP)	0.036		20-30-low	-	-	-	-	-	-	25-30	-	-	-	-	-	-	24-29	
NCU00088 Ntermext	0.004	No mitochondrial presequence	9(MPP)	0.111		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00089 Ntermext	0.000	No mitochondrial presequence	20(MPP)	-0.050	17-21,44-48,63-67,96-100	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00090 Ntermext	0.000	No mitochondrial presequence	25(MPP), 33(Oct1)	0.000	12-16	4-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00091 Ntermext	0.009	No mitochondrial presequence	19(MPP)	0.105		16-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00092 Ntermext	0.000	No mitochondrial presequence	42(MPP)	0.095	63-67	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00093 Ntermext	0.000	No mitochondrial presequence	13(MPP)	-0.077		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00095 Ntermext	0.009	No mitochondrial presequence	15(MPP)	0.067		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00096 Ntermext	0.050	No mitochondrial presequence	31(MPP)	0.161	4-8	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00097 Ntermext	0.449	Possessing mitochondrial presequence	56(MPP)	0.125		19-30-high	-	-	-	-	-	-	-	19-24	-	18-23	-	-	-	-	
NCU00099 Ntermext	0.114	No mitochondrial presequence	25(MPP), 26(Icp55)	0.200	1-5	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00100 Ntermext	0.000	No mitochondrial presequence	54(MPP)	-0.056	66-70,87-91	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00101 Ntermext	0.014	No mitochondrial presequence	65(MPP)	-0.015		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00102 Ntermext	0.000	No mitochondrial presequence	22(MPP)	0.000	47-51	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00103 Ntermext	0.095	No mitochondrial presequence	53(MPP)	0.075	31-35	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00104 Ntermext	0.000	No mitochondrial presequence	87(MPP)	0.000	11-15,76-80,80-84	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00105 Ntermext	0.018	No mitochondrial presequence	6(MPP)	0.167	48-52	21-30-high	22-27	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00106 Ntermext	0.000	No mitochondrial presequence	25(MPP)	0.000		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00107 Ntermext	0.000	No mitochondrial presequence	82(MPP), 83(Icp55)	-0.049	79-83	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00108 Ntermext	0.019	No mitochondrial presequence	6(MPP)	0.167	33-37,90-94	8-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00109 Ntermext	0.000	No mitochondrial presequence	27(MPP)	0.037		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00110 Ntermext	0.000	No mitochondrial presequence	12(MPP)	0.083		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00111 Ntermext	0.029	No mitochondrial presequence	38(MPP)	0.158	64-68,68-72	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00112 Ntermext	0.152	No mitochondrial presequence	20(MPP)	0.150	56-60,63-67	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00114 Ntermext	0.006	No mitochondrial presequence	69(MPP)	0.159		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00115 Ntermext	0.030	No mitochondrial presequence	48(MPP)	-0.042	14-18,37-41	1-12-high	-	-	-	-	-	8-13	-	-	-	-	-	-	-	7-12	
NCU00116 Ntermext	0.000	No mitochondrial presequence	48(MPP)	0.021		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00117 Ntermext	0.000	No mitochondrial presequence	44(MPP)	-0.091		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00118 Ntermext	0.000	No mitochondrial presequence	73(MPP)	-0.014		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00119 Ntermext	0.000	No mitochondrial presequence	47(MPP)	0.021		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00120 Ntermext	0.003	No mitochondrial presequence	63(MPP)	0.079	22-26	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00121 Ntermext	0.000	No mitochondrial presequence	15(MPP)	0.133	27-31	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00122 Ntermext	0.004	No mitochondrial presequence	41(MPP)	0.049	62-66	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00123 Ntermext	0.030	No mitochondrial presequence	48(MPP)	0.167	2-6,45-49	1-10-low	-	-	-	-	-	-	-	-	-	-	-	1-6	-	-	
NCU00124 Ntermext	0.069	No mitochondrial presequence	30(MPP)	0.067		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00125 Ntermext	0.009	No mitochondrial presequence	74(MPP)	0.027		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00126 Ntermext	0.000	No mitochondrial presequence	8(MPP)	0.125		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00127 Ntermext	0.005	No mitochondrial presequence	87(MPP)	0.057	51-55	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00128 Ntermext	0.004	No mitochondrial presequence	12(MPP)	0.083	59-63	5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00129 Ntermext	0.733	Possessing mitochondrial presequence	60(MPP)	0.033	12-16,34-38	7-16-high	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
NCU00130 Ntermext	0.000	No mitochondrial presequence	75(MPP)	-0.027	79-83	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00132 Ntermext	0.023	No mitochondrial presequence	52(MPP)	0.096		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00133 Ntermext	0.000	No mitochondrial presequence	57(MPP)	-0.018	51-55,83-87	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00134 Ntermext	0.006	No mitochondrial presequence	14(MPP)	0.214	1-5,26-30,59-63	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00135 Ntermext	0.011	No mitochondrial presequence	60(MPP)	0.050		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00136 Ntermext	0.333	No mitochondrial presequence	18(MPP)	0.056	12-16,22-26	17-26-high	-	-	-	-	12-17	-	-	-	-	-	-	21-26	-	-	
NCU00137 Ntermext	0.000	No mitochondrial presequence	71(MPP)	0.028		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00138 Ntermext	0.000	No mitochondrial presequence	60(MPP)	-0.017	41-45,95-99	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00142 Ntermext	0.008	No mitochondrial presequence	19(MPP)	0.053		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00143 Ntermext	0.012	No mitochondrial presequence	7(MPP)	0.000	81-85	8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00144 Ntermext	0.000	No mitochondrial presequence	62(MPP)	-0.065		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00145 Ntermext	0.011	No mitochondrial presequence	36(MPP)	0.306	79-83	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00146 Ntermext	0.064	No mitochondrial presequence	32(MPP)	0.125	65-69	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00147 Ntermext	0.000	No mitochondrial presequence	52(MPP)	-0.058		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00148 Ntermext	0.068	No mitochondrial presequence	11(MPP)	0.091	94-98	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00149 Ntermext	0.009	No mitochondrial presequence	56(MPP)	0.000		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00150 Ntermext	0.006	No mitochondrial presequence	32(MPP)	0.031	43-47	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00151 Ntermext	0.000	No mitochondrial presequence	34(MPP)	0.206	67-71	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00152 Ntermext	0.000	No mitochondrial presequence	64(MPP), 65(Icp55)	0.016		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00153 Ntermext	0.980	Possessing mitochondrial presequence	30(MPP), 38(Oct1)	0.133	4-8,66-70	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00154 Ntermext	0.028	No mitochondrial presequence	71(MPP)	0.000	32-36	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00155 Ntermext	0.456	Possessing mitochondrial presequence	19(MPP)	0.158		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00157 Ntermext	0.000	No mitochondrial presequence	66(MPP)	-0.030	63-67,80-84	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00158 Ntermext	0.003	No mitochondrial presequence	50(MPP)	0.040	65-69	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00159 Ntermext	0.000	No mitochondrial presequence	23(MPP)	-0.043	20-24,83-87	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00160 Ntermext	0.017	No mitochondrial presequence	21(MPP)	0.095		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00161 Ntermext	0.000	No mitochondrial presequence	63(MPP)	-0.032		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00162 Ntermext	0.000	No mitochondrial presequence	11(MPP)	0.091		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00163 Ntermext	0.000	No mitochondrial presequence	17(MPP)	0.059	36-40,94-98	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00164 Ntermext	0.042	No mitochondrial presequence	52(MPP)	-0.038		4-13-high	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
NCU00166 Ntermext	0.005	No mitochondrial presequence	52(MPP)	0.000	39-43,49-53,52-56	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00167 Ntermext	0.041	No mitochondrial presequence	23(MPP)	0.130		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00168 Ntermext	0.000	No mitochondrial presequence	38(MPP), 39(Icp55)	0.026	29-33	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00169 Ntermext	0.000	No mitochondrial presequence	39(MPP)	-0.051		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00170 Ntermext	0.032	No mitochondrial presequence	11(MPP)	0.364		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00171 Ntermext	0.170	No mitochondrial presequence	75(MPP)	0.107		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00172 Ntermext	0.009	No mitochondrial presequence	14(MPP)	0.143		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00173 Ntermext	0.735	Possessing mitochondrial presequence	19(MPP), 20(Icp55)	0.105	49-53	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00175 Ntermext	0.014	No mitochondrial presequence	22(MPP)	0.091		19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00176 Ntermext	0.000	No mitochondrial presequence	64(MPP), 65(Icp55)	-0.062		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00177 Ntermext	0.000	No mitochondrial presequence	24(MPP)	0.125		16-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00178 Ntermext	0.000	No mitochondrial presequence	18(MPP)	0.111	87-91	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00179 Ntermext	0.022	No mitochondrial presequence	32(MPP)	0.031		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00180 Ntermext	0.016	No mitochondrial presequence	25(MPP)	0.280		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00181 Ntermext	0.010	No mitochondrial presequence	37(MPP)	0.054		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00182 Ntermext	0.000	No mitochondrial presequence	35(MPP)	-0.029		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00183 Ntermext	0.860	Possessing mitochondrial presequence	15(MPP)	0.067	17-21	17-26-high	-	-	-	-	-	-	-	-	-	-	-	16-21	-	-	
NCU00184 Ntermext	0.247	No mitochondrial presequence	12(MPP)	0.083	32-36,57-61	2-11-low	25-30	-	-	-	-	9-14	-	-	-	8-13	-	-	-	-	
NCU00185 Ntermext	0.033	No mitochondrial presequence	37(MPP)	0.027	12-16,17-21,74-78,93-97	17-28-low	-	-	-	-	-	-	-	-	-	-	-	16-21	17-22	-	
NCU00186 Ntermext	0.000	No mitochondrial presequence	86(MPP), 87(Icp55)	0.023		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00187 Ntermext	0.013	No mitochondrial presequence	9(MPP)	0.111		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00188 Ntermext	0.035	No mitochondrial presequence	17(MPP)	0.000	47-51	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00189 Ntermext	0.953	Possessing mitochondrial presequence	27(MPP), 28(Icp55)	0.222	37-41,59-63,72-76,85-89	6-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00192 Ntermext	0.022	No mitochondrial presequence	28(MPP)	0.071	43-47	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00193 Ntermext	0.263	No mitochondrial presequence	18(MPP)	0.222	1-5,85-89	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00194 Ntermext	0.000	No mitochondrial presequence	19(MPP)	-0.105	17-21,89-93	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00195 Ntermext	0.028	No mitochondrial presequence	21(MPP)	0.143		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00196 Ntermext	0.000	No mitochondrial presequence	54(MPP)	0.019		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00197 Ntermext	0.009	No mitochondrial presequence	18(MPP)	0.056	49-53	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00198 Ntermext	0.003	No mitochondrial presequence	20(MPP)	0.000	56-60	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
