Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
YAL059C-A Protein	0.030	No mitochondrial presequence	27(MPP), 28(Icp55)	0.185	72-76	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL059W Protein	0.343	No mitochondrial presequence	21(MPP)	0.190		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL058W Protein	0.006	No mitochondrial presequence	70(MPP)	-0.014	95-99	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL056C-A Protein	0.079	No mitochondrial presequence	34(MPP)	0.118	23-27,69-73	11-20-high	25-30	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL056W Protein	0.000	No mitochondrial presequence	41(MPP)	-0.073	82-86	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL055W Protein	0.011	No mitochondrial presequence	7(MPP)	0.143		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL054C Protein	0.000	No mitochondrial presequence	53(MPP)	0.019		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL053W Protein	0.125	No mitochondrial presequence	10(MPP)	0.100	7-11	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL051W Protein	0.000	No mitochondrial presequence	71(MPP)	0.000	83-87	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL049C Protein	0.000	No mitochondrial presequence	25(MPP)	0.040	63-67	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL048C Protein	0.000	No mitochondrial presequence	46(MPP), 54(Oct1)	-0.022		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL047W-A Protein	0.000	No mitochondrial presequence	50(MPP)	-0.080		14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL047C Protein	0.126	No mitochondrial presequence	11(MPP)	0.273	2-6	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL046C Protein	0.928	Possessing mitochondrial presequence	10(MPP)	0.200	18-22,89-93	2-11-high	-	-	-	-	-	-	-	7-12	-	-	-	-	-	6-11	
YAL045C Protein	0.009	No mitochondrial presequence	43(MPP)	-0.070	6-10,54-58,68-72	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL044W-A Protein	0.390	Possessing mitochondrial presequence	75(MPP)	0.080	2-6	16-26-high	-	-	-	-	-	-	12-17	-	-	-	-	-	-	-	
YAL044C Protein	0.994	Possessing mitochondrial presequence	22(MPP)	0.227	15-19,66-70	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL043C Protein	0.000	No mitochondrial presequence	72(MPP)	-0.014	25-29,48-52	19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL042C-A Protein	0.010	No mitochondrial presequence	37(MPP)	0.027		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL042W Protein	0.038	No mitochondrial presequence	55(MPP)	0.036		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL041W Protein	0.005	No mitochondrial presequence	7(MPP)	0.143	43-47	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL040C Protein	0.310	No mitochondrial presequence	46(MPP)	0.109	8-12,78-82	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL039C Protein	0.006	No mitochondrial presequence	78(MPP)	-0.038		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL038W Protein	0.245	No mitochondrial presequence	50(MPP)	0.100		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL037C-B Protein	0.000	No mitochondrial presequence	74(MPP)	-0.122		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL037C-A Protein	0.000	No mitochondrial presequence	13(MPP)	0.077	8-12	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL037W Protein	0.000	No mitochondrial presequence	65(MPP)	-0.077		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL036C Protein	0.017	No mitochondrial presequence	41(MPP)	0.122		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL035W Protein	0.000	No mitochondrial presequence	47(MPP)	-0.149		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL034C-B Protein	0.005	No mitochondrial presequence	54(MPP)	-0.037	3-7,51-55	11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL034W-A Protein	0.000	No mitochondrial presequence	8(MPP)	0.125	42-46	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL034C Protein	0.000	No mitochondrial presequence	30(MPP)	0.000		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL033W Protein	0.010	No mitochondrial presequence	55(MPP), 56(Icp55)	0.018		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL032C Protein	0.018	No mitochondrial presequence	16(MPP)	0.188	74-78	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL031W-A Protein	0.096	No mitochondrial presequence	71(MPP)	0.028		14-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL031C Protein	0.004	No mitochondrial presequence	52(MPP)	0.115	11-15,49-53	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL030W Protein	0.000	No mitochondrial presequence	20(MPP)	-0.200	47-51,81-85	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL029C Protein	0.000	No mitochondrial presequence	95(MPP)	-0.105	87-91	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL028W Protein	0.000	No mitochondrial presequence	21(MPP)	0.048		15-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL027W Protein	0.017	No mitochondrial presequence	20(MPP)	0.100		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL026C-A Protein	0.370	No mitochondrial presequence	7(MPP)	0.143	59-63	3-12-high	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
YAL026C Protein	0.000	No mitochondrial presequence	6(MPP)	-0.333		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL025C Protein	0.012	No mitochondrial presequence	30(MPP)	0.033	86-90	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL024C Protein	0.000	No mitochondrial presequence	62(MPP)	-0.081		8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL023C Protein	0.000	No mitochondrial presequence	27(MPP)	0.074	77-81	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL022C Protein	0.000	No mitochondrial presequence	56(MPP)	-0.232		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL021C Protein	0.000	No mitochondrial presequence	70(MPP)	0.000		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL020C Protein	0.000	No mitochondrial presequence	14(MPP)	0.071	38-42	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL019W-A Protein	0.075	No mitochondrial presequence	38(MPP)	0.053		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL019W Protein	0.000	No mitochondrial presequence	47(MPP)	-0.064		10-19-low	23-28	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL018C Protein	0.000	No mitochondrial presequence	56(MPP)	0.107	39-43,47-51	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL017W Protein	0.000	No mitochondrial presequence	85(MPP)	-0.071		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL016C-B Protein	0.020	No mitochondrial presequence	26(MPP)	0.077		7-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL016C-A Protein	0.000	No mitochondrial presequence	25(MPP)	0.040		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL016W Protein	0.000	No mitochondrial presequence	6(MPP)	0.167		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL015C Protein	0.996	Possessing mitochondrial presequence	17(MPP)	0.294		18-30-high	-	-	-	-	-	-	-	-	-	-	10-15	-	-	-	
YAL014C Protein	0.000	No mitochondrial presequence	23(MPP)	-0.130	26-30,50-54	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL013W Protein	0.000	No mitochondrial presequence	90(MPP)	-0.111		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL012W Protein	0.006	No mitochondrial presequence	53(MPP)	-0.038	10-14,61-65	21-30-low	-	-	-	-	-	-	-	-	-	-	-	9-14	-	-	
YAL011W Protein	0.082	No mitochondrial presequence	24(MPP)	0.167		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL010C Protein	0.034	No mitochondrial presequence	33(MPP)	-0.030	8-12,81-85	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL009W Protein	0.000	No mitochondrial presequence	27(MPP)	-0.074		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL008W Protein	0.898	Possessing mitochondrial presequence	21(MPP)	0.190	7-11	16-25-high	-	-	-	-	-	-	-	11-16	-	10-15	-	-	-	-	
YAL007C Protein	0.000	No mitochondrial presequence	25(MPP)	0.040		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL005C Protein	0.000	No mitochondrial presequence	48(MPP)	-0.042	1-5,16-20,68-72	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL004W Protein	0.000	No mitochondrial presequence	52(MPP)	-0.038		12-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL003W Protein	0.000	No mitochondrial presequence	51(MPP)	-0.020	37-41,48-52,52-56	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL002W Protein	0.007	No mitochondrial presequence	30(MPP), 31(Icp55)	-0.100	74-78	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL001C Protein	0.000	No mitochondrial presequence	9(MPP)	-0.222		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR002W Protein	0.100	No mitochondrial presequence	67(MPP), 75(Oct1)	0.209		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR002C-A Protein	0.008	No mitochondrial presequence	33(MPP)	0.030		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR003W Protein	0.013	No mitochondrial presequence	74(MPP)	-0.041		19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR007C Protein	0.004	No mitochondrial presequence	9(MPP)	0.111	79-83	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR008W Protein	0.000	No mitochondrial presequence	43(MPP)	0.047	81-85	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR014C Protein	0.000	No mitochondrial presequence	26(MPP)	-0.077		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR015W Protein	0.000	No mitochondrial presequence	18(MPP)	0.000	64-68	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR018C Protein	0.029	No mitochondrial presequence	41(MPP)	0.073	39-43	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR019C Protein	0.000	No mitochondrial presequence	34(MPP)	0.059	39-43	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR019W-A Protein	0.023	No mitochondrial presequence	29(MPP)	0.034		17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR020C Protein	0.000	No mitochondrial presequence	47(MPP)	-0.021		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR023C Protein	0.006	No mitochondrial presequence	49(MPP)	0.041	29-33	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR027W Protein	0.000	No mitochondrial presequence	48(MPP)	-0.167		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR028W Protein	0.000	No mitochondrial presequence	33(MPP), 34(Icp55)	-0.242		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR029W Protein	0.012	No mitochondrial presequence	26(MPP)	-0.038	1-5,23-27	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR030C Protein	0.419	Possessing mitochondrial presequence	14(MPP)	0.286	43-47,76-80	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR031W Protein	0.019	No mitochondrial presequence	14(MPP)	0.071		8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR033W Protein	0.000	No mitochondrial presequence	36(MPP)	-0.056		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR035W Protein	0.050	No mitochondrial presequence	38(MPP)	0.132	16-20	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR035C-A Protein	0.068	No mitochondrial presequence	16(MPP)	0.312	5-9	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR042W Protein	0.000	No mitochondrial presequence	26(MPP)	0.038	51-55,55-59,72-76	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR047C Protein	0.013	No mitochondrial presequence	58(MPP)	0.052	16-20,55-59,71-75,77-81	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR050W Protein	0.000	No mitochondrial presequence	36(MPP)	0.056		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR053W Protein	0.003	No mitochondrial presequence	10(MPP)	0.100	71-75	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR060C Protein	0.024	No mitochondrial presequence	43(MPP)	0.163		18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR064W Protein	0.009	No mitochondrial presequence	41(MPP)	0.049	89-93	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR066W Protein	0.329	No mitochondrial presequence	20(MPP)	0.150		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR068W Protein	0.000	No mitochondrial presequence	80(MPP)	0.025		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR069C Protein	0.000	No mitochondrial presequence	38(MPP)	-0.079		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR070C Protein	0.036	No mitochondrial presequence	37(MPP)	0.054	29-33,86-90	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR071W Protein	0.000	No mitochondrial presequence	79(MPP)	-0.013		1-10-low	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
YAR073W Protein	0.000	No mitochondrial presequence	65(MPP)	0.000		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR075W Protein	0.837	Possessing mitochondrial presequence	51(MPP)	0.059	7-11,11-15,95-99	3-15-high	-	-	-	-	-	-	-	-	-	2-7	-	10-15	-	-	
YBL113C Protein	0.000	No mitochondrial presequence	21(MPP)	0.143	34-38,64-68	3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL113W-A Protein	0.500	Possessing mitochondrial presequence	13(MPP)	0.077	54-58,58-62	9-18-low	-	-	-	-	-	-	-	10-15	-	-	-	-	-	-	
YBL112C Protein	0.007	No mitochondrial presequence	79(MPP)	0.038		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL111C Protein	0.000	No mitochondrial presequence	45(MPP)	-0.022	54-58,71-75,84-88	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL109W Protein	0.000	No mitochondrial presequence	78(MPP)	0.013		14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL108C-A Protein	0.229	No mitochondrial presequence	13(MPP)	0.000	10-14	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	10-15	-	
YBL108W Protein	0.205	No mitochondrial presequence	41(MPP)	0.000		10-19-high	-	-	-	-	-	-	23-28	-	11-16	22-27	-	-	-	-	
YBL107W-A Protein	0.044	No mitochondrial presequence	25(MPP)	0.080	8-12	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL107C Protein	0.007	No mitochondrial presequence	50(MPP)	-0.040	47-51	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL106C Protein	0.553	Possessing mitochondrial presequence	7(MPP)	0.429		8-17-high	-	-	-	-	-	14-19	-	-	-	-	-	-	-	13-18	
YBL105C Protein	0.011	No mitochondrial presequence	23(MPP)	0.043		3-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL104C Protein	0.000	No mitochondrial presequence	79(MPP)	-0.076	76-80	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL103C Protein	0.000	No mitochondrial presequence	14(MPP)	-0.143		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL102W Protein	0.013	No mitochondrial presequence	25(MPP)	-0.040		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL101C Protein	0.037	No mitochondrial presequence	46(MPP)	0.130	50-54	9-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL100W-C Protein	0.021	No mitochondrial presequence	21(MPP)	0.143		19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL100C Protein	0.015	No mitochondrial presequence	17(MPP)	0.235	68-72	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL099W Protein	1.000	Possessing mitochondrial presequence	35(MPP)	0.200	75-79	8-17-high	-	-	-	-	-	-	2-7	7-12	-	1-6,6-11	-	-	-	-	
YBL098W Protein	0.000	No mitochondrial presequence	39(MPP)	-0.026	70-74	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL097W Protein	0.000	No mitochondrial presequence	25(MPP)	-0.120	34-38,82-86	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL096C Protein	0.068	No mitochondrial presequence	12(MPP)	0.083		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL095W Protein	0.104	No mitochondrial presequence	15(MPP)	0.200	8-12,12-16,30-34,79-83,88-92	7-16-high	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
YBL094C Protein	0.034	No mitochondrial presequence	52(MPP)	0.077	65-69	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL093C Protein	0.000	No mitochondrial presequence	46(MPP)	-0.109	89-93	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL092W Protein	0.141	No mitochondrial presequence	20(MPP)	0.350	25-29	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL091C-A Protein	0.000	No mitochondrial presequence	38(MPP)	0.105		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL091C Protein	0.000	No mitochondrial presequence	84(MPP)	-0.012		6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL090W Protein	0.996	Possessing mitochondrial presequence	16(MPP), 24(Oct1)	0.312	30-34	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL089W Protein	0.008	No mitochondrial presequence	57(MPP)	0.053	57-61,89-93	4-13-low	-	-	-	-	-	-	12-17	-	-	-	-	-	-	11-16	
YBL088C Protein	0.000	No mitochondrial presequence	68(MPP), 69(Icp55)	-0.074	90-94	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL087C Protein	0.021	No mitochondrial presequence	33(MPP)	0.061		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL086C Protein	0.000	No mitochondrial presequence	12(MPP)	0.250		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL085W Protein	0.000	No mitochondrial presequence	28(MPP)	0.107		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL084C Protein	0.000	No mitochondrial presequence	15(MPP)	0.000		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL083C Protein	0.000	No mitochondrial presequence	20(MPP)	0.000	66-70,69-73,72-76	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL082C Protein	0.000	No mitochondrial presequence	16(MPP)	0.000	57-61,62-66	18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL081W Protein	0.000	No mitochondrial presequence	26(MPP)	-0.077	17-21	15-24-low	-	25-30	-	-	-	-	-	-	-	-	-	-	-	-	
YBL080C Protein	0.988	Possessing mitochondrial presequence	7(MPP), 8(Icp55)	0.286	1-5,4-8	4-13-low	-	-	-	-	1-6	-	-	-	-	-	-	-	-	-	
YBL079W Protein	0.012	No mitochondrial presequence	69(MPP)	0.000		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL078C Protein	0.003	No mitochondrial presequence	15(MPP)	0.200		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL077W Protein	0.005	No mitochondrial presequence	44(MPP)	0.045	41-45	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL076C Protein	0.000	No mitochondrial presequence	70(MPP)	-0.086	55-59,67-71,91-95	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL075C Protein	0.003	No mitochondrial presequence	48(MPP)	-0.042	1-5,68-72	16-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL074C Protein	0.000	No mitochondrial presequence	56(MPP)	-0.036	77-81	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL073W Protein	0.000	No mitochondrial presequence	51(MPP)	0.039	91-95	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL072C Protein	0.010	No mitochondrial presequence	43(MPP)	0.302	96-100	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL071C-B Protein	0.026	No mitochondrial presequence	8(MPP)	0.000	12-16	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL071W-A Protein	0.000	No mitochondrial presequence	31(MPP)	-0.226		9-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL071C Protein	0.000	No mitochondrial presequence	13(MPP)	0.231	31-35	3-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL070C Protein	0.004	No mitochondrial presequence	79(MPP)	0.051		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL069W Protein	0.016	No mitochondrial presequence	44(MPP)	0.068	35-39	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL068W-A Protein	0.021	No mitochondrial presequence	67(MPP)	-0.015	11-15,46-50	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL068W Protein	0.000	No mitochondrial presequence	7(MPP)	-0.143	85-89,88-92	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL067C Protein	0.011	No mitochondrial presequence	4(MPP)	0.500	2-6	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL066C Protein	0.000	No mitochondrial presequence	53(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL065W Protein	0.000	No mitochondrial presequence	30(MPP)	0.000	73-77	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL064C Protein	0.914	Possessing mitochondrial presequence	13(MPP)	0.231	2-6	10-19-high	-	-	-	-	-	-	-	-	-	-	-	1-6	2-7	-	
YBL063W Protein	0.241	No mitochondrial presequence	21(MPP)	0.238		20-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL062W Protein	0.000	No mitochondrial presequence	39(MPP)	0.051	20-24	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL061C Protein	0.032	No mitochondrial presequence	76(MPP)	0.000		7-16-high	13-18	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL060W Protein	0.000	No mitochondrial presequence	11(MPP)	0.091		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL059C-A Protein	0.003	No mitochondrial presequence	10(MPP)	-0.100	29-33,43-47	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL059W Protein	0.395	Possessing mitochondrial presequence	12(MPP), 13(Icp55)	0.083	5-9,55-59,70-74,88-92	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	5-10	-	
YBL058W Protein	0.000	No mitochondrial presequence	53(MPP)	-0.132		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
