Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
C1_00190C_A Ntermext	0.000	No mitochondrial presequence	37(MPP)	0.000	83-87	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00200C_A Ntermext	0.097	No mitochondrial presequence	17(MPP)	0.118	1-5,14-18	8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00210C_A Ntermext	0.000	No mitochondrial presequence	23(MPP)	-0.087	44-48	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00220W_A Ntermext	0.171	No mitochondrial presequence	24(MPP), 25(Icp55)	0.208		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00230C_A Ntermext	0.000	No mitochondrial presequence	60(MPP)	-0.083		16-25-low	-	-	-	-	-	-	-	8-13	-	-	-	-	-	7-12	
C1_00270W_A Ntermext	0.000	No mitochondrial presequence	30(MPP)	-0.033	85-89,89-93	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00290W_A Ntermext	0.000	No mitochondrial presequence	19(MPP)	-0.263		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00310W_A Ntermext	0.000	No mitochondrial presequence	45(MPP)	-0.022		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00320W_A Ntermext	0.000	No mitochondrial presequence	15(MPP)	-0.067	22-26,94-98	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00330C_A Ntermext	0.000	No mitochondrial presequence	81(MPP)	-0.037		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00340W_A Ntermext	0.013	No mitochondrial presequence	35(MPP), 36(Icp55)	0.171	23-27	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00350C_A Ntermext	0.038	No mitochondrial presequence	44(MPP)	0.045	74-78,81-85	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00360W_A Ntermext	0.259	No mitochondrial presequence	78(MPP)	0.103	21-25,75-79	21-30-low	-	-	-	-	-	-	-	-	-	-	4-9	-	-	-	
C1_00370W_A Ntermext	0.785	Possessing mitochondrial presequence	6(MPP), 7(Icp55)	0.167	48-52,67-71	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00380C_A Ntermext	0.033	No mitochondrial presequence	15(MPP)	0.400	71-75	9-18-high	23-28	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00390W_A Ntermext	0.000	No mitochondrial presequence	19(MPP)	0.000	86-90	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00400W_A Ntermext	0.014	No mitochondrial presequence	32(MPP)	0.000	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00410C_A Ntermext	0.009	No mitochondrial presequence	86(MPP)	0.012		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00420W_A Ntermext	0.009	No mitochondrial presequence	69(MPP)	-0.014		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00430W_A Ntermext	0.005	No mitochondrial presequence	77(MPP)	0.026		17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00440W_A Ntermext	0.009	No mitochondrial presequence	54(MPP)	0.019		18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00450C_A Ntermext	0.000	No mitochondrial presequence	40(MPP)	-0.075		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00460W_A Ntermext	0.023	No mitochondrial presequence	61(MPP)	0.049	1-5	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00470C_A Ntermext	0.350	No mitochondrial presequence	41(MPP)	0.098	92-96	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00480C_A Ntermext	0.003	No mitochondrial presequence	10(MPP)	0.100	85-89	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00490C_A Ntermext	0.983	Possessing mitochondrial presequence	11(MPP), 19(Oct1)	0.273		21-30-low	10-15	-	-	-	-	-	2-7	-	-	1-6	-	-	-	-	
C1_00500C_A Ntermext	0.797	Possessing mitochondrial presequence	15(MPP), 23(Oct1)	0.333	12-16	4-16-high	-	21-26	-	-	-	-	-	-	10-15	-	9-14	-	-	-	
C1_00510W_A Ntermext	0.919	Possessing mitochondrial presequence	26(MPP)	0.231	23-27,30-34	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00520W_A Ntermext	0.014	No mitochondrial presequence	16(MPP)	-0.188	13-17,28-32,51-55	8-17-high	-	-	-	-	-	-	-	-	-	-	16-21	-	-	-	
C1_00530C_A Ntermext	0.009	No mitochondrial presequence	60(MPP)	0.083		1-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00540C_A Ntermext	0.000	No mitochondrial presequence	6(MPP)	0.167		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00550W_A Ntermext	0.014	No mitochondrial presequence	48(MPP)	0.104		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00560W_A Ntermext	0.000	No mitochondrial presequence	22(MPP)	-0.091		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00570C_A Ntermext	0.092	No mitochondrial presequence	28(MPP)	0.107		1-10-low	-	-	-	-	-	-	-	-	-	-	11-16	-	-	-	
C1_00580W_A Ntermext	0.041	No mitochondrial presequence	6(MPP)	0.167	75-79	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00590W_A Ntermext	0.516	Possessing mitochondrial presequence	38(MPP), 39(Icp55)	0.184	3-7,7-11,68-72	12-21-high	-	-	-	-	-	-	-	13-18	1-6	-	-	-	-	12-17	
C1_00600W_A Ntermext	0.000	No mitochondrial presequence	48(MPP)	0.000	57-61	8-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00610W_A Ntermext	0.667	Possessing mitochondrial presequence	63(MPP), 64(Icp55)	0.159		15-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00620W_A Ntermext	0.025	No mitochondrial presequence	42(MPP)	0.143		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00630W_A Ntermext	0.966	Possessing mitochondrial presequence	22(MPP), 23(Icp55)	0.182	16-20,88-92	14-23-high	-	-	-	-	-	-	-	19-24	-	-	-	-	-	-	
C1_00640C_A Ntermext	0.260	No mitochondrial presequence	42(MPP)	0.167	70-74	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00650C_A Ntermext	0.014	No mitochondrial presequence	54(MPP)	0.074	52-56	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00660C_A Ntermext	0.045	No mitochondrial presequence	17(MPP)	0.059	70-74	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00670C_A Ntermext	0.019	No mitochondrial presequence	56(MPP)	0.018	1-5	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00680W_A Ntermext	0.007	No mitochondrial presequence	42(MPP)	0.024		13-22-low	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
C1_00690W_A Ntermext	0.005	No mitochondrial presequence	57(MPP)	-0.018	7-11,23-27	3-14-low	-	-	-	-	23-28	-	-	-	-	-	-	-	-	-	
C1_00700W_A Ntermext	0.229	No mitochondrial presequence	49(MPP)	0.122	60-64,64-68	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00710C_A Ntermext	0.000	No mitochondrial presequence	63(MPP)	-0.032	60-64	14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00730C_A Ntermext	0.066	No mitochondrial presequence	36(MPP)	0.083	75-79	18-29-low	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
C1_00740C_A Ntermext	0.000	No mitochondrial presequence	12(MPP)	-0.167		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00750C_A Ntermext	0.022	No mitochondrial presequence	16(MPP)	0.188	65-69	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00760W_A Ntermext	0.017	No mitochondrial presequence	22(MPP)	0.091		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00770C_A Ntermext	0.005	No mitochondrial presequence	7(MPP)	0.143	4-8	8-17-low	-	-	-	-	-	-	-	-	-	-	-	3-8	-	-	
C1_00780C_A Ntermext	0.041	No mitochondrial presequence	21(MPP)	0.095	28-32	6-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00790W_A Ntermext	0.000	No mitochondrial presequence	91(MPP)	-0.077		8-17-low	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
C1_00800C_A Ntermext	0.004	No mitochondrial presequence	22(MPP), 23(Icp55)	0.045	1-5,68-72	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00810W_A Ntermext	0.156	No mitochondrial presequence	16(MPP)	0.062		5-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00820W_A Ntermext	0.000	No mitochondrial presequence	56(MPP)	-0.054		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00830W_A Ntermext	0.000	No mitochondrial presequence	40(MPP)	-0.025		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00840C_A Ntermext	0.011	No mitochondrial presequence	20(MPP)	0.150		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00850W_A Ntermext	0.007	No mitochondrial presequence	39(MPP)	-0.026	86-90	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00860W_A Ntermext	0.050	No mitochondrial presequence	12(MPP)	0.167		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00870W_A Ntermext	0.006	No mitochondrial presequence	8(MPP)	0.375		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00880W_A Ntermext	0.026	No mitochondrial presequence	23(MPP)	0.174		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00890W_A Ntermext	0.009	No mitochondrial presequence	53(MPP)	0.000	11-15	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00900W_A Ntermext	0.000	No mitochondrial presequence	68(MPP)	-0.074		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00910W_A Ntermext	0.000	No mitochondrial presequence	35(MPP)	0.029	90-94	9-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00920W_A Ntermext	0.651	Possessing mitochondrial presequence	9(MPP)	0.222	51-55,55-59	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00930C_A Ntermext	0.007	No mitochondrial presequence	33(MPP)	0.000	15-19	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00940W_A Ntermext	0.000	No mitochondrial presequence	39(MPP)	-0.026		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00950C_A Ntermext	0.020	No mitochondrial presequence	11(MPP)	0.091	96-100	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00960C_A Ntermext	0.019	No mitochondrial presequence	23(MPP)	0.130		19-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00970W_A Ntermext	0.009	No mitochondrial presequence	36(MPP)	0.139		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00980W_A Ntermext	0.610	Possessing mitochondrial presequence	37(MPP)	0.135	46-50,91-95	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00990C_A Ntermext	0.000	No mitochondrial presequence	22(MPP)	0.000	72-76	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01000C_A Ntermext	0.000	No mitochondrial presequence	43(MPP)	0.047	41-45	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01010W_A Ntermext	0.990	Possessing mitochondrial presequence	21(MPP), 29(Oct1)	0.190	57-61	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01030W_A Ntermext	0.003	No mitochondrial presequence	45(MPP), 46(Icp55)	-0.067	83-87	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01040W_A Ntermext	0.726	Possessing mitochondrial presequence	13(MPP)	0.231	89-93	7-16-high	-	-	-	-	-	-	6-11	10-15	-	-	-	-	-	5-10,9-14	
C1_01050C_A Ntermext	0.026	No mitochondrial presequence	39(MPP)	0.205		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01060W_A Ntermext	0.005	No mitochondrial presequence	68(MPP)	0.059		17-26-high	-	-	-	-	-	-	22-27	-	-	21-26	-	-	-	-	
C1_01070C_A Ntermext	0.006	No mitochondrial presequence	17(MPP)	0.294		3-14-low	-	21-26	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01080W_A Ntermext	0.020	No mitochondrial presequence	49(MPP), 57(Oct1)	0.041	13-17,66-70	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01090C_A Ntermext	0.238	No mitochondrial presequence	37(MPP)	0.162	5-9,51-55,67-71,82-86	20-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01100W_A Ntermext	0.000	No mitochondrial presequence	58(MPP)	-0.103		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01110C_A Ntermext	0.000	No mitochondrial presequence	73(MPP)	-0.123	70-74	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01130W_A Ntermext	0.007	No mitochondrial presequence	57(MPP)	-0.018		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01140C_A Ntermext	0.003	No mitochondrial presequence	22(MPP)	-0.091		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01150C_A Ntermext	0.000	No mitochondrial presequence	74(MPP)	0.122	47-51,92-96	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01160C_A Ntermext	0.013	No mitochondrial presequence	79(MPP)	0.038		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01170C_A Ntermext	0.402	Possessing mitochondrial presequence	15(MPP)	0.267	66-70	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01180C_A Ntermext	0.000	No mitochondrial presequence	25(MPP)	-0.040	4-8	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01190C_A Ntermext	0.000	No mitochondrial presequence	14(MPP)	0.071	11-15,26-30	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01200W_A Ntermext	0.014	No mitochondrial presequence	72(MPP)	0.111		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01210W_A Ntermext	0.000	No mitochondrial presequence	40(MPP), 41(Icp55)	-0.075		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01220C_A Ntermext	0.020	No mitochondrial presequence	38(MPP)	0.132		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01240W_A Ntermext	0.000	No mitochondrial presequence	74(MPP)	-0.041	64-68,90-94	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01250W_A Ntermext	0.640	Possessing mitochondrial presequence	57(MPP)	0.123	21-25,25-29	21-30-high	-	-	-	-	-	-	7-12	-	-	6-11	-	20-25,24-29	21-26	-	
C1_01260C_A Ntermext	0.000	No mitochondrial presequence	7(MPP)	0.000		9-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01270W_A Ntermext	0.016	No mitochondrial presequence	63(MPP)	0.079	84-88	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01280C_A Ntermext	0.046	No mitochondrial presequence	63(MPP)	-0.032	60-64	14-26-low	-	-	-	-	-	-	-	3-8	-	2-7	-	-	-	-	
C1_01290C_A Ntermext	0.089	No mitochondrial presequence	19(MPP)	0.158		17-26-high	18-23	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01300W_A Ntermext	0.008	No mitochondrial presequence	63(MPP), 64(Icp55)	0.000		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01310W_A Ntermext	0.036	No mitochondrial presequence	38(MPP)	0.053	50-54	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01320W_A Ntermext	0.559	Possessing mitochondrial presequence	28(MPP), 29(Icp55)	0.143		20-29-high	-	-	-	-	-	-	-	-	21-26	-	-	-	-	-	
C1_01330C_A Ntermext	0.000	No mitochondrial presequence	46(MPP)	0.043	93-97	15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01340C_A Ntermext	0.013	No mitochondrial presequence	7(MPP)	0.286	79-83,92-96	15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01350C_A Ntermext	0.000	No mitochondrial presequence	44(MPP)	-0.068		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01360C_A Ntermext	0.000	No mitochondrial presequence	32(MPP)	0.062	25-29,58-62	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01370C_A Ntermext	0.000	No mitochondrial presequence	16(MPP)	0.000	69-73	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01380C_A Ntermext	0.000	No mitochondrial presequence	35(MPP)	0.171		2-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01390C_A Ntermext	0.003	No mitochondrial presequence	32(MPP)	0.000		2-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01400C_A Ntermext	0.003	No mitochondrial presequence	27(MPP)	0.037		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01420C_A Ntermext	0.012	No mitochondrial presequence	18(MPP)	0.167		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01440C_A Ntermext	0.000	No mitochondrial presequence	31(MPP)	-0.097	88-92	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01450W_A Ntermext	0.000	No mitochondrial presequence	7(MPP)	0.000	48-52,72-76	14-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01460W_A Ntermext	0.095	No mitochondrial presequence	23(MPP), 31(Oct1)	0.087	61-65	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01470W_A Ntermext	0.003	No mitochondrial presequence	32(MPP)	0.031		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01480C_A Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.111	36-40	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01490W_A Ntermext	0.000	No mitochondrial presequence	84(MPP)	0.024		16-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01500W_A Ntermext	0.046	No mitochondrial presequence	11(MPP)	0.091	52-56,67-71	8-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01510W_A Ntermext	0.004	No mitochondrial presequence	15(MPP)	0.067		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01520C_A Ntermext	0.996	Possessing mitochondrial presequence	34(MPP)	0.176	88-92,94-98	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01530C_A Ntermext	0.962	Possessing mitochondrial presequence	34(MPP)	0.176	16-20,20-24	16-25-high	22-27	-	-	-	16-21	-	-	-	-	-	-	-	-	-	
C1_01540W_A Ntermext	0.000	No mitochondrial presequence	79(MPP)	-0.089	34-38	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01550W_A Ntermext	0.000	No mitochondrial presequence	75(MPP)	-0.187	67-71	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01560W_A Ntermext	0.006	No mitochondrial presequence	33(MPP)	-0.030		5-14-high	-	-	-	-	-	-	-	9-14	-	-	-	-	-	-	
C1_01570C_A Ntermext	0.035	No mitochondrial presequence	58(MPP)	0.000	2-6	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01580W_A Ntermext	0.570	Possessing mitochondrial presequence	31(MPP)	0.065	12-16,28-32,92-96	10-19-high	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
C1_01590C_A Ntermext	0.000	No mitochondrial presequence	83(MPP)	-0.193	87-91	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01600W_A Ntermext	0.588	Possessing mitochondrial presequence	21(MPP)	0.143	72-76	9-18-high	-	-	-	-	-	-	-	14-19	-	-	-	-	-	13-18	
C1_01610C_A Ntermext	0.004	No mitochondrial presequence	24(MPP)	0.042	92-96	4-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01620C_A Ntermext	0.005	No mitochondrial presequence	66(MPP)	0.045	50-54,70-74	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01630W_A Ntermext	0.161	No mitochondrial presequence	33(MPP)	0.152	75-79	2-11-high	-	-	-	-	-	-	-	-	-	23-28	-	-	-	-	
C1_01640W_A Ntermext	0.201	No mitochondrial presequence	51(MPP)	0.235	48-52	3-14-high	-	-	-	-	-	-	-	-	-	25-30	-	-	-	-	
C1_01650W_A Ntermext	0.077	No mitochondrial presequence	29(MPP)	0.034		16-25-high	-	-	-	-	-	-	-	21-26	-	-	-	-	-	20-25	
C1_01670C_A Ntermext	0.000	No mitochondrial presequence	84(MPP)	-0.012		10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01680C_A Ntermext	0.947	Possessing mitochondrial presequence	13(MPP)	0.154	91-95	11-22-high	-	-	-	-	-	-	10-15	-	-	-	-	-	-	9-14	
C1_01690C_A Ntermext	0.334	No mitochondrial presequence	29(MPP), 37(Oct1)	0.034		21-30-high	-	-	-	-	-	-	-	22-27	-	-	-	-	-	21-26	
C1_01700W_A Ntermext	0.003	No mitochondrial presequence	29(MPP)	0.172		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01710W_A Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01740W_A Ntermext	0.006	No mitochondrial presequence	22(MPP)	0.136	61-65,83-87	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01750W_A Ntermext	0.000	No mitochondrial presequence	12(MPP)	0.083		3-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01760W_A Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.111	46-50	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01770W_A Ntermext	0.000	No mitochondrial presequence	53(MPP)	-0.019		15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01780C_A Ntermext	0.004	No mitochondrial presequence	19(MPP)	0.158	2-6	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01790W_A Ntermext	0.005	No mitochondrial presequence	11(MPP)	0.000	42-46,86-90	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01800W_A Ntermext	0.100	No mitochondrial presequence	24(MPP)	0.292		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01810C_A Ntermext	0.513	Possessing mitochondrial presequence	14(MPP), 15(Icp55)	0.214		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01820C_A Ntermext	0.000	No mitochondrial presequence	23(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01830C_A Ntermext	0.000	No mitochondrial presequence	7(MPP)	0.429		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
