# Mitofates predictions for C. albicans SC5314
# EW 29 September 2018
# Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
C1_00470C_A Protein	0.074	No mitochondrial presequence	30(MPP)	0.067	81-85	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00480C_A Protein	0.003	No mitochondrial presequence	10(MPP)	0.100	85-89	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00490C_A Protein	0.959	Possessing mitochondrial presequence	10(MPP), 18(Oct1)	0.300		21-30-high	9-14	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
C1_00500C_A Protein	0.653	Possessing mitochondrial presequence	12(MPP)	0.250	2-6	1-13-high	-	11-16	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00510W_A Protein	0.997	Possessing mitochondrial presequence	12(MPP), 20(Oct1)	0.250	2-6,9-13	1-13-high	11-16	-	-	-	-	-	-	-	-	-	-	-	9-14	-	
C1_00520W_A Protein	0.014	No mitochondrial presequence	16(MPP)	-0.188	13-17,28-32,51-55	8-17-high	-	-	-	-	-	-	-	-	-	-	16-21	-	-	-	
C1_00530C_A Protein	0.068	No mitochondrial presequence	23(MPP)	0.174		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00540C_A Protein	0.000	No mitochondrial presequence	66(MPP)	-0.106		14-23-low	24-29	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00550W_A Protein	0.000	No mitochondrial presequence	41(MPP)	0.098		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00560W_A Protein	0.000	No mitochondrial presequence	22(MPP)	-0.091		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00570C_A Protein	0.276	No mitochondrial presequence	24(MPP)	0.167		21-30-high	-	-	-	-	-	-	-	-	-	-	7-12	-	-	-	
C1_00580W_A Protein	0.000	No mitochondrial presequence	55(MPP)	-0.036	53-57	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00590W_A Protein	0.977	Possessing mitochondrial presequence	26(MPP), 27(Icp55)	0.231	56-60	1-10-high	-	-	-	-	-	-	23-28	1-6	-	22-27	-	-	-	-	
C1_00600W_A Protein	0.000	No mitochondrial presequence	48(MPP)	0.000	57-61	8-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00610W_A Protein	0.561	Possessing mitochondrial presequence	58(MPP), 59(Icp55)	0.121		10-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00620W_A Protein	0.025	No mitochondrial presequence	42(MPP)	0.143		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00630W_A Protein	0.988	Possessing mitochondrial presequence	18(MPP), 19(Icp55)	0.222	12-16,84-88	10-19-high	-	-	-	-	-	-	-	15-20	-	-	-	-	-	-	
C1_00640C_A Protein	0.999	Possessing mitochondrial presequence	21(MPP)	0.238	49-53	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00650C_A Protein	0.019	No mitochondrial presequence	51(MPP)	0.078	49-53	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00660C_A Protein	0.008	No mitochondrial presequence	72(MPP)	0.111	62-66	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00670C_A Protein	0.000	No mitochondrial presequence	47(MPP)	0.000		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00680W_A Protein	0.000	No mitochondrial presequence	37(MPP)	0.027		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00690W_A Protein	0.005	No mitochondrial presequence	57(MPP)	-0.018	7-11,23-27	3-14-low	-	-	-	-	23-28	-	-	-	-	-	-	-	-	-	
C1_00700W_A Protein	0.484	Possessing mitochondrial presequence	13(MPP)	0.000	24-28,28-32,95-99	20-30-high	-	-	-	-	24-29	-	-	-	-	-	-	-	-	-	
C1_00710C_A Protein	0.000	No mitochondrial presequence	63(MPP)	-0.032	60-64	14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00730C_A Protein	0.040	No mitochondrial presequence	24(MPP)	0.083	63-67	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00740C_A Protein	0.000	No mitochondrial presequence	12(MPP)	-0.167		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00750C_A Protein	0.000	No mitochondrial presequence	7(MPP)	0.143	56-60	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00760W_A Protein	0.000	No mitochondrial presequence	28(MPP)	0.000		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00770C_A Protein	0.004	No mitochondrial presequence	6(MPP)	0.167	3-7	7-16-low	-	-	-	-	-	-	-	-	-	-	-	2-7	-	-	
C1_00780C_A Protein	0.000	No mitochondrial presequence	26(MPP), 34(Oct1)	0.154		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00790W_A Protein	0.000	No mitochondrial presequence	91(MPP)	-0.077		8-17-low	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
C1_00800C_A Protein	0.005	No mitochondrial presequence	21(MPP), 22(Icp55)	0.048	67-71	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00810W_A Protein	0.035	No mitochondrial presequence	55(MPP)	0.109		18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00820W_A Protein	0.000	No mitochondrial presequence	56(MPP)	-0.054		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00830W_A Protein	0.000	No mitochondrial presequence	40(MPP)	-0.025		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00840C_A Protein	0.000	No mitochondrial presequence	81(MPP)	0.136		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00850W_A Protein	0.007	No mitochondrial presequence	39(MPP)	-0.026	86-90	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00860W_A Protein	0.050	No mitochondrial presequence	12(MPP)	0.167		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00870W_A Protein	0.006	No mitochondrial presequence	8(MPP)	0.375		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00880W_A Protein	0.000	No mitochondrial presequence	86(MPP)	-0.058		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00890W_A Protein	0.000	No mitochondrial presequence	47(MPP)	-0.021	5-9	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00900W_A Protein	0.000	No mitochondrial presequence	56(MPP)	-0.089		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00910W_A Protein	0.003	No mitochondrial presequence	34(MPP)	0.029	89-93	8-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00920W_A Protein	0.026	No mitochondrial presequence	73(MPP)	0.068	41-45,45-49	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00930C_A Protein	0.024	No mitochondrial presequence	14(MPP)	0.000		12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00940W_A Protein	0.000	No mitochondrial presequence	38(MPP)	-0.026		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00950C_A Protein	0.138	No mitochondrial presequence	21(MPP)	0.095	81-85	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00960C_A Protein	0.009	No mitochondrial presequence	19(MPP)	0.158		15-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00970W_A Protein	0.017	No mitochondrial presequence	32(MPP)	0.125		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00980W_A Protein	0.261	No mitochondrial presequence	28(MPP)	0.107	37-41,82-86	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00990C_A Protein	0.000	No mitochondrial presequence	22(MPP)	0.000	72-76	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01000C_A Protein	0.000	No mitochondrial presequence	39(MPP)	0.051	6-10,84-88	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01010W_A Protein	0.961	Possessing mitochondrial presequence	16(MPP), 24(Oct1)	0.188	52-56	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01030W_A Protein	0.004	No mitochondrial presequence	38(MPP), 39(Icp55)	-0.079	76-80	11-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01040W_A Protein	0.726	Possessing mitochondrial presequence	13(MPP)	0.231	89-93	7-16-high	-	-	-	-	-	-	6-11	10-15	-	-	-	-	-	5-10,9-14	
C1_01050C_A Protein	0.009	No mitochondrial presequence	12(MPP)	0.083		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01060W_A Protein	0.003	No mitochondrial presequence	38(MPP)	0.079	82-86	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01070C_A Protein	0.012	No mitochondrial presequence	15(MPP)	0.400		21-30-low	-	19-24	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01080W_A Protein	0.020	No mitochondrial presequence	47(MPP), 55(Oct1)	0.043	11-15,64-68	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01090C_A Protein	0.155	No mitochondrial presequence	35(MPP)	0.171	3-7,49-53,65-69,80-84	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01100W_A Protein	0.000	No mitochondrial presequence	58(MPP)	-0.103		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01110C_A Protein	0.000	No mitochondrial presequence	73(MPP)	-0.123	70-74	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01130W_A Protein	0.009	No mitochondrial presequence	55(MPP)	-0.018		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01140C_A Protein	0.003	No mitochondrial presequence	22(MPP)	-0.091		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01150C_A Protein	0.000	No mitochondrial presequence	74(MPP)	0.122	47-51,92-96	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01160C_A Protein	0.000	No mitochondrial presequence	68(MPP)	0.015		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01170C_A Protein	0.114	No mitochondrial presequence	92(MPP)	0.174	61-65	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01180C_A Protein	0.000	No mitochondrial presequence	11(MPP)	-0.091		8-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01190C_A Protein	0.000	No mitochondrial presequence	14(MPP)	0.071	11-15,26-30	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01200W_A Protein	0.014	No mitochondrial presequence	72(MPP)	0.111		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01210W_A Protein	0.000	No mitochondrial presequence	33(MPP), 34(Icp55)	-0.091		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01220C_A Protein	0.000	No mitochondrial presequence	10(MPP)	0.100		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01240W_A Protein	0.000	No mitochondrial presequence	57(MPP)	-0.053	47-51,73-77,90-94	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01250W_A Protein	0.988	Possessing mitochondrial presequence	34(MPP)	0.176	2-6	12-23-high	-	-	-	-	-	-	-	-	-	-	-	1-6	-	-	
C1_01260C_A Protein	0.000	No mitochondrial presequence	7(MPP)	0.000		9-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01270W_A Protein	0.016	No mitochondrial presequence	63(MPP)	0.079	84-88	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01280C_A Protein	0.008	No mitochondrial presequence	57(MPP)	-0.035	54-58	8-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01290C_A Protein	0.089	No mitochondrial presequence	19(MPP)	0.158		17-26-high	18-23	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01300W_A Protein	0.008	No mitochondrial presequence	63(MPP), 64(Icp55)	0.000		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01310W_A Protein	0.027	No mitochondrial presequence	37(MPP)	0.054	49-53	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01320W_A Protein	0.518	Possessing mitochondrial presequence	26(MPP), 27(Icp55)	0.154		18-27-high	-	-	-	-	-	-	-	-	19-24	-	-	-	-	-	
C1_01330C_A Protein	0.000	No mitochondrial presequence	25(MPP)	0.080	72-76	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01340C_A Protein	0.007	No mitochondrial presequence	5(MPP)	0.200	77-81,90-94	13-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01350C_A Protein	0.000	No mitochondrial presequence	37(MPP)	-0.108		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01360C_A Protein	0.000	No mitochondrial presequence	32(MPP)	0.062	25-29,58-62	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01370C_A Protein	0.000	No mitochondrial presequence	16(MPP)	0.000	69-73	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01380C_A Protein	0.000	No mitochondrial presequence	35(MPP)	0.171		2-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01390C_A Protein	0.000	No mitochondrial presequence	18(MPP)	-0.111		15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01400C_A Protein	0.000	No mitochondrial presequence	17(MPP)	0.059		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01420C_A Protein	0.012	No mitochondrial presequence	18(MPP)	0.167		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01440C_A Protein	0.000	No mitochondrial presequence	30(MPP)	-0.100	87-91	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01450W_A Protein	0.011	No mitochondrial presequence	89(MPP), 90(Icp55)	0.011	17-21,41-45	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01460W_A Protein	0.000	No mitochondrial presequence	33(MPP)	-0.212	37-41,84-88,91-95	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01470W_A Protein	0.003	No mitochondrial presequence	24(MPP)	0.000		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01480C_A Protein	0.000	No mitochondrial presequence	9(MPP)	0.111	36-40	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01490W_A Protein	0.000	No mitochondrial presequence	79(MPP)	0.025		11-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01500W_A Protein	0.190	No mitochondrial presequence	26(MPP)	0.038	45-49,60-64	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01510W_A Protein	0.000	No mitochondrial presequence	47(MPP)	-0.149		8-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01520C_A Protein	0.996	Possessing mitochondrial presequence	34(MPP)	0.176	88-92,94-98	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01530C_A Protein	0.000	No mitochondrial presequence	36(MPP)	-0.056		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01540W_A Protein	0.000	No mitochondrial presequence	79(MPP)	-0.089	34-38	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01550W_A Protein	0.000	No mitochondrial presequence	75(MPP)	-0.187	67-71	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01560W_A Protein	0.005	No mitochondrial presequence	21(MPP)	-0.048		10-19-low	-	20-25	-	-	-	18-23	-	-	-	-	-	-	-	-	
C1_01570C_A Protein	0.000	No mitochondrial presequence	76(MPP)	-0.026		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01580W_A Protein	0.570	Possessing mitochondrial presequence	31(MPP)	0.065	12-16,28-32,92-96	10-19-high	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
C1_01590C_A Protein	0.000	No mitochondrial presequence	83(MPP)	-0.193	87-91	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01600W_A Protein	0.588	Possessing mitochondrial presequence	21(MPP)	0.143	72-76	9-18-high	-	-	-	-	-	-	-	14-19	-	-	-	-	-	13-18	
C1_01610C_A Protein	0.005	No mitochondrial presequence	23(MPP)	0.043	91-95	3-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01620C_A Protein	0.000	No mitochondrial presequence	57(MPP)	0.035	41-45,61-65	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01630W_A Protein	0.194	No mitochondrial presequence	24(MPP)	0.125	66-70	21-30-high	-	-	-	-	-	-	-	-	-	14-19	-	-	-	-	
C1_01640W_A Protein	0.090	No mitochondrial presequence	12(MPP)	0.417	9-13	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01650W_A Protein	0.005	No mitochondrial presequence	53(MPP)	-0.019	93-97	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01670C_A Protein	0.000	No mitochondrial presequence	77(MPP)	-0.013		3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01680C_A Protein	0.668	Possessing mitochondrial presequence	12(MPP)	0.167	82-86	2-13-high	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
C1_01690C_A Protein	0.973	Possessing mitochondrial presequence	17(MPP), 18(Icp55)	0.176		1-10-high	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-	
C1_01710W_A Protein	0.000	No mitochondrial presequence	9(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01740W_A Protein	0.000	No mitochondrial presequence	77(MPP), 78(Icp55)	-0.026	45-49,67-71	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01750W_A Protein	0.057	No mitochondrial presequence	30(MPP)	0.167		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01760W_A Protein	0.000	No mitochondrial presequence	6(MPP)	0.167	43-47	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01770W_A Protein	0.000	No mitochondrial presequence	53(MPP)	-0.019		15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01780C_A Protein	0.000	No mitochondrial presequence	13(MPP)	0.154		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01790W_A Protein	0.006	No mitochondrial presequence	10(MPP)	0.000	41-45,85-89	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01800W_A Protein	0.028	No mitochondrial presequence	18(MPP)	0.333		16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01810C_A Protein	0.795	Possessing mitochondrial presequence	6(MPP), 7(Icp55)	0.333		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01820C_A Protein	0.000	No mitochondrial presequence	22(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01830C_A Protein	0.000	No mitochondrial presequence	7(MPP)	0.429		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_01840C_A Protein	0.000	No mitochondrial presequence	33(MPP)	-0.030		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
