Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
YAL049C Ntermext	0.000	No mitochondrial presequence	25(MPP)	0.040	63-67	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL048C Ntermext	0.015	No mitochondrial presequence	32(MPP)	0.094		18-27-high	-	-	-	-	-	2-7	-	-	-	1-6	-	-	-	-	
YAL047W Ntermext	0.000	No mitochondrial presequence	15(MPP)	0.067	9-13	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL047C Ntermext	0.469	Possessing mitochondrial presequence	11(MPP)	0.364	1-5,8-12	1-12-high	-	-	-	-	-	-	-	-	6-11	-	5-10	-	-	-	
YAL046C Ntermext	0.718	Possessing mitochondrial presequence	12(MPP)	0.083	20-24,91-95	4-13-high	-	-	-	-	-	-	-	9-14	-	-	-	-	-	8-13	
YAL045C Ntermext	0.009	No mitochondrial presequence	43(MPP)	-0.070	6-10,54-58,68-72	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL044W Ntermext	0.563	Possessing mitochondrial presequence	18(MPP)	0.167	15-19	5-14-low	-	-	-	-	-	-	25-30	-	13-18	-	-	-	-	-	
YAL044C Ntermext	0.430	Possessing mitochondrial presequence	44(MPP)	0.182	37-41,88-92	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL043C Ntermext	0.000	No mitochondrial presequence	72(MPP)	-0.014	25-29,48-52	19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL042C Ntermext	0.004	No mitochondrial presequence	54(MPP)	0.037		11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL042W Ntermext	0.010	No mitochondrial presequence	26(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL041W Ntermext	0.010	No mitochondrial presequence	16(MPP)	0.062	52-56	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL040C Ntermext	0.261	No mitochondrial presequence	47(MPP)	0.106	9-13,79-83	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL039C Ntermext	0.004	No mitochondrial presequence	94(MPP)	-0.011		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL038W Ntermext	0.245	No mitochondrial presequence	50(MPP)	0.100		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL037C Ntermext	0.000	No mitochondrial presequence	74(MPP)	-0.122		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL037C Ntermext	0.000	No mitochondrial presequence	5(MPP)	0.200	23-27	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL037W Ntermext	0.000	No mitochondrial presequence	65(MPP)	-0.077		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL036C Ntermext	0.029	No mitochondrial presequence	44(MPP)	0.136		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL035W Ntermext	0.000	No mitochondrial presequence	47(MPP)	-0.149		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL034C Ntermext	0.024	No mitochondrial presequence	64(MPP)	-0.031	13-17,61-65	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL034W Ntermext	0.003	No mitochondrial presequence	13(MPP)	0.154	47-51	17-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL034C Ntermext	0.017	No mitochondrial presequence	32(MPP)	0.125	14-18,20-24	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL033W Ntermext	0.010	No mitochondrial presequence	55(MPP), 56(Icp55)	0.018		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL032C Ntermext	0.011	No mitochondrial presequence	24(MPP)	0.125	82-86	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL031W Ntermext	0.067	No mitochondrial presequence	7(MPP)	0.143		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL031C Ntermext	0.004	No mitochondrial presequence	52(MPP)	0.115	11-15,49-53	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL030W Ntermext	0.000	No mitochondrial presequence	45(MPP)	-0.022	63-67	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL029C Ntermext	0.000	No mitochondrial presequence	95(MPP)	-0.105	87-91	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL028W Ntermext	0.000	No mitochondrial presequence	21(MPP)	0.048		15-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL027W Ntermext	0.017	No mitochondrial presequence	20(MPP)	0.100		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL026C Ntermext	0.588	Possessing mitochondrial presequence	24(MPP)	0.250	76-80	3-12-high	-	-	-	-	-	-	-	-	-	-	18-23	-	-	-	
YAL026C Ntermext	0.000	No mitochondrial presequence	6(MPP)	-0.333		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL025C Ntermext	0.012	No mitochondrial presequence	30(MPP)	0.033	86-90	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL024C Ntermext	0.000	No mitochondrial presequence	62(MPP)	-0.081		8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL023C Ntermext	0.091	No mitochondrial presequence	25(MPP)	0.200		21-30-high	-	-	-	-	-	-	-	25-30	-	-	-	-	-	-	
YAL022C Ntermext	0.035	No mitochondrial presequence	11(MPP)	0.455		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL021C Ntermext	0.000	No mitochondrial presequence	70(MPP)	0.000		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL020C Ntermext	0.073	No mitochondrial presequence	25(MPP)	0.120	6-10,49-53	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	6-11	-	
YAL019W Ntermext	0.000	No mitochondrial presequence	77(MPP)	0.013		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL019W Ntermext	0.000	No mitochondrial presequence	25(MPP), 26(Icp55)	0.080		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL018C Ntermext	0.000	No mitochondrial presequence	56(MPP)	0.107	39-43,47-51	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL017W Ntermext	0.000	No mitochondrial presequence	85(MPP)	-0.071		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL016C Ntermext	0.024	No mitochondrial presequence	29(MPP)	0.069		10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL016C Ntermext	0.000	No mitochondrial presequence	56(MPP)	0.054		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL016W Ntermext	0.004	No mitochondrial presequence	7(MPP)	0.286		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL015C Ntermext	0.996	Possessing mitochondrial presequence	17(MPP)	0.294		18-30-high	-	-	-	-	-	-	-	-	-	-	10-15	-	-	-	
YAL014C Ntermext	0.019	No mitochondrial presequence	11(MPP)	-0.091	8-12,42-46,66-70	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	8-13	-	
YAL013W Ntermext	0.000	No mitochondrial presequence	90(MPP)	-0.111		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL012W Ntermext	0.020	No mitochondrial presequence	8(MPP)	0.250	37-41,88-92	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL011W Ntermext	0.619	Possessing mitochondrial presequence	16(MPP)	0.312		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL010C Ntermext	0.061	No mitochondrial presequence	18(MPP)	0.333	28-32	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL009W Ntermext	0.000	No mitochondrial presequence	31(MPP)	-0.065		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL008W Ntermext	0.898	Possessing mitochondrial presequence	21(MPP)	0.190	7-11	16-25-high	-	-	-	-	-	-	-	11-16	-	10-15	-	-	-	-	
YAL007C Ntermext	0.000	No mitochondrial presequence	25(MPP)	0.040		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL005C Ntermext	0.000	No mitochondrial presequence	52(MPP)	-0.058	5-9,20-24,72-76	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL004W Ntermext	0.000	No mitochondrial presequence	51(MPP)	-0.039	23-27	12-21-low	25-30	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL003W Ntermext	0.000	No mitochondrial presequence	56(MPP)	-0.018	2-6,42-46,53-57,57-61	17-26-low	-	-	-	-	-	-	-	-	-	-	-	1-6	-	-	
YAL002W Ntermext	0.006	No mitochondrial presequence	42(MPP), 43(Icp55)	-0.024	86-90	16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL001C Ntermext	0.000	No mitochondrial presequence	9(MPP)	-0.222		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR002W Ntermext	0.100	No mitochondrial presequence	67(MPP), 75(Oct1)	0.209		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR002C Ntermext	0.008	No mitochondrial presequence	33(MPP)	0.030		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR003W Ntermext	0.000	No mitochondrial presequence	89(MPP)	-0.034		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR007C Ntermext	0.008	No mitochondrial presequence	17(MPP)	0.176		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR008W Ntermext	0.003	No mitochondrial presequence	18(MPP)	0.056		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR014C Ntermext	0.011	No mitochondrial presequence	31(MPP)	0.000		2-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR015W Ntermext	0.006	No mitochondrial presequence	6(MPP)	0.333	85-89	4-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR018C Ntermext	0.200	No mitochondrial presequence	51(MPP)	0.039	49-53	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR019C Ntermext	0.000	No mitochondrial presequence	34(MPP)	0.059	39-43	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR019W Ntermext	0.005	No mitochondrial presequence	48(MPP)	0.000		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR020C Ntermext	0.004	No mitochondrial presequence	55(MPP)	0.000		1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR023C Ntermext	0.018	No mitochondrial presequence	60(MPP)	0.050	40-44	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR027W Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.222		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR028W Ntermext	0.009	No mitochondrial presequence	25(MPP)	0.160		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR029W Ntermext	0.018	No mitochondrial presequence	31(MPP)	0.000	6-10,28-32	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR030C Ntermext	0.422	Possessing mitochondrial presequence	16(MPP)	0.312	45-49,78-82	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR031W Ntermext	0.019	No mitochondrial presequence	14(MPP)	0.071		8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR033W Ntermext	0.000	No mitochondrial presequence	47(MPP)	-0.021		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR035W Ntermext	0.007	No mitochondrial presequence	52(MPP)	0.096	30-34	15-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR035C Ntermext	0.026	No mitochondrial presequence	28(MPP)	0.036	43-47	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR042W Ntermext	0.000	No mitochondrial presequence	12(MPP)	0.500	77-81,81-85	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR047C Ntermext	0.013	No mitochondrial presequence	58(MPP)	0.052	16-20,55-59,71-75,77-81	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR050W Ntermext	0.000	No mitochondrial presequence	36(MPP)	0.056		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR053W Ntermext	0.003	No mitochondrial presequence	10(MPP)	0.100	71-75	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR060C Ntermext	0.024	No mitochondrial presequence	43(MPP)	0.163		18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR064W Ntermext	0.192	No mitochondrial presequence	47(MPP)	0.085	95-99	6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR066W Ntermext	0.010	No mitochondrial presequence	59(MPP)	0.119	18-22	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR068W Ntermext	0.000	No mitochondrial presequence	80(MPP)	0.025		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR069C Ntermext	0.007	No mitochondrial presequence	10(MPP)	0.200	7-11	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR070C Ntermext	0.060	No mitochondrial presequence	47(MPP)	0.085	39-43,96-100	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR071W Ntermext	0.605	Possessing mitochondrial presequence	28(MPP)	0.393		6-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR073W Ntermext	0.008	No mitochondrial presequence	17(MPP)	0.059	8-12	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAR075W Ntermext	0.017	No mitochondrial presequence	88(MPP)	0.068	32-36,44-48,48-52	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL113C Ntermext	0.000	No mitochondrial presequence	21(MPP)	0.143	34-38,64-68	3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL113W Ntermext	0.122	No mitochondrial presequence	20(MPP)	0.050	61-65,65-69	16-25-low	-	-	-	-	-	-	-	17-22	-	-	-	-	-	-	
YBL112C Ntermext	0.024	No mitochondrial presequence	32(MPP)	0.062		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL111C Ntermext	0.000	No mitochondrial presequence	78(MPP)	0.000	87-91	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL109W Ntermext	0.256	No mitochondrial presequence	12(MPP)	0.250	9-13	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL108C Ntermext	0.003	No mitochondrial presequence	45(MPP)	-0.089	42-46	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL108W Ntermext	0.019	No mitochondrial presequence	79(MPP)	-0.013	8-12,22-26	10-19-low	-	-	-	19-24	-	-	-	-	-	-	-	-	-	-	
YBL107W Ntermext	0.052	No mitochondrial presequence	31(MPP)	0.097	14-18	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL107C Ntermext	0.019	No mitochondrial presequence	59(MPP)	0.000	56-60	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL106C Ntermext	0.553	Possessing mitochondrial presequence	7(MPP)	0.429		8-17-high	-	-	-	-	-	14-19	-	-	-	-	-	-	-	13-18	
YBL105C Ntermext	0.011	No mitochondrial presequence	23(MPP)	0.043		3-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL104C Ntermext	0.000	No mitochondrial presequence	30(MPP)	-0.067		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL103C Ntermext	0.000	No mitochondrial presequence	14(MPP)	-0.143		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL102W Ntermext	0.008	No mitochondrial presequence	28(MPP)	-0.071		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL101C Ntermext	0.005	No mitochondrial presequence	60(MPP)	0.100	64-68	1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL100W Ntermext	0.390	Possessing mitochondrial presequence	13(MPP)	0.077		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL100C Ntermext	0.015	No mitochondrial presequence	17(MPP)	0.235	68-72	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL099W Ntermext	1.000	Possessing mitochondrial presequence	37(MPP)	0.189	77-81	10-19-high	-	-	-	-	-	-	4-9	9-14	-	3-8,8-13	-	-	-	-	
YBL098W Ntermext	0.000	No mitochondrial presequence	39(MPP)	-0.026	70-74	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL097W Ntermext	0.000	No mitochondrial presequence	25(MPP)	-0.120	34-38,82-86	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL096C Ntermext	0.068	No mitochondrial presequence	12(MPP)	0.083		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL095W Ntermext	0.106	No mitochondrial presequence	19(MPP)	0.158	12-16,16-20,34-38,83-87,92-96	11-20-high	-	-	-	-	-	-	-	-	-	-	-	15-20	-	-	
YBL094C Ntermext	0.008	No mitochondrial presequence	28(MPP)	0.036	72-76	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL093C Ntermext	0.005	No mitochondrial presequence	12(MPP)	0.250		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL092W Ntermext	0.141	No mitochondrial presequence	20(MPP)	0.350	25-29	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL091C Ntermext	0.000	No mitochondrial presequence	38(MPP)	0.105		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL091C Ntermext	0.000	No mitochondrial presequence	84(MPP)	-0.012		6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL090W Ntermext	0.942	Possessing mitochondrial presequence	27(MPP), 35(Oct1)	0.222	41-45	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL089W Ntermext	0.490	Possessing mitochondrial presequence	34(MPP)	0.235	8-12	5-14-high	-	-	-	-	8-13	-	-	-	-	-	-	-	-	-	
YBL088C Ntermext	0.000	No mitochondrial presequence	69(MPP), 70(Icp55)	-0.072	91-95	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL087C Ntermext	0.025	No mitochondrial presequence	34(MPP)	0.059		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL086C Ntermext	0.000	No mitochondrial presequence	14(MPP)	0.286		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL085W Ntermext	0.000	No mitochondrial presequence	28(MPP)	0.107		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL084C Ntermext	0.007	No mitochondrial presequence	27(MPP)	0.074		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL083C Ntermext	0.003	No mitochondrial presequence	28(MPP)	0.036	74-78,77-81,80-84	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL082C Ntermext	0.000	No mitochondrial presequence	28(MPP)	-0.036	69-73,74-78	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL081W Ntermext	0.000	No mitochondrial presequence	26(MPP)	-0.077	17-21	15-24-low	-	25-30	-	-	-	-	-	-	-	-	-	-	-	-	
YBL080C Ntermext	0.988	Possessing mitochondrial presequence	7(MPP), 8(Icp55)	0.286	1-5,4-8	4-13-low	-	-	-	-	1-6	-	-	-	-	-	-	-	-	-	
YBL079W Ntermext	0.043	No mitochondrial presequence	71(MPP)	0.000		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL078C Ntermext	0.000	No mitochondrial presequence	53(MPP)	0.075		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL077W Ntermext	0.005	No mitochondrial presequence	44(MPP)	0.045	41-45	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL076C Ntermext	0.000	No mitochondrial presequence	70(MPP)	-0.086	55-59,67-71,91-95	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL075C Ntermext	0.023	No mitochondrial presequence	9(MPP)	0.333	6-10,73-77	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL074C Ntermext	0.007	No mitochondrial presequence	63(MPP)	0.016	84-88	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL073W Ntermext	0.011	No mitochondrial presequence	74(MPP)	0.054		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL072C Ntermext	0.108	No mitochondrial presequence	50(MPP)	0.280		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL071C Ntermext	0.028	No mitochondrial presequence	16(MPP)	0.000	20-24	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL071W Ntermext	0.000	No mitochondrial presequence	39(MPP)	-0.205		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL071C Ntermext	0.000	No mitochondrial presequence	19(MPP)	0.105	37-41	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL070C Ntermext	0.004	No mitochondrial presequence	79(MPP)	0.051		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL069W Ntermext	0.016	No mitochondrial presequence	44(MPP)	0.068	35-39	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL068W Ntermext	0.004	No mitochondrial presequence	36(MPP)	-0.056	34-38,47-51,82-86	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL068W Ntermext	0.000	No mitochondrial presequence	11(MPP)	0.000	17-21	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL067C Ntermext	0.581	Possessing mitochondrial presequence	17(MPP), 18(Icp55)	0.294	14-18	13-22-high	-	-	-	-	-	-	-	-	12-17	-	11-16	-	-	-	
YBL066C Ntermext	0.003	No mitochondrial presequence	11(MPP)	0.182		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL065W Ntermext	0.000	No mitochondrial presequence	30(MPP)	0.000	73-77	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL064C Ntermext	0.914	Possessing mitochondrial presequence	13(MPP)	0.231	2-6	10-19-high	-	-	-	-	-	-	-	-	-	-	-	1-6	2-7	-	
YBL063W Ntermext	0.241	No mitochondrial presequence	21(MPP)	0.238		20-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL062W Ntermext	0.000	No mitochondrial presequence	39(MPP)	0.051	20-24	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YBL061C Ntermext	0.032	No mitochondrial presequence	76(MPP)	0.000		7-16-high	13-18	-	-	-	-	-	-	-	-	-	-	-	-	-	
