# Mitofates predictions for S. pombe 972h-
# EW 29 September 2018
# Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
SPAC110.03 Protein	0.000	No mitochondrial presequence	69(MPP), 70(Icp55)	-0.058		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC110.04c Protein	0.019	No mitochondrial presequence	51(MPP)	0.059	71-75	18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP14E8.02 Protein	0.000	No mitochondrial presequence	80(MPP)	0.050	95-99	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP14E8.03 Protein	0.034	No mitochondrial presequence	19(MPP)	0.105	9-13	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	9-14	-	
SPAP14E8.04 Protein	0.926	Possessing mitochondrial presequence	40(MPP)	0.175	3-7	3-12-high	-	-	-	-	-	-	-	-	-	-	-	2-7	3-8	-	
SPAP14E8.05c Protein	0.003	No mitochondrial presequence	74(MPP)	0.068	44-48,96-100	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.06c Protein	0.347	No mitochondrial presequence	41(MPP), 42(Icp55)	0.146	15-19	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.01c Protein	0.000	No mitochondrial presequence	79(MPP)	-0.025	54-58	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.02c Protein	0.050	No mitochondrial presequence	43(MPP)	0.023	21-25,63-67,80-84,84-88	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	21-26	-	
SPAC3H1.03 Protein	0.000	No mitochondrial presequence	67(MPP)	-0.030		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.04c Protein	0.890	Possessing mitochondrial presequence	81(MPP), 82(Icp55)	0.148	10-14,51-55	6-15-high	-	-	-	-	-	-	6-11	-	-	-	-	-	-	-	
SPAC3H1.05 Protein	0.021	No mitochondrial presequence	24(MPP), 25(Icp55)	0.083	34-38,37-41,57-61,92-96	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.06c Protein	0.006	No mitochondrial presequence	16(MPP)	0.125		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.07 Protein	0.079	No mitochondrial presequence	18(MPP)	0.111	15-19	4-14-low	-	-	-	-	-	-	-	-	-	-	-	14-19	-	-	
SPAC3H1.08c Protein	0.585	Possessing mitochondrial presequence	94(MPP)	0.064		3-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.07c Protein	0.003	No mitochondrial presequence	26(MPP)	0.038		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.09c Protein	0.000	No mitochondrial presequence	28(MPP)	0.179		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.10 Protein	0.396	Possessing mitochondrial presequence	14(MPP)	0.143	4-8,63-67	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.08 Protein	0.036	No mitochondrial presequence	17(MPP)	0.118	14-18,85-89	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.11 Protein	0.000	No mitochondrial presequence	42(MPP), 43(Icp55)	-0.024		10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.12c Protein	0.000	No mitochondrial presequence	40(MPP)	0.000		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.13 Protein	0.036	No mitochondrial presequence	84(MPP)	0.071	34-38,72-76	3-12-high	-	-	-	-	-	-	4-9	-	-	-	-	-	-	3-8	
SPAC3H1.14 Protein	0.011	No mitochondrial presequence	93(MPP)	0.032		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.14 Protein	0.000	No mitochondrial presequence	71(MPP)	0.014	36-40	11-22-low	-	-	-	-	-	-	-	14-19	-	-	-	-	-	-	
SPAC9G1.02 Protein	0.000	No mitochondrial presequence	86(MPP)	-0.047		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.03c Protein	0.000	No mitochondrial presequence	42(MPP)	0.214	73-77,87-91	10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.04 Protein	0.439	Possessing mitochondrial presequence	45(MPP)	0.200	1-5	18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.05 Protein	0.000	No mitochondrial presequence	66(MPP)	0.045	36-40	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.06c Protein	0.004	No mitochondrial presequence	13(MPP)	0.154	10-14,61-65	3-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.07 Protein	0.000	No mitochondrial presequence	80(MPP)	-0.050		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.08c Protein	0.000	No mitochondrial presequence	59(MPP)	0.017		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.15c Protein	0.000	No mitochondrial presequence	25(MPP)	-0.040	22-26	14-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.09 Protein	0.297	No mitochondrial presequence	14(MPP)	0.143		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.10c Protein	0.000	No mitochondrial presequence	92(MPP)	0.065	89-93	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.11c Protein	0.005	No mitochondrial presequence	19(MPP)	-0.158		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.12 Protein	0.000	No mitochondrial presequence	84(MPP)	0.012		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.13c Protein	0.000	No mitochondrial presequence	37(MPP)	0.000	85-89	6-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC767.01c Protein	0.000	No mitochondrial presequence	35(MPP)	-0.029	5-9	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC212.02 Protein	0.008	No mitochondrial presequence	47(MPP)	-0.085	5-9,39-43	15-26-high	-	-	-	-	-	-	-	-	-	-	-	4-9	-	-	
SPAC13G6.09 Protein	0.000	No mitochondrial presequence	27(MPP)	-0.222	66-70	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.01 Protein	0.034	No mitochondrial presequence	44(MPP)	0.068	3-7,68-72,95-99	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.02 Protein	0.000	No mitochondrial presequence	19(MPP)	-0.105	95-99	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.03c Protein	0.049	No mitochondrial presequence	27(MPP)	0.074	27-31	19-28-high	-	-	-	-	-	-	19-24	-	-	18-23	-	-	-	-	
SPAC17H9.04c Protein	0.000	No mitochondrial presequence	66(MPP)	-0.091		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.05 Protein	0.000	No mitochondrial presequence	11(MPP)	0.182	15-19	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.06c Protein	0.016	No mitochondrial presequence	21(MPP)	0.048	18-22	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.07 Protein	0.000	No mitochondrial presequence	67(MPP)	0.060	42-46,64-68	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.10c Protein	0.000	No mitochondrial presequence	30(MPP)	0.133		5-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.08 Protein	0.009	No mitochondrial presequence	54(MPP), 55(Icp55)	0.037	62-66,66-70,69-73,86-90	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.09c Protein	0.000	No mitochondrial presequence	8(MPP)	0.125		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.10c Protein	0.026	No mitochondrial presequence	15(MPP)	0.133	18-22,56-60	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.11 Protein	0.009	No mitochondrial presequence	7(MPP), 15(Oct1)	0.000		10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.12c Protein	0.003	No mitochondrial presequence	92(MPP), 93(Icp55)	0.033	9-13	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.13c Protein	0.003	No mitochondrial presequence	48(MPP)	0.083		15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.14c Protein	0.000	No mitochondrial presequence	37(MPP)	-0.027		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.16 Protein	0.000	No mitochondrial presequence	55(MPP)	-0.327	52-56,81-85	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.11c Protein	0.000	No mitochondrial presequence	36(MPP), 37(Icp55)	0.056		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.17c Protein	0.013	No mitochondrial presequence	86(MPP)	-0.012	91-95	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.18c Protein	0.020	No mitochondrial presequence	33(MPP)	0.091		10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.19c Protein	0.011	No mitochondrial presequence	22(MPP)	0.000	5-9	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.20 Protein	0.000	No mitochondrial presequence	17(MPP)	-0.294		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.02c Protein	0.000	No mitochondrial presequence	41(MPP)	0.073	38-42,86-90	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.03c Protein	0.000	No mitochondrial presequence	46(MPP)	0.065	86-90	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.04 Protein	0.000	No mitochondrial presequence	63(MPP)	0.000		15-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.05 Protein	0.000	No mitochondrial presequence	38(MPP)	-0.132		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.12c Protein	0.015	No mitochondrial presequence	12(MPP)	0.417	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.06c Protein	0.022	No mitochondrial presequence	19(MPP)	-0.053	16-20,57-61,61-65	1-11-low	-	-	-	-	-	-	-	-	-	-	-	15-20	-	-	
SPAC607.07c Protein	0.005	No mitochondrial presequence	35(MPP)	0.114	24-28	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.08c Protein	0.003	No mitochondrial presequence	18(MPP)	-0.111	44-48	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.09c Protein	0.004	No mitochondrial presequence	6(MPP)	0.333		17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.10 Protein	0.538	Possessing mitochondrial presequence	17(MPP), 18(Icp55)	0.118	6-10,14-18	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC732.01 Protein	0.006	No mitochondrial presequence	39(MPP)	0.026		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC732.02c Protein	0.004	No mitochondrial presequence	32(MPP), 33(Icp55)	0.062	29-33	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.01c Protein	0.003	No mitochondrial presequence	85(MPP), 86(Icp55)	0.071	59-63,83-87	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.13 Protein	0.031	No mitochondrial presequence	43(MPP)	0.209	77-81	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.02c Protein	0.007	No mitochondrial presequence	57(MPP)	0.158	54-58	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.03c Protein	0.012	No mitochondrial presequence	44(MPP)	0.045	13-17	9-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.04 Protein	0.000	No mitochondrial presequence	27(MPP)	0.037		13-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.05c Protein	0.011	No mitochondrial presequence	29(MPP)	-0.069	71-75,78-82,91-95	18-27-low	-	-	-	-	-	-	17-22	-	-	-	-	-	-	16-21	
SPAC3C7.06c Protein	0.021	No mitochondrial presequence	41(MPP)	0.146	1-5,26-30	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.07c Protein	0.007	No mitochondrial presequence	73(MPP)	0.055	3-7,41-45,88-92,91-95	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.08c Protein	0.000	No mitochondrial presequence	74(MPP)	-0.041	15-19,60-64	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.09 Protein	0.000	No mitochondrial presequence	37(MPP)	0.162	64-68	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.10 Protein	0.000	No mitochondrial presequence	43(MPP)	-0.023	40-44	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.11c Protein	0.000	No mitochondrial presequence	62(MPP)	0.000	59-63	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.12 Protein	0.008	No mitochondrial presequence	20(MPP)	0.000	17-21	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.13c Protein	0.140	No mitochondrial presequence	29(MPP)	0.138	22-26	21-30-high	-	-	-	-	22-27	-	-	-	-	-	-	-	-	-	
SPAC3C7.14c Protein	0.000	No mitochondrial presequence	92(MPP)	0.000	15-19,18-22	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC25A8.03c Protein	0.671	Possessing mitochondrial presequence	44(MPP), 45(Icp55)	0.114	77-81	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC25A8.01c Protein	0.000	No mitochondrial presequence	64(MPP)	0.031		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC25A8.02 Protein	0.020	No mitochondrial presequence	15(MPP)	0.133	44-48	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.14 Protein	0.057	No mitochondrial presequence	18(MPP)	-0.111		14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC631.01c Protein	0.000	No mitochondrial presequence	13(MPP)	-0.077		17-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC631.02 Protein	0.000	No mitochondrial presequence	29(MPP)	-0.034		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.01 Protein	0.003	No mitochondrial presequence	43(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.02 Protein	0.021	No mitochondrial presequence	15(MPP)	0.133	12-16,37-41,68-72,87-91,91-95	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.03c Protein	0.000	No mitochondrial presequence	69(MPP)	0.014	13-17	20-29-low	-	7-12	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.04 Protein	0.000	No mitochondrial presequence	76(MPP)	-0.053		3-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.05c Protein	0.000	No mitochondrial presequence	30(MPP)	-0.033	66-70	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.06c Protein	0.000	No mitochondrial presequence	9(MPP)	0.333		12-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.07 Protein	0.000	No mitochondrial presequence	65(MPP)	-0.123		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.15c Protein	0.005	No mitochondrial presequence	29(MPP)	-0.103	26-30,33-37	12-21-low	-	-	-	-	-	-	-	-	-	-	-	25-30	-	-	
SPAC20H4.08 Protein	0.000	No mitochondrial presequence	35(MPP)	0.000	85-89	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.09 Protein	0.105	No mitochondrial presequence	82(MPP)	0.049		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.10 Protein	0.003	No mitochondrial presequence	46(MPP)	0.109	9-13,80-84	1-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.11c Protein	0.004	No mitochondrial presequence	8(MPP)	0.250		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.01 Protein	0.000	No mitochondrial presequence	7(MPP)	-0.143		19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.02c Protein	0.008	No mitochondrial presequence	12(MPP)	0.250	66-70	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.03 Protein	0.000	No mitochondrial presequence	30(MPP), 38(Oct1)	-0.100	24-28,62-66	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.04c Protein	0.000	No mitochondrial presequence	7(MPP)	0.571		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.05 Protein	0.000	No mitochondrial presequence	8(MPP)	-0.125		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.06c Protein	0.003	No mitochondrial presequence	22(MPP)	-0.045	19-23,59-63	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.07 Protein	0.016	No mitochondrial presequence	20(MPP)	0.100	2-6	12-21-low	-	-	-	-	-	-	-	-	-	-	-	1-6	-	-	
SPAC23C11.08 Protein	0.011	No mitochondrial presequence	20(MPP)	-0.050	17-21	16-25-high	-	-	-	-	17-22	-	20-25	-	-	-	-	-	-	-	
SPAC23C11.09 Protein	0.005	No mitochondrial presequence	18(MPP)	-0.056	19-23,71-75	13-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.10 Protein	0.000	No mitochondrial presequence	94(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.11 Protein	0.013	No mitochondrial presequence	15(MPP), 16(Icp55)	0.000	12-16,70-74	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC24B11.05 Protein	0.010	No mitochondrial presequence	56(MPP)	0.000	85-89	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.12 Protein	0.000	No mitochondrial presequence	47(MPP)	-0.106		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.13c Protein	0.000	No mitochondrial presequence	49(MPP)	0.020	13-17,21-25	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
