# Mitofates predictions for N. crassa NC12
# EW 29 September 2018
# Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
NCU00024 Protein	0.000	No mitochondrial presequence	47(MPP)	-0.021	13-17	9-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00025 Protein	0.021	No mitochondrial presequence	81(MPP)	0.012	78-82	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00026 Protein	0.000	No mitochondrial presequence	43(MPP)	0.000		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00027 Protein	0.000	No mitochondrial presequence	31(MPP)	-0.032	78-82	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00028 Protein	0.003	No mitochondrial presequence	57(MPP)	0.035	72-76	1-13-high	-	7-12	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00029 Protein	0.021	No mitochondrial presequence	38(MPP)	-0.026	77-81	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00030 Protein	0.000	No mitochondrial presequence	91(MPP)	0.022		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00031 Protein	0.000	No mitochondrial presequence	65(MPP)	-0.108		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00032 Protein	0.030	No mitochondrial presequence	13(MPP)	0.077	3-7,10-14,66-70	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00033 Protein	0.003	No mitochondrial presequence	12(MPP)	-0.083		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00034 Protein	0.012	No mitochondrial presequence	12(MPP), 13(Icp55)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00035 Protein	0.000	No mitochondrial presequence	52(MPP)	-0.038		11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00037 Protein	0.000	No mitochondrial presequence	31(MPP)	0.065	39-43	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00038 Protein	0.000	No mitochondrial presequence	56(MPP)	-0.071		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00039 Protein	0.025	No mitochondrial presequence	8(MPP)	0.125	66-70	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00040 Protein	0.006	No mitochondrial presequence	41(MPP)	0.049	92-96	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00041 Protein	0.000	No mitochondrial presequence	64(MPP)	0.062		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00042 Protein	0.010	No mitochondrial presequence	23(MPP)	0.043	30-34	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00043 Protein	0.000	No mitochondrial presequence	37(MPP)	-0.081	13-17,72-76	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00045 Protein	0.244	No mitochondrial presequence	34(MPP)	0.294		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00046 Protein	0.016	No mitochondrial presequence	41(MPP)	0.024		12-21-high	-	-	-	-	-	-	12-17	-	-	11-16	-	-	-	-	
NCU00047 Protein	0.000	No mitochondrial presequence	57(MPP)	0.105	59-63	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00048 Protein	0.006	No mitochondrial presequence	68(MPP)	0.074	28-32	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00050 Protein	0.978	Possessing mitochondrial presequence	21(MPP), 29(Oct1)	0.190	85-89	13-22-high	-	-	-	12-17	-	-	-	-	-	-	-	-	-	-	
NCU00051 Protein	0.809	Possessing mitochondrial presequence	54(MPP), 55(Icp55)	0.111	31-35,59-63	3-12-low	-	-	-	-	-	-	-	22-27	-	-	13-18	-	-	-	
NCU00052 Protein	0.036	No mitochondrial presequence	8(MPP), 9(Icp55)	0.125	66-70,94-98	17-26-low	-	-	-	-	-	22-27	-	-	-	-	-	-	-	-	
NCU00054 Protein	0.000	No mitochondrial presequence	56(MPP)	-0.036	70-74	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00055 Protein	0.003	No mitochondrial presequence	66(MPP)	-0.015		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00056 Protein	0.077	No mitochondrial presequence	26(MPP)	0.192	1-5,23-27	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00057 Protein	0.401	Possessing mitochondrial presequence	37(MPP)	0.081	88-92	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00059 Protein	0.039	No mitochondrial presequence	14(MPP), 15(Icp55)	0.143	12-16,23-27,31-35,85-89	14-23-low	-	-	-	-	-	-	-	-	10-15	-	-	-	-	-	
NCU00060 Protein	0.000	No mitochondrial presequence	76(MPP)	-0.224		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00061 Protein	0.009	No mitochondrial presequence	9(MPP)	0.222		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00064 Protein	0.170	No mitochondrial presequence	22(MPP)	0.091		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00065 Protein	0.000	No mitochondrial presequence	36(MPP)	0.056	64-68	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00066 Protein	0.000	No mitochondrial presequence	67(MPP)	0.045		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00067 Protein	0.007	No mitochondrial presequence	45(MPP)	-0.044	2-6	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00068 Protein	0.000	No mitochondrial presequence	9(MPP)	0.333		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00069 Protein	0.012	No mitochondrial presequence	67(MPP)	0.045		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00070 Protein	0.000	No mitochondrial presequence	21(MPP)	-0.095		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00071 Protein	0.000	No mitochondrial presequence	43(MPP)	0.047		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00072 Protein	0.007	No mitochondrial presequence	71(MPP)	0.042	7-11,25-29,68-72	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00073 Protein	0.067	No mitochondrial presequence	13(MPP), 14(Icp55)	0.077		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00074 Protein	0.000	No mitochondrial presequence	9(MPP)	0.111	26-30	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00075 Protein	0.303	No mitochondrial presequence	27(MPP)	0.111	35-39	12-21-low	-	-	-	-	-	-	-	-	-	-	22-27	-	-	-	
NCU00076 Protein	0.012	No mitochondrial presequence	12(MPP), 13(Icp55)	-0.167		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00077 Protein	0.025	No mitochondrial presequence	14(MPP)	0.071	11-15	5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00078 Protein	0.046	No mitochondrial presequence	42(MPP)	0.024	48-52	21-30-high	-	-	-	-	-	-	25-30	-	-	-	-	-	-	24-29	
NCU00079 Protein	0.000	No mitochondrial presequence	25(MPP)	-0.040	55-59	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00080 Protein	0.006	No mitochondrial presequence	82(MPP), 83(Icp55)	0.000	49-53,86-90	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00081 Protein	0.636	Possessing mitochondrial presequence	24(MPP), 25(Icp55)	0.125	29-33,41-45	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00082 Protein	0.000	No mitochondrial presequence	42(MPP)	0.119	3-7	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00083 Protein	0.005	No mitochondrial presequence	59(MPP)	0.051		1-10-low	-	-	-	-	-	-	-	-	-	21-26	-	-	-	-	
NCU00084 Protein	0.000	No mitochondrial presequence	84(MPP)	0.083	86-90	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00085 Protein	0.005	No mitochondrial presequence	21(MPP)	0.190		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00086 Protein	0.007	No mitochondrial presequence	68(MPP)	-0.029	81-85	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00087 Protein	0.005	No mitochondrial presequence	22(MPP)	0.045		14-24-low	-	-	-	-	-	-	19-24	-	-	-	-	-	-	18-23	
NCU00088 Protein	0.000	No mitochondrial presequence	53(MPP)	-0.113		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00089 Protein	0.000	No mitochondrial presequence	20(MPP)	-0.050	17-21,44-48,63-67,96-100	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00090 Protein	0.000	No mitochondrial presequence	34(MPP)	-0.029	96-100	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00091 Protein	0.000	No mitochondrial presequence	48(MPP)	0.042		8-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00092 Protein	0.000	No mitochondrial presequence	42(MPP)	0.095	63-67	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00093 Protein	0.003	No mitochondrial presequence	43(MPP), 44(Icp55)	0.023		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00095 Protein	0.009	No mitochondrial presequence	15(MPP)	0.067		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00096 Protein	0.088	No mitochondrial presequence	28(MPP)	0.179	1-5	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00097 Protein	0.449	Possessing mitochondrial presequence	56(MPP)	0.125		19-30-high	-	-	-	-	-	-	-	19-24	-	18-23	-	-	-	-	
NCU00099 Protein	0.114	No mitochondrial presequence	25(MPP), 26(Icp55)	0.200	1-5	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00100 Protein	0.000	No mitochondrial presequence	54(MPP)	-0.056	66-70,87-91	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00101 Protein	0.014	No mitochondrial presequence	65(MPP)	-0.015		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00102 Protein	0.016	No mitochondrial presequence	56(MPP)	0.018	23-27,77-81	17-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00103 Protein	0.888	Possessing mitochondrial presequence	31(MPP)	0.097	9-13	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00104 Protein	0.000	No mitochondrial presequence	87(MPP)	0.000	11-15,76-80,80-84	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00105 Protein	0.014	No mitochondrial presequence	40(MPP)	-0.025	13-17	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00106 Protein	0.000	No mitochondrial presequence	17(MPP)	0.000		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00107 Protein	0.000	No mitochondrial presequence	47(MPP), 48(Icp55)	-0.021	44-48,67-71	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00108 Protein	0.000	No mitochondrial presequence	13(MPP)	0.077	55-59	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00109 Protein	0.000	No mitochondrial presequence	40(MPP)	0.025		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00110 Protein	0.000	No mitochondrial presequence	6(MPP)	0.500	82-86	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00111 Protein	0.029	No mitochondrial presequence	38(MPP)	0.158	64-68,68-72	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00112 Protein	0.774	Possessing mitochondrial presequence	31(MPP)	0.129	28-32,35-39	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00114 Protein	0.994	Possessing mitochondrial presequence	35(MPP)	0.171		2-11-high	-	-	-	-	-	-	-	6-11	-	-	-	-	-	-	
NCU00115 Protein	0.000	No mitochondrial presequence	24(MPP)	-0.125	13-17	13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00116 Protein	0.000	No mitochondrial presequence	17(MPP)	0.000	93-97	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00117 Protein	0.000	No mitochondrial presequence	44(MPP)	-0.091		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00118 Protein	0.000	No mitochondrial presequence	69(MPP)	-0.014		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00119 Protein	0.000	No mitochondrial presequence	47(MPP)	0.021		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00120 Protein	0.000	No mitochondrial presequence	37(MPP)	0.108		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00121 Protein	0.006	No mitochondrial presequence	54(MPP)	0.019		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00122 Protein	0.809	Possessing mitochondrial presequence	25(MPP)	0.120	46-50	12-21-high	-	-	-	-	-	-	-	17-22	-	16-21	-	-	-	-	
NCU00123 Protein	0.048	No mitochondrial presequence	20(MPP)	0.150	17-21	16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00124 Protein	0.069	No mitochondrial presequence	30(MPP)	0.067		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00125 Protein	0.009	No mitochondrial presequence	74(MPP)	0.027		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00126 Protein	0.000	No mitochondrial presequence	12(MPP)	-0.083		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00127 Protein	0.000	No mitochondrial presequence	80(MPP)	0.062	44-48	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00128 Protein	0.000	No mitochondrial presequence	29(MPP)	0.000	48-52	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00129 Protein	0.733	Possessing mitochondrial presequence	60(MPP)	0.033	12-16,34-38	7-16-high	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
NCU00130 Protein	0.000	No mitochondrial presequence	75(MPP)	-0.027	79-83	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00132 Protein	0.021	No mitochondrial presequence	18(MPP)	0.167	75-79,88-92	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00133 Protein	0.000	No mitochondrial presequence	57(MPP)	-0.018	51-55,83-87	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00134 Protein	0.000	No mitochondrial presequence	34(MPP)	-0.029	5-9,38-42	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00135 Protein	0.170	No mitochondrial presequence	34(MPP)	0.088		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00136 Protein	0.803	Possessing mitochondrial presequence	31(MPP), 32(Icp55)	0.226	1-5	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00137 Protein	0.028	No mitochondrial presequence	89(MPP), 97(Oct1)	0.079		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00138 Protein	0.000	No mitochondrial presequence	60(MPP)	-0.017	41-45,95-99	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00142 Protein	0.008	No mitochondrial presequence	19(MPP)	0.053		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00143 Protein	0.000	No mitochondrial presequence	9(MPP)	0.111	56-60	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00144 Protein	0.000	No mitochondrial presequence	62(MPP)	-0.065		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00145 Protein	0.011	No mitochondrial presequence	36(MPP)	0.306	79-83	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00146 Protein	0.029	No mitochondrial presequence	30(MPP)	-0.067	27-31,65-69,83-87,92-96	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00147 Protein	0.000	No mitochondrial presequence	52(MPP)	-0.058		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00148 Protein	0.000	No mitochondrial presequence	76(MPP)	0.039	67-71	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00149 Protein	0.000	No mitochondrial presequence	30(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00150 Protein	0.006	No mitochondrial presequence	32(MPP)	0.031	43-47	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00151 Protein	0.000	No mitochondrial presequence	34(MPP)	0.206	67-71	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00152 Protein	0.000	No mitochondrial presequence	31(MPP), 32(Icp55)	0.065		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00153 Protein	0.980	Possessing mitochondrial presequence	30(MPP), 38(Oct1)	0.133	4-8,66-70	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00154 Protein	0.028	No mitochondrial presequence	71(MPP)	0.000	32-36	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00155 Protein	0.009	No mitochondrial presequence	39(MPP)	0.077		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00157 Protein	0.000	No mitochondrial presequence	44(MPP)	0.000	41-45,58-62,94-98	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00158 Protein	0.003	No mitochondrial presequence	50(MPP)	0.040	65-69	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00159 Protein	0.000	No mitochondrial presequence	23(MPP)	-0.043	20-24,83-87	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00160 Protein	0.057	No mitochondrial presequence	18(MPP)	0.000		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00161 Protein	0.000	No mitochondrial presequence	41(MPP)	-0.073		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00162 Protein	0.000	No mitochondrial presequence	71(MPP)	0.014		13-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00163 Protein	0.000	No mitochondrial presequence	36(MPP)	0.000	17-21,75-79	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00164 Protein	0.042	No mitochondrial presequence	52(MPP)	-0.038		4-13-high	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
NCU00166 Protein	0.018	No mitochondrial presequence	48(MPP)	0.000	35-39,45-49,48-52	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00167 Protein	0.008	No mitochondrial presequence	15(MPP)	0.200		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00168 Protein	0.000	No mitochondrial presequence	38(MPP), 39(Icp55)	0.026	29-33	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00169 Protein	0.000	No mitochondrial presequence	39(MPP)	-0.051		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00170 Protein	0.032	No mitochondrial presequence	11(MPP)	0.364		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00171 Protein	0.000	No mitochondrial presequence	41(MPP)	0.098		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00172 Protein	0.009	No mitochondrial presequence	14(MPP)	0.143		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00173 Protein	0.797	Possessing mitochondrial presequence	18(MPP), 19(Icp55)	0.111	48-52	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00175 Protein	0.014	No mitochondrial presequence	22(MPP)	0.091		19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00176 Protein	0.000	No mitochondrial presequence	59(MPP), 60(Icp55)	-0.085		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00177 Protein	0.000	No mitochondrial presequence	90(MPP)	-0.022		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00178 Protein	0.000	No mitochondrial presequence	18(MPP)	0.111	87-91	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00179 Protein	0.045	No mitochondrial presequence	24(MPP)	0.042		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00180 Protein	0.014	No mitochondrial presequence	21(MPP)	0.333		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00181 Protein	0.010	No mitochondrial presequence	37(MPP)	0.054		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00182 Protein	0.000	No mitochondrial presequence	35(MPP)	-0.029		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00183 Protein	0.985	Possessing mitochondrial presequence	46(MPP), 47(Icp55)	0.196	6-10,86-90	6-15-high	-	-	-	-	-	-	-	-	-	-	-	5-10	-	-	
NCU00184 Protein	0.005	No mitochondrial presequence	19(MPP)	0.105	1-5,26-30	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00185 Protein	0.114	No mitochondrial presequence	38(MPP)	0.132	35-39,54-58,75-79	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00186 Protein	0.009	No mitochondrial presequence	54(MPP), 55(Icp55)	0.037	74-78	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00187 Protein	0.003	No mitochondrial presequence	72(MPP)	-0.028		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00188 Protein	0.004	No mitochondrial presequence	80(MPP)	0.100	35-39	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00189 Protein	0.603	Possessing mitochondrial presequence	36(MPP)	0.167	20-24,33-37,46-50	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00192 Protein	0.023	No mitochondrial presequence	27(MPP)	0.074	42-46	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00193 Protein	0.000	No mitochondrial presequence	16(MPP)	-0.062	51-55	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00194 Protein	0.000	No mitochondrial presequence	19(MPP)	-0.105	17-21,89-93	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00195 Protein	0.022	No mitochondrial presequence	24(MPP), 25(Icp55)	0.083		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00196 Protein	0.000	No mitochondrial presequence	49(MPP)	0.020		15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00197 Protein	0.003	No mitochondrial presequence	14(MPP)	0.071	45-49	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00198 Protein	0.003	No mitochondrial presequence	20(MPP)	0.000	56-60	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
