# SacCer_mitofates_parsed.table.txt
# Saccharomyces cerevisiae S288C mitofates predictions from http://mitf.cbrc.jp/MitoFates/
# applied to full-length protein
# Luciana DE OLIVEIRA, 3rd Aug 2018
# 
# Sequence ID	Probability of presequence	Prediction
Gene	Prob_preseq	Pred_preseq
YAL060W	0.004	No
YAL061W	0.000	No
YAL062W	0.000	No
YAL063C	0.000	No
YAL063C-A	0.085	No
YAL064C-A	0.000	No
YAL064W	0.000	No
YAL064W-B	0.000	No
YAL065C	0.000	No
YAL066W	0.671	Yes
YAL067C	0.013	No
YAL067W-A	0.087	No
YAL068C	0.000	No
YAL068W-A	0.000	No
YAL069W	0.005	No
YAR002C-A	0.008	No
YAR002W	0.100	No
YAR003W	0.013	No
YAR007C	0.004	No
YAR008W	0.000	No
YAR009C	0.026	No
YAR010C	0.000	No
YAR014C	0.000	No
YAR015W	0.000	No
YAR018C	0.029	No
YAR019C	0.000	No
YAR019W-A	0.023	No
YAR020C	0.000	No
YAR023C	0.006	No
YAR027W	0.000	No
YAR028W	0.000	No
YAR029W	0.012	No
YAR030C	0.419	Yes
YAR031W	0.019	No
YAR033W	0.000	No
YAR035C-A	0.068	No
YAR035W	0.050	No
YAR042W	0.000	No
YAR047C	0.013	No
YAR050W	0.000	No
YAR053W	0.003	No
YAR060C	0.024	No
YAR061W	0.000	No
YAR064W	0.009	No
YAR066W	0.329	No
YAR068W	0.000	No
YAR069C	0.000	No
YAR070C	0.036	No
YAR071W	0.000	No
YAR073W	0.000	No
YAR075W	0.837	Yes
YBL001C	0.000	No
YBL002W	0.000	No
YBL003C	0.005	No
YBL004W	0.020	No
YBL005W	0.012	No
YBL005W-A	0.000	No
YBL005W-B	0.000	No
YBL006C	0.000	No
YBL006W-A	0.144	No
YBL007C	0.000	No
YBL008W	0.000	No
YBL008W-A	0.075	No
YBL009W	0.000	No
YBL010C	0.000	No
YBL011W	0.005	No
YBL012C	0.022	No
YBL013W	0.996	Yes
YBL014C	0.000	No
YBL015W	0.170	No
YBL016W	0.006	No
YBL017C	0.000	No
YBL018C	0.010	No
YBL019W	0.012	No
YBL020W	0.008	No
YBL021C	0.000	No
YBL022C	1.000	Yes
YBL023C	0.000	No
YBL024W	0.012	No
YBL025W	0.000	No
YBL026W	0.027	No
YBL027W	0.787	Yes
YBL028C	0.370	No
YBL029C-A	0.000	No
YBL029W	0.000	No
YBL030C	0.000	No
YBL031W	0.000	No
YBL032W	0.000	No
YBL033C	0.000	No
YBL034C	0.000	No
YBL035C	0.000	No
YBL036C	0.000	No
YBL037W	0.011	No
YBL038W	0.996	Yes
YBL039C	0.011	No
YBL039C-A	0.049	No
YBL039W-B	0.024	No
YBL040C	0.137	No
YBL041W	0.000	No
YBL042C	0.000	No
YBL043W	0.004	No
YBL044W	0.186	No
YBL045C	0.996	Yes
YBL046W	0.000	No
YBL047C	0.000	No
YBL048W	0.039	No
YBL049W	0.063	No
YBL050W	0.000	No
YBL051C	0.000	No
YBL052C	0.004	No
YBL053W	0.000	No
YBL054W	0.000	No
YBL055C	0.436	Yes
YBL056W	0.000	No
YBL057C	0.000	No
YBL058W	0.000	No
YBL059C-A	0.003	No
YBL059W	0.395	Yes
YBL060W	0.000	No
YBL061C	0.032	No
YBL062W	0.000	No
YBL063W	0.241	No
YBL064C	0.914	Yes
YBL065W	0.000	No
YBL066C	0.000	No
YBL067C	0.011	No
YBL068W	0.000	No
YBL068W-A	0.021	No
YBL069W	0.016	No
YBL070C	0.004	No
YBL071C	0.000	No
YBL071C-B	0.026	No
YBL071W-A	0.000	No
YBL072C	0.010	No
YBL073W	0.000	No
YBL074C	0.000	No
YBL075C	0.003	No
YBL076C	0.000	No
YBL077W	0.005	No
YBL078C	0.003	No
YBL079W	0.012	No
YBL080C	0.988	Yes
YBL081W	0.000	No
YBL082C	0.000	No
YBL083C	0.000	No
YBL084C	0.000	No
YBL085W	0.000	No
YBL086C	0.000	No
YBL087C	0.021	No
YBL088C	0.000	No
YBL089W	0.008	No
YBL090W	0.996	Yes
YBL091C	0.000	No
YBL091C-A	0.000	No
YBL092W	0.141	No
YBL093C	0.000	No
YBL094C	0.034	No
YBL095W	0.104	No
YBL096C	0.068	No
YBL097W	0.000	No
YBL098W	0.000	No
YBL099W	1.000	Yes
YBL100C	0.015	No
YBL100W-A	0.000	No
YBL100W-B	0.000	No
YBL100W-C	0.021	No
YBL101C	0.037	No
YBL102W	0.013	No
YBL103C	0.000	No
YBL104C	0.000	No
YBL105C	0.011	No
YBL106C	0.553	Yes
YBL107C	0.007	No
YBL107W-A	0.044	No
YBL108C-A	0.229	No
YBL108W	0.205	No
YBL109W	0.000	No
YBL111C	0.000	No
YBL112C	0.006	No
YBL113C	0.000	No
YBL113W-A	0.500	Yes
YBR001C	0.000	No
YBR002C	0.065	No
YBR003W	0.996	Yes
YBR004C	0.102	No
YBR005W	0.000	No
YBR006W	0.003	No
YBR007C	0.000	No
YBR008C	0.000	No
YBR009C	0.018	No
YBR010W	0.101	No
YBR011C	0.000	No
YBR012C	0.004	No
YBR012W-A	0.000	No
YBR012W-B	0.000	No
YBR013C	0.000	No
YBR014C	0.005	No
YBR015C	0.110	No
YBR016W	0.000	No
YBR017C	0.000	No
YBR018C	0.003	No
YBR019C	0.000	No
YBR020W	0.000	No
YBR021W	0.003	No
YBR022W	0.151	No
YBR023C	0.007	No
YBR024W	0.996	Yes
YBR025C	0.034	No
YBR026C	0.155	No
YBR027C	0.162	No
YBR028C	0.000	No
YBR029C	0.000	No
YBR030W	0.000	No
YBR031W	0.000	No
YBR032W	0.000	No
YBR033W	0.012	No
YBR034C	0.010	No
YBR035C	0.000	No
YBR036C	0.000	No
YBR037C	0.998	Yes
YBR038W	0.054	No
YBR039W	0.996	Yes
YBR040W	0.073	No
YBR041W	0.107	No
YBR042C	0.308	No
YBR043C	0.003	No
YBR044C	0.762	Yes
YBR045C	0.006	No
YBR046C	0.000	No
YBR047W	0.790	Yes
YBR048W	0.283	No
YBR049C	0.000	No
YBR050C	0.000	No
YBR051W	0.016	No
YBR052C	0.000	No
YBR053C	0.000	No
YBR054W	0.000	No
YBR055C	0.000	No
YBR056C-B	0.014	No
YBR056W	0.329	No
YBR056W-A	0.006	No
YBR057C	0.000	No
YBR058C	0.000	No
YBR058C-A	0.000	No
YBR059C	0.004	No
YBR060C	0.004	No
YBR061C	0.000	No
YBR062C	0.000	No
YBR063C	0.013	No
YBR064W	0.000	No
YBR065C	0.000	No
YBR066C	0.000	No
YBR067C	0.000	No
YBR068C	0.004	No
YBR069C	0.000	No
YBR070C	0.076	No
YBR071W	0.043	No
YBR072C-A	0.075	No
YBR072W	0.007	No
YBR073W	0.004	No
YBR074W	0.547	Yes
YBR076C-A	0.020	No
YBR076W	0.000	No
YBR077C	0.000	No
YBR078W	0.000	No
YBR079C	0.006	No
YBR080C	0.012	No
YBR081C	0.011	No
YBR082C	0.000	No
YBR083W	0.000	No
YBR084C-A	0.787	Yes
YBR084W	0.996	Yes
YBR085C-A	0.000	No
YBR085W	0.031	No
YBR086C	0.000	No
YBR087W	0.012	No
YBR088C	0.006	No
YBR089C-A	0.000	No
YBR089W	0.000	No
YBR090C	0.012	No
YBR091C	0.004	No
YBR092C	0.003	No
YBR093C	0.000	No
YBR094W	0.019	No
YBR095C	0.000	No
YBR096W	0.164	No
YBR097W	0.000	No
YBR098W	0.000	No
YBR099C	0.019	No
YBR101C	0.000	No
YBR102C	0.146	No
YBR103C-A	0.042	No
YBR103W	0.003	No
YBR104W	0.256	No
YBR105C	0.000	No
YBR106W	0.007	No
YBR107C	0.005	No
YBR108W	0.004	No
YBR109C	0.000	No
YBR109W-A	0.040	No
YBR110W	0.000	No
YBR111C	0.996	Yes
YBR111W-A	0.000	No
YBR112C	0.000	No
YBR113W	0.030	No
YBR114W	0.003	No
YBR115C	0.000	No
YBR116C	0.044	No
YBR117C	0.000	No
YBR118W	0.000	No
YBR119W	0.128	No
YBR120C	0.012	No
YBR121C	0.016	No
YBR121C-A	0.266	No
YBR122C	0.996	Yes
YBR123C	0.000	No
YBR124W	0.005	No
YBR125C	0.004	No
YBR126C	0.000	No
YBR126W-A	0.000	No
YBR126W-B	0.057	No
YBR127C	0.000	No
YBR128C	0.018	No
YBR129C	0.011	No
YBR130C	0.000	No
YBR131C-A	0.028	No
YBR131W	0.000	No
YBR132C	0.003	No
YBR133C	0.017	No
YBR134W	0.017	No
YBR135W	0.004	No
YBR136W	0.000	No
YBR137W	0.006	No
YBR138C	0.000	No
YBR139W	0.006	No
YBR140C	0.000	No
YBR141C	0.309	No
YBR141W-A	0.004	No
YBR142W	0.000	No
YBR143C	0.000	No
YBR144C	0.183	No
YBR145W	0.000	No
YBR146W	0.996	Yes
YBR147W	0.027	No
YBR148W	0.000	No
YBR149W	0.000	No
YBR150C	0.000	No
YBR151W	0.000	No
YBR152W	0.000	No
YBR153W	0.000	No
YBR154C	0.012	No
YBR155W	0.000	No
YBR156C	0.009	No
YBR157C	0.004	No
YBR158W	0.000	No
YBR159W	0.023	No
YBR160W	0.000	No
YBR161W	0.000	No
YBR162C	0.000	No
YBR162W-A	0.004	No
YBR163W	0.728	Yes
YBR164C	0.012	No
YBR165W	0.074	No
YBR166C	0.000	No
YBR167C	0.027	No
YBR168W	0.000	No
YBR169C	0.000	No
YBR170C	0.048	No
YBR171W	0.000	No
YBR172C	0.000	No
YBR173C	0.000	No
YBR174C	0.000	No
YBR175W	0.033	No
YBR176W	0.843	Yes
YBR177C	0.003	No
YBR178W	0.005	No
YBR179C	0.000	No
YBR180W	0.003	No
YBR181C	0.000	No
YBR182C	0.003	No
YBR182C-A	0.023	No
YBR183W	0.005	No
YBR184W	0.037	No
YBR185C	0.996	Yes
YBR186W	0.016	No
YBR187W	0.003	No
YBR188C	0.000	No
YBR189W	0.111	No
YBR190W	0.004	No
YBR191W	0.308	No
YBR191W-A	0.166	No
YBR192W	0.000	No
YBR193C	0.000	No
YBR194W	0.000	No
YBR195C	0.027	No
YBR196C	0.000	No
YBR196C-A	0.015	No
YBR196C-B	0.167	No
YBR197C	0.000	No
YBR198C	0.000	No
YBR199W	0.007	No
YBR200W	0.035	No
YBR200W-A	0.075	No
YBR201C-A	0.284	No
YBR201W	0.000	No
YBR202W	0.000	No
YBR203W	0.012	No
YBR204C	0.003	No
YBR205W	0.402	Yes
YBR206W	0.000	No
YBR207W	0.000	No
YBR208C	0.000	No
YBR209W	0.212	No
YBR210W	0.008	No
YBR211C	0.000	No
YBR212W	0.000	No
YBR213W	0.139	No
YBR214W	0.000	No
YBR215W	0.000	No
YBR216C	0.000	No
YBR217W	0.000	No
YBR218C	0.012	No
YBR219C	0.145	No
YBR220C	0.000	No
YBR221C	1.000	Yes
YBR221W-A	0.004	No
YBR222C	0.000	No
YBR223C	0.033	No
YBR223W-A	0.038	No
YBR224W	0.000	No
YBR225W	0.000	No
YBR226C	0.000	No
YBR227C	0.992	Yes
YBR228W	0.043	No
YBR229C	0.048	No
YBR230C	0.000	No
YBR230W-A	0.306	No
YBR231C	0.000	No
YBR232C	0.000	No
YBR233W	0.000	No
YBR233W-A	0.000	No
YBR234C	0.032	No
YBR235W	0.241	No
YBR236C	0.000	No
YBR237W	0.000	No
YBR238C	0.273	No
YBR239C	0.000	No
YBR240C	0.012	No
YBR241C	0.000	No
YBR242W	0.016	No
YBR243C	0.010	No
YBR244W	0.000	No
YBR245C	0.012	No
YBR246W	0.013	No
YBR247C	0.012	No
YBR248C	0.000	No
YBR249C	0.000	No
YBR250W	0.004	No
YBR251W	0.686	Yes
YBR252W	0.057	No
YBR253W	0.004	No
YBR254C	0.000	No
YBR255C-A	0.027	No
YBR255W	0.000	No
YBR256C	0.000	No
YBR257W	0.012	No
YBR258C	0.000	No
YBR259W	0.026	No
YBR260C	0.000	No
YBR261C	0.000	No
YBR262C	0.012	No
YBR263W	0.996	Yes
YBR264C	0.005	No
YBR265W	0.000	No
YBR266C	0.109	No
YBR267W	0.000	No
YBR268W	0.996	Yes
YBR269C	0.696	Yes
YBR270C	0.009	No
YBR271W	0.000	No
YBR272C	0.000	No
YBR273C	0.000	No
YBR274W	0.000	No
YBR275C	0.071	No
YBR276C	0.000	No
YBR277C	0.025	No
YBR278W	0.000	No
YBR279W	0.000	No
YBR280C	0.000	No
YBR281C	0.034	No
YBR282W	0.993	Yes
YBR283C	0.000	No
YBR284W	0.000	No
YBR285W	0.008	No
YBR286W	0.000	No
YBR287W	0.000	No
YBR288C	0.021	No
YBR289W	0.004	No
YBR290W	0.000	No
YBR291C	0.000	No
YBR292C	0.005	No
YBR293W	0.006	No
YBR294W	0.000	No
YBR295W	0.000	No
YBR296C	0.000	No
YBR296C-A	0.009	No
YBR297W	0.012	No
YBR298C	0.000	No
YBR298C-A	0.020	No
YBR299W	0.000	No
YBR300C	0.000	No
YBR301W	0.000	No
YBR302C	0.000	No
YCL001W	0.000	No
YCL001W-A	0.080	No
YCL001W-B	0.000	No
YCL002C	0.023	No
YCL004W	0.576	Yes
YCL005W	0.019	No
YCL005W-A	0.000	No
YCL007C	0.006	No
YCL008C	0.000	No
YCL009C	0.996	Yes
YCL010C	0.000	No
YCL011C	0.008	No
YCL012C	0.020	No
YCL014W	0.000	No
YCL016C	0.000	No
YCL017C	0.846	Yes
YCL018W	0.000	No
YCL019W	0.000	No
YCL020W	0.000	No
YCL021W-A	0.000	No
YCL022C	0.056	No
YCL023C	0.754	Yes
YCL024W	0.003	No
YCL025C	0.000	No
YCL026C-A	0.249	No
YCL026C-B	0.524	Yes
YCL027W	0.007	No
YCL028W	0.000	No
YCL029C	0.000	No
YCL030C	0.000	No
YCL031C	0.003	No
YCL032W	0.000	No
YCL033C	0.266	No
YCL034W	0.000	No
YCL035C	0.000	No
YCL036W	0.016	No
YCL037C	0.000	No
YCL038C	0.000	No
YCL039W	0.000	No
YCL040W	0.000	No
YCL041C	0.038	No
YCL042W	0.000	No
YCL043C	0.000	No
YCL044C	0.000	No
YCL045C	0.000	No
YCL046W	0.000	No
YCL047C	0.019	No
YCL048W	0.077	No
YCL048W-A	0.000	No
YCL049C	0.000	No
YCL050C	0.000	No
YCL051W	0.000	No
YCL052C	0.008	No
YCL054W	0.004	No
YCL054W-A	0.133	No
YCL055W	0.006	No
YCL056C	0.013	No
YCL057C-A	0.000	No
YCL057W	0.012	No
YCL058C	0.000	No
YCL058W-A	0.012	No
YCL059C	0.000	No
YCL061C	0.000	No
YCL063W	0.000	No
YCL064C	0.012	No
YCL065W	0.068	No
YCL066W	0.012	No
YCL067C	0.009	No
YCL068C	0.003	No
YCL069W	0.140	No
YCL073C	0.000	No
YCL074W	0.000	No
YCL075W	0.016	No
YCL076W	0.005	No
YCR001W	0.241	No
YCR002C	0.000	No
YCR003W	0.140	No
YCR004C	0.000	No
YCR005C	0.012	No
YCR006C	0.267	No
YCR007C	0.000	No
YCR008W	0.013	No
YCR009C	0.024	No
YCR010C	0.000	No
YCR011C	0.020	No
YCR012W	0.003	No
YCR013C	0.010	No
YCR014C	0.012	No
YCR015C	0.021	No
YCR016W	0.010	No
YCR017C	0.025	No
YCR018C	0.008	No
YCR018C-A	0.000	No
YCR019W	0.000	No
YCR020C	0.022	No
YCR020C-A	0.000	No
YCR020W-B	0.003	No
YCR021C	0.010	No
YCR022C	0.013	No
YCR023C	0.003	No
YCR024C	0.996	Yes
YCR024C-A	0.007	No
YCR024C-B	0.013	No
YCR025C	0.013	No
YCR026C	0.000	No
YCR027C	0.013	No
YCR028C	0.004	No
YCR028C-A	0.996	Yes
YCR030C	0.009	No
YCR031C	0.024	No
YCR032W	0.017	No
YCR033W	0.003	No
YCR034W	0.016	No
YCR035C	0.000	No
YCR036W	0.000	No
YCR037C	0.024	No
YCR038C	0.010	No
YCR038W-A	0.059	No
YCR039C	0.009	No
YCR040W	0.012	No
YCR041W	0.063	No
YCR042C	0.012	No
YCR043C	0.000	No
YCR044C	0.000	No
YCR045C	0.011	No
YCR045W-A	0.301	No
YCR046C	0.996	Yes
YCR047C	0.000	No
YCR047W-A	0.004	No
YCR048W	0.003	No
YCR049C	0.021	No
YCR050C	0.203	No
YCR051W	0.000	No
YCR052W	0.000	No
YCR053W	0.012	No
YCR054C	0.005	No
YCR057C	0.000	No
YCR059C	0.000	No
YCR060W	0.000	No
YCR061W	0.005	No
YCR063W	0.003	No
YCR064C	0.009	No
YCR065W	0.000	No
YCR066W	0.000	No
YCR067C	0.000	No
YCR068W	0.090	No
YCR069W	0.012	No
YCR071C	0.973	Yes
YCR072C	0.000	No
YCR073C	0.024	No
YCR073W-A	0.000	No
YCR075C	0.004	No
YCR075W-A	0.000	No
YCR076C	0.000	No
YCR077C	0.000	No
YCR079W	0.014	No
YCR081C-A	0.136	No
YCR081W	0.000	No
YCR082W	0.011	No
YCR083W	0.996	Yes
YCR084C	0.000	No
YCR085W	0.004	No
YCR086W	0.000	No
YCR087C-A	0.004	No
YCR087W	0.035	No
YCR088W	0.000	No
YCR089W	0.000	No
YCR090C	0.000	No
YCR091W	0.172	No
YCR092C	0.003	No
YCR093W	0.005	No
YCR094W	0.064	No
YCR095C	0.000	No
YCR095W-A	0.414	Yes
YCR096C	0.000	No
YCR097W	0.006	No
YCR097W-A	0.063	No
YCR098C	0.000	No
YCR099C	0.000	No
YCR100C	0.010	No
YCR101C	0.000	No
YCR102C	0.000	No
YCR102W-A	0.102	No
YCR104W	0.000	No
YCR105W	0.000	No
YCR106W	0.003	No
YCR107W	0.064	No
YCR108C	0.003	No
YDL001W	0.000	No
YDL002C	0.000	No
YDL003W	0.027	No
YDL004W	0.996	Yes
YDL005C	0.005	No
YDL006W	0.000	No
YDL007C-A	0.012	No
YDL007W	0.000	No
YDL008W	0.000	No
YDL009C	0.161	No
YDL010W	0.013	No
YDL011C	0.000	No
YDL012C	0.000	No
YDL013W	0.000	No
YDL014W	0.084	No
YDL015C	0.005	No
YDL016C	0.294	No
YDL017W	0.000	No
YDL018C	0.000	No
YDL019C	0.000	No
YDL020C	0.000	No
YDL021W	0.013	No
YDL022C-A	0.035	No
YDL022W	0.252	No
YDL023C	0.000	No
YDL024C	0.114	No
YDL025C	0.000	No
YDL025W-A	0.122	No
YDL026W	0.061	No
YDL027C	0.309	No
YDL028C	0.010	No
YDL029W	0.000	No
YDL030W	0.012	No
YDL031W	0.000	No
YDL032W	0.005	No
YDL033C	0.575	Yes
YDL034W	0.160	No
YDL035C	0.023	No
YDL036C	0.980	Yes
YDL037C	0.000	No
YDL039C	0.000	No
YDL040C	0.000	No
YDL041W	0.000	No
YDL042C	0.003	No
YDL043C	0.000	No
YDL044C	0.996	Yes
YDL045C	0.000	No
YDL045W-A	0.004	No
YDL046W	0.005	No
YDL047W	0.004	No
YDL048C	0.003	No
YDL049C	0.004	No
YDL050C	0.006	No
YDL051W	0.000	No
YDL052C	0.097	No
YDL053C	0.000	No
YDL054C	0.021	No
YDL055C	0.204	No
YDL056W	0.007	No
YDL057W	0.000	No
YDL058W	0.000	No
YDL059C	0.000	No
YDL060W	0.649	Yes
YDL061C	0.043	No
YDL062W	0.030	No
YDL063C	0.042	No
YDL064W	0.004	No
YDL065C	0.000	No
YDL066W	0.996	Yes
YDL067C	0.012	No
YDL068W	0.047	No
YDL069C	0.996	Yes
YDL070W	0.006	No
YDL071C	0.127	No
YDL072C	0.011	No
YDL073W	0.006	No
YDL074C	0.000	No
YDL075W	0.180	No
YDL076C	0.000	No
YDL077C	0.006	No
YDL078C	0.000	No
YDL079C	0.303	No
YDL080C	0.039	No
YDL081C	0.000	No
YDL082W	0.251	No
YDL083C	0.009	No
YDL084W	0.000	No
YDL085C-A	0.004	No
YDL085W	0.864	Yes
YDL086C-A	0.168	No
YDL086W	0.032	No
YDL087C	0.023	No
YDL088C	0.005	No
YDL089W	0.000	No
YDL090C	0.746	Yes
YDL091C	0.000	No
YDL092W	0.000	No
YDL093W	0.010	No
YDL094C	0.144	No
YDL095W	0.000	No
YDL096C	0.000	No
YDL097C	0.000	No
YDL098C	0.000	No
YDL099W	0.000	No
YDL100C	0.000	No
YDL101C	0.000	No
YDL102W	0.000	No
YDL103C	0.000	No
YDL104C	0.588	Yes
YDL105W	0.000	No
YDL106C	0.000	No
YDL107W	0.546	Yes
YDL108W	0.000	No
YDL109C	0.000	No
YDL110C	0.000	No
YDL111C	0.000	No
YDL112W	0.004	No
YDL113C	0.000	No
YDL114W	0.004	No
YDL114W-A	0.000	No
YDL115C	0.000	No
YDL116W	0.000	No
YDL117W	0.028	No
YDL118W	0.014	No
YDL119C	0.011	No
YDL120W	0.996	Yes
YDL121C	0.000	No
YDL122W	0.019	No
YDL123W	0.000	No
YDL124W	0.109	No
YDL125C	0.000	No
YDL126C	0.000	No
YDL127W	0.020	No
YDL128W	0.000	No
YDL129W	0.000	No
YDL130W	0.000	No
YDL130W-A	0.998	Yes
YDL131W	0.000	No
YDL132W	0.004	No
YDL133C-A	0.037	No
YDL133W	0.000	No
YDL134C	0.000	No
YDL135C	0.000	No
YDL136W	0.000	No
YDL137W	0.064	No
YDL138W	0.000	No
YDL139C	0.104	No
YDL140C	0.003	No
YDL141W	0.000	No
YDL142C	0.963	Yes
YDL143W	0.005	No
YDL144C	0.004	No
YDL145C	0.012	No
YDL146W	0.000	No
YDL147W	0.000	No
YDL148C	0.507	Yes
YDL149W	0.000	No
YDL150W	0.000	No
YDL151C	0.000	No
YDL152W	0.000	No
YDL153C	0.000	No
YDL154W	0.000	No
YDL155W	0.000	No
YDL156W	0.010	No
YDL157C	0.003	No
YDL158C	0.150	No
YDL159C-B	0.003	No
YDL159W	0.247	No
YDL159W-A	0.013	No
YDL160C	0.009	No
YDL160C-A	0.008	No
YDL161W	0.841	Yes
YDL162C	0.000	No
YDL163W	0.000	No
YDL164C	0.954	Yes
YDL165W	0.000	No
YDL166C	0.000	No
YDL167C	0.000	No
YDL168W	0.000	No
YDL169C	0.000	No
YDL170W	0.027	No
YDL171C	0.000	No
YDL172C	0.008	No
YDL173W	0.000	No
YDL174C	0.996	Yes
YDL175C	0.000	No
YDL176W	0.000	No
YDL177C	0.010	No
YDL178W	0.919	Yes
YDL179W	0.005	No
YDL180W	0.076	No
YDL181W	0.998	Yes
YDL182W	0.000	No
YDL183C	0.884	Yes
YDL184C	0.037	No
YDL185C-A	0.033	No
YDL185W	0.000	No
YDL186W	0.000	No
YDL187C	0.062	No
YDL188C	0.000	No
YDL189W	0.000	No
YDL190C	0.000	No
YDL191W	0.000	No
YDL192W	0.064	No
YDL193W	0.000	No
YDL194W	0.000	No
YDL195W	0.000	No
YDL196W	0.012	No
YDL197C	0.005	No
YDL198C	0.012	No
YDL199C	0.004	No
YDL200C	0.000	No
YDL201W	0.000	No
YDL202W	0.996	Yes
YDL203C	0.000	No
YDL204W	0.026	No
YDL205C	0.000	No
YDL206W	0.073	No
YDL207W	0.000	No
YDL208W	0.000	No
YDL209C	0.032	No
YDL210W	0.000	No
YDL211C	0.000	No
YDL212W	0.008	No
YDL213C	0.000	No
YDL214C	0.005	No
YDL215C	0.000	No
YDL216C	0.006	No
YDL217C	0.000	No
YDL218W	0.043	No
YDL219W	0.018	No
YDL220C	0.000	No
YDL221W	0.005	No
YDL222C	0.047	No
YDL223C	0.000	No
YDL224C	0.193	No
YDL225W	0.043	No
YDL226C	0.005	No
YDL227C	0.013	No
YDL228C	0.134	No
YDL229W	0.000	No
YDL230W	0.012	No
YDL231C	0.000	No
YDL232W	0.000	No
YDL233W	0.000	No
YDL234C	0.000	No
YDL235C	0.000	No
YDL236W	0.000	No
YDL237W	0.050	No
YDL238C	0.003	No
YDL239C	0.013	No
YDL240C-A	0.005	No
YDL240W	0.193	No
YDL241W	0.000	No
YDL242W	0.006	No
YDL243C	0.000	No
YDL244W	0.003	No
YDL245C	0.000	No
YDL246C	0.000	No
YDL247W	0.000	No
YDL247W-A	0.000	No
YDL248W	0.000	No
YDR001C	0.129	No
YDR002W	0.000	No
YDR003W	0.000	No
YDR003W-A	0.004	No
YDR004W	0.000	No
YDR005C	0.000	No
YDR006C	0.000	No
YDR007W	0.000	No
YDR008C	0.520	Yes
YDR009W	0.000	No
YDR010C	0.014	No
YDR011W	0.000	No
YDR012W	0.000	No
YDR013W	0.019	No
YDR014W	0.271	No
YDR014W-A	0.027	No
YDR015C	0.000	No
YDR016C	0.000	No
YDR017C	0.000	No
YDR018C	0.110	No
YDR019C	0.884	Yes
YDR020C	0.000	No
YDR021W	0.005	No
YDR022C	0.000	No
YDR023W	0.009	No
YDR024W	0.691	Yes
YDR025W	0.283	No
YDR026C	0.000	No
YDR027C	0.000	No
YDR028C	0.000	No
YDR029W	0.010	No
YDR030C	0.000	No
YDR031W	0.000	No
YDR032C	0.000	No
YDR033W	0.000	No
YDR034C	0.000	No
YDR034C-A	0.000	No
YDR034C-C	0.000	No
YDR034C-D	0.000	No
YDR034W-B	0.000	No
YDR035W	0.000	No
YDR036C	0.878	Yes
YDR037W	0.000	No
YDR038C	0.000	No
YDR039C	0.000	No
YDR040C	0.000	No
YDR041W	0.841	Yes
YDR042C	0.000	No
YDR043C	0.000	No
YDR044W	0.012	No
YDR045C	0.012	No
YDR046C	0.000	No
YDR047W	0.060	No
YDR048C	0.003	No
YDR049W	0.000	No
YDR050C	0.064	No
YDR051C	0.003	No
YDR052C	0.073	No
YDR053W	0.022	No
YDR054C	0.012	No
YDR055W	0.000	No
YDR056C	0.019	No
YDR057W	0.000	No
YDR058C	0.000	No
YDR059C	0.000	No
YDR060W	0.000	No
YDR061W	0.202	No
YDR062W	0.000	No
YDR063W	0.097	No
YDR064W	0.273	No
YDR065W	0.260	No
YDR066C	0.014	No
YDR067C	0.000	No
YDR068W	0.000	No
YDR069C	0.009	No
YDR070C	0.928	Yes
