Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
SPAC1002.19 Ntermext	0.000	No mitochondrial presequence	32(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.05c Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.000	93-97	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.03 Ntermext	0.019	No mitochondrial presequence	33(MPP)	0.212	4-8,7-11	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.04c Ntermext	0.079	No mitochondrial presequence	19(MPP)	-0.053	16-20,85-89	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.03 Ntermext	0.000	No mitochondrial presequence	21(MPP)	0.095	37-41	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.02 Ntermext	0.010	No mitochondrial presequence	19(MPP), 20(Icp55)	0.105	3-7	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.06 Ntermext	0.054	No mitochondrial presequence	40(MPP)	0.025	5-9,20-24,46-50	5-14-high	-	-	-	-	-	-	-	-	-	-	-	4-9	5-10	-	
SPAC1399.01c Ntermext	0.044	No mitochondrial presequence	22(MPP)	-0.045	74-78	15-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP11E10.01 Ntermext	0.000	No mitochondrial presequence	30(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP11E10.02c Ntermext	0.000	No mitochondrial presequence	32(MPP)	-0.031		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.02 Ntermext	0.000	No mitochondrial presequence	43(MPP)	0.000	17-21	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.03 Ntermext	0.153	No mitochondrial presequence	16(MPP), 17(Icp55)	0.000	13-17	11-20-low	-	-	-	-	-	-	-	-	-	-	-	12-17	13-18	-	
SPAPB1A10.16 Ntermext	0.460	Possessing mitochondrial presequence	44(MPP)	0.182	10-14	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.04c Ntermext	0.000	No mitochondrial presequence	59(MPP)	-0.153	41-45,56-60	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.05 Ntermext	0.000	No mitochondrial presequence	43(MPP)	0.093		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.06c Ntermext	0.423	Possessing mitochondrial presequence	33(MPP)	0.182	42-46	16-25-low	-	-	-	-	-	-	5-10	-	-	4-9	-	-	-	-	
SPAPB1A10.07c Ntermext	0.000	No mitochondrial presequence	25(MPP), 33(Oct1)	0.000		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.08 Ntermext	0.146	No mitochondrial presequence	7(MPP)	0.286	5-9,31-35	4-16-high	-	-	-	-	-	-	-	-	3-8	-	-	-	-	-	
SPAPB1A10.09 Ntermext	0.000	No mitochondrial presequence	50(MPP)	-0.080		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.10c Ntermext	0.029	No mitochondrial presequence	20(MPP)	0.050	21-25	14-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.11c Ntermext	0.953	Possessing mitochondrial presequence	28(MPP)	0.179	7-11,12-16,88-92	4-15-low	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
SPAPB1A10.12c Ntermext	0.117	No mitochondrial presequence	46(MPP)	0.065	83-87	20-29-low	-	-	-	-	-	-	-	24-29	-	-	-	-	-	23-28	
SPAPB1A10.13 Ntermext	0.005	No mitochondrial presequence	39(MPP)	0.077		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.14 Ntermext	0.004	No mitochondrial presequence	7(MPP)	0.143	65-69	4-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.15 Ntermext	0.000	No mitochondrial presequence	27(MPP)	-0.037	43-47,66-70	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.04 Ntermext	0.000	No mitochondrial presequence	71(MPP)	-0.042	20-24,45-49,68-72	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC140.01 Ntermext	0.851	Possessing mitochondrial presequence	23(MPP)	0.217	13-17	9-18-high	-	19-24	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC140.02 Ntermext	0.000	No mitochondrial presequence	64(MPP)	0.234		12-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC140.03 Ntermext	0.000	No mitochondrial presequence	40(MPP), 41(Icp55)	0.125	75-79	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC140.04 Ntermext	0.006	No mitochondrial presequence	36(MPP)	0.056		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC110.05 Ntermext	0.044	No mitochondrial presequence	66(MPP)	0.061	38-42,54-58,63-67	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.05c Ntermext	0.206	No mitochondrial presequence	14(MPP)	0.143	58-62	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC110.01 Ntermext	0.000	No mitochondrial presequence	60(MPP)	-0.017	8-12	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC110.02 Ntermext	0.067	No mitochondrial presequence	16(MPP)	0.188	85-89	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC110.03 Ntermext	0.000	No mitochondrial presequence	69(MPP), 70(Icp55)	-0.058		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC110.04c Ntermext	0.023	No mitochondrial presequence	52(MPP)	0.058	72-76	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP14E8.02 Ntermext	0.006	No mitochondrial presequence	23(MPP)	0.000		7-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP14E8.03 Ntermext	0.056	No mitochondrial presequence	23(MPP)	0.174	31-35	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP14E8.04 Ntermext	0.047	No mitochondrial presequence	77(MPP)	0.117	21-25,40-44	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP14E8.05c Ntermext	0.003	No mitochondrial presequence	74(MPP)	0.068	44-48,96-100	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.06c Ntermext	0.231	No mitochondrial presequence	13(MPP)	0.077	10-14,27-31,48-52	10-19-high	12-17	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.01c Ntermext	0.000	No mitochondrial presequence	89(MPP)	-0.022	64-68	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.02c Ntermext	0.050	No mitochondrial presequence	43(MPP)	0.023	21-25,63-67,80-84,84-88	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	21-26	-	
SPAC3H1.03 Ntermext	0.000	No mitochondrial presequence	67(MPP)	-0.030		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.04c Ntermext	0.749	Possessing mitochondrial presequence	82(MPP), 83(Icp55)	0.146	11-15,52-56	7-16-high	-	-	-	-	-	-	7-12	-	-	-	-	-	-	-	
SPAC3H1.05 Ntermext	0.021	No mitochondrial presequence	24(MPP), 25(Icp55)	0.083	34-38,37-41,57-61,92-96	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.06c Ntermext	0.012	No mitochondrial presequence	26(MPP)	0.038		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.07 Ntermext	0.000	No mitochondrial presequence	47(MPP)	0.106	44-48	16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.08c Ntermext	0.215	No mitochondrial presequence	33(MPP)	0.152		8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.07c Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.222		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.09c Ntermext	0.000	No mitochondrial presequence	34(MPP)	0.176		1-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.10 Ntermext	0.396	Possessing mitochondrial presequence	14(MPP)	0.143	4-8,63-67	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.08 Ntermext	0.036	No mitochondrial presequence	17(MPP)	0.118	14-18,85-89	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.11 Ntermext	0.013	No mitochondrial presequence	60(MPP), 61(Icp55)	0.017		5-14-high	-	2-7	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.12c Ntermext	0.111	No mitochondrial presequence	12(MPP)	0.250		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3H1.13 Ntermext	0.042	No mitochondrial presequence	85(MPP)	0.071	35-39,73-77	4-13-high	-	-	-	-	-	-	5-10	-	-	-	-	-	-	4-9	
SPAC3H1.14 Ntermext	0.057	No mitochondrial presequence	15(MPP)	0.200		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.14 Ntermext	0.031	No mitochondrial presequence	29(MPP)	0.103	76-80	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.02 Ntermext	0.000	No mitochondrial presequence	88(MPP)	-0.045		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.03c Ntermext	0.000	No mitochondrial presequence	42(MPP)	0.214	73-77,87-91	10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.04 Ntermext	0.439	Possessing mitochondrial presequence	45(MPP)	0.200	1-5	18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.05 Ntermext	0.035	No mitochondrial presequence	71(MPP)	0.070	41-45	4-14-high	4-9	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.06c Ntermext	0.004	No mitochondrial presequence	13(MPP)	0.154	10-14,61-65	3-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.07 Ntermext	0.000	No mitochondrial presequence	6(MPP)	0.333		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.08c Ntermext	0.000	No mitochondrial presequence	59(MPP)	0.017		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.15c Ntermext	0.000	No mitochondrial presequence	27(MPP)	-0.037	24-28	16-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.09 Ntermext	0.000	No mitochondrial presequence	41(MPP)	0.049	1-5	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.10c Ntermext	0.000	No mitochondrial presequence	92(MPP)	0.065	89-93	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.11c Ntermext	0.000	No mitochondrial presequence	27(MPP)	-0.074		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.12 Ntermext	0.000	No mitochondrial presequence	68(MPP)	0.029	11-15	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC9G1.13c Ntermext	0.000	No mitochondrial presequence	37(MPP)	0.000	85-89	6-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC767.01c Ntermext	0.000	No mitochondrial presequence	37(MPP)	-0.027	7-11	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC212.02 Ntermext	0.008	No mitochondrial presequence	47(MPP)	-0.085	5-9,39-43	15-26-high	-	-	-	-	-	-	-	-	-	-	-	4-9	-	-	
SPAC13G6.09 Ntermext	0.000	No mitochondrial presequence	27(MPP)	-0.222	66-70	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.01 Ntermext	0.139	No mitochondrial presequence	12(MPP)	0.083	15-19,80-84	5-14-high	-	-	-	-	-	-	-	5-10	-	4-9	-	-	-	-	
SPAC17H9.02 Ntermext	0.000	No mitochondrial presequence	21(MPP)	-0.095		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.03c Ntermext	0.017	No mitochondrial presequence	64(MPP)	0.078	27-31,64-68	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.04c Ntermext	0.000	No mitochondrial presequence	66(MPP)	-0.091		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.05 Ntermext	0.000	No mitochondrial presequence	12(MPP)	0.167	16-20	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.06c Ntermext	0.016	No mitochondrial presequence	21(MPP)	0.048	18-22	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.07 Ntermext	0.000	No mitochondrial presequence	67(MPP)	0.060	42-46,64-68	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.10c Ntermext	0.006	No mitochondrial presequence	30(MPP)	0.100		16-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.08 Ntermext	0.009	No mitochondrial presequence	54(MPP), 55(Icp55)	0.037	62-66,66-70,69-73,86-90	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.09c Ntermext	0.046	No mitochondrial presequence	42(MPP)	0.143	29-33	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.10c Ntermext	0.026	No mitochondrial presequence	15(MPP)	0.133	18-22,56-60	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.11 Ntermext	0.523	Possessing mitochondrial presequence	16(MPP)	0.250	7-11	3-12-high	-	-	-	-	-	-	-	-	5-10	-	4-9	-	-	-	
SPAC17H9.12c Ntermext	0.000	No mitochondrial presequence	36(MPP)	0.056	37-41	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.13c Ntermext	0.008	No mitochondrial presequence	52(MPP)	0.096		19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.14c Ntermext	0.088	No mitochondrial presequence	58(MPP)	0.052	8-12	7-16-high	-	-	-	-	-	-	-	-	-	-	-	7-12	-	-	
SPAC17H9.16 Ntermext	0.000	No mitochondrial presequence	55(MPP)	-0.327	52-56,81-85	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.11c Ntermext	0.008	No mitochondrial presequence	46(MPP), 47(Icp55)	0.087		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.17c Ntermext	0.000	No mitochondrial presequence	40(MPP), 41(Icp55)	0.025	15-19	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.18c Ntermext	0.020	No mitochondrial presequence	33(MPP)	0.091		10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.19c Ntermext	0.012	No mitochondrial presequence	29(MPP)	0.000	12-16	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC17H9.20 Ntermext	0.000	No mitochondrial presequence	24(MPP)	-0.208		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.02c Ntermext	0.043	No mitochondrial presequence	8(MPP)	0.250	46-50,94-98	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.03c Ntermext	0.102	No mitochondrial presequence	27(MPP)	0.148		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.04 Ntermext	0.000	No mitochondrial presequence	64(MPP)	0.000		16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.05 Ntermext	0.000	No mitochondrial presequence	86(MPP)	-0.058		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.12c Ntermext	0.064	No mitochondrial presequence	6(MPP)	0.500	3-7	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.06c Ntermext	0.070	No mitochondrial presequence	28(MPP)	0.036	25-29,66-70,70-74	10-20-low	-	-	-	-	-	-	-	-	-	-	-	24-29	-	-	
SPAC607.07c Ntermext	0.000	No mitochondrial presequence	40(MPP)	0.100	29-33	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.08c Ntermext	0.003	No mitochondrial presequence	18(MPP)	-0.111	44-48	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.09c Ntermext	0.063	No mitochondrial presequence	10(MPP)	0.300	1-5	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC607.10 Ntermext	0.538	Possessing mitochondrial presequence	17(MPP), 18(Icp55)	0.118	6-10,14-18	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC732.01 Ntermext	0.006	No mitochondrial presequence	39(MPP)	0.026		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC732.02c Ntermext	0.004	No mitochondrial presequence	32(MPP), 33(Icp55)	0.062	29-33	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.01c Ntermext	0.060	No mitochondrial presequence	33(MPP)	0.152	5-9,67-71,91-95	5-20-high	-	-	-	-	-	-	-	-	-	-	-	-	5-10	-	
SPAC13G6.13 Ntermext	0.035	No mitochondrial presequence	52(MPP)	0.154	86-90	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.02c Ntermext	0.010	No mitochondrial presequence	61(MPP)	0.164	1-5,58-62	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.03c Ntermext	0.012	No mitochondrial presequence	44(MPP)	0.045	13-17	9-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.04 Ntermext	0.000	No mitochondrial presequence	30(MPP)	0.067		16-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.05c Ntermext	0.011	No mitochondrial presequence	29(MPP)	-0.069	71-75,78-82,91-95	18-27-low	-	-	-	-	-	-	17-22	-	-	-	-	-	-	16-21	
SPAC3C7.06c Ntermext	0.025	No mitochondrial presequence	46(MPP)	0.130	6-10,31-35	1-10-high	-	-	-	-	-	-	-	-	4-9	-	-	-	-	-	
SPAC3C7.07c Ntermext	0.007	No mitochondrial presequence	73(MPP)	0.055	3-7,41-45,88-92,91-95	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.08c Ntermext	0.004	No mitochondrial presequence	10(MPP), 18(Oct1)	-0.100	25-29,70-74	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.09 Ntermext	0.003	No mitochondrial presequence	69(MPP)	0.145	96-100	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.10 Ntermext	0.000	No mitochondrial presequence	43(MPP)	-0.023	40-44	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.11c Ntermext	0.019	No mitochondrial presequence	94(MPP)	0.021	2-6,91-95	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.12 Ntermext	0.008	No mitochondrial presequence	20(MPP)	0.000	17-21	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC3C7.13c Ntermext	0.140	No mitochondrial presequence	29(MPP)	0.138	22-26	21-30-high	-	-	-	-	22-27	-	-	-	-	-	-	-	-	-	
SPAC3C7.14c Ntermext	0.007	No mitochondrial presequence	8(MPP)	0.250	29-33,51-55,54-58	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC25A8.03c Ntermext	0.671	Possessing mitochondrial presequence	44(MPP), 45(Icp55)	0.114	77-81	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC25A8.01c Ntermext	0.005	No mitochondrial presequence	83(MPP)	0.000	7-11	6-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC25A8.02 Ntermext	0.020	No mitochondrial presequence	15(MPP)	0.133	44-48	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.14 Ntermext	0.110	No mitochondrial presequence	21(MPP)	-0.095	1-5	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC631.01c Ntermext	0.118	No mitochondrial presequence	33(MPP)	0.030	11-15	11-20-high	-	-	-	-	-	-	-	1-6,15-20	-	14-19	-	-	-	-	
SPAC631.02 Ntermext	0.000	No mitochondrial presequence	6(MPP)	0.167		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.01 Ntermext	0.022	No mitochondrial presequence	40(MPP)	0.100		6-15-low	-	-	-	-	-	18-23	-	-	-	17-22	-	-	-	-	
SPAC20H4.02 Ntermext	0.021	No mitochondrial presequence	15(MPP)	0.133	12-16,37-41,68-72,87-91,91-95	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.03c Ntermext	0.000	No mitochondrial presequence	69(MPP)	0.014	13-17	20-29-low	-	7-12	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.04 Ntermext	0.003	No mitochondrial presequence	32(MPP)	0.125		10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.05c Ntermext	0.000	No mitochondrial presequence	37(MPP)	-0.027	73-77	8-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.06c Ntermext	0.063	No mitochondrial presequence	16(MPP)	0.250	5-9	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.07 Ntermext	0.003	No mitochondrial presequence	80(MPP)	-0.087		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.15c Ntermext	0.006	No mitochondrial presequence	44(MPP)	-0.045	41-45,48-52	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.08 Ntermext	0.000	No mitochondrial presequence	35(MPP)	0.000	85-89	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.09 Ntermext	0.105	No mitochondrial presequence	82(MPP)	0.049		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.10 Ntermext	0.043	No mitochondrial presequence	60(MPP)	0.083	23-27,94-98	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC20H4.11c Ntermext	0.243	No mitochondrial presequence	30(MPP)	0.100		16-25-low	-	-	-	-	-	-	-	-	-	-	24-29	-	-	-	
SPAC23C11.01 Ntermext	0.000	No mitochondrial presequence	56(MPP)	-0.161		16-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.02c Ntermext	0.008	No mitochondrial presequence	12(MPP)	0.250	66-70	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.03 Ntermext	0.373	No mitochondrial presequence	28(MPP)	0.286	53-57,91-95	13-22-high	13-18	-	-	-	-	-	-	5-10	-	4-9	-	-	-	-	
SPAC23C11.04c Ntermext	0.000	No mitochondrial presequence	92(MPP), 93(Icp55)	0.120		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.05 Ntermext	0.003	No mitochondrial presequence	20(MPP)	0.000		13-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.06c Ntermext	0.003	No mitochondrial presequence	22(MPP)	-0.045	19-23,59-63	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.07 Ntermext	0.016	No mitochondrial presequence	20(MPP)	0.100	2-6	12-21-low	-	-	-	-	-	-	-	-	-	-	-	1-6	-	-	
SPAC23C11.08 Ntermext	0.012	No mitochondrial presequence	25(MPP)	-0.040	22-26	21-30-high	-	-	-	-	22-27	-	25-30	-	-	-	-	-	-	-	
SPAC23C11.09 Ntermext	0.023	No mitochondrial presequence	42(MPP)	0.048	43-47,95-99	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.10 Ntermext	0.000	No mitochondrial presequence	94(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.11 Ntermext	0.013	No mitochondrial presequence	19(MPP), 20(Icp55)	0.000	16-20,74-78	16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC24B11.05 Ntermext	0.005	No mitochondrial presequence	57(MPP)	0.000	86-90	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.12 Ntermext	0.180	No mitochondrial presequence	29(MPP)	0.138		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC23C11.13c Ntermext	0.000	No mitochondrial presequence	50(MPP)	0.020	14-18,22-26	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
