Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNA00300 Protein	0.000	No mitochondrial presequence	58(MPP)	0.069	64-68	8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00310 Protein	0.029	No mitochondrial presequence	55(MPP)	0.000	65-69	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00320 Protein	0.000	No mitochondrial presequence	37(MPP)	0.000		21-30-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	23-28	
CNA00330 Protein	0.007	No mitochondrial presequence	14(MPP)	0.071		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00340 Protein	0.000	No mitochondrial presequence	48(MPP)	-0.021	36-40,91-95	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00350 Protein	0.000	No mitochondrial presequence	42(MPP)	0.048	28-32,85-89	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00360 Protein	0.074	No mitochondrial presequence	57(MPP)	0.018		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00370 Protein	0.000	No mitochondrial presequence	5(MPP)	-0.200		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00380 Protein	0.000	No mitochondrial presequence	48(MPP)	-0.125	87-91	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00390 Protein	0.000	No mitochondrial presequence	31(MPP)	0.000	86-90	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00400 Protein	0.000	No mitochondrial presequence	69(MPP)	0.087		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00410 Protein	0.080	No mitochondrial presequence	83(MPP)	-0.012		1-10-high	-	-	-	-	-	-	-	8-13	-	-	-	-	-	-	
CNA00420 Protein	0.017	No mitochondrial presequence	40(MPP)	0.025	37-41	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00430 Protein	0.005	No mitochondrial presequence	55(MPP)	0.000	58-62	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00450 Protein	0.000	No mitochondrial presequence	67(MPP)	-0.090	81-85,89-93	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00460 Protein	0.000	No mitochondrial presequence	77(MPP)	0.000		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00470 Protein	0.000	No mitochondrial presequence	25(MPP)	-0.080		19-28-high	25-30	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00480 Protein	0.000	No mitochondrial presequence	49(MPP)	0.041	63-67,93-97	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00485 Protein	0.005	No mitochondrial presequence	30(MPP)	0.100	28-32,95-99	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00490 Protein	0.000	No mitochondrial presequence	53(MPP)	-0.057	22-26	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00510 Protein	0.996	Possessing mitochondrial presequence	21(MPP), 29(Oct1)	0.190	50-54	13-22-low	-	-	-	-	-	-	18-23	-	-	-	-	-	-	17-22	
CNA00520 Protein	0.000	No mitochondrial presequence	13(MPP)	0.077		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00530 Protein	0.000	No mitochondrial presequence	64(MPP), 65(Icp55)	-0.062	46-50	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00540 Protein	0.073	No mitochondrial presequence	30(MPP)	0.233	88-92	1-10-high	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-	
CNA00550 Protein	0.076	No mitochondrial presequence	21(MPP)	0.095		2-11-high	-	-	-	-	-	-	2-7	-	16-21	1-6	15-20	-	-	-	
CNA00560 Protein	0.000	No mitochondrial presequence	50(MPP)	-0.140	90-94	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00570 Protein	0.000	No mitochondrial presequence	72(MPP)	-0.056		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00580 Protein	0.006	No mitochondrial presequence	40(MPP)	0.025	37-41,54-58	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00590 Protein	0.000	No mitochondrial presequence	73(MPP)	0.000		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00600 Protein	0.000	No mitochondrial presequence	25(MPP)	-0.080		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00610 Protein	0.000	No mitochondrial presequence	27(MPP)	-0.074		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00620 Protein	0.000	No mitochondrial presequence	63(MPP)	-0.032	60-64	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00630 Protein	0.084	No mitochondrial presequence	33(MPP)	0.091	1-5	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
CNA00640 Protein	0.000	No mitochondrial presequence	14(MPP)	0.000		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00650 Protein	0.000	No mitochondrial presequence	19(MPP)	-0.105		17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00660 Protein	0.000	No mitochondrial presequence	31(MPP)	-0.065	86-90	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00670 Protein	0.026	No mitochondrial presequence	44(MPP)	0.045	71-75	15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00680 Protein	0.009	No mitochondrial presequence	43(MPP)	0.047		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00690 Protein	0.000	No mitochondrial presequence	63(MPP)	-0.016		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00700 Protein	0.000	No mitochondrial presequence	53(MPP)	0.000	88-92	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00710 Protein	0.041	No mitochondrial presequence	34(MPP)	0.088	96-100	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00720 Protein	0.019	No mitochondrial presequence	12(MPP), 13(Icp55)	0.000	63-67	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00730 Protein	0.000	No mitochondrial presequence	41(MPP)	-0.195		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00740 Protein	0.000	No mitochondrial presequence	35(MPP)	-0.029	83-87	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00750 Protein	0.000	No mitochondrial presequence	42(MPP)	-0.048	80-84	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00760 Protein	0.546	Possessing mitochondrial presequence	22(MPP)	0.227	74-78	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00770 Protein	0.000	No mitochondrial presequence	20(MPP)	0.050	75-79,94-98	11-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00780 Protein	0.047	No mitochondrial presequence	10(MPP)	0.200	7-11,59-63	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00790 Protein	0.003	No mitochondrial presequence	49(MPP)	-0.061	87-91	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00800 Protein	0.000	No mitochondrial presequence	37(MPP)	0.027	31-35	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00820 Protein	0.000	No mitochondrial presequence	27(MPP)	0.037		6-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00830 Protein	0.020	No mitochondrial presequence	74(MPP)	0.068		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00840 Protein	0.000	No mitochondrial presequence	95(MPP)	-0.084		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00850 Protein	0.004	No mitochondrial presequence	63(MPP)	0.016	31-35	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00860 Protein	0.004	No mitochondrial presequence	46(MPP)	0.109	19-23,47-51,55-59	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00870 Protein	0.000	No mitochondrial presequence	38(MPP)	0.079	47-51	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00880 Protein	0.000	No mitochondrial presequence	16(MPP)	0.062	51-55,55-59,77-81	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00890 Protein	0.013	No mitochondrial presequence	37(MPP)	0.081		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00900 Protein	0.000	No mitochondrial presequence	55(MPP)	-0.109	44-48	15-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00910 Protein	0.000	No mitochondrial presequence	45(MPP)	0.000	11-15,23-27	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00920 Protein	0.000	No mitochondrial presequence	75(MPP)	0.040	35-39,87-91,93-97	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00930 Protein	0.013	No mitochondrial presequence	46(MPP)	-0.022	26-30	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00940 Protein	0.000	No mitochondrial presequence	23(MPP)	0.043	20-24,39-43,91-95	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00950 Protein	0.000	No mitochondrial presequence	87(MPP)	0.000	81-85	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00960 Protein	0.000	No mitochondrial presequence	10(MPP)	0.100		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00970 Protein	0.000	No mitochondrial presequence	46(MPP)	0.043		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00980 Protein	0.154	No mitochondrial presequence	30(MPP), 38(Oct1)	0.167	82-86	10-19-high	-	-	-	-	-	15-20	-	-	-	-	-	-	-	14-19	
CNA00990 Protein	0.000	No mitochondrial presequence	29(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01000 Protein	0.521	Possessing mitochondrial presequence	82(MPP)	0.098	1-5,4-8,80-84	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01010 Protein	0.059	No mitochondrial presequence	50(MPP)	0.140	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
CNA01020 Protein	0.000	No mitochondrial presequence	66(MPP)	-0.061		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01030 Protein	0.005	No mitochondrial presequence	69(MPP), 70(Icp55)	-0.014		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01040 Protein	0.064	No mitochondrial presequence	63(MPP)	0.095	55-59,60-64	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01050 Protein	0.000	No mitochondrial presequence	22(MPP)	-0.136	36-40	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01060 Protein	0.041	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01070 Protein	0.000	No mitochondrial presequence	36(MPP)	-0.083	93-97	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01080 Protein	0.000	No mitochondrial presequence	31(MPP)	0.032	28-32	7-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01090 Protein	0.000	No mitochondrial presequence	17(MPP)	0.000		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01095 Protein	0.000	No mitochondrial presequence	57(MPP)	0.018		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01100 Protein	0.019	No mitochondrial presequence	21(MPP)	0.095	18-22	13-22-high	-	-	-	-	-	-	-	-	-	-	-	17-22	-	-	
CNA01120 Protein	0.000	No mitochondrial presequence	41(MPP)	0.024		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01130 Protein	0.105	No mitochondrial presequence	39(MPP)	0.103	18-22,83-87	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01140 Protein	0.000	No mitochondrial presequence	9(MPP)	0.222	92-96	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01150 Protein	0.023	No mitochondrial presequence	18(MPP)	0.167		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01160 Protein	0.038	No mitochondrial presequence	45(MPP)	0.067	75-79	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01170 Protein	0.006	No mitochondrial presequence	32(MPP)	0.031	36-40,74-78	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01180 Protein	0.108	No mitochondrial presequence	64(MPP)	0.125	92-96	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01190 Protein	0.225	No mitochondrial presequence	15(MPP)	0.067	22-26	12-26-low	-	-	-	-	-	-	-	-	-	2-7	-	-	-	-	
CNA01200 Protein	0.000	No mitochondrial presequence	30(MPP)	0.100	86-90	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01205 Protein	0.000	No mitochondrial presequence	10(MPP)	0.400		11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01210 Protein	0.005	No mitochondrial presequence	15(MPP)	0.267	82-86,85-89	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01220 Protein	0.000	No mitochondrial presequence	60(MPP), 61(Icp55)	-0.033		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01230 Protein	0.000	No mitochondrial presequence	24(MPP)	-0.167	33-37	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01240 Protein	0.000	No mitochondrial presequence	66(MPP)	-0.015	14-18,51-55	13-23-low	-	-	-	-	-	-	-	-	-	-	-	13-18	-	-	
CNA01250 Protein	0.881	Possessing mitochondrial presequence	24(MPP)	0.167	86-90	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01260 Protein	0.000	No mitochondrial presequence	37(MPP)	-0.027	19-23,81-85	8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01270 Protein	0.009	No mitochondrial presequence	33(MPP)	0.121	1-5,9-13	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01280 Protein	0.000	No mitochondrial presequence	21(MPP)	0.000	18-22,77-81	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01290 Protein	0.000	No mitochondrial presequence	69(MPP)	0.116	66-70	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01310 Protein	0.000	No mitochondrial presequence	25(MPP)	-0.080	35-39,44-48,65-69	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01320 Protein	0.000	No mitochondrial presequence	34(MPP), 35(Icp55)	0.000	47-51,73-77	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01330 Protein	0.000	No mitochondrial presequence	49(MPP)	-0.041	88-92	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01340 Protein	0.000	No mitochondrial presequence	40(MPP)	0.025	32-36	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01350 Protein	0.000	No mitochondrial presequence	53(MPP)	0.038	78-82	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01360 Protein	0.000	No mitochondrial presequence	80(MPP)	-0.188	17-21	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01370 Protein	0.038	No mitochondrial presequence	78(MPP)	0.038	3-7,8-12	5-14-high	-	-	-	-	-	-	-	-	6-11	-	-	-	-	-	
CNA01380 Protein	0.000	No mitochondrial presequence	32(MPP)	0.000	56-60	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01390 Protein	0.000	No mitochondrial presequence	86(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01400 Protein	0.000	No mitochondrial presequence	54(MPP)	0.037		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01410 Protein	0.000	No mitochondrial presequence	36(MPP)	0.028		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01420 Protein	0.021	No mitochondrial presequence	52(MPP)	0.038		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01430 Protein	0.049	No mitochondrial presequence	8(MPP)	0.250	54-58,57-61,79-83	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01440 Protein	0.000	No mitochondrial presequence	41(MPP)	0.122		19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01450 Protein	0.000	No mitochondrial presequence	22(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01460 Protein	0.018	No mitochondrial presequence	34(MPP)	0.088		6-15-low	-	-	-	-	-	-	-	-	-	-	22-27	-	-	-	
CNA01470 Protein	0.014	No mitochondrial presequence	31(MPP)	0.065	50-54	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01480 Protein	0.000	No mitochondrial presequence	13(MPP)	0.154		14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01490 Protein	0.007	No mitochondrial presequence	95(MPP)	-0.021	79-83	1-12-low	-	-	-	-	-	-	-	13-18	-	12-17	-	-	-	-	
CNA01500 Protein	0.871	Possessing mitochondrial presequence	38(MPP), 39(Icp55)	0.105		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01510 Protein	0.013	No mitochondrial presequence	42(MPP)	0.024		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01520 Protein	0.000	No mitochondrial presequence	57(MPP)	-0.035	54-58	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01530 Protein	0.299	No mitochondrial presequence	9(MPP)	0.222		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01540 Protein	0.000	No mitochondrial presequence	88(MPP), 89(Icp55)	-0.102	29-33	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01550 Protein	0.000	No mitochondrial presequence	35(MPP)	0.000	32-36,46-50,80-84	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01560 Protein	0.000	No mitochondrial presequence	21(MPP)	0.000	87-91	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01580 Protein	0.000	No mitochondrial presequence	50(MPP)	0.080		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01590 Protein	0.000	No mitochondrial presequence	16(MPP)	-0.188	61-65	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01600 Protein	0.006	No mitochondrial presequence	27(MPP)	0.037		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01610 Protein	0.000	No mitochondrial presequence	44(MPP)	0.045	79-83	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01620 Protein	0.051	No mitochondrial presequence	17(MPP), 18(Icp55)	0.235	42-46	7-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01630 Protein	0.000	No mitochondrial presequence	11(MPP)	-0.091	61-65	16-25-low	-	-	-	-	-	-	16-21	-	-	15-20	-	-	-	-	
CNA01640 Protein	0.003	No mitochondrial presequence	21(MPP)	-0.095	21-25	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	21-26	-	
CNA01650 Protein	0.000	No mitochondrial presequence	62(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01660 Protein	0.000	No mitochondrial presequence	45(MPP)	-0.022		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01680 Protein	0.000	No mitochondrial presequence	55(MPP)	0.036		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01690 Protein	0.000	No mitochondrial presequence	53(MPP)	-0.075		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01700 Protein	0.004	No mitochondrial presequence	26(MPP)	0.000		16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01710 Protein	0.000	No mitochondrial presequence	52(MPP)	0.019	23-27	14-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01720 Protein	0.040	No mitochondrial presequence	11(MPP)	0.091	55-59,59-63,81-85	6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01730 Protein	0.004	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033	76-80	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01740 Protein	0.003	No mitochondrial presequence	22(MPP)	0.091	78-82	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01750 Protein	0.000	No mitochondrial presequence	12(MPP)	-0.083		9-22-low	-	-	-	-	-	9-14	-	-	-	8-13	-	-	-	-	
CNA01760 Protein	0.128	No mitochondrial presequence	36(MPP)	0.194	95-99	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01770 Protein	0.000	No mitochondrial presequence	54(MPP)	0.074	60-64	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01780 Protein	0.000	No mitochondrial presequence	49(MPP)	0.041	1-5	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01790 Protein	0.000	No mitochondrial presequence	93(MPP)	-0.075		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01800 Protein	0.091	No mitochondrial presequence	47(MPP)	0.106		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01810 Protein	0.000	No mitochondrial presequence	36(MPP)	0.028		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
