Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNA00160 Ntermext	0.874	Possessing mitochondrial presequence	9(MPP)	0.111		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00170 Ntermext	0.000	No mitochondrial presequence	27(MPP)	-0.037	68-72	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00180 Ntermext	0.017	No mitochondrial presequence	27(MPP)	0.074		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00190 Ntermext	0.984	Possessing mitochondrial presequence	30(MPP), 38(Oct1)	0.200	42-46	9-18-high	-	-	-	-	-	-	-	9-14	-	8-13	-	-	-	-	
CNA00200 Ntermext	0.000	No mitochondrial presequence	62(MPP)	0.065		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00210 Ntermext	0.003	No mitochondrial presequence	16(MPP)	0.062		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00220 Ntermext	0.044	No mitochondrial presequence	53(MPP), 54(Icp55)	0.075		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00225 Ntermext	0.013	No mitochondrial presequence	21(MPP), 29(Oct1)	0.095	67-71	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00230 Ntermext	0.017	No mitochondrial presequence	37(MPP)	0.108	13-17,73-77	11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00240 Ntermext	0.277	No mitochondrial presequence	42(MPP)	0.095	91-95	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00250 Ntermext	0.007	No mitochondrial presequence	24(MPP)	0.000		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00260 Ntermext	0.000	No mitochondrial presequence	23(MPP)	0.043		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00270 Ntermext	0.000	No mitochondrial presequence	63(MPP)	-0.095	60-64	18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00280 Ntermext	0.060	No mitochondrial presequence	10(MPP)	0.300	7-11	2-11-high	-	-	-	-	-	-	-	-	-	-	10-15	-	-	-	
CNA00290 Ntermext	0.000	No mitochondrial presequence	35(MPP)	0.000	78-82	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00300 Ntermext	0.000	No mitochondrial presequence	76(MPP)	0.066	82-86	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00310 Ntermext	0.265	No mitochondrial presequence	25(MPP)	0.160	93-97	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00320 Ntermext	0.000	No mitochondrial presequence	56(MPP)	0.000		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00330 Ntermext	0.007	No mitochondrial presequence	14(MPP)	0.071		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00340 Ntermext	0.276	No mitochondrial presequence	19(MPP)	0.053	2-6,63-67	12-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00350 Ntermext	0.000	No mitochondrial presequence	46(MPP)	0.043	32-36,89-93	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00360 Ntermext	0.085	No mitochondrial presequence	21(MPP)	0.048		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00370 Ntermext	0.000	No mitochondrial presequence	16(MPP), 17(Icp55)	0.062		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00380 Ntermext	0.554	Possessing mitochondrial presequence	25(MPP)	0.120	14-18	13-22-high	-	-	-	-	-	-	-	-	12-17	-	11-16	-	-	-	
CNA00390 Ntermext	0.000	No mitochondrial presequence	31(MPP)	0.000	86-90	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00400 Ntermext	0.000	No mitochondrial presequence	69(MPP)	0.087		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00410 Ntermext	0.080	No mitochondrial presequence	83(MPP)	-0.012		1-10-high	-	-	-	-	-	-	-	8-13	-	-	-	-	-	-	
CNA00420 Ntermext	0.017	No mitochondrial presequence	40(MPP)	0.025	37-41	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00430 Ntermext	0.024	No mitochondrial presequence	66(MPP)	0.030	69-73	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00450 Ntermext	0.033	No mitochondrial presequence	17(MPP)	0.118		1-11-high	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
CNA00460 Ntermext	0.000	No mitochondrial presequence	77(MPP)	0.000		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00470 Ntermext	0.000	No mitochondrial presequence	12(MPP)	0.000		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00480 Ntermext	0.000	No mitochondrial presequence	49(MPP)	0.041	63-67,93-97	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00485 Ntermext	0.000	No mitochondrial presequence	34(MPP)	0.088	32-36	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00490 Ntermext	0.006	No mitochondrial presequence	9(MPP)	0.111	45-49	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00510 Ntermext	0.996	Possessing mitochondrial presequence	21(MPP), 29(Oct1)	0.190	50-54	13-22-low	-	-	-	-	-	-	18-23	-	-	-	-	-	-	17-22	
CNA00520 Ntermext	0.003	No mitochondrial presequence	56(MPP)	0.071		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00530 Ntermext	0.028	No mitochondrial presequence	16(MPP)	0.188	27-31,86-90	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00540 Ntermext	0.352	No mitochondrial presequence	12(MPP)	0.167	96-100	7-16-low	-	-	-	-	-	-	-	9-14	-	-	-	-	-	8-13	
CNA00550 Ntermext	0.394	Possessing mitochondrial presequence	14(MPP)	0.143		11-20-high	-	-	-	-	-	-	11-16	-	25-30	10-15	24-29	-	-	-	
CNA00560 Ntermext	0.000	No mitochondrial presequence	50(MPP)	-0.140	90-94	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00570 Ntermext	0.000	No mitochondrial presequence	75(MPP)	-0.053		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00580 Ntermext	0.009	No mitochondrial presequence	62(MPP)	0.016	59-63,76-80	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00590 Ntermext	0.000	No mitochondrial presequence	73(MPP)	0.000		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00600 Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.111		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00610 Ntermext	0.185	No mitochondrial presequence	31(MPP)	0.226		17-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00620 Ntermext	0.057	No mitochondrial presequence	14(MPP)	0.143	71-75	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00630 Ntermext	0.311	No mitochondrial presequence	36(MPP)	0.083	4-8	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	4-9	-	
CNA00640 Ntermext	0.028	No mitochondrial presequence	38(MPP)	0.053	8-12	7-16-high	-	-	-	-	-	-	-	-	6-11	-	5-10	-	-	-	
CNA00650 Ntermext	0.000	No mitochondrial presequence	29(MPP)	-0.034		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00660 Ntermext	0.000	No mitochondrial presequence	31(MPP)	-0.065	86-90	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00670 Ntermext	0.026	No mitochondrial presequence	44(MPP)	0.045	71-75	15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00680 Ntermext	0.009	No mitochondrial presequence	43(MPP)	0.047		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00690 Ntermext	0.000	No mitochondrial presequence	66(MPP)	-0.015		11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00700 Ntermext	0.000	No mitochondrial presequence	77(MPP)	-0.013		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00710 Ntermext	0.041	No mitochondrial presequence	34(MPP)	0.088	96-100	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00720 Ntermext	0.016	No mitochondrial presequence	30(MPP), 31(Icp55)	-0.033	81-85	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00730 Ntermext	0.000	No mitochondrial presequence	13(MPP)	0.077		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00740 Ntermext	0.013	No mitochondrial presequence	48(MPP)	0.000	7-11,96-100	3-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00750 Ntermext	0.000	No mitochondrial presequence	40(MPP)	0.050		16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00760 Ntermext	0.297	No mitochondrial presequence	33(MPP)	0.182	85-89	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00770 Ntermext	0.043	No mitochondrial presequence	22(MPP)	0.045		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00780 Ntermext	0.047	No mitochondrial presequence	10(MPP)	0.200	7-11,59-63	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00790 Ntermext	0.000	No mitochondrial presequence	50(MPP)	-0.060	88-92	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00800 Ntermext	0.000	No mitochondrial presequence	40(MPP)	0.025	34-38	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00820 Ntermext	0.000	No mitochondrial presequence	29(MPP)	0.034		8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00830 Ntermext	0.020	No mitochondrial presequence	74(MPP)	0.068		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00840 Ntermext	0.000	No mitochondrial presequence	19(MPP)	-0.053		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00850 Ntermext	0.000	No mitochondrial presequence	65(MPP)	0.015	33-37	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00860 Ntermext	0.007	No mitochondrial presequence	47(MPP)	0.106	20-24,48-52,56-60	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00870 Ntermext	0.008	No mitochondrial presequence	47(MPP)	0.064	56-60	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00880 Ntermext	0.000	No mitochondrial presequence	16(MPP)	0.062	51-55,55-59,77-81	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00890 Ntermext	0.013	No mitochondrial presequence	37(MPP)	0.081		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00900 Ntermext	0.008	No mitochondrial presequence	32(MPP), 33(Icp55)	0.031	78-82	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00910 Ntermext	0.000	No mitochondrial presequence	64(MPP)	0.000	30-34,42-46	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00920 Ntermext	0.010	No mitochondrial presequence	45(MPP)	0.111	70-74	17-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00930 Ntermext	0.005	No mitochondrial presequence	56(MPP)	-0.018	36-40	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00940 Ntermext	0.003	No mitochondrial presequence	44(MPP)	0.114	41-45,60-64	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00950 Ntermext	0.000	No mitochondrial presequence	87(MPP)	0.000	81-85	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00960 Ntermext	0.000	No mitochondrial presequence	10(MPP)	0.100		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00970 Ntermext	0.000	No mitochondrial presequence	49(MPP)	0.041		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00980 Ntermext	0.031	No mitochondrial presequence	20(MPP)	0.100		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00990 Ntermext	0.061	No mitochondrial presequence	7(MPP), 8(Icp55)	0.143	4-8	2-11-low	-	-	-	-	-	-	-	-	-	-	-	3-8	4-9	-	
CNA01000 Ntermext	0.036	No mitochondrial presequence	22(MPP)	0.182	31-35,34-38	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01010 Ntermext	0.007	No mitochondrial presequence	84(MPP)	0.036	35-39	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01020 Ntermext	0.005	No mitochondrial presequence	87(MPP)	-0.023		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01030 Ntermext	0.007	No mitochondrial presequence	84(MPP), 85(Icp55)	-0.012		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01040 Ntermext	0.097	No mitochondrial presequence	64(MPP)	0.094	56-60,61-65	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01050 Ntermext	0.000	No mitochondrial presequence	23(MPP)	-0.130	37-41	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01060 Ntermext	0.041	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01070 Ntermext	0.000	No mitochondrial presequence	36(MPP)	-0.083	93-97	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01080 Ntermext	0.000	No mitochondrial presequence	37(MPP)	0.054	34-38	13-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01090 Ntermext	0.103	No mitochondrial presequence	13(MPP)	0.308	17-21,22-26,26-30	21-30-high	-	-	-	-	-	-	-	-	-	-	-	25-30	-	-	
CNA01095 Ntermext	0.000	No mitochondrial presequence	65(MPP)	0.000		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01100 Ntermext	0.018	No mitochondrial presequence	30(MPP)	0.133	27-31	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01120 Ntermext	0.000	No mitochondrial presequence	42(MPP)	0.024		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01130 Ntermext	0.105	No mitochondrial presequence	39(MPP)	0.103	18-22,83-87	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01140 Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.222	92-96	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01150 Ntermext	0.013	No mitochondrial presequence	21(MPP)	0.143		18-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01160 Ntermext	0.055	No mitochondrial presequence	41(MPP)	0.073	93-97	18-27-low	-	-	-	-	-	-	-	3-8	-	-	-	-	-	-	
CNA01170 Ntermext	0.003	No mitochondrial presequence	58(MPP)	0.000	62-66	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01180 Ntermext	0.025	No mitochondrial presequence	73(MPP)	0.096		8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01190 Ntermext	0.022	No mitochondrial presequence	34(MPP)	0.029	2-6,58-62	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01200 Ntermext	0.000	No mitochondrial presequence	35(MPP)	0.114	91-95	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01205 Ntermext	0.000	No mitochondrial presequence	28(MPP)	0.071		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01210 Ntermext	0.329	No mitochondrial presequence	24(MPP)	0.167	15-19	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01220 Ntermext	0.109	No mitochondrial presequence	7(MPP)	0.143		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01230 Ntermext	0.088	No mitochondrial presequence	35(MPP)	0.143	71-75	21-30-high	-	2-7	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01240 Ntermext	0.006	No mitochondrial presequence	10(MPP)	0.100	24-28,61-65	2-12-low	-	-	-	-	-	-	-	-	-	-	-	23-28	-	-	
CNA01250 Ntermext	0.534	Possessing mitochondrial presequence	16(MPP), 17(Icp55)	0.125	24-28	12-21-high	-	-	-	-	-	-	-	13-18	-	-	-	-	-	12-17	
CNA01260 Ntermext	0.000	No mitochondrial presequence	48(MPP)	0.021	30-34,92-96	19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01270 Ntermext	0.003	No mitochondrial presequence	55(MPP)	0.091	23-27,31-35	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01280 Ntermext	0.000	No mitochondrial presequence	14(MPP)	0.071	34-38,93-97	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01290 Ntermext	0.000	No mitochondrial presequence	69(MPP)	0.116	66-70	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01310 Ntermext	0.000	No mitochondrial presequence	38(MPP)	-0.026	48-52,57-61,78-82	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01320 Ntermext	0.004	No mitochondrial presequence	51(MPP), 52(Icp55)	0.000	64-68,90-94	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01330 Ntermext	0.009	No mitochondrial presequence	26(MPP)	0.038		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01340 Ntermext	0.026	No mitochondrial presequence	60(MPP)	0.033	2-6,52-56	14-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01350 Ntermext	0.713	Possessing mitochondrial presequence	29(MPP)	0.138		20-29-high	9-14	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01360 Ntermext	0.000	No mitochondrial presequence	84(MPP)	-0.179	21-25	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01370 Ntermext	0.038	No mitochondrial presequence	78(MPP)	0.038	3-7,8-12	5-14-high	-	-	-	-	-	-	-	-	6-11	-	-	-	-	-	
CNA01380 Ntermext	0.000	No mitochondrial presequence	32(MPP)	0.000	56-60	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01390 Ntermext	0.000	No mitochondrial presequence	56(MPP)	0.036		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01400 Ntermext	0.000	No mitochondrial presequence	12(MPP)	0.167		13-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01410 Ntermext	0.000	No mitochondrial presequence	9(MPP)	-0.111		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01420 Ntermext	0.021	No mitochondrial presequence	52(MPP)	0.038		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01430 Ntermext	0.000	No mitochondrial presequence	37(MPP)	-0.054	83-87,86-90	15-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01440 Ntermext	0.000	No mitochondrial presequence	41(MPP)	0.122		19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01450 Ntermext	0.000	No mitochondrial presequence	22(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01460 Ntermext	0.018	No mitochondrial presequence	34(MPP)	0.088		6-15-low	-	-	-	-	-	-	-	-	-	-	22-27	-	-	-	
CNA01470 Ntermext	0.022	No mitochondrial presequence	20(MPP)	0.050	88-92	3-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01480 Ntermext	0.005	No mitochondrial presequence	14(MPP)	0.143		15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01490 Ntermext	0.004	No mitochondrial presequence	83(MPP)	-0.024	80-84	1-13-low	-	-	-	-	-	-	-	14-19	-	13-18	-	-	-	-	
CNA01500 Ntermext	0.082	No mitochondrial presequence	66(MPP), 67(Icp55)	0.091		3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01510 Ntermext	0.000	No mitochondrial presequence	47(MPP)	-0.043		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01520 Ntermext	0.029	No mitochondrial presequence	16(MPP)	0.062	76-80	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01530 Ntermext	0.028	No mitochondrial presequence	37(MPP)	0.054	1-5,28-32	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01540 Ntermext	0.000	No mitochondrial presequence	91(MPP)	-0.154	38-42	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01550 Ntermext	0.000	No mitochondrial presequence	49(MPP)	-0.020	46-50,60-64,94-98	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01560 Ntermext	0.000	No mitochondrial presequence	22(MPP)	0.000	20-24	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01580 Ntermext	0.000	No mitochondrial presequence	38(MPP)	0.026		15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01590 Ntermext	0.000	No mitochondrial presequence	16(MPP)	-0.188	61-65	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01600 Ntermext	0.007	No mitochondrial presequence	29(MPP)	0.034		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01610 Ntermext	0.005	No mitochondrial presequence	45(MPP)	0.044	80-84	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01620 Ntermext	0.058	No mitochondrial presequence	24(MPP), 25(Icp55)	0.167	49-53	14-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01630 Ntermext	0.005	No mitochondrial presequence	36(MPP)	-0.028	86-90	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01640 Ntermext	0.003	No mitochondrial presequence	21(MPP)	-0.095	21-25	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	21-26	-	
CNA01650 Ntermext	0.000	No mitochondrial presequence	62(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01660 Ntermext	0.024	No mitochondrial presequence	9(MPP)	0.222	6-10	13-24-low	-	-	-	-	-	-	-	-	4-9	-	3-8	-	-	-	
CNA01680 Ntermext	0.076	No mitochondrial presequence	24(MPP)	0.042	25-29,31-35	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01690 Ntermext	0.000	No mitochondrial presequence	53(MPP)	-0.075		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01700 Ntermext	0.004	No mitochondrial presequence	26(MPP)	0.000		16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01710 Ntermext	0.000	No mitochondrial presequence	52(MPP)	0.019	23-27	14-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01720 Ntermext	0.000	No mitochondrial presequence	48(MPP)	0.062	92-96,96-100	7-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01730 Ntermext	0.004	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033	76-80	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01740 Ntermext	0.072	No mitochondrial presequence	12(MPP), 13(Icp55)	0.083		13-22-low	-	8-13	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01750 Ntermext	0.000	No mitochondrial presequence	12(MPP)	-0.083		9-22-low	-	-	-	-	-	9-14	-	-	-	8-13	-	-	-	-	
CNA01760 Ntermext	0.128	No mitochondrial presequence	36(MPP)	0.194	95-99	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA01770 Ntermext	0.005	No mitochondrial presequence	9(MPP)	0.111	70-74	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
