Gene_name	Type	Sample	Inct.narr	Inct.wide	Nxct.narr	Nxct.wide	Upct.narr	Upct.wide	ORFct	UTR5Ct	ORFlen	UTR5len
CNA00570	RPF	JEC21	0	18	3	7	0	0	4684	34	3855	106
CNA00580	RPF	JEC21	104	285	340	1967	NA	NA	22847	NA	213	106
CNA00590	RPF	JEC21	5	15	36	67	NA	NA	9336	NA	1815	106
CNA00600	RPF	JEC21	1	1	3	4	NA	NA	261	NA	957	106
CNA00610	RPF	JEC21	0	2	1	2	NA	NA	1209	NA	1332	106
CNA00620	RPF	JEC21	96	348	116	750	0	5	47068	0	1236	106
CNA00630	RPF	JEC21	21	96	8	248	35	221	21661	29	2580	106
CNA00640	RPF	JEC21	7	11	1	36	NA	NA	4801	NA	1656	106
CNA00650	RPF	JEC21	0	1	0	0	0	0	264	0	474	106
CNA00660	RPF	JEC21	1	4	0	8	NA	NA	1911	NA	1722	106
CNA00670	RPF	JEC21	9	12	1	20	NA	NA	4474	NA	2508	106
CNA00680	RPF	JEC21	17	38	4	9	41	80	8263	30	3534	106
CNA00690	RPF	JEC21	7	46	5	11	NA	NA	1126	NA	759	106
CNA00700	RPF	JEC21	2	5	1	8	NA	NA	981	NA	1479	106
CNA00710	RPF	JEC21	20	143	41	144	0	0	30504	0	2829	106
CNA00720	RPF	JEC21	68	72	28	67	0	0	5493	0	996	106
CNA00730	RPF	JEC21	7	12	8	76	NA	NA	10316	NA	2931	106
CNA00740	RPF	JEC21	35	321	275	1010	0	0	79047	0	2577	106
CNA00750	RPF	JEC21	35	258	55	283	0	0	10663	1	627	106
CNA00760	RPF	JEC21	8	55	90	213	0	0	26137	0	2067	106
CNA00770	RPF	JEC21	3	20	19	132	NA	NA	6996	NA	2046	106
CNA00780	RPF	JEC21	350	579	1293	3108	NA	NA	57663	NA	825	106
CNA00790	RPF	JEC21	52	130	110	377	17	104	12579	0	996	106
CNA00800	RPF	JEC21	7	82	12	36	NA	NA	1797	NA	1266	106
CNA00820	RPF	JEC21	0	0	0	2	NA	NA	225	NA	1644	106
CNA00830	RPF	JEC21	186	787	233	1033	NA	NA	40682	NA	354	106
CNA00840	RPF	JEC21	0	0	0	0	NA	NA	638	NA	2235	106
CNA00850	RPF	JEC21	5	25	0	11	6	7	1196	1	1080	106
CNA00860	RPF	JEC21	1	42	10	46	0	0	6117	0	3495	106
CNA00870	RPF	JEC21	2	12	19	43	0	0	3046	0	1566	106
CNA00880	RPF	JEC21	0	10	17	71	0	5	3178	1	1704	106
CNA00890	RPF	JEC21	47	70	15	40	NA	NA	2134	NA	987	106
CNA00900	RPF	JEC21	19	50	68	337	0	0	26184	1	2571	106
CNA00910	RPF	JEC21	132	392	221	639	0	0	146478	0	1755	106
CNA00920	RPF	JEC21	39	99	83	192	NA	NA	7557	NA	804	106
CNA00930	RPF	JEC21	105	310	31	100	0	0	11103	0	1248	106
CNA00940	RPF	JEC21	85	1015	67	153	NA	NA	15988	NA	693	106
CNA00950	RPF	JEC21	46	253	48	292	NA	NA	101128	NA	3303	106
CNA00960	RPF	JEC21	0	0	0	0	1	5	202	2	1110	106
CNA00970	RPF	JEC21	27	83	24	52	NA	NA	8110	NA	3636	106
CNA00980	RPF	JEC21	3	6	2	6	0	1	621	0	1671	106
CNA00990	RPF	JEC21	99	247	43	67	0	0	41375	0	1455	106
CNA01000	RPF	JEC21	39	303	54	160	NA	NA	11655	NA	390	106
CNA01010	RPF	JEC21	8	39	1	37	0	0	7643	0	1947	106
CNA01020	RPF	JEC21	27	36	207	510	0	0	44888	0	2286	106
CNA01030	RPF	JEC21	4	35	21	39	NA	NA	2880	NA	1857	106
CNA01040	RPF	JEC21	1	7	15	25	0	0	905	0	729	106
CNA01050	RPF	JEC21	7	8	13	77	0	0	6908	0	1140	106
CNA01060	RPF	JEC21	3570	8415	4975	24189	NA	NA	649886	NA	759	106
CNA01070	RPF	JEC21	31	54	80	253	0	0	20118	0	1380	106
CNA01080	RPF	JEC21	12	100	11	156	NA	NA	3517	NA	483	106
CNA01090	RPF	JEC21	9	14	5	36	0	0	2784	0	549	106
CNA01095	RPF	JEC21	4	11	9	27	NA	NA	4215	NA	837	106
CNA01100	RPF	JEC21	100	208	30	243	NA	NA	16296	NA	1035	106
CNA01120	RPF	JEC21	27	37	8	41	NA	NA	7767	NA	1686	106
CNA01130	RPF	JEC21	1	11	0	1	1	2	195	0	960	106
CNA01140	RPF	JEC21	34	41	13	46	NA	NA	1726	NA	1656	106
CNA01150	RPF	JEC21	0	3	0	1	NA	NA	175	NA	1923	106
CNA01160	RPF	JEC21	130	286	41	219	0	1	16917	0	828	106
CNA01170	RPF	JEC21	3	7	3	35	NA	NA	1756	NA	1320	106
CNA01180	RPF	JEC21	30	62	3	89	NA	NA	7124	NA	1857	106
CNA01190	RPF	JEC21	0	0	4	15	0	0	209	2	1080	106
CNA01200	RPF	JEC21	0	0	0	1	0	0	92	0	2244	106
CNA01205	RPF	JEC21	0	10	39	187	NA	NA	1971	NA	393	106
CNA01210	RPF	JEC21	4	25	0	17	NA	NA	2738	NA	2277	106
CNA01220	RPF	JEC21	39	290	136	307	0	1	8449	0	408	106
CNA01230	RPF	JEC21	218	1004	169	642	NA	NA	122962	NA	3048	106
CNA01240	RPF	JEC21	168	235	13	134	NA	NA	5826	NA	975	106
CNA01250	RPF	JEC21	94	142	281	1288	NA	NA	28458	NA	972	106
CNA01260	RPF	JEC21	12	41	13	41	3	15	3491	0	858	106
CNA01270	RPF	JEC21	24	82	151	524	NA	NA	36464	NA	1290	106
CNA01280	RPF	JEC21	0	14	11	25	1	6	1345	3	1329	106
CNA01290	RPF	JEC21	6	156	161	659	0	0	33391	1	2388	106
CNA01310	RPF	JEC21	13	48	398	781	NA	NA	89882	NA	2451	106
CNA01320	RPF	JEC21	16	60	4	13	0	6	1134	0	801	106
CNA01330	RPF	JEC21	45	124	26	166	0	1	8688	0	1134	106
CNA01340	RPF	JEC21	61	515	19	105	4	37	7204	0	1152	106
CNA01350	RPF	JEC21	0	27	34	144	0	0	126110	1	7599	106
CNA01360	RPF	JEC21	7	37	13	49	0	1	32069	0	5985	106
CNA01370	RPF	JEC21	406	4279	884	2218	NA	NA	108005	NA	282	106
CNA01380	RPF	JEC21	91	125	235	742	NA	NA	35625	NA	2853	106
CNA01390	RPF	JEC21	0	1	3	88	NA	NA	4578	NA	1401	106
CNA01400	RPF	JEC21	6	46	10	34	0	0	3971	4	1281	106
CNA01410	RPF	JEC21	34	118	0	16	NA	NA	904	NA	1419	106
CNA01420	RPF	JEC21	4	35	52	185	14	25	8718	1	1380	106
CNA01430	RPF	JEC21	0	0	1	2	3	3	30	3	711	106
CNA01440	RPF	JEC21	0	0	0	0	0	0	7	0	306	106
CNA01450	RPF	JEC21	10	40	4	61	NA	NA	9975	NA	3270	106
CNA01460	RPF	JEC21	166	279	185	1232	0	5	27638	0	249	106
CNA01470	RPF	JEC21	4	6	5	54	NA	NA	3958	NA	1923	106
CNA01480	RPF	JEC21	0	0	0	0	NA	NA	27	NA	1329	106
CNA01490	RPF	JEC21	0	7	8	80	24	79	4812	15	1005	106
CNA01500	RPF	JEC21	3	29	22	44	NA	NA	5455	NA	1206	106
CNA01510	RPF	JEC21	10	31	73	115	NA	NA	3819	NA	2193	106
CNA01520	RPF	JEC21	5	17	5	12	NA	NA	859	NA	1419	106
CNA01530	RPF	JEC21	10	25	765	964	0	0	54008	0	996	106
CNA01540	RPF	JEC21	75	198	34	90	0	1	16106	0	1860	106
CNA01550	RPF	JEC21	0	0	0	1	NA	NA	2496	NA	2058	106
CNA01560	RPF	JEC21	5	19	4	22	NA	NA	1721	NA	1641	106
CNA01580	RPF	JEC21	9	19	41	124	NA	NA	5038	NA	2073	106
CNA01590	RPF	JEC21	7	10	3	8	9	64	804	0	1257	106
CNA01600	RPF	JEC21	9	38	11	31	NA	NA	7092	NA	3204	106
CNA01610	RPF	JEC21	1	15	6	15	9	12	599	0	1146	106
CNA01620	RPF	JEC21	0	28	8	13	NA	NA	3408	NA	3861	106
CNA01630	RPF	JEC21	7	35	8	17	1	6	944	6	1278	106
CNA01640	RPF	JEC21	183	1079	1239	2550	0	0	85618	0	1431	106
CNA01650	RPF	JEC21	0	4	2	10	NA	NA	570	NA	1587	106
CNA01660	RPF	JEC21	1	19	3	9	0	3	514	10	3765	106
CNA01680	RPF	JEC21	13	24	9	37	0	0	1324	0	1059	106
CNA01690	RPF	JEC21	18	32	6	54	4	10	5171	0	717	106
CNA01700	RPF	JEC21	6	19	72	99	NA	NA	6962	NA	1518	106
CNA01710	RPF	JEC21	130	302	64	532	0	0	10356	0	612	106
CNA01720	RPF	JEC21	5	89	43	113	NA	NA	4808	NA	1029	106
CNA01730	RPF	JEC21	69	120	130	338	NA	NA	10538	NA	1836	106
CNA01740	RPF	JEC21	52	157	197	589	0	0	21830	0	1095	106
CNA01750	RPF	JEC21	14	26	16	42	NA	NA	1428	NA	219	106
CNA01760	RPF	JEC21	86	118	21	68	25	136	4505	2	2127	106
CNA01770	RPF	JEC21	73	162	86	227	NA	NA	7259	NA	594	106
CNA01780	RPF	JEC21	4	80	31	136	21	68	6781	2	978	106
CNA01790	RPF	JEC21	32	121	60	265	NA	NA	9267	NA	1638	106
CNA01800	RPF	JEC21	0	0	3	11	NA	NA	583	NA	1308	106
CNA01810	RPF	JEC21	0	0	1	14	NA	NA	2986	NA	3210	106
CNA01820	RPF	JEC21	22	233	97	143	NA	NA	15205	NA	3873	106
CNA01830	RPF	JEC21	145	330	13	63	NA	NA	7802	NA	735	106
CNA01840	RPF	JEC21	21	32	25	114	NA	NA	6474	NA	621	106
CNA01850	RPF	JEC21	1	48	11	50	NA	NA	5650	NA	1560	106
CNA01860	RPF	JEC21	15	66	27	35	3	10	5097	0	1335	106
CNA01870	RPF	JEC21	44	57	137	453	NA	NA	32099	NA	2565	106
CNA01880	RPF	JEC21	0	1	0	2	NA	NA	153	NA	654	106
CNA01890	RPF	JEC21	2	16	3	60	NA	NA	4512	NA	2331	106
CNA01900	RPF	JEC21	5	8	1	4	0	0	1589	0	2967	106
CNA01910	RPF	JEC21	226	628	172	411	NA	NA	36047	NA	2427	106
CNA01920	RPF	JEC21	29	257	23	90	NA	NA	12688	NA	2256	106
CNA01930	RPF	JEC21	0	3	0	1	0	2	408	6	1917	106
CNA01940	RPF	JEC21	3	15	26	43	15	213	1218	36	474	106
CNA01950	RPF	JEC21	2516	3069	2864	6049	0	0	48612	0	336	106
CNA01960	RPF	JEC21	8	48	3	43	NA	NA	5038	NA	1029	106
CNA01980	RPF	JEC21	0	0	0	9	0	0	11	22	216	106
CNA01990	RPF	JEC21	4	9	59	139	NA	NA	8560	NA	3243	106
CNA02000	RPF	JEC21	13	30	0	4	NA	NA	9360	NA	2070	106
CNA02010	RPF	JEC21	0	0	2	17	NA	NA	434	NA	1080	106
CNA02015	RPF	JEC21	3	50	1	1	21	31	761	2	621	106
CNA02020	RPF	JEC21	3	5	0	30	NA	NA	1499	NA	2109	106
CNA02030	RPF	JEC21	15	17	3	18	NA	NA	11010	NA	4506	106
CNA02040	RPF	JEC21	18	39	216	406	NA	NA	23518	NA	1971	106
CNA02050	RPF	JEC21	1	2	16	108	NA	NA	966	NA	891	106
CNA02055	RPF	JEC21	0	2	2	13	0	0	2794	0	981	106
CNA02060	RPF	JEC21	3	47	0	6	3	33	1292	1	2748	106
CNA02080	RPF	JEC21	6	15	5	18	NA	NA	2584	NA	1245	106
CNA02090	RPF	JEC21	7	7	3	157	1	1	6957	0	660	106
CNA02100	RPF	JEC21	527	959	122	377	NA	NA	40606	NA	933	106
CNA02115	RPF	JEC21	0	0	0	0	0	0	21	10	1221	106
CNA02120	RPF	JEC21	1	2	0	10	NA	NA	300	NA	582	106
CNA02125	RPF	JEC21	0	0	0	0	0	0	26	4	603	106
CNA02130	RPF	JEC21	4	11	30	84	17	75	2885	26	1278	106
CNA02140	RPF	JEC21	1	8	2	32	1	2	2232	1	1548	106
CNA02150	RPF	JEC21	6	7	16	56	25	46	1444	3	1317	106
CNA02160	RPF	JEC21	51	105	7	58	NA	NA	1497	NA	228	106
CNA02170	RPF	JEC21	62	157	28	164	17	41	8663	3	813	106
CNA02180	RPF	JEC21	32	130	22	299	1	5	10124	1	1425	106
CNA02205	RPF	JEC21	0	0	0	0	0	0	0	3	315	106
CNA02210	RPF	JEC21	8	28	17	26	NA	NA	2727	NA	1287	106
CNA02220	RPF	JEC21	1596	5774	942	6357	NA	NA	312955	NA	342	106
CNA02230	RPF	JEC21	192	515	300	1266	NA	NA	21547	NA	312	106
CNA02240	RPF	JEC21	18	67	12	148	NA	NA	4827	NA	1224	106
CNA02250	RPF	JEC21	100	122	8	74	NA	NA	10520	NA	1728	106
CNA02260	RPF	JEC21	56	124	68	124	105	130	5251	460	1344	106
CNA02270	RPF	JEC21	12	719	98	1314	NA	NA	219948	NA	2289	106
CNA02290	RPF	JEC21	61	730	190	786	NA	NA	152485	NA	3285	106
CNA02300	RPF	JEC21	0	3	4	33	1	3	7579	0	2130	106
CNA02310	RPF	JEC21	7	11	9	23	0	0	10263	0	3102	106
CNA02330	RPF	JEC21	9	22	10	65	NA	NA	8763	NA	1956	106
CNA02335	RPF	JEC21	0	0	0	0	NA	NA	5	NA	561	106
CNA02340	RPF	JEC21	34	68	21	204	NA	NA	3793	NA	606	106
CNA02350	RPF	JEC21	0	3	0	0	0	0	1702	0	3159	106
CNA02360	RPF	JEC21	9	21	2	18	0	4	6024	4	2070	106
CNA02370	RPF	JEC21	3	40	9	194	0	0	16184	0	2805	106
CNA02380	RPF	JEC21	1	2	1	28	NA	NA	1411	NA	1638	106
CNA02390	RPF	JEC21	26	43	3	49	NA	NA	4230	NA	1335	106
CNA02400	RPF	JEC21	13	277	36	202	NA	NA	19273	NA	1329	106
CNA02405	RPF	JEC21	0	0	0	2	0	2	139	0	750	106
CNA02410	RPF	JEC21	6	34	27	130	0	2	3672	0	342	106
CNA02420	RPF	JEC21	11	23	7	72	0	1	4155	0	2361	106
CNA02430	RPF	JEC21	3	4	0	7	0	0	109	0	1128	106
CNA02440	RPF	JEC21	0	27	31	383	0	0	9257	0	336	106
CNA02450	RPF	JEC21	1	185	385	1934	0	0	67048	0	1098	106
CNA02460	RPF	JEC21	0	1	7	17	NA	NA	4345	NA	5010	106
CNA02470	RPF	JEC21	2	2	3	15	NA	NA	2021	NA	3363	106
CNA02480	RPF	JEC21	30	174	92	264	NA	NA	18572	NA	864	106
CNA02490	RPF	JEC21	69	301	15	145	NA	NA	58161	NA	864	106
CNA02500	RPF	JEC21	0	0	0	0	0	0	0	0	1338	106
CNA02510	RPF	JEC21	0	0	0	0	0	0	0	2	1206	106
CNA02520	RPF	JEC21	4582	5910	2322	5952	NA	NA	127081	NA	594	106
CNA02530	RPF	JEC21	16	24	1	3	NA	NA	481	NA	504	106
CNA02535	RPF	JEC21	6	15	0	24	NA	NA	2405	NA	723	106
CNA02540	RPF	JEC21	170	291	22	193	NA	NA	6863	NA	1182	106
CNA02550	RPF	JEC21	52	145	35	453	NA	NA	28604	NA	798	106
CNA02555	RPF	JEC21	5	56	17	92	NA	NA	4816	NA	798	106
CNA02560	RPF	JEC21	3	15	19	54	NA	NA	1986	NA	1527	106
CNA02570	RPF	JEC21	257	360	86	730	NA	NA	85381	NA	2157	106
CNA02580	RPF	JEC21	7	60	2	35	0	0	4792	0	1251	106
CNA02590	RPF	JEC21	250	1279	1172	4019	1	1	62723	5	393	106
CNA02600	RPF	JEC21	5	77	30	81	NA	NA	3611	NA	759	106
CNA02610	RPF	JEC21	1	59	6	11	3	8	8208	4	5196	106
CNA02620	RPF	JEC21	7	45	0	36	NA	NA	2213	NA	498	106
CNA02625	RPF	JEC21	2	6	12	16	NA	NA	2633	NA	1845	106
CNA02630	RPF	JEC21	5	69	22	123	26	66	7263	46	957	106
CNA02640	RPF	JEC21	5	5	31	130	NA	NA	2042	NA	729	106
CNA02645	RPF	JEC21	3	23	20	45	NA	NA	1126	NA	609	106
CNA02650	RPF	JEC21	21	43	42	158	NA	NA	5751	NA	975	106
CNA02660	RPF	JEC21	358	475	50	444	NA	NA	33785	NA	753	106
CNA02670	RPF	JEC21	27	251	304	1133	63	541	65544	1	804	106
CNA02680	RPF	JEC21	7	14	9	69	0	0	6716	2	1404	106
CNA02690	RPF	JEC21	43	53	4	168	NA	NA	8863	NA	495	106
CNA02700	RPF	JEC21	229	563	23	944	NA	NA	106549	NA	1683	106
CNA02710	RPF	JEC21	0	2	0	1	0	0	986	1	1353	106
CNA02720	RPF	JEC21	0	0	0	0	0	0	105	0	1641	106
CNA02730	RPF	JEC21	5	7	3	10	2	7	3320	39	3657	106
CNA02740	RPF	JEC21	21	34	60	596	NA	NA	41015	NA	1626	106
CNA02750	RPF	JEC21	153	462	41	646	NA	NA	52835	NA	1017	106
CNA02760	RPF	JEC21	72	287	92	357	0	6	8952	0	645	106
CNA02770	RPF	JEC21	3	9	11	23	NA	NA	1866	NA	669	106
CNA02780	RPF	JEC21	1	3	45	170	0	0	9782	1	1551	106
CNA02790	RPF	JEC21	0	14	22	45	7	118	1324	48	1182	106
CNA02800	RPF	JEC21	51	155	113	795	0	0	58195	1	1569	106
CNA02810	RPF	JEC21	15	146	199	952	NA	NA	16045	NA	651	106
CNA02820	RPF	JEC21	1	8	22	79	0	0	16767	0	1869	106
CNA02830	RPF	JEC21	15	55	33	81	NA	NA	23182	NA	2697	106
CNA02840	RPF	JEC21	0	42	1	18	NA	NA	1782	NA	978	106
CNA02845	RPF	JEC21	3	18	5	27	NA	NA	3147	NA	1059	106
CNA02850	RPF	JEC21	1	4	1	6	NA	NA	6688	NA	3597	106
CNA02860	RPF	JEC21	14	21	11	48	0	0	8766	0	2730	106
CNA02870	RPF	JEC21	30	50	1	2	1	2	11946	5	819	106
CNA02875	RPF	JEC21	0	0	0	2	1	3	264	6	687	106
CNA02880	RPF	JEC21	1	1	0	0	1	1	1011	4	1539	106
CNA02885	RPF	JEC21	38	92	157	638	16	25	6760	1	375	106
CNA02890	RPF	JEC21	163	1131	707	4183	0	0	121555	0	996	106
CNA02895	RPF	JEC21	0	0	0	0	NA	NA	6	NA	357	106
CNA02900	RPF	JEC21	32	63	3	85	NA	NA	4509	NA	552	106
CNA02905	RPF	JEC21	583	1993	92	1290	NA	NA	20664	NA	159	106
CNA02910	RPF	JEC21	4	6	8	30	0	0	4167	0	1722	106
CNA02920	RPF	JEC21	2	2	1	4	0	0	965	0	2769	106
CNA02930	RPF	JEC21	20	60	14	90	0	2	2831	1	1542	106
CNA02940	RPF	JEC21	7	472	213	765	NA	NA	45696	NA	1551	106
CNA02950	RPF	JEC21	29	77	36	154	NA	NA	5553	NA	726	106
CNA02960	RPF	JEC21	1	1	3	44	NA	NA	939	NA	2589	106
CNA02970	RPF	JEC21	1	2	6	20	1	1	807	4	1155	106
CNA02980	RPF	JEC21	0	0	0	2	0	0	156	0	663	106
CNA02990	RPF	JEC21	8	8	0	0	0	0	146	0	1152	106
CNA03000	RPF	JEC21	90	507	281	1757	NA	NA	27058	NA	570	106
CNA03010	RPF	JEC21	0	0	0	0	0	0	14	3	696	106
CNA03020	RPF	JEC21	39	56	91	162	0	9	8198	0	1338	106
CNA03030	RPF	JEC21	39	142	41	532	NA	NA	16915	NA	477	106
CNA03040	RPF	JEC21	26	455	10	111	NA	NA	24193	NA	798	106
CNA03050	RPF	JEC21	0	1	11	49	0	0	4681	0	2241	106
CNA03060	RPF	JEC21	0	0	1	1	NA	NA	369	NA	4311	106
CNA03065	RPF	JEC21	3	8	55	202	0	0	4919	0	1143	106
CNA03070	RPF	JEC21	3	13	1	4	17	75	1776	16	3633	106
CNA03090	RPF	JEC21	247	408	5	136	NA	NA	66548	NA	1473	106
CNA03093	RPF	JEC21	0	0	1	1	NA	NA	24	NA	471	106
CNA03095	RPF	JEC21	6	36	9	12	NA	NA	2691	NA	387	106
CNA03100	RPF	JEC21	2	17	7	55	NA	NA	2355	NA	3780	106
CNA03110	RPF	JEC21	58	247	345	1287	0	0	43164	0	480	106
CNA03120	RPF	JEC21	2	13	11	42	NA	NA	3611	NA	1590	106
CNA03130	RPF	JEC21	0	24	18	75	NA	NA	2635	NA	1476	106
CNA03140	RPF	JEC21	0	1	0	2	NA	NA	930	NA	3108	106
CNA03150	RPF	JEC21	5	6	2	7	38	79	961	48	1014	106
CNA03160	RPF	JEC21	3895	24677	3115	16917	NA	NA	1669290	NA	1845	106
CNA03170	RPF	JEC21	3	12	8	33	0	0	6578	0	1200	106
CNA03180	RPF	JEC21	33	92	14	65	NA	NA	10419	NA	2490	106
CNA03190	RPF	JEC21	27	193	285	2292	0	0	49621	0	885	106
CNA03200	RPF	JEC21	20	70	15	101	1	5	4952	0	711	106
CNA03210	RPF	JEC21	8	57	39	76	NA	NA	39339	NA	1128	106
CNA03220	RPF	JEC21	4	34	0	14	9	23	937	12	1119	106
CNA03240	RPF	JEC21	6	19	2	8	0	0	8607	0	2409	106
CNA03250	RPF	JEC21	1	13	23	126	NA	NA	3344	NA	1170	106
CNA03265	RPF	JEC21	0	2	2	4	1	3	69	10	357	106
CNA03280	RPF	JEC21	20	50	29	82	NA	NA	5451	NA	2382	106
CNA03290	RPF	JEC21	0	0	0	2	NA	NA	292	NA	1749	106
CNA03300	RPF	JEC21	2	41	37	64	NA	NA	4224	NA	1581	106
CNA03310	RPF	JEC21	44	208	44	121	0	0	14079	0	2130	106
CNA03320	RPF	JEC21	0	4	3	9	0	1	935	5	903	106
CNA03330	RPF	JEC21	13	23529	6585	34699	NA	NA	424915	NA	390	106
CNA03340	RPF	JEC21	54	212	20	107	NA	NA	8703	NA	1074	106
CNA03350	RPF	JEC21	5	8	1	6	13	21	9917	0	2409	106
CNA03360	RPF	JEC21	60	71	5	37	3	65	1947	4	573	106
CNA03370	RPF	JEC21	2	2	2	2	NA	NA	283	NA	2007	106
CNA03380	RPF	JEC21	62	87	17	75	0	6	11012	0	1734	106
CNA03390	RPF	JEC21	57	76	9	115	0	0	6463	0	1101	106
CNA03400	RPF	JEC21	0	3	3	5	NA	NA	3779	NA	4884	106
CNA03410	RPF	JEC21	2	16	11	24	NA	NA	3346	NA	1575	106
CNA03420	RPF	JEC21	194	354	134	794	NA	NA	37694	NA	1302	106
CNA03430	RPF	JEC21	2	10	10	29	NA	NA	3614	NA	1317	106
CNA03450	RPF	JEC21	7	15	16	29	NA	NA	1050	NA	1056	106
CNA03460	RPF	JEC21	1	2	163	189	50	70	5697	5	1656	106
CNA03470	RPF	JEC21	12	101	13	69	NA	NA	4040	NA	966	106
CNA03480	RPF	JEC21	29	86	493	1454	0	0	37096	0	1275	106
CNA03490	RPF	JEC21	8	140	42	182	NA	NA	5887	NA	915	106
CNA03500	RPF	JEC21	8	30	70	435	0	0	23863	0	1893	106
CNA03510	RPF	JEC21	6	28	12	110	NA	NA	2368	NA	918	106
CNA03520	RPF	JEC21	16	23	7	15	NA	NA	5991	NA	1221	106
CNA03523	RPF	JEC21	34	79	27	78	NA	NA	5494	NA	561	106
CNA03525	RPF	JEC21	7	30	6	45	23	93	2732	1	849	106
CNA03530	RPF	JEC21	78	273	406	2529	0	0	59587	0	534	106
