# Intron retention-dependent gene regulation in Cryptococcus neoformans
# Sara Gonzalez-Hilarion, et al., Scientific Reports volume 6, Article number: 32252 (2016)
# Table S4. List of orthologues between the two varieties of C. neoformans.	
# 
# var. grubii	var. neoformans
H99	JEC21
CNAG_07330	CNA02010
CNAG_04035	CNB05160
CNAG_01145	CND02700
CNAG_05811	CNF01680
CNAG_03570	CNF03170
CNAG_07925	CNN00070
CNAG_05412	CNH00795
CNAG_01875	CNK02150
CNAG_05400	CNH00690
CNAG_03523	CNG00705
CNAG_00708	CNA06890
CNAG_03006	CNC06170
CNAG_01591	CNC01040
CNAG_02301	CNE02440
CNAG_01590	CNC01030
CNAG_00010	CNA00030
CNAG_00307	CNA02905
CNAG_06556	CNF04610
CNAG_03786	CNB02800
CNAG_02210	CNE03310
CNAG_03438	CNG01480
CNAG_04760	CNJ01900
CNAG_07164	CNE02780
CNAG_04451	CNI01060
CNAG_03333	CNG02460
CNAG_00017	CNA00100
CNAG_04245	CNI03860
CNAG_03607	CNB01100
CNAG_04082	CNB05640
CNAG_01440	CND05540
CNAG_06674	CNF03450
CNAG_05372	CNH00400
CNAG_04320	CNI02290
CNAG_01056	CND01870
CNAG_03676	CNB01750
CNAG_05688	CNF02860
CNAG_02866	CNC04810
CNAG_00344	CNA03590
CNAG_06170	CNM01720
CNAG_00606	CNA05890
CNAG_07550	CNK01200
CNAG_02703	CNK01910
CNAG_05524	CNH01760
CNAG_06260	CNN00140
CNAG_03289	CNG02860
CNAG_00161	CNA01490
CNAG_06785	CNB00140
CNAG_01546	CNC06380
CNAG_03134	CNG04300
CNAG_05862	CNF01110
CNAG_00649	CNA06290
CNAG_00486	CNA04680
CNAG_04038	CNB05200
CNAG_01597	CNC01100
CNAG_01621	CNC01350
CNAG_04414	CNI01350
CNAG_02165	CNE03730
CNAG_04606	CNJ00470
CNAG_07592	CNC01215
CNAG_07027	CNA02130
CNAG_03850	CNB03400
CNAG_00503	CNA04860
CNAG_00741	CNA07200
CNAG_02783	CNC04010
CNAG_04379	CNI01680
CNAG_07323	CNA01920
CNAG_03225	CNG03490
CNAG_01832	CNC03190
