Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNAG_00038 Protein	0.012	No mitochondrial presequence	10(MPP)	0.200	7-11	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00039 Protein	0.000	No mitochondrial presequence	9(MPP)	0.000	52-56	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00040 Protein	0.000	No mitochondrial presequence	58(MPP)	0.069	64-68	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00043 Protein	0.006	No mitochondrial presequence	27(MPP), 28(Icp55)	0.000		21-30-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	23-28	
CNAG_00044 Protein	0.007	No mitochondrial presequence	14(MPP)	0.071		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00045 Protein	0.000	No mitochondrial presequence	48(MPP)	-0.042	91-95	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00046 Protein	0.000	No mitochondrial presequence	42(MPP)	0.048	28-32,85-89	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00047 Protein	0.076	No mitochondrial presequence	57(MPP)	0.018		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00048 Protein	0.000	No mitochondrial presequence	5(MPP)	-0.200		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00049 Protein	0.000	No mitochondrial presequence	48(MPP)	-0.125	87-91	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00050 Protein	0.000	No mitochondrial presequence	31(MPP)	0.000	86-90	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00051 Protein	0.005	No mitochondrial presequence	25(MPP)	0.080		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00052 Protein	0.054	No mitochondrial presequence	83(MPP)	-0.012		1-10-high	-	-	-	-	-	-	-	8-13	-	-	-	-	-	-	
CNAG_00053 Protein	0.021	No mitochondrial presequence	40(MPP)	0.025	37-41	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00054 Protein	0.000	No mitochondrial presequence	55(MPP)	0.000	58-62	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00055 Protein	0.000	No mitochondrial presequence	69(MPP)	-0.087	83-87,91-95	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00056 Protein	0.000	No mitochondrial presequence	77(MPP)	0.000	7-11	3-12-high	-	-	-	-	7-12	-	-	-	-	-	-	-	-	-	
CNAG_00057 Protein	0.000	No mitochondrial presequence	25(MPP)	-0.080		19-28-high	25-30	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00058 Protein	0.000	No mitochondrial presequence	49(MPP)	0.041	63-67,93-97	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00059 Protein	0.008	No mitochondrial presequence	30(MPP)	0.100	28-32,95-99	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00060 Protein	0.000	No mitochondrial presequence	51(MPP)	-0.059	22-26	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00061 Protein	0.997	Possessing mitochondrial presequence	21(MPP), 29(Oct1)	0.190	50-54	13-22-low	-	-	-	-	-	-	18-23	-	-	-	-	-	-	17-22	
CNAG_00062 Protein	0.000	No mitochondrial presequence	64(MPP), 65(Icp55)	-0.047	46-50	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00063 Protein	0.069	No mitochondrial presequence	30(MPP)	0.233	88-92	1-10-high	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-	
CNAG_00064 Protein	0.166	No mitochondrial presequence	9(MPP)	0.111		6-15-high	-	-	-	-	-	-	6-11	-	20-25	5-10	19-24	-	-	-	
CNAG_00065 Protein	0.000	No mitochondrial presequence	50(MPP)	-0.140	90-94	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00066 Protein	0.000	No mitochondrial presequence	72(MPP)	-0.014		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00067 Protein	0.006	No mitochondrial presequence	40(MPP)	0.025	37-41,54-58	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00068 Protein	0.000	No mitochondrial presequence	71(MPP)	0.014		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00069 Protein	0.000	No mitochondrial presequence	24(MPP)	0.042		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00070 Protein	0.038	No mitochondrial presequence	19(MPP)	0.211		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00072 Protein	0.000	No mitochondrial presequence	90(MPP)	-0.033	20-24	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00073 Protein	0.073	No mitochondrial presequence	33(MPP)	0.091	1-5	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
CNAG_00074 Protein	0.000	No mitochondrial presequence	34(MPP)	-0.029		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00075 Protein	0.000	No mitochondrial presequence	51(MPP)	-0.020		17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00076 Protein	0.000	No mitochondrial presequence	31(MPP)	0.000	86-90	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00077 Protein	0.010	No mitochondrial presequence	44(MPP)	0.023	71-75	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00078 Protein	0.007	No mitochondrial presequence	43(MPP)	0.047		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00079 Protein	0.000	No mitochondrial presequence	63(MPP)	-0.016		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00080 Protein	0.000	No mitochondrial presequence	64(MPP)	0.000	88-92	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00081 Protein	0.047	No mitochondrial presequence	34(MPP)	0.088	96-100	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00082 Protein	0.009	No mitochondrial presequence	13(MPP)	0.000	63-67	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00083 Protein	0.000	No mitochondrial presequence	41(MPP)	-0.220		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00084 Protein	0.000	No mitochondrial presequence	35(MPP)	-0.029	83-87	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00085 Protein	0.000	No mitochondrial presequence	42(MPP)	-0.048	80-84	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00086 Protein	0.541	Possessing mitochondrial presequence	22(MPP)	0.227	74-78	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00087 Protein	0.000	No mitochondrial presequence	20(MPP)	0.050	75-79,94-98	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00088 Protein	0.115	No mitochondrial presequence	45(MPP)	0.067	7-11,59-63	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00089 Protein	0.097	No mitochondrial presequence	21(MPP)	0.048	87-91	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00090 Protein	0.000	No mitochondrial presequence	37(MPP)	0.027	31-35	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00091 Protein	0.000	No mitochondrial presequence	27(MPP)	0.000		4-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00092 Protein	0.020	No mitochondrial presequence	74(MPP)	0.068		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00093 Protein	0.000	No mitochondrial presequence	95(MPP)	-0.095		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00094 Protein	0.006	No mitochondrial presequence	63(MPP)	0.016	31-35	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00095 Protein	0.014	No mitochondrial presequence	58(MPP)	0.138	19-23,47-51	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00096 Protein	0.000	No mitochondrial presequence	38(MPP)	0.079	47-51	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00097 Protein	0.006	No mitochondrial presequence	16(MPP)	0.125	51-55,55-59,77-81	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00098 Protein	0.003	No mitochondrial presequence	6(MPP)	0.333		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00099 Protein	0.000	No mitochondrial presequence	55(MPP)	-0.109	44-48	17-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00100 Protein	0.000	No mitochondrial presequence	45(MPP)	0.000	11-15,23-27	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00101 Protein	0.000	No mitochondrial presequence	75(MPP)	0.040	35-39,87-91,93-97	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00104 Protein	0.000	No mitochondrial presequence	87(MPP)	0.000	81-85	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00106 Protein	0.000	No mitochondrial presequence	49(MPP)	0.061		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00107 Protein	0.011	No mitochondrial presequence	38(MPP)	0.132		9-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00108 Protein	0.000	No mitochondrial presequence	29(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00109 Protein	0.928	Possessing mitochondrial presequence	82(MPP), 83(Icp55)	0.110	1-5,4-8,23-27,79-83	20-29-high	-	-	-	16-21	-	-	-	-	-	-	-	-	-	-	
CNAG_00110 Protein	0.017	No mitochondrial presequence	50(MPP)	0.120	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
CNAG_00111 Protein	0.000	No mitochondrial presequence	66(MPP)	-0.045		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00115 Protein	0.000	No mitochondrial presequence	95(MPP)	-0.042	36-40	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00116 Protein	0.041	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00117 Protein	0.000	No mitochondrial presequence	36(MPP)	-0.083	93-97	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00118 Protein	0.000	No mitochondrial presequence	31(MPP)	0.032	28-32	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00119 Protein	0.000	No mitochondrial presequence	17(MPP)	0.000		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00120 Protein	0.000	No mitochondrial presequence	57(MPP)	0.035		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00121 Protein	0.049	No mitochondrial presequence	21(MPP)	0.095	18-22	13-22-high	-	-	-	-	-	-	-	-	-	-	-	17-22	-	-	
CNAG_00122 Protein	0.013	No mitochondrial presequence	22(MPP)	0.091	19-23	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00123 Protein	0.560	Possessing mitochondrial presequence	39(MPP)	0.128	18-22,79-83	13-22-high	-	-	-	-	-	-	-	-	-	-	21-26	-	-	-	
CNAG_00124 Protein	0.003	No mitochondrial presequence	10(MPP)	0.200	92-96	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00125 Protein	0.018	No mitochondrial presequence	18(MPP)	0.167	42-46	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00126 Protein	0.032	No mitochondrial presequence	45(MPP)	0.067	75-79	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00127 Protein	0.000	No mitochondrial presequence	41(MPP)	-0.171		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00128 Protein	0.582	Possessing mitochondrial presequence	30(MPP)	0.200		10-19-high	15-20	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00129 Protein	0.016	No mitochondrial presequence	24(MPP)	-0.042	36-40,74-78	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00130 Protein	0.149	No mitochondrial presequence	71(MPP)	0.085	92-96	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00131 Protein	0.000	No mitochondrial presequence	89(MPP)	0.011		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00132 Protein	0.000	No mitochondrial presequence	76(MPP), 77(Icp55)	0.026		7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00133 Protein	0.000	No mitochondrial presequence	10(MPP)	0.400		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00134 Protein	0.000	No mitochondrial presequence	15(MPP)	0.200	82-86	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00135 Protein	0.000	No mitochondrial presequence	60(MPP), 61(Icp55)	-0.033		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00136 Protein	0.000	No mitochondrial presequence	24(MPP)	-0.167	33-37	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00137 Protein	0.000	No mitochondrial presequence	65(MPP)	0.015	14-18,51-55	13-23-low	-	-	-	-	-	-	-	-	-	-	-	13-18	-	-	
CNAG_00138 Protein	0.872	Possessing mitochondrial presequence	24(MPP)	0.167	86-90	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00139 Protein	0.000	No mitochondrial presequence	37(MPP)	0.000	19-23,81-85	8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00140 Protein	0.014	No mitochondrial presequence	46(MPP)	0.130	1-5,9-13	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00141 Protein	0.000	No mitochondrial presequence	21(MPP)	0.000	18-22,77-81	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00142 Protein	0.000	No mitochondrial presequence	69(MPP)	0.116	66-70	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00143 Protein	0.000	No mitochondrial presequence	25(MPP)	-0.080	35-39,44-48,65-69	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00144 Protein	0.000	No mitochondrial presequence	32(MPP), 33(Icp55)	-0.031	45-49,71-75	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00145 Protein	0.000	No mitochondrial presequence	49(MPP)	-0.041	88-92	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00146 Protein	0.000	No mitochondrial presequence	40(MPP)	0.025	32-36	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00147 Protein	0.000	No mitochondrial presequence	53(MPP)	0.038	78-82	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00148 Protein	0.000	No mitochondrial presequence	6(MPP)	0.000	59-63	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00149 Protein	0.064	No mitochondrial presequence	78(MPP)	0.038	3-7,8-12	2-11-high	-	-	-	-	-	-	-	-	6-11	-	-	-	-	-	
CNAG_00150 Protein	0.000	No mitochondrial presequence	32(MPP)	0.000	56-60	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00151 Protein	0.000	No mitochondrial presequence	34(MPP)	0.059		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00152 Protein	0.000	No mitochondrial presequence	54(MPP)	0.019		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00153 Protein	0.006	No mitochondrial presequence	33(MPP)	0.091		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00154 Protein	0.010	No mitochondrial presequence	52(MPP)	0.038		18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00155 Protein	0.014	No mitochondrial presequence	75(MPP)	-0.067	43-47,46-50,68-72	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00156 Protein	0.000	No mitochondrial presequence	22(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00157 Protein	0.021	No mitochondrial presequence	34(MPP)	0.088		6-15-low	-	-	-	-	-	-	-	-	-	-	22-27	-	-	-	
CNAG_00158 Protein	0.013	No mitochondrial presequence	31(MPP)	0.065	50-54	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00159 Protein	0.056	No mitochondrial presequence	33(MPP)	0.333	30-34	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00160 Protein	0.022	No mitochondrial presequence	13(MPP)	0.154		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00161 Protein	0.030	No mitochondrial presequence	91(MPP)	-0.033	75-79	1-11-high	-	-	-	-	-	-	-	9-14	-	8-13	-	-	-	-	
CNAG_00162 Protein	0.804	Possessing mitochondrial presequence	38(MPP), 39(Icp55)	0.105		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00163 Protein	0.055	No mitochondrial presequence	17(MPP)	0.059		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00164 Protein	0.005	No mitochondrial presequence	54(MPP)	-0.037		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00165 Protein	0.557	Possessing mitochondrial presequence	9(MPP)	0.222		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00166 Protein	0.000	No mitochondrial presequence	88(MPP), 89(Icp55)	-0.091	29-33	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00167 Protein	0.000	No mitochondrial presequence	35(MPP)	0.000	32-36,46-50,80-84	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00171 Protein	0.000	No mitochondrial presequence	16(MPP)	-0.188	61-65	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00172 Protein	0.004	No mitochondrial presequence	27(MPP)	0.037		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00173 Protein	0.000	No mitochondrial presequence	63(MPP)	0.032	79-83	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00174 Protein	0.016	No mitochondrial presequence	17(MPP), 18(Icp55)	0.235		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00175 Protein	0.000	No mitochondrial presequence	11(MPP)	0.000	13-17,16-20	13-22-high	-	-	-	-	13-18	-	-	-	-	-	-	-	-	-	
CNAG_00176 Protein	0.003	No mitochondrial presequence	21(MPP)	-0.095	21-25	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	21-26	-	
CNAG_00177 Protein	0.000	No mitochondrial presequence	63(MPP)	-0.032		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00178 Protein	0.000	No mitochondrial presequence	43(MPP)	-0.023		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00179 Protein	0.000	No mitochondrial presequence	55(MPP)	0.036		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00180 Protein	0.000	No mitochondrial presequence	53(MPP)	-0.075		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00181 Protein	0.006	No mitochondrial presequence	26(MPP)	0.000		16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00182 Protein	0.000	No mitochondrial presequence	52(MPP)	0.019	23-27	14-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00183 Protein	0.106	No mitochondrial presequence	59(MPP)	0.153	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00184 Protein	0.003	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033	76-80	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00185 Protein	0.006	No mitochondrial presequence	22(MPP)	0.091	79-83	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00186 Protein	0.000	No mitochondrial presequence	12(MPP)	-0.083		9-22-low	-	-	-	-	-	9-14	-	-	-	8-13	-	-	-	-	
CNAG_00187 Protein	0.021	No mitochondrial presequence	52(MPP)	0.115	95-99	18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00188 Protein	0.000	No mitochondrial presequence	54(MPP)	0.074	60-64	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00189 Protein	0.000	No mitochondrial presequence	49(MPP)	0.020	1-5	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00190 Protein	0.000	No mitochondrial presequence	93(MPP)	-0.075		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
