# H99_mitofates_26June2018
# H99 mitofates predictions from http://mitf.cbrc.jp/MitoFates/
# applied to first 120aa of protein sequences, which gives DIFFERENT predictions from full-length protein
# Edward Wallace, 26th June 2018
# 
# Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNAG_00023	0.038	No	27(MPP)	0.037		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00024	0.000	No	25(MPP)	0.120	29-33	5-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00025	0.000	No	29(MPP)	-0.103		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00026	0.860	Yes	30(MPP), 38(Oct1)	0.167	42-46	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00027	0.000	No	62(MPP)	0.065		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00028	0.000	No	39(MPP)	-0.154		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00029	0.000	No	38(MPP), 39(Icp55)	0.053		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00030	0.062	No	15(MPP), 23(Oct1)	0.133	61-65	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00031	0.013	No	30(MPP)	0.167		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00032	0.290	No	42(MPP)	0.095	91-95	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00034	0.007	No	24(MPP)	0.000		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00035	0.000	No	10(MPP)	0.100		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00036	0.000	No	59(MPP)	-0.085	56-60	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00038	0.011	No	10(MPP)	0.200	7-11	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00039	0.000	No	9(MPP)	0.000	52-56	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00040	0.003	No	58(MPP)	0.069	64-68	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00043	0.007	No	27(MPP), 28(Icp55)	0.000		21-30-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	23-28
CNAG_00044	0.004	No	14(MPP)	0.071		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00045	0.000	No	48(MPP)	-0.042	91-95	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00046	0.000	No	42(MPP)	0.048	28-32,85-89	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00047	0.090	No	57(MPP)	0.018		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00048	0.000	No	5(MPP)	-0.200		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00049	0.000	No	48(MPP)	-0.125	87-91	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00050	0.000	No	31(MPP)	0.000	86-90	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00051	0.003	No	25(MPP)	0.080		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00052	0.054	No	83(MPP)	-0.012		1-10-high	-	-	-	-	-	-	-	8-13	-	-	-	-	-	-
CNAG_00053	0.016	No	40(MPP)	0.025	37-41	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00054	0.000	No	55(MPP)	0.000	58-62	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00055	0.000	No	69(MPP)	-0.087	83-87,91-95	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00056	0.000	No	77(MPP)	0.000	7-11	3-12-high	-	-	-	-	7-12	-	-	-	-	-	-	-	-	-
CNAG_00057	0.000	No	25(MPP)	-0.080		19-28-high	25-30	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00058	0.000	No	49(MPP)	0.041	63-67,93-97	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00059	0.006	No	30(MPP)	0.100	28-32,95-99	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00060	0.000	No	51(MPP)	-0.059	22-26	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00061	0.996	Yes	21(MPP), 29(Oct1)	0.190	50-54	13-22-low	-	-	-	-	-	-	18-23	-	-	-	-	-	-	17-22
CNAG_00062	0.000	No	64(MPP), 65(Icp55)	-0.047	46-50	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00063	0.050	No	30(MPP)	0.233	88-92	1-10-high	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-
CNAG_00064	0.146	No	9(MPP)	0.111		6-15-high	-	-	-	-	-	-	6-11	-	20-25	5-10	19-24	-	-	-
CNAG_00065	0.000	No	50(MPP)	-0.140	90-94	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00066	0.000	No	72(MPP)	-0.014		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00067	0.006	No	40(MPP)	0.025	37-41,54-58	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00068	0.000	No	71(MPP)	0.014		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00069	0.000	No	24(MPP)	0.042		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00070	0.045	No	19(MPP)	0.211		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00072	0.000	No	90(MPP)	-0.033	20-24	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00073	0.084	No	33(MPP)	0.091	1-5	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-
CNAG_00074	0.000	No	34(MPP)	-0.029		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00075	0.000	No	51(MPP)	-0.020		17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00076	0.000	No	31(MPP)	0.000	86-90	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00077	0.007	No	44(MPP)	0.023	71-75	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00078	0.004	No	43(MPP)	0.047		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00079	0.000	No	63(MPP)	-0.016		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00080	0.000	No	64(MPP)	0.000	88-92	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00081	0.037	No	34(MPP)	0.088	96-100	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00082	0.007	No	13(MPP)	0.000	63-67	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00083	0.000	No	41(MPP)	-0.220		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00084	0.000	No	35(MPP)	-0.029	83-87	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00085	0.000	No	42(MPP)	-0.048	80-84	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00086	0.495	Yes	22(MPP)	0.227	74-78	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00087	0.000	No	20(MPP)	0.050	75-79,94-98	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00088	0.116	No	45(MPP)	0.067	7-11,59-63	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00089	0.091	No	21(MPP)	0.048	87-91	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00090	0.000	No	37(MPP)	0.027	31-35	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00091	0.000	No	27(MPP)	0.000		4-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00092	0.020	No	74(MPP)	0.068		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00093	0.000	No	95(MPP)	-0.095		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00094	0.008	No	63(MPP)	0.016	31-35	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00095	0.017	No	58(MPP)	0.138	19-23,47-51	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00096	0.000	No	38(MPP)	0.079	47-51	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00097	0.003	No	16(MPP)	0.125	51-55,55-59,77-81	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00098	0.003	No	6(MPP)	0.333		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00099	0.000	No	55(MPP)	-0.109	44-48	17-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00100	0.000	No	45(MPP)	0.000	11-15,23-27	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00101	0.000	No	75(MPP)	0.040	35-39,87-91,93-97	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00104	0.000	No	87(MPP)	0.000	81-85	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00106	0.000	No	49(MPP)	0.061		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00107	0.006	No	38(MPP)	0.132		9-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00108	0.000	No	29(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00109	0.920	Yes	82(MPP), 83(Icp55)	0.110	1-5,4-8,23-27,79-83	20-29-high	-	-	-	16-21	-	-	-	-	-	-	-	-	-	-
CNAG_00110	0.009	No	50(MPP)	0.120	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-
CNAG_00111	0.000	No	66(MPP)	-0.045		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00115	0.000	No	95(MPP)	-0.042	36-40	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00116	0.051	No	30(MPP), 31(Icp55)	0.033		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00117	0.000	No	36(MPP)	-0.083	93-97	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00118	0.000	No	31(MPP)	0.032	28-32	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00119	0.000	No	17(MPP)	0.000		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00120	0.000	No	57(MPP)	0.035		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00121	0.044	No	21(MPP)	0.095	18-22	13-22-high	-	-	-	-	-	-	-	-	-	-	-	17-22	-	-
CNAG_00122	0.010	No	22(MPP)	0.091	19-23	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00123	0.435	Yes	39(MPP)	0.128	18-22,79-83	13-22-high	-	-	-	-	-	-	-	-	-	-	21-26	-	-	-
CNAG_00124	0.004	No	10(MPP)	0.200	92-96	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00125	0.017	No	18(MPP)	0.167	42-46	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00126	0.034	No	45(MPP)	0.067	75-79	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00127	0.000	No	41(MPP)	-0.171		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00128	0.436	Yes	30(MPP)	0.200		10-19-high	15-20	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00129	0.010	No	24(MPP)	-0.042	36-40,74-78	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00130	0.072	No	71(MPP)	0.085	92-96	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00131	0.000	No	89(MPP)	0.011		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00132	0.000	No	76(MPP), 77(Icp55)	0.026		7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00133	0.000	No	10(MPP)	0.400		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00134	0.000	No	15(MPP)	0.200	82-86	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00135	0.000	No	60(MPP), 61(Icp55)	-0.033		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00136	0.000	No	24(MPP)	-0.167	33-37	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00137	0.000	No	65(MPP)	0.015	14-18,51-55	13-23-low	-	-	-	-	-	-	-	-	-	-	-	13-18	-	-
CNAG_00138	0.759	Yes	24(MPP)	0.167	86-90	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00139	0.000	No	37(MPP)	0.000	19-23,81-85	8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00140	0.013	No	46(MPP)	0.130	1-5,9-13	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00141	0.000	No	21(MPP)	0.000	18-22,77-81	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00142	0.000	No	69(MPP)	0.116	66-70	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00143	0.000	No	25(MPP)	-0.080	35-39,44-48,65-69	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00144	0.003	No	32(MPP), 33(Icp55)	-0.031	45-49,71-75	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00145	0.000	No	49(MPP)	-0.041	88-92	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00146	0.000	No	40(MPP)	0.025	32-36	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00147	0.000	No	53(MPP)	0.038	78-82	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00148	0.000	No	6(MPP)	0.000	59-63	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00149	0.064	No	78(MPP)	0.038	3-7,8-12	2-11-high	-	-	-	-	-	-	-	-	6-11	-	-	-	-	-
CNAG_00150	0.000	No	32(MPP)	0.000	56-60	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00151	0.000	No	34(MPP)	0.059		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00152	0.000	No	54(MPP)	0.019		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00153	0.005	No	33(MPP)	0.091		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00154	0.009	No	52(MPP)	0.038		18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00155	0.016	No	75(MPP)	-0.067	43-47,46-50,68-72	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00156	0.000	No	22(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00157	0.021	No	34(MPP)	0.088		6-15-low	-	-	-	-	-	-	-	-	-	-	22-27	-	-	-
CNAG_00158	0.006	No	31(MPP)	0.065	50-54	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00159	0.056	No	33(MPP)	0.333	30-34	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00160	0.011	No	13(MPP)	0.154		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00161	0.032	No	91(MPP)	-0.033	75-79	1-11-high	-	-	-	-	-	-	-	9-14	-	8-13	-	-	-	-
CNAG_00162	0.631	Yes	38(MPP), 39(Icp55)	0.105		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00163	0.041	No	17(MPP)	0.059		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00164	0.006	No	54(MPP)	-0.037		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00165	0.500	Yes	9(MPP)	0.222		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00166	0.000	No	88(MPP), 89(Icp55)	-0.091	29-33	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00167	0.003	No	35(MPP)	0.000	32-36,46-50,80-84	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00171	0.000	No	16(MPP)	-0.188	61-65	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00172	0.010	No	27(MPP)	0.037		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00173	0.000	No	63(MPP)	0.032	79-83	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00174	0.019	No	17(MPP), 18(Icp55)	0.235		11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00175	0.000	No	11(MPP)	0.000	13-17,16-20	13-22-high	-	-	-	-	13-18	-	-	-	-	-	-	-	-	-
CNAG_00176	0.003	No	21(MPP)	-0.095	21-25	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	21-26	-
CNAG_00177	0.000	No	63(MPP)	-0.032		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00178	0.000	No	43(MPP)	-0.023		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00179	0.000	No	55(MPP)	0.036		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00180	0.000	No	53(MPP)	-0.075		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00181	0.012	No	26(MPP)	0.000		16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00182	0.000	No	52(MPP)	0.019	23-27	14-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00183	0.083	No	59(MPP)	0.153	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00184	0.005	No	30(MPP), 31(Icp55)	0.033	76-80	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00185	0.006	No	22(MPP)	0.091	79-83	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00186	0.000	No	12(MPP)	-0.083		9-22-low	-	-	-	-	-	9-14	-	-	-	8-13	-	-	-	-
CNAG_00187	0.015	No	52(MPP)	0.115	95-99	18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00188	0.000	No	54(MPP)	0.074	60-64	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00189	0.000	No	49(MPP)	0.020	1-5	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00190	0.000	No	93(MPP)	-0.075		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00191	0.054	No	47(MPP)	0.064		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00192	0.000	No	68(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00193	0.000	No	49(MPP)	0.102		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00194	0.000	No	44(MPP), 45(Icp55)	0.068		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00195	0.000	No	48(MPP)	-0.083		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00229	0.000	No	45(MPP)	-0.067		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00231	0.000	No	28(MPP)	-0.071	56-60,80-84,95-99	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00232	0.003	No	42(MPP)	0.214	87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00233	0.063	No	27(MPP)	0.074		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00234	0.000	No	49(MPP), 50(Icp55)	-0.082		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00235	0.000	No	69(MPP)	-0.029		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00236	0.014	No	74(MPP), 75(Icp55)	0.027	57-61	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00237	0.003	No	10(MPP)	0.100	12-16	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00238	0.003	No	74(MPP)	-0.014	59-63	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00239	0.000	No	95(MPP)	-0.074		1-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00240	0.000	No	21(MPP)	0.000		7-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00241	0.008	No	14(MPP)	0.143	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00242	0.000	No	38(MPP)	0.105	35-39	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00243	0.992	Yes	27(MPP)	0.222	27-31,59-63	19-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00246	0.022	No	32(MPP)	0.188		9-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00247	0.932	Yes	26(MPP), 27(Icp55)	0.192		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00248	0.003	No	20(MPP)	0.050		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00249	0.000	No	66(MPP), 67(Icp55)	0.015		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00250	0.126	No	34(MPP)	0.088	55-59	2-11-low	-	-	-	-	-	-	-	-	-	-	16-21	-	-	-
CNAG_00251	0.000	No	95(MPP)	-0.032		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00252	0.000	No	64(MPP)	-0.016	67-71	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00253	0.003	No	55(MPP)	-0.055		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00254	0.360	No	6(MPP)	0.333	34-38,84-88	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00255	0.000	No	73(MPP)	-0.014		5-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00256	0.004	No	45(MPP)	0.067	50-54,66-70	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00257	0.000	No	23(MPP)	0.130		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
