# JEC21_mitofates_26June2018
# JEC21 mitofates predictions from http://mitf.cbrc.jp/MitoFates/
# applied to first 120aa of protein sequences, which gives DIFFERENT predictions from full-length protein
# Edward Wallace, 26th June 2018
# 
# Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNA00340	0.000	No	48(MPP)	-0.021	36-40,91-95	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00350	0.000	No	42(MPP)	0.048	28-32,85-89	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00360	0.091	No	57(MPP)	0.018		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00370	0.000	No	5(MPP)	-0.200		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00380	0.000	No	48(MPP)	-0.125	87-91	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00390	0.000	No	31(MPP)	0.000	86-90	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00400	0.000	No	69(MPP)	0.087		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00410	0.080	No	83(MPP)	-0.012		1-10-high	-	-	-	-	-	-	-	8-13	-	-	-	-	-	-
CNA00420	0.012	No	40(MPP)	0.025	37-41	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00430	0.005	No	55(MPP)	0.000	58-62	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00450	0.000	No	67(MPP)	-0.090	81-85,89-93	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00460	0.000	No	77(MPP)	0.000		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00470	0.000	No	25(MPP)	-0.080		19-28-high	25-30	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00480	0.000	No	49(MPP)	0.041	63-67,93-97	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00485	0.004	No	30(MPP)	0.100	28-32,95-99	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00490	0.000	No	53(MPP)	-0.057	22-26	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00510	0.994	Yes	21(MPP), 29(Oct1)	0.190	50-54	13-22-low	-	-	-	-	-	-	18-23	-	-	-	-	-	-	17-22
CNA00520	0.000	No	13(MPP)	0.077		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00530	0.000	No	64(MPP), 65(Icp55)	-0.062	46-50	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00540	0.054	No	30(MPP)	0.233	88-92	1-10-high	-	-	-	-	-	-	-	1-6	-	-	-	-	-	-
CNA00550	0.065	No	21(MPP)	0.095		2-11-high	-	-	-	-	-	-	2-7	-	16-21	1-6	15-20	-	-	-
CNA00560	0.000	No	50(MPP)	-0.140	90-94	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00570	0.000	No	72(MPP)	-0.056		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00580	0.006	No	40(MPP)	0.025	37-41,54-58	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00590	0.000	No	73(MPP)	0.000		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00600	0.000	No	25(MPP)	-0.080		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00610	0.000	No	27(MPP)	-0.074		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00620	0.000	No	63(MPP)	-0.032	60-64	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00630	0.097	No	33(MPP)	0.091	1-5	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-
CNA00640	0.000	No	14(MPP)	0.000		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00650	0.000	No	19(MPP)	-0.105		17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00660	0.000	No	31(MPP)	-0.065	86-90	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00670	0.018	No	44(MPP)	0.045	71-75	15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00680	0.005	No	43(MPP)	0.047		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00690	0.000	No	63(MPP)	-0.016		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00700	0.000	No	53(MPP)	0.000	88-92	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00710	0.033	No	34(MPP)	0.088	96-100	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00720	0.016	No	12(MPP), 13(Icp55)	0.000	63-67	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00730	0.000	No	41(MPP)	-0.195		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00740	0.000	No	35(MPP)	-0.029	83-87	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00750	0.000	No	42(MPP)	-0.048	80-84	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00760	0.487	Yes	22(MPP)	0.227	74-78	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00770	0.000	No	20(MPP)	0.050	75-79,94-98	11-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00780	0.047	No	10(MPP)	0.200	7-11,59-63	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00790	0.003	No	49(MPP)	-0.061	87-91	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00800	0.000	No	37(MPP)	0.027	31-35	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00820	0.000	No	27(MPP)	0.037		6-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00830	0.020	No	74(MPP)	0.068		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00840	0.000	No	95(MPP)	-0.084		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00850	0.005	No	63(MPP)	0.016	31-35	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00860	0.005	No	46(MPP)	0.109	19-23,47-51,55-59	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00870	0.000	No	38(MPP)	0.079	47-51	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00880	0.000	No	16(MPP)	0.062	51-55,55-59,77-81	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00890	0.011	No	37(MPP)	0.081		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00900	0.000	No	55(MPP)	-0.109	44-48	15-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00910	0.000	No	45(MPP)	0.000	11-15,23-27	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00920	0.000	No	75(MPP)	0.040	35-39,87-91,93-97	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00930	0.010	No	46(MPP)	-0.022	26-30	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00940	0.000	No	23(MPP)	0.043	20-24,39-43,91-95	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00950	0.000	No	87(MPP)	0.000	81-85	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00960	0.000	No	10(MPP)	0.100		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00970	0.000	No	46(MPP)	0.043		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00980	0.100	No	30(MPP), 38(Oct1)	0.167	82-86	10-19-high	-	-	-	-	-	15-20	-	-	-	-	-	-	-	14-19
CNA00990	0.000	No	29(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01000	0.484	Yes	82(MPP)	0.098	1-5,4-8,80-84	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01010	0.035	No	50(MPP)	0.140	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-
CNA01020	0.000	No	66(MPP)	-0.061		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01030	0.004	No	69(MPP), 70(Icp55)	-0.014		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01040	0.067	No	63(MPP)	0.095	55-59,60-64	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01050	0.000	No	22(MPP)	-0.136	36-40	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01060	0.051	No	30(MPP), 31(Icp55)	0.033		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01070	0.000	No	36(MPP)	-0.083	93-97	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01080	0.000	No	31(MPP)	0.032	28-32	7-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01090	0.000	No	17(MPP)	0.000		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01095	0.000	No	57(MPP)	0.018		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01100	0.018	No	21(MPP)	0.095	18-22	13-22-high	-	-	-	-	-	-	-	-	-	-	-	17-22	-	-
CNA01120	0.000	No	41(MPP)	0.024		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01130	0.069	No	39(MPP)	0.103	18-22,83-87	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01140	0.003	No	9(MPP)	0.222	92-96	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01150	0.023	No	18(MPP)	0.167		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01160	0.044	No	45(MPP)	0.067	75-79	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01170	0.004	No	32(MPP)	0.031	36-40,74-78	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01180	0.056	No	64(MPP)	0.125	92-96	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01190	0.171	No	15(MPP)	0.067	22-26	12-26-low	-	-	-	-	-	-	-	-	-	2-7	-	-	-	-
CNA01200	0.000	No	30(MPP)	0.100	86-90	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01205	0.000	No	10(MPP)	0.400		11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01210	0.004	No	15(MPP)	0.267	82-86,85-89	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01220	0.000	No	60(MPP), 61(Icp55)	-0.033		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01230	0.000	No	24(MPP)	-0.167	33-37	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01240	0.000	No	66(MPP)	-0.015	14-18,51-55	13-23-low	-	-	-	-	-	-	-	-	-	-	-	13-18	-	-
CNA01250	0.768	Yes	24(MPP)	0.167	86-90	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01260	0.000	No	37(MPP)	-0.027	19-23,81-85	8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01270	0.008	No	33(MPP)	0.121	1-5,9-13	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01280	0.000	No	21(MPP)	0.000	18-22,77-81	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01290	0.000	No	69(MPP)	0.116	66-70	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01310	0.000	No	25(MPP)	-0.080	35-39,44-48,65-69	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01320	0.000	No	34(MPP), 35(Icp55)	0.000	47-51,73-77	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01330	0.000	No	49(MPP)	-0.041	88-92	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01340	0.000	No	40(MPP)	0.025	32-36	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01350	0.000	No	53(MPP)	0.038	78-82	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01360	0.000	No	80(MPP)	-0.188	17-21	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01370	0.038	No	78(MPP)	0.038	3-7,8-12	5-14-high	-	-	-	-	-	-	-	-	6-11	-	-	-	-	-
CNA01380	0.000	No	32(MPP)	0.000	56-60	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01390	0.000	No	86(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01400	0.000	No	54(MPP)	0.037		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01410	0.000	No	36(MPP)	0.028		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01420	0.020	No	52(MPP)	0.038		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01430	0.051	No	8(MPP)	0.250	54-58,57-61,79-83	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01440	0.000	No	41(MPP)	0.122		19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01450	0.000	No	22(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01460	0.018	No	34(MPP)	0.088		6-15-low	-	-	-	-	-	-	-	-	-	-	22-27	-	-	-
CNA01470	0.007	No	31(MPP)	0.065	50-54	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01480	0.000	No	13(MPP)	0.154		14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01490	0.007	No	95(MPP)	-0.021	79-83	1-12-low	-	-	-	-	-	-	-	13-18	-	12-17	-	-	-	-
CNA01500	0.704	Yes	38(MPP), 39(Icp55)	0.105		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01510	0.009	No	42(MPP)	0.024		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01520	0.000	No	57(MPP)	-0.035	54-58	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01530	0.255	No	9(MPP)	0.222		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01540	0.000	No	88(MPP), 89(Icp55)	-0.102	29-33	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01550	0.000	No	35(MPP)	0.000	32-36,46-50,80-84	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01560	0.000	No	21(MPP)	0.000	87-91	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01580	0.000	No	50(MPP)	0.080		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01590	0.000	No	16(MPP)	-0.188	61-65	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01600	0.014	No	27(MPP)	0.037		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01610	0.003	No	44(MPP)	0.045	79-83	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01620	0.058	No	17(MPP), 18(Icp55)	0.235	42-46	7-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01630	0.000	No	11(MPP)	-0.091	61-65	16-25-low	-	-	-	-	-	-	16-21	-	-	15-20	-	-	-	-
CNA01640	0.003	No	21(MPP)	-0.095	21-25	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	21-26	-
CNA01650	0.000	No	62(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01660	0.000	No	45(MPP)	-0.022		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01680	0.000	No	55(MPP)	0.036		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01690	0.000	No	53(MPP)	-0.075		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01700	0.005	No	26(MPP)	0.000		16-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01710	0.000	No	52(MPP)	0.019	23-27	14-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01720	0.041	No	11(MPP)	0.091	55-59,59-63,81-85	6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01730	0.006	No	30(MPP), 31(Icp55)	0.033	76-80	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01740	0.000	No	22(MPP)	0.091	78-82	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01750	0.000	No	12(MPP)	-0.083		9-22-low	-	-	-	-	-	9-14	-	-	-	8-13	-	-	-	-
CNA01760	0.118	No	36(MPP)	0.194	95-99	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01770	0.000	No	54(MPP)	0.074	60-64	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01780	0.000	No	49(MPP)	0.041	1-5	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01790	0.000	No	93(MPP)	-0.075		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01800	0.066	No	47(MPP)	0.106		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01810	0.000	No	36(MPP)	0.028		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01820	0.000	No	49(MPP)	0.102		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01830	0.000	No	44(MPP), 45(Icp55)	0.068		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01840	0.000	No	45(MPP)	-0.089		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01850	0.273	No	13(MPP), 14(Icp55)	0.154	10-14	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01860	0.000	No	35(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01870	0.333	No	16(MPP)	0.188	10-14,50-54,55-59,70-74	7-16-high	-	-	-	-	10-15	13-18	-	-	-	-	-	-	-	-
CNA01880	0.000	No	13(MPP)	0.077	53-57	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01890	0.000	No	68(MPP)	-0.132	44-48	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01900	0.000	No	9(MPP)	0.111		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01910	0.000	No	46(MPP)	0.022		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01920	0.000	No	95(MPP)	0.032		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01930	0.000	No	24(MPP)	0.083		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01940	0.000	No	88(MPP), 89(Icp55)	0.080	50-54	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01950	0.977	Yes	28(MPP)	0.179	25-29	2-13-high	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-
CNA01960	0.052	No	21(MPP), 29(Oct1)	0.143	80-84	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01980	0.301	No	18(MPP)	0.111		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA01990	0.000	No	16(MPP)	0.062		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02000	0.000	No	72(MPP)	0.083		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02010	0.000	No	52(MPP)	0.019	49-53	7-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02015	0.000	No	77(MPP)	0.078	57-61	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02020	0.000	No	45(MPP), 46(Icp55)	0.222	38-42	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02030	0.000	No	48(MPP)	0.083		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02040	0.013	No	62(MPP), 63(Icp55)	0.065	8-12,59-63	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02050	0.000	No	37(MPP)	0.081		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02055	0.018	No	16(MPP)	0.250	48-52,68-72	1-10-high	-	-	-	-	-	-	-	-	-	25-30	-	-	-	-
CNA02060	0.007	No	50(MPP), 51(Icp55)	-0.040		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02080	0.000	No	63(MPP)	-0.016		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02090	0.139	No	52(MPP)	0.038	3-7,52-56	3-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02100	0.066	No	13(MPP)	0.077	4-8,40-44,89-93	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	4-9	-
CNA02115	0.065	No	39(MPP)	0.179	19-23	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02120	0.000	No	9(MPP)	0.111		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02125	0.011	No	46(MPP)	0.043	43-47	14-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA02130	0.000	No	58(MPP)	0.034		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
